# B10 + a > N14 + g   [B10_a__N14_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.1149e+11 beta=1.5 gamma=-134.754  Q=11.6122
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.998098e-36   1.000000e+02
1.018610e-03   9.996280e-36   1.000000e+02
1.028045e-03   9.994543e-36   1.000000e+02
1.037567e-03   9.992888e-36   1.000000e+02
1.047177e-03   9.991311e-36   1.000000e+02
1.056876e-03   9.989813e-36   1.000000e+02
1.066665e-03   9.988391e-36   1.000000e+02
1.076545e-03   9.987045e-36   1.000000e+02
1.086516e-03   9.985773e-36   1.000000e+02
1.096579e-03   9.984573e-36   1.000000e+02
1.106736e-03   9.983445e-36   1.000000e+02
1.116987e-03   9.982386e-36   1.000000e+02
1.127333e-03   9.981397e-36   1.000000e+02
1.137774e-03   9.980474e-36   1.000000e+02
1.148312e-03   9.979618e-36   1.000000e+02
1.158948e-03   9.978827e-36   1.000000e+02
1.169683e-03   9.978099e-36   1.000000e+02
1.180517e-03   9.977433e-36   1.000000e+02
1.191451e-03   9.976828e-36   1.000000e+02
1.202486e-03   9.976282e-36   1.000000e+02
1.213624e-03   9.975795e-36   1.000000e+02
1.224865e-03   9.975364e-36   1.000000e+02
1.236210e-03   9.974989e-36   1.000000e+02
1.247660e-03   9.974668e-36   1.000000e+02
1.259216e-03   9.974401e-36   1.000000e+02
1.270879e-03   9.974185e-36   1.000000e+02
1.282650e-03   9.974019e-36   1.000000e+02
1.294530e-03   9.973902e-36   1.000000e+02
1.306520e-03   9.973833e-36   1.000000e+02
1.318621e-03   9.973811e-36   1.000000e+02
1.330835e-03   9.973834e-36   1.000000e+02
1.343161e-03   9.973900e-36   1.000000e+02
1.355602e-03   9.974010e-36   1.000000e+02
1.368158e-03   9.974160e-36   1.000000e+02
1.380830e-03   9.974351e-36   1.000000e+02
1.393619e-03   9.974580e-36   1.000000e+02
1.406527e-03   9.974846e-36   1.000000e+02
1.419555e-03   9.975149e-36   1.000000e+02
1.432703e-03   9.975486e-36   1.000000e+02
1.445973e-03   9.975857e-36   1.000000e+02
1.459366e-03   9.976260e-36   1.000000e+02
1.472883e-03   9.976694e-36   1.000000e+02
1.486525e-03   9.977157e-36   1.000000e+02
1.500293e-03   9.977649e-36   1.000000e+02
1.514189e-03   9.978168e-36   1.000000e+02
1.528214e-03   9.978713e-36   1.000000e+02
1.542369e-03   9.979282e-36   1.000000e+02
1.556654e-03   9.979874e-36   1.000000e+02
1.571072e-03   9.980488e-36   1.000000e+02
1.585624e-03   9.981123e-36   1.000000e+02
1.600310e-03   9.981777e-36   1.000000e+02
1.615133e-03   9.982448e-36   1.000000e+02
1.630092e-03   9.983137e-36   1.000000e+02
1.645191e-03   9.983841e-36   1.000000e+02
1.660429e-03   9.984558e-36   1.000000e+02
1.675808e-03   9.985289e-36   1.000000e+02
1.691330e-03   9.986031e-36   1.000000e+02
1.706995e-03   9.986783e-36   1.000000e+02
1.722805e-03   9.987545e-36   1.000000e+02
1.738762e-03   9.988313e-36   1.000000e+02
1.754867e-03   9.989088e-36   1.000000e+02
1.771121e-03   9.989868e-36   1.000000e+02
1.787526e-03   9.990652e-36   1.000000e+02
1.804082e-03   9.991438e-36   1.000000e+02
1.820792e-03   9.992225e-36   1.000000e+02
1.837656e-03   9.993012e-36   1.000000e+02
1.854677e-03   9.993797e-36   1.000000e+02
1.871855e-03   9.994580e-36   1.000000e+02
1.889193e-03   9.995358e-36   1.000000e+02
1.906691e-03   9.996131e-36   1.000000e+02
1.924351e-03   9.996897e-36   1.000000e+02
1.942175e-03   9.997656e-36   1.000000e+02
1.960163e-03   9.998405e-36   1.000000e+02
1.978319e-03   9.999143e-36   1.000000e+02
1.996642e-03   9.999869e-36   1.000000e+02
2.015136e-03   1.000058e-35   1.000000e+02
2.033800e-03   1.000128e-35   1.000000e+02
2.052638e-03   1.000196e-35   1.000000e+02
2.071650e-03   1.000263e-35   1.000000e+02
2.090838e-03   1.000328e-35   1.000000e+02
2.110203e-03   1.000390e-35   1.000000e+02
2.129749e-03   1.000451e-35   1.000000e+02
2.149475e-03   1.000509e-35   1.000000e+02
2.169384e-03   1.000565e-35   1.000000e+02
2.189477e-03   1.000619e-35   1.000000e+02
2.209756e-03   1.000670e-35   1.000000e+02
2.230223e-03   1.000718e-35   1.000000e+02
2.250880e-03   1.000763e-35   1.000000e+02
2.271728e-03   1.000805e-35   1.000000e+02
2.292769e-03   1.000844e-35   1.000000e+02
2.314005e-03   1.000880e-35   1.000000e+02
2.335438e-03   1.000912e-35   1.000000e+02
2.357069e-03   1.000941e-35   1.000000e+02
2.378901e-03   1.000966e-35   1.000000e+02
2.400935e-03   1.000987e-35   1.000000e+02
2.423173e-03   1.001005e-35   1.000000e+02
2.445617e-03   1.001018e-35   1.000000e+02
2.468268e-03   1.001027e-35   1.000000e+02
2.491130e-03   1.001032e-35   1.000000e+02
2.514203e-03   1.001032e-35   1.000000e+02
2.537490e-03   1.001028e-35   1.000000e+02
2.560993e-03   1.001019e-35   1.000000e+02
2.584714e-03   1.001005e-35   1.000000e+02
2.608654e-03   1.000986e-35   1.000000e+02
2.632815e-03   1.000962e-35   1.000000e+02
2.657201e-03   1.000933e-35   1.000000e+02
2.681813e-03   1.000899e-35   1.000000e+02
2.706652e-03   1.000859e-35   1.000000e+02
2.731722e-03   1.000813e-35   1.000000e+02
2.757023e-03   1.000762e-35   1.000000e+02
2.782559e-03   1.000704e-35   1.000000e+02
2.808332e-03   1.000641e-35   1.000000e+02
2.834343e-03   1.000571e-35   1.000000e+02
2.860596e-03   1.000496e-35   1.000000e+02
2.887091e-03   1.000414e-35   1.000000e+02
2.913832e-03   1.000325e-35   1.000000e+02
2.940820e-03   1.000229e-35   1.000000e+02
2.968059e-03   1.000127e-35   1.000000e+02
2.995549e-03   1.000018e-35   1.000000e+02
3.023295e-03   9.999022e-36   1.000000e+02
3.051297e-03   9.997804e-36   1.000000e+02
3.079559e-03   9.996540e-36   1.000000e+02
3.108082e-03   9.995244e-36   1.000000e+02
3.136870e-03   9.993931e-36   1.000000e+02
3.165924e-03   9.992615e-36   1.000000e+02
3.195248e-03   9.991308e-36   1.000000e+02
3.224842e-03   9.990025e-36   1.000000e+02
3.254712e-03   9.988780e-36   1.000000e+02
3.284857e-03   9.987586e-36   1.000000e+02
3.315282e-03   9.986457e-36   1.000000e+02
3.345989e-03   9.985407e-36   1.000000e+02
3.376980e-03   9.984450e-36   1.000000e+02
3.408259e-03   9.983600e-36   1.000000e+02
3.439826e-03   9.982869e-36   1.000000e+02
3.471687e-03   9.982273e-36   1.000000e+02
3.503842e-03   9.981824e-36   1.000000e+02
3.536296e-03   9.981537e-36   1.000000e+02
3.569049e-03   9.981426e-36   1.000000e+02
3.602107e-03   9.981503e-36   1.000000e+02
3.635470e-03   9.981783e-36   1.000000e+02
3.669142e-03   9.982280e-36   1.000000e+02
3.703127e-03   9.983008e-36   1.000000e+02
3.737426e-03   9.983979e-36   1.000000e+02
3.772042e-03   9.985209e-36   1.000000e+02
3.806980e-03   9.986712e-36   1.000000e+02
3.842241e-03   9.988500e-36   1.000000e+02
3.877828e-03   9.990588e-36   1.000000e+02
3.913746e-03   9.992990e-36   1.000000e+02
3.949995e-03   9.995720e-36   1.000000e+02
3.986581e-03   9.998792e-36   1.000000e+02
4.023506e-03   1.000222e-35   1.000000e+02
4.060772e-03   1.000595e-35   1.000000e+02
4.098384e-03   1.000992e-35   1.000000e+02
4.136344e-03   1.001404e-35   1.000000e+02
4.174655e-03   1.001823e-35   1.000000e+02
4.213322e-03   1.002242e-35   1.000000e+02
4.252346e-03   1.002653e-35   1.000000e+02
4.291732e-03   1.003047e-35   1.000000e+02
4.331483e-03   1.003416e-35   1.000000e+02
4.371602e-03   1.003753e-35   1.000000e+02
4.412093e-03   1.004050e-35   1.000000e+02
4.452959e-03   1.004298e-35   1.000000e+02
4.494203e-03   1.004490e-35   1.000000e+02
4.535829e-03   1.004618e-35   1.000000e+02
4.577841e-03   1.004673e-35   1.000000e+02
4.620241e-03   1.004648e-35   1.000000e+02
4.663035e-03   1.004534e-35   1.000000e+02
4.706225e-03   1.004325e-35   1.000000e+02
4.749815e-03   1.004011e-35   1.000000e+02
4.793808e-03   1.003585e-35   1.000000e+02
4.838210e-03   1.003039e-35   1.000000e+02
4.883022e-03   1.002366e-35   1.000000e+02
4.928250e-03   1.001558e-35   1.000000e+02
4.973896e-03   1.000606e-35   1.000000e+02
5.019965e-03   9.995052e-36   1.000000e+02
5.066461e-03   9.982562e-36   1.000000e+02
5.113388e-03   9.968731e-36   1.000000e+02
5.160749e-03   9.953700e-36   1.000000e+02
