# B10 + d > B11 + p   [B10_d__B11_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.4324 beta=0 gamma=-107.104  Q=9.2296
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.021568e-35   1.000000e+02
1.018610e-03   1.043385e-35   1.000000e+02
1.028045e-03   1.065464e-35   1.000000e+02
1.037567e-03   1.087817e-35   1.000000e+02
1.047177e-03   1.110457e-35   1.000000e+02
1.056876e-03   1.133399e-35   1.000000e+02
1.066665e-03   1.156658e-35   1.000000e+02
1.076545e-03   1.180252e-35   1.000000e+02
1.086516e-03   1.204198e-35   1.000000e+02
1.096579e-03   1.228516e-35   1.000000e+02
1.106736e-03   1.253227e-35   1.000000e+02
1.116987e-03   1.278352e-35   1.000000e+02
1.127333e-03   1.303916e-35   1.000000e+02
1.137774e-03   1.329943e-35   1.000000e+02
1.148312e-03   1.356460e-35   1.000000e+02
1.158948e-03   1.383496e-35   1.000000e+02
1.169683e-03   1.411079e-35   1.000000e+02
1.180517e-03   1.439243e-35   1.000000e+02
1.191451e-03   1.468019e-35   1.000000e+02
1.202486e-03   1.497445e-35   1.000000e+02
1.213624e-03   1.527558e-35   1.000000e+02
1.224865e-03   1.558396e-35   1.000000e+02
1.236210e-03   1.590004e-35   1.000000e+02
1.247660e-03   1.622424e-35   1.000000e+02
1.259216e-03   1.655703e-35   1.000000e+02
1.270879e-03   1.689893e-35   1.000000e+02
1.282650e-03   1.725045e-35   1.000000e+02
1.294530e-03   1.761214e-35   1.000000e+02
1.306520e-03   1.798459e-35   1.000000e+02
1.318621e-03   1.836844e-35   1.000000e+02
1.330835e-03   1.876432e-35   1.000000e+02
1.343161e-03   1.917294e-35   1.000000e+02
1.355602e-03   1.959504e-35   1.000000e+02
1.368158e-03   2.003140e-35   1.000000e+02
1.380830e-03   2.048283e-35   1.000000e+02
1.393619e-03   2.095023e-35   1.000000e+02
1.406527e-03   2.143451e-35   1.000000e+02
1.419555e-03   2.193667e-35   1.000000e+02
1.432703e-03   2.245775e-35   1.000000e+02
1.445973e-03   2.299886e-35   1.000000e+02
1.459366e-03   2.356119e-35   1.000000e+02
