# B10 + p > C11 + g   [B10_p__C11_g]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=3.0302e+10 beta=1.5 gamma=-100.836  Q=8.6894
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   3.673290e-35   1.008084e+00
1.018610e-03   1.274797e-34   1.015877e+00
1.028045e-03   4.183541e-34   1.023375e+00
1.037567e-03   1.299425e-33   1.030578e+00
1.047177e-03   3.823396e-33   1.037484e+00
1.056876e-03   1.066657e-32   1.044092e+00
1.066665e-03   2.824003e-32   1.050402e+00
1.076545e-03   7.101604e-32   1.056413e+00
1.086516e-03   1.697797e-31   1.062127e+00
1.096579e-03   3.862247e-31   1.067543e+00
1.106736e-03   8.367694e-31   1.072663e+00
1.116987e-03   1.728104e-30   1.077488e+00
1.127333e-03   3.405016e-30   1.082020e+00
1.137774e-03   6.406788e-30   1.086261e+00
1.148312e-03   1.152180e-29   1.090213e+00
1.158948e-03   1.982192e-29   1.093880e+00
1.169683e-03   3.265152e-29   1.097264e+00
1.180517e-03   5.154424e-29   1.100368e+00
1.191451e-03   7.804817e-29   1.103197e+00
1.202486e-03   1.134587e-28   1.105754e+00
1.213624e-03   1.584866e-28   1.108043e+00
1.224865e-03   2.129185e-28   1.110070e+00
1.236210e-03   2.753514e-28   1.111838e+00
1.247660e-03   3.430843e-28   1.113352e+00
1.259216e-03   4.122313e-28   1.114618e+00
1.270879e-03   4.780732e-28   1.115640e+00
1.282650e-03   5.356091e-28   1.116425e+00
1.294530e-03   5.802143e-28   1.116978e+00
1.306520e-03   6.082787e-28   1.117304e+00
1.318621e-03   6.176995e-28   1.117411e+00
1.330835e-03   6.081337e-28   1.117303e+00
1.343161e-03   5.809717e-28   1.116987e+00
1.355602e-03   5.390533e-28   1.116469e+00
1.368158e-03   4.862012e-28   1.115757e+00
1.380830e-03   4.266726e-28   1.114855e+00
1.393619e-03   3.646318e-28   1.113772e+00
1.406527e-03   3.037263e-28   1.112513e+00
1.419555e-03   2.468112e-28   1.111085e+00
1.432703e-03   1.958344e-28   1.109495e+00
1.445973e-03   1.518593e-28   1.107751e+00
1.459366e-03   1.151884e-28   1.105858e+00
