# B10 + t > B11 + d   [B10_t__B11_d]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.8543 beta=0 gamma=-60.3073  Q=5.1969
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.014397e-35   1.000000e+02
1.018610e-03   1.028454e-35   1.000000e+02
1.028045e-03   1.042166e-35   1.000000e+02
1.037567e-03   1.055530e-35   1.000000e+02
1.047177e-03   1.068544e-35   1.000000e+02
1.056876e-03   1.081206e-35   1.000000e+02
1.066665e-03   1.093516e-35   1.000000e+02
1.076545e-03   1.105474e-35   1.000000e+02
1.086516e-03   1.117084e-35   1.000000e+02
1.096579e-03   1.128346e-35   1.000000e+02
1.106736e-03   1.139265e-35   1.000000e+02
1.116987e-03   1.149846e-35   1.000000e+02
1.127333e-03   1.160094e-35   1.000000e+02
1.137774e-03   1.170016e-35   1.000000e+02
1.148312e-03   1.179619e-35   1.000000e+02
1.158948e-03   1.188910e-35   1.000000e+02
1.169683e-03   1.197900e-35   1.000000e+02
1.180517e-03   1.206598e-35   1.000000e+02
1.191451e-03   1.215013e-35   1.000000e+02
1.202486e-03   1.223158e-35   1.000000e+02
1.213624e-03   1.231043e-35   1.000000e+02
1.224865e-03   1.238682e-35   1.000000e+02
1.236210e-03   1.246087e-35   1.000000e+02
1.247660e-03   1.253272e-35   1.000000e+02
1.259216e-03   1.260250e-35   1.000000e+02
1.270879e-03   1.267037e-35   1.000000e+02
1.282650e-03   1.273648e-35   1.000000e+02
1.294530e-03   1.280097e-35   1.000000e+02
1.306520e-03   1.286401e-35   1.000000e+02
1.318621e-03   1.292577e-35   1.000000e+02
1.330835e-03   1.298641e-35   1.000000e+02
1.343161e-03   1.304611e-35   1.000000e+02
1.355602e-03   1.310503e-35   1.000000e+02
1.368158e-03   1.316336e-35   1.000000e+02
1.380830e-03   1.322128e-35   1.000000e+02
1.393619e-03   1.327898e-35   1.000000e+02
1.406527e-03   1.333665e-35   1.000000e+02
1.419555e-03   1.339448e-35   1.000000e+02
1.432703e-03   1.345266e-35   1.000000e+02
1.445973e-03   1.351139e-35   1.000000e+02
1.459366e-03   1.357089e-35   1.000000e+02
1.472883e-03   1.363135e-35   1.000000e+02
1.486525e-03   1.369298e-35   1.000000e+02
1.500293e-03   1.375601e-35   1.000000e+02
1.514189e-03   1.382064e-35   1.000000e+02
1.528214e-03   1.388710e-35   1.000000e+02
1.542369e-03   1.395562e-35   1.000000e+02
1.556654e-03   1.402642e-35   1.000000e+02
1.571072e-03   1.409976e-35   1.000000e+02
1.585624e-03   1.417586e-35   1.000000e+02
1.600310e-03   1.425497e-35   1.000000e+02
1.615133e-03   1.433737e-35   1.000000e+02
1.630092e-03   1.442329e-35   1.000000e+02
1.645191e-03   1.451302e-35   1.000000e+02
1.660429e-03   1.460683e-35   1.000000e+02
1.675808e-03   1.470500e-35   1.000000e+02
1.691330e-03   1.480784e-35   1.000000e+02
1.706995e-03   1.491565e-35   1.000000e+02
1.722805e-03   1.502875e-35   1.000000e+02
1.738762e-03   1.514746e-35   1.000000e+02
1.754867e-03   1.527213e-35   1.000000e+02
1.771121e-03   1.540311e-35   1.000000e+02
1.787526e-03   1.554078e-35   1.000000e+02
1.804082e-03   1.568552e-35   1.000000e+02
1.820792e-03   1.583773e-35   1.000000e+02
1.837656e-03   1.599785e-35   1.000000e+02
1.854677e-03   1.616632e-35   1.000000e+02
1.871855e-03   1.634360e-35   1.000000e+02
1.889193e-03   1.653018e-35   1.000000e+02
1.906691e-03   1.672659e-35   1.000000e+02
1.924351e-03   1.693337e-35   1.000000e+02
1.942175e-03   1.715110e-35   1.000000e+02
1.960163e-03   1.738037e-35   1.000000e+02
1.978319e-03   1.762185e-35   1.000000e+02
1.996642e-03   1.787620e-35   1.000000e+02
2.015136e-03   1.814416e-35   1.000000e+02
2.033800e-03   1.842649e-35   1.000000e+02
2.052638e-03   1.872401e-35   1.000000e+02
2.071650e-03   1.903759e-35   1.000000e+02
2.090838e-03   1.936816e-35   1.000000e+02
