# B10 + t > B12 + p   [B10_t__B12_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=9.1907 beta=0 gamma=-73.6031  Q=6.3426
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.013729e-35   1.000000e+02
1.018610e-03   1.027066e-35   1.000000e+02
1.028045e-03   1.040006e-35   1.000000e+02
1.037567e-03   1.052546e-35   1.000000e+02
1.047177e-03   1.064681e-35   1.000000e+02
1.056876e-03   1.076411e-35   1.000000e+02
1.066665e-03   1.087736e-35   1.000000e+02
1.076545e-03   1.098655e-35   1.000000e+02
1.086516e-03   1.109171e-35   1.000000e+02
1.096579e-03   1.119286e-35   1.000000e+02
1.106736e-03   1.129005e-35   1.000000e+02
1.116987e-03   1.138331e-35   1.000000e+02
1.127333e-03   1.147272e-35   1.000000e+02
1.137774e-03   1.155832e-35   1.000000e+02
1.148312e-03   1.164021e-35   1.000000e+02
1.158948e-03   1.171845e-35   1.000000e+02
1.169683e-03   1.179316e-35   1.000000e+02
1.180517e-03   1.186441e-35   1.000000e+02
1.191451e-03   1.193233e-35   1.000000e+02
1.202486e-03   1.199702e-35   1.000000e+02
1.213624e-03   1.205861e-35   1.000000e+02
1.224865e-03   1.211722e-35   1.000000e+02
1.236210e-03   1.217298e-35   1.000000e+02
1.247660e-03   1.222604e-35   1.000000e+02
1.259216e-03   1.227652e-35   1.000000e+02
1.270879e-03   1.232459e-35   1.000000e+02
1.282650e-03   1.237038e-35   1.000000e+02
1.294530e-03   1.241407e-35   1.000000e+02
1.306520e-03   1.245580e-35   1.000000e+02
1.318621e-03   1.249574e-35   1.000000e+02
1.330835e-03   1.253405e-35   1.000000e+02
1.343161e-03   1.257090e-35   1.000000e+02
1.355602e-03   1.260647e-35   1.000000e+02
1.368158e-03   1.264092e-35   1.000000e+02
1.380830e-03   1.267444e-35   1.000000e+02
1.393619e-03   1.270719e-35   1.000000e+02
1.406527e-03   1.273937e-35   1.000000e+02
1.419555e-03   1.277116e-35   1.000000e+02
1.432703e-03   1.280273e-35   1.000000e+02
1.445973e-03   1.283428e-35   1.000000e+02
1.459366e-03   1.286599e-35   1.000000e+02
1.472883e-03   1.289805e-35   1.000000e+02
1.486525e-03   1.293066e-35   1.000000e+02
1.500293e-03   1.296400e-35   1.000000e+02
1.514189e-03   1.299828e-35   1.000000e+02
1.528214e-03   1.303369e-35   1.000000e+02
1.542369e-03   1.307043e-35   1.000000e+02
1.556654e-03   1.310870e-35   1.000000e+02
1.571072e-03   1.314872e-35   1.000000e+02
1.585624e-03   1.319069e-35   1.000000e+02
1.600310e-03   1.323481e-35   1.000000e+02
1.615133e-03   1.328132e-35   1.000000e+02
1.630092e-03   1.333041e-35   1.000000e+02
1.645191e-03   1.338233e-35   1.000000e+02
1.660429e-03   1.343730e-35   1.000000e+02
1.675808e-03   1.349554e-35   1.000000e+02
1.691330e-03   1.355731e-35   1.000000e+02
1.706995e-03   1.362284e-35   1.000000e+02
1.722805e-03   1.369240e-35   1.000000e+02
1.738762e-03   1.376623e-35   1.000000e+02
1.754867e-03   1.384461e-35   1.000000e+02
1.771121e-03   1.392781e-35   1.000000e+02
1.787526e-03   1.401612e-35   1.000000e+02
1.804082e-03   1.410984e-35   1.000000e+02
1.820792e-03   1.420928e-35   1.000000e+02
1.837656e-03   1.431476e-35   1.000000e+02
1.854677e-03   1.442661e-35   1.000000e+02
1.871855e-03   1.454519e-35   1.000000e+02
1.889193e-03   1.467086e-35   1.000000e+02
1.906691e-03   1.480400e-35   1.000000e+02
1.924351e-03   1.494502e-35   1.000000e+02
1.942175e-03   1.509434e-35   1.000000e+02
1.960163e-03   1.525240e-35   1.000000e+02
1.978319e-03   1.541968e-35   1.000000e+02
1.996642e-03   1.559666e-35   1.000000e+02
2.015136e-03   1.578387e-35   1.000000e+02
2.033800e-03   1.598187e-35   1.000000e+02
2.052638e-03   1.619123e-35   1.000000e+02
2.071650e-03   1.641258e-35   1.000000e+02
2.090838e-03   1.664659e-35   1.000000e+02
2.110203e-03   1.689394e-35   1.000000e+02
2.129749e-03   1.715538e-35   1.000000e+02
2.149475e-03   1.743171e-35   1.000000e+02
2.169384e-03   1.772378e-35   1.000000e+02
2.189477e-03   1.803248e-35   1.000000e+02
2.209756e-03   1.835879e-35   1.000000e+02
2.230223e-03   1.870372e-35   1.000000e+02
2.250880e-03   1.906840e-35   1.000000e+02
2.271728e-03   1.945400e-35   1.000000e+02
2.292769e-03   1.986178e-35   1.000000e+02
2.314005e-03   2.029311e-35   1.000000e+02
2.335438e-03   2.074944e-35   1.000000e+02
2.357069e-03   2.123236e-35   1.000000e+02
2.378901e-03   2.174354e-35   1.000000e+02
2.400935e-03   2.228480e-35   1.000000e+02
2.423173e-03   2.285811e-35   1.000000e+02
2.445617e-03   2.346557e-35   1.000000e+02
2.468268e-03   2.410947e-35   1.000000e+02
2.491130e-03   2.479227e-35   1.000000e+02
2.514203e-03   2.551662e-35   1.000000e+02
2.537490e-03   2.628542e-35   1.000000e+02
2.560993e-03   2.710178e-35   1.000000e+02
2.584714e-03   2.796908e-35   1.000000e+02
2.608654e-03   2.889099e-35   1.000000e+02
2.632815e-03   2.987149e-35   1.000000e+02
2.657201e-03   3.091490e-35   1.000000e+02
2.681813e-03   3.202594e-35   1.000000e+02
2.706652e-03   3.320973e-35   1.000000e+02
2.731722e-03   3.447183e-35   1.000000e+02
2.757023e-03   3.581834e-35   1.000000e+02
2.782559e-03   3.725589e-35   1.000000e+02
2.808332e-03   3.879174e-35   1.000000e+02
2.834343e-03   4.043382e-35   1.000000e+02
2.860596e-03   4.219080e-35   1.000000e+02
2.887091e-03   4.407219e-35   1.000000e+02
2.913832e-03   4.608842e-35   1.000000e+02
2.940820e-03   4.825091e-35   1.000000e+02
2.968059e-03   5.057225e-35   1.000000e+02
2.995549e-03   5.306624e-35   1.000000e+02
3.023295e-03   5.574794e-35   1.000000e+02
3.051297e-03   5.863274e-35   1.000000e+02
3.079559e-03   6.173703e-35   1.000000e+02
3.108082e-03   6.507864e-35   1.000000e+02
3.136870e-03   6.867704e-35   1.000000e+02
3.165924e-03   7.255346e-35   1.000000e+02
3.195248e-03   7.673107e-35   1.000000e+02
3.224842e-03   8.123517e-35   1.000000e+02
3.254712e-03   8.609338e-35   1.000000e+02
3.284857e-03   9.133588e-35   1.000000e+02
3.315282e-03   9.699562e-35   1.000000e+02
3.345989e-03   1.031086e-34   1.000000e+02
3.376980e-03   1.097143e-34   1.000000e+02
3.408259e-03   1.168558e-34   1.000000e+02
3.439826e-03   1.245800e-34   1.000000e+02
3.471687e-03   1.329387e-34   1.000000e+02
3.503842e-03   1.419882e-34   1.000000e+02
3.536296e-03   1.517904e-34   1.000000e+02
3.569049e-03   1.624127e-34   1.000000e+02
3.602107e-03   1.739295e-34   1.000000e+02
3.635470e-03   1.864218e-34   1.000000e+02
3.669142e-03   1.999786e-34   1.000000e+02
3.703127e-03   2.146975e-34   1.000000e+02
3.737426e-03   2.306855e-34   1.000000e+02
3.772042e-03   2.480597e-34   1.000000e+02
3.806980e-03   2.669490e-34   1.000000e+02
3.842241e-03   2.874943e-34   1.000000e+02
3.877828e-03   3.098507e-34   1.000000e+02
3.913746e-03   3.341882e-34   1.000000e+02
3.949995e-03   3.606934e-34   1.000000e+02
3.986581e-03   3.895711e-34   1.000000e+02
4.023506e-03   4.210523e-34   1.000000e+02
4.060772e-03   4.554734e-34   1.000000e+02
4.098384e-03   4.932865e-34   1.000000e+02
4.136344e-03   5.350291e-34   1.000000e+02
4.174655e-03   5.813401e-34   1.000000e+02
4.213322e-03   6.329809e-34   1.000000e+02
4.252346e-03   6.908615e-34   1.000000e+02
4.291732e-03   7.560740e-34   1.000000e+02
4.331483e-03   8.299332e-34   1.000000e+02
4.371602e-03   9.140296e-34   1.000000e+02
4.412093e-03   1.010295e-33   1.000000e+02
4.452959e-03   1.121089e-33   1.000000e+02
4.494203e-03   1.249305e-33   1.000000e+02
4.535829e-03   1.398511e-33   1.000000e+02
4.577841e-03   1.573133e-33   1.000000e+02
4.620241e-03   1.778686e-33   1.000000e+02
4.663035e-03   2.022090e-33   1.000000e+02
4.706225e-03   2.312075e-33   1.000000e+02
4.749815e-03   2.659720e-33   1.000000e+02
4.793808e-03   3.079182e-33   1.000000e+02
4.838210e-03   3.588666e-33   1.000000e+02
4.883022e-03   4.211741e-33   1.000000e+02
4.928250e-03   4.979135e-33   1.000000e+02
4.973896e-03   5.931199e-33   1.000000e+02
5.019965e-03   7.121254e-33   1.000000e+02
5.066461e-03   8.617996e-33   1.000000e+02
5.113388e-03   1.050899e-32   1.000000e+02
5.160749e-03   1.290865e-32   1.000000e+02
5.208549e-03   1.596713e-32   1.000000e+02
5.256791e-03   1.988197e-32   1.000000e+02
5.305481e-03   2.491376e-32   1.000000e+02
5.354621e-03   3.140703e-32   1.000000e+02
5.404216e-03   3.981831e-32   1.000000e+02
5.454271e-03   5.075372e-32   1.000000e+02
5.504790e-03   6.501933e-32   1.000000e+02
5.555776e-03   8.368882e-32   1.000000e+02
5.607235e-03   1.081940e-31   1.000000e+02
5.659170e-03   1.404463e-31   1.000000e+02
5.711586e-03   1.829994e-31   1.000000e+02
5.764488e-03   2.392664e-31   1.000000e+02
5.817880e-03   3.138102e-31   1.000000e+02
5.871766e-03   4.127301e-31   1.000000e+02
5.926152e-03   5.441765e-31   1.000000e+02
5.981041e-03   7.190326e-31   1.000000e+02
6.036439e-03   9.518413e-31   1.000000e+02
6.092349e-03   1.262402e-30   1.000000e+02
6.148778e-03   1.677837e-30   1.000000e+02
6.205729e-03   2.235237e-30   1.000000e+02
6.263207e-03   2.985536e-30   1.000000e+02
6.321218e-03   3.998982e-30   1.000000e+02
6.379767e-03   5.372888e-30   1.000000e+02
6.438857e-03   7.242703e-30   1.000000e+02
6.498495e-03   9.797858e-30   1.000000e+02
6.558686e-03   1.330462e-29   1.000000e+02
6.619433e-03   1.813917e-29   1.000000e+02
6.680744e-03   2.483589e-29   1.000000e+02
6.742622e-03   3.415797e-29   1.000000e+02
6.805074e-03   4.720172e-29   1.000000e+02
6.868104e-03   6.555110e-29   1.000000e+02
6.931717e-03   9.150858e-29   1.000000e+02
6.995920e-03   1.284418e-28   1.000000e+02
7.060718e-03   1.812961e-28   1.000000e+02
7.126115e-03   2.573026e-28   1.000000e+02
7.192119e-03   3.670868e-28   1.000000e+02
7.258734e-03   5.263285e-28   1.000000e+02
7.325965e-03   7.582340e-28   1.000000e+02
7.393820e-03   1.097243e-27   1.000000e+02
7.462303e-03   1.594595e-27   1.000000e+02
7.531420e-03   2.326701e-27   1.000000e+02
7.601178e-03   3.407756e-27   1.000000e+02
7.671581e-03   5.008742e-27   1.000000e+02
7.742637e-03   7.386116e-27   1.000000e+02
7.814351e-03   1.092510e-26   1.000000e+02
7.886729e-03   1.620510e-26   1.000000e+02
7.959777e-03   2.409848e-26   1.000000e+02
8.033502e-03   3.592070e-26   1.000000e+02
8.107910e-03   5.369515e-26   1.000000e+02
8.183007e-03   8.059926e-26   1.000000e+02
8.258799e-03   1.216529e-25   1.000000e+02
8.335294e-03   1.848839e-25   1.000000e+02
8.412497e-03   2.833023e-25   1.000000e+02
8.490415e-03   4.382940e-25   1.000000e+02
8.569055e-03   6.855431e-25   1.000000e+02
8.648423e-03   1.085544e-24   1.000000e+02
8.728527e-03   1.742582e-24   1.000000e+02
8.809372e-03   2.839631e-24   1.000000e+02
8.890966e-03   4.703734e-24   1.000000e+02
8.973316e-03   7.930957e-24   1.000000e+02
9.056428e-03   1.362532e-23   1.000000e+02
9.140311e-03   2.378111e-23   1.000000e+02
9.224970e-03   4.194085e-23   1.000000e+02
9.310413e-03   7.433627e-23   1.000000e+02
9.396648e-03   1.316927e-22   1.000000e+02
9.483682e-03   2.319308e-22   1.000000e+02
9.571522e-03   4.038595e-22   1.000000e+02
9.660175e-03   6.915380e-22   1.000000e+02
9.749649e-03   1.158122e-21   1.000000e+02
9.839952e-03   1.886620e-21   1.000000e+02
9.931092e-03   2.973340e-21   1.000000e+02
1.002308e-02   4.509064e-21   1.000000e+02
1.011591e-02   6.566794e-21   1.000000e+02
1.020961e-02   9.227581e-21   1.000000e+02
1.030417e-02   1.257955e-20   1.000000e+02
1.039961e-02   1.672862e-20   1.000000e+02
1.049593e-02   2.181968e-20   1.000000e+02
1.059315e-02   2.806759e-20   1.000000e+02
1.069126e-02   3.580186e-20   1.000000e+02
1.079029e-02   4.553289e-20   1.000000e+02
1.089023e-02   5.805492e-20   1.000000e+02
1.099110e-02   7.461436e-20   1.000000e+02
1.109290e-02   9.710855e-20   1.000000e+02
1.119564e-02   1.279610e-19   1.000000e+02
1.129934e-02   1.704317e-19   1.000000e+02
1.140400e-02   2.290571e-19   1.000000e+02
1.150962e-02   3.101166e-19   1.000000e+02
1.161623e-02   4.222425e-19   1.000000e+02
1.172382e-02   5.771942e-19   1.000000e+02
1.183241e-02   7.908109e-19   1.000000e+02
1.194200e-02   1.084131e-18   1.000000e+02
1.205261e-02   1.484682e-18   1.000000e+02
1.216424e-02   2.029788e-18   1.000000e+02
1.227691e-02   2.771569e-18   1.000000e+02
1.239062e-02   3.781579e-18   1.000000e+02
1.250539e-02   5.158314e-18   1.000000e+02
1.262121e-02   7.037920e-18   1.000000e+02
1.273811e-02   9.609430e-18   1.000000e+02
1.285610e-02   1.313659e-17   1.000000e+02
1.297517e-02   1.798928e-17   1.000000e+02
1.309535e-02   2.468777e-17   1.000000e+02
1.321664e-02   3.395442e-17   1.000000e+02
1.333906e-02   4.679320e-17   1.000000e+02
1.346261e-02   6.460507e-17   1.000000e+02
1.358730e-02   8.934565e-17   1.000000e+02
1.371315e-02   1.237453e-16   1.000000e+02
1.384016e-02   1.716160e-16   1.000000e+02
1.396835e-02   2.382791e-16   1.000000e+02
1.409773e-02   3.311654e-16   1.000000e+02
1.422830e-02   4.606977e-16   1.000000e+02
1.436009e-02   6.415139e-16   1.000000e+02
1.449310e-02   8.941748e-16   1.000000e+02
1.462733e-02   1.247591e-15   1.000000e+02
1.476281e-02   1.742458e-15   1.000000e+02
1.489955e-02   2.436130e-15   1.000000e+02
1.503755e-02   3.409520e-15   1.000000e+02
1.517683e-02   4.776841e-15   1.000000e+02
1.531740e-02   6.699302e-15   1.000000e+02
1.545928e-02   9.404690e-15   1.000000e+02
1.560246e-02   1.321511e-14   1.000000e+02
1.574698e-02   1.858633e-14   1.000000e+02
1.589283e-02   2.616362e-14   1.000000e+02
1.604003e-02   3.686112e-14   1.000000e+02
1.618860e-02   5.197414e-14   1.000000e+02
1.633854e-02   7.333792e-14   1.000000e+02
1.648987e-02   1.035539e-13   1.000000e+02
1.664260e-02   1.463102e-13   1.000000e+02
1.679675e-02   2.068364e-13   1.000000e+02
1.695232e-02   2.925484e-13   1.000000e+02
1.710934e-02   4.139620e-13   1.000000e+02
1.726781e-02   5.859889e-13   1.000000e+02
1.742775e-02   8.297710e-13   1.000000e+02
1.758917e-02   1.175279e-12   1.000000e+02
1.775208e-02   1.664990e-12   1.000000e+02
1.791650e-02   2.359086e-12   1.000000e+02
1.808245e-02   3.342815e-12   1.000000e+02
1.824993e-02   4.737014e-12   1.000000e+02
1.841897e-02   6.713081e-12   1.000000e+02
1.858957e-02   9.514055e-12   1.000000e+02
1.876175e-02   1.348459e-11   1.000000e+02
1.893552e-02   1.911346e-11   1.000000e+02
1.911091e-02   2.709396e-11   1.000000e+02
1.928792e-02   3.840950e-11   1.000000e+02
1.946656e-02   5.445523e-11   1.000000e+02
