# B11 + He3 > C12 + d   [B11_He3__C12_d]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=4.2941 beta=0 gamma=-121.422  Q=10.4634
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.997249e-36   1.000000e+02
1.018610e-03   9.994618e-36   1.000000e+02
1.028045e-03   9.992107e-36   1.000000e+02
1.037567e-03   9.989712e-36   1.000000e+02
1.047177e-03   9.987432e-36   1.000000e+02
1.056876e-03   9.985265e-36   1.000000e+02
1.066665e-03   9.983209e-36   1.000000e+02
1.076545e-03   9.981262e-36   1.000000e+02
1.086516e-03   9.979423e-36   1.000000e+02
1.096579e-03   9.977688e-36   1.000000e+02
1.106736e-03   9.976057e-36   1.000000e+02
1.116987e-03   9.974527e-36   1.000000e+02
1.127333e-03   9.973096e-36   1.000000e+02
1.137774e-03   9.971763e-36   1.000000e+02
1.148312e-03   9.970525e-36   1.000000e+02
1.158948e-03   9.969381e-36   1.000000e+02
1.169683e-03   9.968329e-36   1.000000e+02
1.180517e-03   9.967367e-36   1.000000e+02
1.191451e-03   9.966492e-36   1.000000e+02
1.202486e-03   9.965704e-36   1.000000e+02
1.213624e-03   9.964999e-36   1.000000e+02
1.224865e-03   9.964377e-36   1.000000e+02
1.236210e-03   9.963835e-36   1.000000e+02
1.247660e-03   9.963372e-36   1.000000e+02
1.259216e-03   9.962985e-36   1.000000e+02
1.270879e-03   9.962673e-36   1.000000e+02
1.282650e-03   9.962433e-36   1.000000e+02
1.294530e-03   9.962265e-36   1.000000e+02
1.306520e-03   9.962165e-36   1.000000e+02
1.318621e-03   9.962133e-36   1.000000e+02
1.330835e-03   9.962166e-36   1.000000e+02
1.343161e-03   9.962262e-36   1.000000e+02
1.355602e-03   9.962420e-36   1.000000e+02
1.368158e-03   9.962637e-36   1.000000e+02
1.380830e-03   9.962912e-36   1.000000e+02
1.393619e-03   9.963243e-36   1.000000e+02
1.406527e-03   9.963629e-36   1.000000e+02
1.419555e-03   9.964066e-36   1.000000e+02
1.432703e-03   9.964553e-36   1.000000e+02
1.445973e-03   9.965089e-36   1.000000e+02
1.459366e-03   9.965672e-36   1.000000e+02
1.472883e-03   9.966299e-36   1.000000e+02
1.486525e-03   9.966969e-36   1.000000e+02
1.500293e-03   9.967680e-36   1.000000e+02
1.514189e-03   9.968430e-36   1.000000e+02
1.528214e-03   9.969217e-36   1.000000e+02
1.542369e-03   9.970040e-36   1.000000e+02
1.556654e-03   9.970896e-36   1.000000e+02
1.571072e-03   9.971783e-36   1.000000e+02
1.585624e-03   9.972700e-36   1.000000e+02
1.600310e-03   9.973646e-36   1.000000e+02
1.615133e-03   9.974617e-36   1.000000e+02
1.630092e-03   9.975612e-36   1.000000e+02
1.645191e-03   9.976629e-36   1.000000e+02
1.660429e-03   9.977667e-36   1.000000e+02
1.675808e-03   9.978724e-36   1.000000e+02
