# B11 + d > C13 + g   [B11_d__C13_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.3185e+11 beta=1.5 gamma=-216.756  Q=18.6786
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.012445e-35   1.000000e+02
1.018610e-03   1.024377e-35   1.000000e+02
1.028045e-03   1.035792e-35   1.000000e+02
1.037567e-03   1.046684e-35   1.000000e+02
1.047177e-03   1.057051e-35   1.000000e+02
1.056876e-03   1.066890e-35   1.000000e+02
1.066665e-03   1.076201e-35   1.000000e+02
1.076545e-03   1.084985e-35   1.000000e+02
1.086516e-03   1.093245e-35   1.000000e+02
1.096579e-03   1.100984e-35   1.000000e+02
1.106736e-03   1.108207e-35   1.000000e+02
1.116987e-03   1.114920e-35   1.000000e+02
1.127333e-03   1.121129e-35   1.000000e+02
1.137774e-03   1.126843e-35   1.000000e+02
1.148312e-03   1.132072e-35   1.000000e+02
1.158948e-03   1.136825e-35   1.000000e+02
1.169683e-03   1.141113e-35   1.000000e+02
1.180517e-03   1.144948e-35   1.000000e+02
1.191451e-03   1.148343e-35   1.000000e+02
1.202486e-03   1.151311e-35   1.000000e+02
1.213624e-03   1.153866e-35   1.000000e+02
1.224865e-03   1.156023e-35   1.000000e+02
1.236210e-03   1.157797e-35   1.000000e+02
1.247660e-03   1.159204e-35   1.000000e+02
1.259216e-03   1.160259e-35   1.000000e+02
1.270879e-03   1.160980e-35   1.000000e+02
1.282650e-03   1.161383e-35   1.000000e+02
1.294530e-03   1.161485e-35   1.000000e+02
1.306520e-03   1.161304e-35   1.000000e+02
1.318621e-03   1.160858e-35   1.000000e+02
1.330835e-03   1.160164e-35   1.000000e+02
1.343161e-03   1.159240e-35   1.000000e+02
1.355602e-03   1.158104e-35   1.000000e+02
1.368158e-03   1.156774e-35   1.000000e+02
1.380830e-03   1.155269e-35   1.000000e+02
1.393619e-03   1.153606e-35   1.000000e+02
1.406527e-03   1.151803e-35   1.000000e+02
1.419555e-03   1.149878e-35   1.000000e+02
1.432703e-03   1.147850e-35   1.000000e+02
1.445973e-03   1.145736e-35   1.000000e+02
1.459366e-03   1.143554e-35   1.000000e+02
1.472883e-03   1.141322e-35   1.000000e+02
1.486525e-03   1.139056e-35   1.000000e+02
1.500293e-03   1.136774e-35   1.000000e+02
1.514189e-03   1.134494e-35   1.000000e+02
1.528214e-03   1.132233e-35   1.000000e+02
1.542369e-03   1.130007e-35   1.000000e+02
1.556654e-03   1.127833e-35   1.000000e+02
1.571072e-03   1.125728e-35   1.000000e+02
1.585624e-03   1.123709e-35   1.000000e+02
1.600310e-03   1.121791e-35   1.000000e+02
1.615133e-03   1.119992e-35   1.000000e+02
1.630092e-03   1.118328e-35   1.000000e+02
1.645191e-03   1.116815e-35   1.000000e+02
1.660429e-03   1.115468e-35   1.000000e+02
1.675808e-03   1.114305e-35   1.000000e+02
1.691330e-03   1.113341e-35   1.000000e+02
1.706995e-03   1.112594e-35   1.000000e+02
1.722805e-03   1.112078e-35   1.000000e+02
1.738762e-03   1.111810e-35   1.000000e+02
1.754867e-03   1.111808e-35   1.000000e+02
1.771121e-03   1.112087e-35   1.000000e+02
1.787526e-03   1.112666e-35   1.000000e+02
1.804082e-03   1.113560e-35   1.000000e+02
1.820792e-03   1.114788e-35   1.000000e+02
1.837656e-03   1.116367e-35   1.000000e+02
1.854677e-03   1.118316e-35   1.000000e+02
1.871855e-03   1.120654e-35   1.000000e+02
1.889193e-03   1.123400e-35   1.000000e+02
1.906691e-03   1.126574e-35   1.000000e+02
1.924351e-03   1.130196e-35   1.000000e+02
1.942175e-03   1.134289e-35   1.000000e+02
1.960163e-03   1.138873e-35   1.000000e+02
1.978319e-03   1.143973e-35   1.000000e+02
1.996642e-03   1.149612e-35   1.000000e+02
2.015136e-03   1.155816e-35   1.000000e+02
2.033800e-03   1.162610e-35   1.000000e+02
2.052638e-03   1.170023e-35   1.000000e+02
2.071650e-03   1.178083e-35   1.000000e+02
2.090838e-03   1.186821e-35   1.000000e+02
2.110203e-03   1.196270e-35   1.000000e+02
2.129749e-03   1.206462e-35   1.000000e+02
2.149475e-03   1.217436e-35   1.000000e+02
2.169384e-03   1.229228e-35   1.000000e+02
2.189477e-03   1.241879e-35   1.000000e+02
2.209756e-03   1.255432e-35   1.000000e+02
