# B11 + n > B12 + g   [B11_n__B12_g]   ref=Coc et al. 2012
# detailed balance: alpha=2.3385e+10 beta=1.5 gamma=-39.1109  Q=3.3703
# T9                 rate                error
1.000000e-03   2.000000e+03   1.277300e+00
1.009262e-03   2.000085e+03   1.277304e+00
1.018610e-03   2.000494e+03   1.277308e+00
1.028045e-03   2.001222e+03   1.277311e+00
1.037567e-03   2.002264e+03   1.277315e+00
1.047177e-03   2.003615e+03   1.277319e+00
1.056876e-03   2.005272e+03   1.277322e+00
1.066665e-03   2.007229e+03   1.277325e+00
1.076545e-03   2.009483e+03   1.277329e+00
1.086516e-03   2.012029e+03   1.277332e+00
1.096579e-03   2.014864e+03   1.277335e+00
1.106736e-03   2.017983e+03   1.277338e+00
1.116987e-03   2.021382e+03   1.277341e+00
1.127333e-03   2.025058e+03   1.277343e+00
1.137774e-03   2.029008e+03   1.277346e+00
1.148312e-03   2.033227e+03   1.277349e+00
1.158948e-03   2.037711e+03   1.277351e+00
1.169683e-03   2.042459e+03   1.277354e+00
1.180517e-03   2.047465e+03   1.277356e+00
1.191451e-03   2.052727e+03   1.277358e+00
1.202486e-03   2.058242e+03   1.277360e+00
1.213624e-03   2.064005e+03   1.277363e+00
1.224865e-03   2.070015e+03   1.277365e+00
1.236210e-03   2.076267e+03   1.277367e+00
1.247660e-03   2.082758e+03   1.277368e+00
1.259216e-03   2.089486e+03   1.277370e+00
1.270879e-03   2.096446e+03   1.277372e+00
1.282650e-03   2.103636e+03   1.277374e+00
1.294530e-03   2.111053e+03   1.277375e+00
1.306520e-03   2.118694e+03   1.277377e+00
1.318621e-03   2.126554e+03   1.277378e+00
1.330835e-03   2.134632e+03   1.277380e+00
1.343161e-03   2.142924e+03   1.277381e+00
1.355602e-03   2.151426e+03   1.277382e+00
1.368158e-03   2.160136e+03   1.277384e+00
1.380830e-03   2.169050e+03   1.277385e+00
1.393619e-03   2.178164e+03   1.277386e+00
1.406527e-03   2.187476e+03   1.277387e+00
1.419555e-03   2.196983e+03   1.277388e+00
1.432703e-03   2.206679e+03   1.277389e+00
1.445973e-03   2.216563e+03   1.277390e+00
1.459366e-03   2.226631e+03   1.277391e+00
1.472883e-03   2.236879e+03   1.277391e+00
1.486525e-03   2.247303e+03   1.277392e+00
1.500293e-03   2.257899e+03   1.277393e+00
1.514189e-03   2.268665e+03   1.277394e+00
1.528214e-03   2.279595e+03   1.277394e+00
1.542369e-03   2.290686e+03   1.277395e+00
1.556654e-03   2.301935e+03   1.277395e+00
1.571072e-03   2.313336e+03   1.277396e+00
1.585624e-03   2.324886e+03   1.277396e+00
1.600310e-03   2.336581e+03   1.277397e+00
1.615133e-03   2.348415e+03   1.277397e+00
1.630092e-03   2.360385e+03   1.277397e+00
1.645191e-03   2.372486e+03   1.277398e+00
1.660429e-03   2.384713e+03   1.277398e+00
1.675808e-03   2.397062e+03   1.277398e+00
1.691330e-03   2.409527e+03   1.277399e+00
1.706995e-03   2.422104e+03   1.277399e+00
1.722805e-03   2.434787e+03   1.277399e+00
1.738762e-03   2.447572e+03   1.277399e+00
1.754867e-03   2.460452e+03   1.277399e+00
