# B11 + p > a + a + a   [B11_p__a_a_a]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=3.5008e-10 beta=-1.5 gamma=-100.752  Q=8.6821
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   2.901429e-36   1.000000e+00
1.018610e-03   8.824418e-37   1.000000e+00
1.028045e-03   2.811754e-37   1.000000e+00
1.037567e-03   9.380819e-38   1.000000e+00
1.047177e-03   3.275153e-38   1.000000e+00
1.056876e-03   1.195928e-38   1.000000e+00
1.066665e-03   4.564739e-39   1.000000e+00
1.076545e-03   1.820202e-39   1.000000e+00
1.086516e-03   7.578291e-40   1.000000e+00
1.096579e-03   3.292500e-40   1.000000e+00
1.106736e-03   1.491896e-40   1.000000e+00
1.116987e-03   7.046351e-41   1.000000e+00
1.127333e-03   3.467036e-41   1.000000e+00
1.137774e-03   1.776135e-41   1.000000e+00
1.148312e-03   9.468301e-42   1.000000e+00
1.158948e-03   5.249305e-42   1.000000e+00
1.169683e-03   3.024965e-42   1.000000e+00
1.180517e-03   1.810852e-42   1.000000e+00
1.191451e-03   1.125497e-42   1.000000e+00
1.202486e-03   7.258718e-43   1.000000e+00
1.213624e-03   4.854950e-43   1.000000e+00
1.224865e-03   3.365689e-43   1.000000e+00
1.236210e-03   2.417033e-43   1.000000e+00
1.247660e-03   1.797074e-43   1.000000e+00
1.259216e-03   1.382543e-43   1.000000e+00
1.270879e-03   1.099959e-43   1.000000e+00
1.282650e-03   9.045120e-44   1.000000e+00
1.294530e-03   7.683288e-44   1.000000e+00
1.306520e-03   6.737985e-44   1.000000e+00
1.318621e-03   6.097029e-44   1.000000e+00
1.330835e-03   5.689406e-44   1.000000e+00
1.343161e-03   5.471811e-44   1.000000e+00
1.355602e-03   5.420831e-44   1.000000e+00
1.368158e-03   5.528743e-44   1.000000e+00
1.380830e-03   5.801868e-44   1.000000e+00
1.393619e-03   6.261022e-44   1.000000e+00
1.406527e-03   6.944064e-44   1.000000e+00
1.419555e-03   7.910946e-44   1.000000e+00
1.432703e-03   9.252188e-44   1.000000e+00
1.445973e-03   1.110240e-43   1.000000e+00
1.459366e-03   1.366158e-43   1.000000e+00
1.472883e-03   1.722867e-43   1.000000e+00
1.486525e-03   2.225483e-43   1.000000e+00
1.500293e-03   2.942888e-43   1.000000e+00
1.514189e-03   3.981577e-43   1.000000e+00
1.528214e-03   5.508378e-43   1.000000e+00
1.542369e-03   7.788156e-43   1.000000e+00
1.556654e-03   1.124716e-42   1.000000e+00
1.571072e-03   1.658073e-42   1.000000e+00
1.585624e-03   2.493859e-42   1.000000e+00
1.600310e-03   3.824749e-42   1.000000e+00
1.615133e-03   5.977945e-42   1.000000e+00
1.630092e-03   9.516423e-42   1.000000e+00
1.645191e-03   1.542140e-41   1.000000e+00
1.660429e-03   2.542476e-41   1.000000e+00
1.675808e-03   4.262145e-41   1.000000e+00
1.691330e-03   7.260943e-41   1.000000e+00
1.706995e-03   1.256338e-40   1.000000e+00
1.722805e-03   2.206599e-40   1.000000e+00
1.738762e-03   3.931871e-40   1.000000e+00
1.754867e-03   7.103770e-40   1.000000e+00
1.771121e-03   1.300611e-39   1.000000e+00
1.787526e-03   2.411739e-39   1.000000e+00
1.804082e-03   4.526811e-39   1.000000e+00
1.820792e-03   8.595848e-39   1.000000e+00
1.837656e-03   1.650344e-38   1.000000e+00
1.854677e-03   3.201879e-38   1.000000e+00
1.871855e-03   6.273863e-38   1.000000e+00
1.889193e-03   1.240852e-37   1.000000e+00
1.906691e-03   2.475796e-37   1.000000e+00
1.924351e-03   4.980520e-37   1.000000e+00
1.942175e-03   1.009613e-36   1.000000e+00
1.960163e-03   2.061152e-36   1.000000e+00
1.978319e-03   4.235413e-36   1.000000e+00
1.996642e-03   8.755218e-36   1.000000e+00
2.015136e-03   1.819612e-35   1.000054e+00
2.033800e-03   3.800024e-35   1.000264e+00
2.052638e-03   7.969752e-35   1.000624e+00
2.071650e-03   1.677680e-34   1.001128e+00
2.090838e-03   3.542703e-34   1.001768e+00
2.110203e-03   7.500261e-34   1.002537e+00
2.129749e-03   1.591070e-33   1.003427e+00
2.149475e-03   3.380095e-33   1.004433e+00
2.169384e-03   7.187037e-33   1.005545e+00
2.189477e-03   1.528648e-32   1.006759e+00
2.209756e-03   3.250551e-32   1.008065e+00
2.230223e-03   6.906425e-32   1.009458e+00
2.250880e-03   1.465385e-31   1.010929e+00
2.271728e-03   3.103182e-31   1.012472e+00
2.292769e-03   6.555034e-31   1.014080e+00
2.314005e-03   1.380416e-30   1.015744e+00
2.335438e-03   2.896461e-30   1.017459e+00
2.357069e-03   6.052054e-30   1.019216e+00
2.378901e-03   1.258551e-29   1.021009e+00
2.400935e-03   2.603313e-29   1.022829e+00
2.423173e-03   5.353343e-29   1.024669e+00
2.445617e-03   1.093759e-28   1.026522e+00
2.468268e-03   2.219074e-28   1.028380e+00
2.491130e-03   4.468172e-28   1.030235e+00
2.514203e-03   8.923834e-28   1.032080e+00
2.537490e-03   1.766817e-27   1.033907e+00
