# B11 + t > C13 + n   [B11_t__C13_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=8.0561 beta=0 gamma=-144.144  Q=12.4214
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.017208e-35   1.000000e+02
1.018610e-03   1.034410e-35   1.000000e+02
1.028045e-03   1.051607e-35   1.000000e+02
1.037567e-03   1.068804e-35   1.000000e+02
1.047177e-03   1.086006e-35   1.000000e+02
1.056876e-03   1.103218e-35   1.000000e+02
1.066665e-03   1.120448e-35   1.000000e+02
1.076545e-03   1.137701e-35   1.000000e+02
1.086516e-03   1.154987e-35   1.000000e+02
1.096579e-03   1.172313e-35   1.000000e+02
1.106736e-03   1.189690e-35   1.000000e+02
1.116987e-03   1.207127e-35   1.000000e+02
1.127333e-03   1.224635e-35   1.000000e+02
1.137774e-03   1.242227e-35   1.000000e+02
1.148312e-03   1.259915e-35   1.000000e+02
1.158948e-03   1.277713e-35   1.000000e+02
1.169683e-03   1.295635e-35   1.000000e+02
1.180517e-03   1.313696e-35   1.000000e+02
1.191451e-03   1.331913e-35   1.000000e+02
1.202486e-03   1.350303e-35   1.000000e+02
1.213624e-03   1.368884e-35   1.000000e+02
1.224865e-03   1.387674e-35   1.000000e+02
1.236210e-03   1.406694e-35   1.000000e+02
1.247660e-03   1.425964e-35   1.000000e+02
1.259216e-03   1.445507e-35   1.000000e+02
1.270879e-03   1.465346e-35   1.000000e+02
1.282650e-03   1.485504e-35   1.000000e+02
1.294530e-03   1.506007e-35   1.000000e+02
1.306520e-03   1.526882e-35   1.000000e+02
1.318621e-03   1.548156e-35   1.000000e+02
1.330835e-03   1.569858e-35   1.000000e+02
1.343161e-03   1.592019e-35   1.000000e+02
1.355602e-03   1.614670e-35   1.000000e+02
1.368158e-03   1.637846e-35   1.000000e+02
1.380830e-03   1.661579e-35   1.000000e+02
1.393619e-03   1.685908e-35   1.000000e+02
1.406527e-03   1.710871e-35   1.000000e+02
1.419555e-03   1.736507e-35   1.000000e+02
1.432703e-03   1.762859e-35   1.000000e+02
1.445973e-03   1.789971e-35   1.000000e+02
1.459366e-03   1.817889e-35   1.000000e+02
1.472883e-03   1.846662e-35   1.000000e+02
1.486525e-03   1.876340e-35   1.000000e+02
1.500293e-03   1.906979e-35   1.000000e+02
1.514189e-03   1.938634e-35   1.000000e+02
1.528214e-03   1.971364e-35   1.000000e+02
1.542369e-03   2.005233e-35   1.000000e+02
1.556654e-03   2.040307e-35   1.000000e+02
1.571072e-03   2.076655e-35   1.000000e+02
1.585624e-03   2.114350e-35   1.000000e+02
1.600310e-03   2.153472e-35   1.000000e+02
1.615133e-03   2.194100e-35   1.000000e+02
1.630092e-03   2.236324e-35   1.000000e+02
1.645191e-03   2.280234e-35   1.000000e+02
1.660429e-03   2.325927e-35   1.000000e+02
1.675808e-03   2.373508e-35   1.000000e+02
1.691330e-03   2.423085e-35   1.000000e+02
1.706995e-03   2.474775e-35   1.000000e+02
1.722805e-03   2.528701e-35   1.000000e+02
1.738762e-03   2.584995e-35   1.000000e+02
1.754867e-03   2.643796e-35   1.000000e+02
1.771121e-03   2.705253e-35   1.000000e+02
1.787526e-03   2.769524e-35   1.000000e+02
1.804082e-03   2.836778e-35   1.000000e+02
1.820792e-03   2.907195e-35   1.000000e+02
1.837656e-03   2.980968e-35   1.000000e+02
1.854677e-03   3.058303e-35   1.000000e+02
1.871855e-03   3.139419e-35   1.000000e+02
1.889193e-03   3.224551e-35   1.000000e+02
1.906691e-03   3.313951e-35   1.000000e+02
1.924351e-03   3.407890e-35   1.000000e+02
1.942175e-03   3.506656e-35   1.000000e+02
1.960163e-03   3.610561e-35   1.000000e+02
1.978319e-03   3.719939e-35   1.000000e+02
1.996642e-03   3.835146e-35   1.000000e+02
2.015136e-03   3.956571e-35   1.000000e+02
2.033800e-03   4.084627e-35   1.000000e+02
2.052638e-03   4.219763e-35   1.000000e+02
2.071650e-03   4.362459e-35   1.000000e+02
2.090838e-03   4.513237e-35   1.000000e+02
2.110203e-03   4.672659e-35   1.000000e+02
2.129749e-03   4.841330e-35   1.000000e+02
2.149475e-03   5.019906e-35   1.000000e+02
2.169384e-03   5.209099e-35   1.000000e+02
2.189477e-03   5.409677e-35   1.000000e+02
2.209756e-03   5.622473e-35   1.000000e+02
2.230223e-03   5.848390e-35   1.000000e+02
2.250880e-03   6.088412e-35   1.000000e+02
2.271728e-03   6.343602e-35   1.000000e+02
