# B11 + t > C14 + g   [B11_t__C14_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.8827e+11 beta=1.5 gamma=-239.027  Q=20.5978
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.007275e-35   1.000000e+02
1.018610e-03   1.013811e-35   1.000000e+02
1.028045e-03   1.019606e-35   1.000000e+02
1.037567e-03   1.024663e-35   1.000000e+02
1.047177e-03   1.028984e-35   1.000000e+02
1.056876e-03   1.032575e-35   1.000000e+02
1.066665e-03   1.035442e-35   1.000000e+02
1.076545e-03   1.037593e-35   1.000000e+02
1.086516e-03   1.039038e-35   1.000000e+02
1.096579e-03   1.039790e-35   1.000000e+02
1.106736e-03   1.039860e-35   1.000000e+02
1.116987e-03   1.039264e-35   1.000000e+02
1.127333e-03   1.038018e-35   1.000000e+02
1.137774e-03   1.036137e-35   1.000000e+02
1.148312e-03   1.033641e-35   1.000000e+02
1.158948e-03   1.030547e-35   1.000000e+02
1.169683e-03   1.026876e-35   1.000000e+02
1.180517e-03   1.022648e-35   1.000000e+02
1.191451e-03   1.017885e-35   1.000000e+02
1.202486e-03   1.012608e-35   1.000000e+02
1.213624e-03   1.006839e-35   1.000000e+02
1.224865e-03   1.000602e-35   1.000000e+02
1.236210e-03   9.939193e-36   1.000000e+02
1.247660e-03   9.868140e-36   1.000000e+02
1.259216e-03   9.793099e-36   1.000000e+02
1.270879e-03   9.714302e-36   1.000000e+02
1.282650e-03   9.631986e-36   1.000000e+02
1.294530e-03   9.546385e-36   1.000000e+02
1.306520e-03   9.457731e-36   1.000000e+02
1.318621e-03   9.366254e-36   1.000000e+02
1.330835e-03   9.272183e-36   1.000000e+02
1.343161e-03   9.175742e-36   1.000000e+02
1.355602e-03   9.077153e-36   1.000000e+02
1.368158e-03   8.976632e-36   1.000000e+02
1.380830e-03   8.874391e-36   1.000000e+02
1.393619e-03   8.770637e-36   1.000000e+02
1.406527e-03   8.665573e-36   1.000000e+02
1.419555e-03   8.559394e-36   1.000000e+02
1.432703e-03   8.452292e-36   1.000000e+02
1.445973e-03   8.344450e-36   1.000000e+02
1.459366e-03   8.236047e-36   1.000000e+02
1.472883e-03   8.127254e-36   1.000000e+02
1.486525e-03   8.018236e-36   1.000000e+02
1.500293e-03   7.909153e-36   1.000000e+02
1.514189e-03   7.800156e-36   1.000000e+02
1.528214e-03   7.691390e-36   1.000000e+02
1.542369e-03   7.582993e-36   1.000000e+02
1.556654e-03   7.475099e-36   1.000000e+02
1.571072e-03   7.367832e-36   1.000000e+02
1.585624e-03   7.261310e-36   1.000000e+02
1.600310e-03   7.155648e-36   1.000000e+02
1.615133e-03   7.050950e-36   1.000000e+02
1.630092e-03   6.947316e-36   1.000000e+02
1.645191e-03   6.844842e-36   1.000000e+02
1.660429e-03   6.743614e-36   1.000000e+02
1.675808e-03   6.643715e-36   1.000000e+02
1.691330e-03   6.545223e-36   1.000000e+02
1.706995e-03   6.448208e-36   1.000000e+02
1.722805e-03   6.352738e-36   1.000000e+02
1.738762e-03   6.258873e-36   1.000000e+02
1.754867e-03   6.166671e-36   1.000000e+02
1.771121e-03   6.076184e-36   1.000000e+02
1.787526e-03   5.987461e-36   1.000000e+02
1.804082e-03   5.900544e-36   1.000000e+02
1.820792e-03   5.815475e-36   1.000000e+02
1.837656e-03   5.732289e-36   1.000000e+02
1.854677e-03   5.651021e-36   1.000000e+02
1.871855e-03   5.571700e-36   1.000000e+02
1.889193e-03   5.494353e-36   1.000000e+02
1.906691e-03   5.419005e-36   1.000000e+02
