# B12 + He3 > B11 + a   [B12_He3__B11_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.1185 beta=0 gamma=-199.682  Q=17.2073
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.997479e-36   1.000000e+02
1.018610e-03   9.995069e-36   1.000000e+02
1.028045e-03   9.992767e-36   1.000000e+02
1.037567e-03   9.990572e-36   1.000000e+02
1.047177e-03   9.988483e-36   1.000000e+02
1.056876e-03   9.986497e-36   1.000000e+02
1.066665e-03   9.984613e-36   1.000000e+02
1.076545e-03   9.982829e-36   1.000000e+02
1.086516e-03   9.981143e-36   1.000000e+02
1.096579e-03   9.979553e-36   1.000000e+02
1.106736e-03   9.978058e-36   1.000000e+02
1.116987e-03   9.976656e-36   1.000000e+02
1.127333e-03   9.975345e-36   1.000000e+02
1.137774e-03   9.974123e-36   1.000000e+02
1.148312e-03   9.972989e-36   1.000000e+02
1.158948e-03   9.971940e-36   1.000000e+02
1.169683e-03   9.970976e-36   1.000000e+02
1.180517e-03   9.970094e-36   1.000000e+02
1.191451e-03   9.969292e-36   1.000000e+02
1.202486e-03   9.968569e-36   1.000000e+02
1.213624e-03   9.967924e-36   1.000000e+02
1.224865e-03   9.967353e-36   1.000000e+02
1.236210e-03   9.966857e-36   1.000000e+02
1.247660e-03   9.966432e-36   1.000000e+02
1.259216e-03   9.966077e-36   1.000000e+02
1.270879e-03   9.965791e-36   1.000000e+02
1.282650e-03   9.965572e-36   1.000000e+02
1.294530e-03   9.965417e-36   1.000000e+02
1.306520e-03   9.965326e-36   1.000000e+02
1.318621e-03   9.965296e-36   1.000000e+02
1.330835e-03   9.965326e-36   1.000000e+02
1.343161e-03   9.965415e-36   1.000000e+02
1.355602e-03   9.965559e-36   1.000000e+02
1.368158e-03   9.965759e-36   1.000000e+02
1.380830e-03   9.966011e-36   1.000000e+02
1.393619e-03   9.966314e-36   1.000000e+02
1.406527e-03   9.966667e-36   1.000000e+02
1.419555e-03   9.967068e-36   1.000000e+02
1.432703e-03   9.967515e-36   1.000000e+02
1.445973e-03   9.968006e-36   1.000000e+02
1.459366e-03   9.968540e-36   1.000000e+02
1.472883e-03   9.969115e-36   1.000000e+02
1.486525e-03   9.969729e-36   1.000000e+02
1.500293e-03   9.970381e-36   1.000000e+02
1.514189e-03   9.971068e-36   1.000000e+02
1.528214e-03   9.971790e-36   1.000000e+02
1.542369e-03   9.972543e-36   1.000000e+02
1.556654e-03   9.973328e-36   1.000000e+02
1.571072e-03   9.974141e-36   1.000000e+02
1.585624e-03   9.974982e-36   1.000000e+02
1.600310e-03   9.975848e-36   1.000000e+02
1.615133e-03   9.976739e-36   1.000000e+02
1.630092e-03   9.977651e-36   1.000000e+02
1.645191e-03   9.978583e-36   1.000000e+02
1.660429e-03   9.979534e-36   1.000000e+02
1.675808e-03   9.980502e-36   1.000000e+02
1.691330e-03   9.981486e-36   1.000000e+02
1.706995e-03   9.982483e-36   1.000000e+02
1.722805e-03   9.983491e-36   1.000000e+02
