# B12 + d > C13 + n   [B12_d__C13_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=5.6383 beta=0 gamma=-177.645  Q=15.3083
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.019437e-35   1.000000e+02
1.018610e-03   1.038932e-35   1.000000e+02
1.028045e-03   1.058490e-35   1.000000e+02
1.037567e-03   1.078116e-35   1.000000e+02
1.047177e-03   1.097816e-35   1.000000e+02
1.056876e-03   1.117596e-35   1.000000e+02
1.066665e-03   1.137465e-35   1.000000e+02
1.076545e-03   1.157431e-35   1.000000e+02
1.086516e-03   1.177505e-35   1.000000e+02
1.096579e-03   1.197696e-35   1.000000e+02
1.106736e-03   1.218016e-35   1.000000e+02
1.116987e-03   1.238479e-35   1.000000e+02
1.127333e-03   1.259097e-35   1.000000e+02
1.137774e-03   1.279886e-35   1.000000e+02
1.148312e-03   1.300861e-35   1.000000e+02
1.158948e-03   1.322040e-35   1.000000e+02
1.169683e-03   1.343440e-35   1.000000e+02
1.180517e-03   1.365080e-35   1.000000e+02
1.191451e-03   1.386982e-35   1.000000e+02
1.202486e-03   1.409167e-35   1.000000e+02
1.213624e-03   1.431657e-35   1.000000e+02
1.224865e-03   1.454477e-35   1.000000e+02
1.236210e-03   1.477652e-35   1.000000e+02
1.247660e-03   1.501210e-35   1.000000e+02
1.259216e-03   1.525179e-35   1.000000e+02
1.270879e-03   1.549588e-35   1.000000e+02
1.282650e-03   1.574469e-35   1.000000e+02
1.294530e-03   1.599856e-35   1.000000e+02
1.306520e-03   1.625783e-35   1.000000e+02
1.318621e-03   1.652287e-35   1.000000e+02
1.330835e-03   1.679407e-35   1.000000e+02
1.343161e-03   1.707183e-35   1.000000e+02
1.355602e-03   1.735658e-35   1.000000e+02
1.368158e-03   1.764876e-35   1.000000e+02
1.380830e-03   1.794886e-35   1.000000e+02
1.393619e-03   1.825736e-35   1.000000e+02
1.406527e-03   1.857480e-35   1.000000e+02
1.419555e-03   1.890172e-35   1.000000e+02
1.432703e-03   1.923871e-35   1.000000e+02
1.445973e-03   1.958637e-35   1.000000e+02
1.459366e-03   1.994537e-35   1.000000e+02
1.472883e-03   2.031637e-35   1.000000e+02
1.486525e-03   2.070010e-35   1.000000e+02
1.500293e-03   2.109732e-35   1.000000e+02
1.514189e-03   2.150885e-35   1.000000e+02
1.528214e-03   2.193551e-35   1.000000e+02
1.542369e-03   2.237823e-35   1.000000e+02
1.556654e-03   2.283796e-35   1.000000e+02
1.571072e-03   2.331570e-35   1.000000e+02
1.585624e-03   2.381254e-35   1.000000e+02
1.600310e-03   2.432961e-35   1.000000e+02
1.615133e-03   2.486812e-35   1.000000e+02
1.630092e-03   2.542936e-35   1.000000e+02
1.645191e-03   2.601471e-35   1.000000e+02
1.660429e-03   2.662561e-35   1.000000e+02
1.675808e-03   2.726362e-35   1.000000e+02
1.691330e-03   2.793041e-35   1.000000e+02
1.706995e-03   2.862772e-35   1.000000e+02
1.722805e-03   2.935746e-35   1.000000e+02
1.738762e-03   3.012163e-35   1.000000e+02
1.754867e-03   3.092239e-35   1.000000e+02
1.771121e-03   3.176205e-35   1.000000e+02
1.787526e-03   3.264307e-35   1.000000e+02
1.804082e-03   3.356810e-35   1.000000e+02
1.820792e-03   3.453998e-35   1.000000e+02
1.837656e-03   3.556176e-35   1.000000e+02
1.854677e-03   3.663670e-35   1.000000e+02
1.871855e-03   3.776833e-35   1.000000e+02
1.889193e-03   3.896043e-35   1.000000e+02
1.906691e-03   4.021706e-35   1.000000e+02
1.924351e-03   4.154262e-35   1.000000e+02
1.942175e-03   4.294185e-35   1.000000e+02
1.960163e-03   4.441984e-35   1.000000e+02
1.978319e-03   4.598211e-35   1.000000e+02
1.996642e-03   4.763462e-35   1.000000e+02
2.015136e-03   4.938383e-35   1.000000e+02
2.033800e-03   5.123670e-35   1.000000e+02
2.052638e-03   5.320081e-35   1.000000e+02
2.071650e-03   5.528434e-35   1.000000e+02
2.090838e-03   5.749621e-35   1.000000e+02
2.110203e-03   5.984606e-35   1.000000e+02
2.129749e-03   6.234441e-35   1.000000e+02
2.149475e-03   6.500269e-35   1.000000e+02
2.169384e-03   6.783334e-35   1.000000e+02
2.189477e-03   7.084992e-35   1.000000e+02
2.209756e-03   7.406722e-35   1.000000e+02
2.230223e-03   7.750140e-35   1.000000e+02
2.250880e-03   8.117009e-35   1.000000e+02
2.271728e-03   8.509259e-35   1.000000e+02
2.292769e-03   8.929004e-35   1.000000e+02
2.314005e-03   9.378556e-35   1.000000e+02
2.335438e-03   9.860454e-35   1.000000e+02
2.357069e-03   1.037748e-34   1.000000e+02
2.378901e-03   1.093270e-34   1.000000e+02
2.400935e-03   1.152948e-34   1.000000e+02
2.423173e-03   1.217153e-34   1.000000e+02
2.445617e-03   1.286291e-34   1.000000e+02
2.468268e-03   1.360815e-34   1.000000e+02
2.491130e-03   1.441221e-34   1.000000e+02
2.514203e-03   1.528058e-34   1.000000e+02
2.537490e-03   1.621934e-34   1.000000e+02
2.560993e-03   1.723522e-34   1.000000e+02
2.584714e-03   1.833568e-34   1.000000e+02
2.608654e-03   1.952901e-34   1.000000e+02
2.632815e-03   2.082439e-34   1.000000e+02
2.657201e-03   2.223206e-34   1.000000e+02
2.681813e-03   2.376341e-34   1.000000e+02
2.706652e-03   2.543112e-34   1.000000e+02
2.731722e-03   2.724936e-34   1.000000e+02
2.757023e-03   2.923394e-34   1.000000e+02
2.782559e-03   3.140254e-34   1.000000e+02
2.808332e-03   3.377497e-34   1.000000e+02
2.834343e-03   3.637343e-34   1.000000e+02
2.860596e-03   3.922280e-34   1.000000e+02
2.887091e-03   4.235108e-34   1.000000e+02
2.913832e-03   4.578972e-34   1.000000e+02
2.940820e-03   4.957417e-34   1.000000e+02
2.968059e-03   5.374438e-34   1.000000e+02
2.995549e-03   5.834545e-34   1.000000e+02
3.023295e-03   6.342852e-34   1.000000e+02
3.051297e-03   6.905250e-34   1.000000e+02
3.079559e-03   7.528485e-34   1.000000e+02
3.108082e-03   8.220256e-34   1.000000e+02
3.136870e-03   8.989362e-34   1.000000e+02
3.165924e-03   9.845876e-34   1.000000e+02
3.195248e-03   1.080135e-33   1.000000e+02
3.224842e-03   1.186905e-33   1.000000e+02
3.254712e-03   1.306424e-33   1.000000e+02
3.284857e-03   1.440453e-33   1.000000e+02
3.315282e-03   1.591025e-33   1.000000e+02
3.345989e-03   1.760492e-33   1.000000e+02
3.376980e-03   1.951579e-33   1.000000e+02
3.408259e-03   2.167453e-33   1.000000e+02
3.439826e-03   2.411797e-33   1.000000e+02
3.471687e-03   2.688906e-33   1.000000e+02
3.503842e-03   3.003796e-33   1.000000e+02
3.536296e-03   3.362337e-33   1.000000e+02
3.569049e-03   3.771417e-33   1.000000e+02
3.602107e-03   4.239125e-33   1.000000e+02
3.635470e-03   4.774991e-33   1.000000e+02
3.669142e-03   5.390261e-33   1.000000e+02
3.703127e-03   6.098233e-33   1.000000e+02
3.737426e-03   6.914671e-33   1.000000e+02
3.772042e-03   7.858295e-33   1.000000e+02
3.806980e-03   8.951396e-33   1.000000e+02
3.842241e-03   1.022057e-32   1.000000e+02
3.877828e-03   1.169761e-32   1.000000e+02
3.913746e-03   1.342064e-32   1.000000e+02
3.949995e-03   1.543547e-32   1.000000e+02
3.986581e-03   1.779725e-32   1.000000e+02
4.023506e-03   2.057260e-32   1.000000e+02
4.060772e-03   2.384252e-32   1.000000e+02
4.098384e-03   2.770578e-32   1.000000e+02
4.136344e-03   3.228289e-32   1.000000e+02
4.174655e-03   3.772129e-32   1.000000e+02
4.213322e-03   4.420195e-32   1.000000e+02
4.252346e-03   5.194761e-32   1.000000e+02
4.291732e-03   6.123328e-32   1.000000e+02
4.331483e-03   7.239953e-32   1.000000e+02
4.371602e-03   8.586946e-32   1.000000e+02
4.412093e-03   1.021704e-31   1.000000e+02
4.452959e-03   1.219616e-31   1.000000e+02
4.494203e-03   1.460702e-31   1.000000e+02
4.535829e-03   1.755371e-31   1.000000e+02
4.577841e-03   2.116769e-31   1.000000e+02
4.620241e-03   2.561557e-31   1.000000e+02
4.663035e-03   3.110920e-31   1.000000e+02
4.706225e-03   3.791898e-31   1.000000e+02
4.749815e-03   4.639122e-31   1.000000e+02
4.793808e-03   5.697114e-31   1.000000e+02
4.838210e-03   7.023320e-31   1.000000e+02
4.883022e-03   8.692144e-31   1.000000e+02
4.928250e-03   1.080033e-30   1.000000e+02
4.973896e-03   1.347413e-30   1.000000e+02
5.019965e-03   1.687898e-30   1.000000e+02
5.066461e-03   2.123115e-30   1.000000e+02
5.113388e-03   2.681328e-30   1.000000e+02
5.160749e-03   3.399702e-30   1.000000e+02
5.208549e-03   4.327245e-30   1.000000e+02
5.256791e-03   5.528755e-30   1.000000e+02
5.305481e-03   7.090123e-30   1.000000e+02
5.354621e-03   9.125488e-30   1.000000e+02
5.404216e-03   1.178690e-29   1.000000e+02
5.454271e-03   1.527742e-29   1.000000e+02
5.504790e-03   1.986884e-29   1.000000e+02
5.555776e-03   2.592580e-29   1.000000e+02
5.607235e-03   3.393867e-29   1.000000e+02
5.659170e-03   4.456824e-29   1.000000e+02
5.711586e-03   5.870698e-29   1.000000e+02
5.764488e-03   7.756270e-29   1.000000e+02
5.817880e-03   1.027733e-28   1.000000e+02
5.871766e-03   1.365644e-28   1.000000e+02
5.926152e-03   1.819657e-28   1.000000e+02
5.981041e-03   2.431095e-28   1.000000e+02
6.036439e-03   3.256451e-28   1.000000e+02
6.092349e-03   4.373608e-28   1.000000e+02
6.148778e-03   5.890405e-28   1.000000e+02
6.205729e-03   7.956439e-28   1.000000e+02
6.263207e-03   1.077999e-27   1.000000e+02
6.321218e-03   1.465220e-27   1.000000e+02
6.379767e-03   1.998156e-27   1.000000e+02
6.438857e-03   2.734366e-27   1.000000e+02
6.498495e-03   3.755281e-27   1.000000e+02
6.558686e-03   5.176604e-27   1.000000e+02
6.619433e-03   7.163451e-27   1.000000e+02
6.680744e-03   9.952507e-27   1.000000e+02
6.742622e-03   1.388461e-26   1.000000e+02
6.805074e-03   1.945288e-26   1.000000e+02
6.868104e-03   2.737420e-26   1.000000e+02
6.931717e-03   3.869582e-26   1.000000e+02
6.995920e-03   5.495536e-26   1.000000e+02
7.060718e-03   7.841827e-26   1.000000e+02
7.126115e-03   1.124152e-25   1.000000e+02
7.192119e-03   1.618617e-25   1.000000e+02
7.258734e-03   2.340368e-25   1.000000e+02
7.325965e-03   3.397467e-25   1.000000e+02
7.393820e-03   4.950710e-25   1.000000e+02
7.462303e-03   7.239875e-25   1.000000e+02
7.531420e-03   1.062321e-24   1.000000e+02
7.601178e-03   1.563696e-24   1.000000e+02
7.671581e-03   2.308502e-24   1.000000e+02
7.742637e-03   3.417431e-24   1.000000e+02
7.814351e-03   5.071904e-24   1.000000e+02
7.886729e-03   7.544909e-24   1.000000e+02
7.959777e-03   1.124758e-23   1.000000e+02
8.033502e-03   1.679985e-23   1.000000e+02
8.107910e-03   2.515295e-23   1.000000e+02
8.183007e-03   3.779350e-23   1.000000e+02
8.258799e-03   5.705770e-23   1.000000e+02
8.335294e-03   8.665720e-23   1.000000e+02
8.412497e-03   1.325600e-22   1.000000e+02
8.490415e-03   2.044853e-22   1.000000e+02
8.569055e-03   3.184768e-22   1.000000e+02
8.648423e-03   5.013992e-22   1.000000e+02
8.728527e-03   7.989213e-22   1.000000e+02
8.809372e-03   1.289921e-21   1.000000e+02
8.890966e-03   2.112931e-21   1.000000e+02
8.973316e-03   3.515563e-21   1.000000e+02
9.056428e-03   5.946714e-21   1.000000e+02
9.140311e-03   1.019923e-20   1.000000e+02
9.224970e-03   1.764944e-20   1.000000e+02
9.310413e-03   3.066324e-20   1.000000e+02
9.396648e-03   5.322049e-20   1.000000e+02
9.483682e-03   9.182558e-20   1.000000e+02
9.571522e-03   1.567194e-19   1.000000e+02
9.660175e-03   2.632730e-19   1.000000e+02
9.749649e-03   4.331763e-19   1.000000e+02
9.839952e-03   6.946211e-19   1.000000e+02
9.931092e-03   1.080206e-18   1.000000e+02
1.002308e-02   1.621070e-18   1.000000e+02
1.011591e-02   2.343504e-18   1.000000e+02
1.020961e-02   3.277863e-18   1.000000e+02
1.030417e-02   4.458367e-18   1.000000e+02
1.039961e-02   5.926783e-18   1.000000e+02
1.049593e-02   7.739610e-18   1.000000e+02
1.059315e-02   9.978710e-18   1.000000e+02
1.069126e-02   1.276684e-17   1.000000e+02
1.079029e-02   1.629090e-17   1.000000e+02
1.089023e-02   2.083806e-17   1.000000e+02
1.099110e-02   2.685461e-17   1.000000e+02
1.109290e-02   3.501582e-17   1.000000e+02
1.119564e-02   4.618822e-17   1.000000e+02
1.129934e-02   6.153769e-17   1.000000e+02
1.140400e-02   8.268288e-17   1.000000e+02
1.150962e-02   1.118602e-16   1.000000e+02
1.161623e-02   1.521397e-16   1.000000e+02
1.172382e-02   2.077007e-16   1.000000e+02
1.183241e-02   2.841730e-16   1.000000e+02
1.194200e-02   3.890437e-16   1.000000e+02
1.205261e-02   5.321350e-16   1.000000e+02
1.216424e-02   7.267681e-16   1.000000e+02
1.227691e-02   9.915104e-16   1.000000e+02
1.239062e-02   1.351836e-15   1.000000e+02
1.250539e-02   1.842782e-15   1.000000e+02
1.262121e-02   2.512728e-15   1.000000e+02
1.273811e-02   3.428752e-15   1.000000e+02
1.285610e-02   4.684293e-15   1.000000e+02
1.297517e-02   6.410136e-15   1.000000e+02
1.309535e-02   8.789847e-15   1.000000e+02
1.321664e-02   1.207796e-14   1.000000e+02
1.333906e-02   1.662777e-14   1.000000e+02
1.346261e-02   2.293150e-14   1.000000e+02
1.358730e-02   3.167514e-14   1.000000e+02
1.371315e-02   4.381492e-14   1.000000e+02
1.384016e-02   6.068376e-14   1.000000e+02
1.396835e-02   8.413945e-14   1.000000e+02
1.409773e-02   1.167720e-13   1.000000e+02
1.422830e-02   1.622076e-13   1.000000e+02
1.436009e-02   2.255287e-13   1.000000e+02
1.449310e-02   3.138600e-13   1.000000e+02
1.462733e-02   4.371986e-13   1.000000e+02
1.476281e-02   6.095868e-13   1.000000e+02
1.489955e-02   8.507684e-13   1.000000e+02
1.503755e-02   1.188533e-12   1.000000e+02
1.517683e-02   1.662012e-12   1.000000e+02
1.531740e-02   2.326299e-12   1.000000e+02
1.545928e-02   3.259046e-12   1.000000e+02
1.560246e-02   4.569765e-12   1.000000e+02
1.574698e-02   6.412988e-12   1.000000e+02
1.589283e-02   9.006894e-12   1.000000e+02
1.604003e-02   1.265967e-11   1.000000e+02
1.618860e-02   1.780670e-11   1.000000e+02
1.633854e-02   2.506290e-11   1.000000e+02
1.648987e-02   3.529710e-11   1.000000e+02
1.664260e-02   4.973695e-11   1.000000e+02
1.679675e-02   7.011719e-11   1.000000e+02
1.695232e-02   9.888892e-11   1.000000e+02
1.710934e-02   1.395151e-10   1.000000e+02
1.726781e-02   1.968875e-10   1.000000e+02
1.742775e-02   2.779144e-10   1.000000e+02
1.758917e-02   3.923489e-10   1.000000e+02
1.775208e-02   5.539558e-10   1.000000e+02
1.791650e-02   7.821533e-10   1.000000e+02
1.808245e-02   1.104323e-09   1.000000e+02
1.824993e-02   1.559101e-09   1.000000e+02
1.841897e-02   2.201041e-09   1.000000e+02
1.858957e-02   3.107127e-09   1.000000e+02
1.876175e-02   4.385998e-09   1.000000e+02
1.893552e-02   6.190962e-09   1.000000e+02
1.911091e-02   8.738357e-09   1.000000e+02
1.928792e-02   1.233346e-08   1.000000e+02
1.946656e-02   1.740705e-08   1.000000e+02
1.964687e-02   2.456702e-08   1.000000e+02
1.982884e-02   3.467114e-08   1.000000e+02
2.001250e-02   4.892984e-08   1.000000e+02
2.019786e-02   6.904842e-08   1.000000e+02
2.038493e-02   9.741714e-08   1.000000e+02
2.057374e-02   1.373835e-07   1.000000e+02
2.076430e-02   1.936273e-07   1.000000e+02
2.095662e-02   2.726766e-07   1.000000e+02
2.115073e-02   3.836134e-07   1.000000e+02
2.134663e-02   5.390390e-07   1.000000e+02
2.154435e-02   7.563850e-07   1.000000e+02
2.174389e-02   1.059687e-06   1.000000e+02
2.194529e-02   1.481972e-06   1.000000e+02
2.214855e-02   2.068455e-06   1.000000e+02
2.235370e-02   2.880789e-06   1.000000e+02
2.256074e-02   4.002688e-06   1.000000e+02
2.276970e-02   5.547318e-06   1.000000e+02
2.298060e-02   7.666920e-06   1.000000e+02
2.319345e-02   1.056528e-05   1.000000e+02
2.340827e-02   1.451375e-05   1.000000e+02
2.362508e-02   1.987156e-05   1.000000e+02
2.384390e-02   2.711152e-05   1.000000e+02
2.406475e-02   3.685202e-05   1.000000e+02
2.428764e-02   4.989649e-05   1.000000e+02
2.451260e-02   6.728149e-05   1.000000e+02
2.473964e-02   9.033456e-05   1.000000e+02
2.496878e-02   1.207427e-04   1.000000e+02
2.520005e-02   1.606393e-04   1.000000e+02
2.543346e-02   2.127560e-04   1.000000e+02
2.566903e-02   2.805763e-04   1.000000e+02
2.590678e-02   3.685181e-04   1.000000e+02
2.614673e-02   4.821754e-04   1.000000e+02
2.638891e-02   6.286222e-04   1.000000e+02
2.663333e-02   8.167937e-04   1.000000e+02
2.688001e-02   1.057969e-03   1.000000e+02
2.712898e-02   1.366379e-03   1.000000e+02
2.738025e-02   1.759977e-03   1.000000e+02
2.763385e-02   2.261414e-03   1.000000e+02
2.788980e-02   2.899280e-03   1.000000e+02
2.814812e-02   3.709685e-03   1.000000e+02
2.840884e-02   4.738279e-03   1.000000e+02
2.867196e-02   6.042834e-03   1.000000e+02
2.893753e-02   7.696566e-03   1.000000e+02
2.920556e-02   9.792403e-03   1.000000e+02
2.947606e-02   1.244851e-02   1.000000e+02
2.974908e-02   1.581544e-02   1.000000e+02
3.002462e-02   2.008539e-02   1.000000e+02
3.030271e-02   2.549691e-02   1.000000e+02
3.058338e-02   3.232115e-02   1.000000e+02
3.086665e-02   4.086833e-02   1.000000e+02
3.115254e-02   5.148694e-02   1.000000e+02
3.144108e-02   6.455452e-02   1.000000e+02
3.173230e-02   8.046085e-02   1.000000e+02
3.202621e-02   9.958184e-02   1.000000e+02
3.232284e-02   1.222426e-01   1.000000e+02
3.262222e-02   1.486691e-01   1.000000e+02
3.292437e-02   1.789303e-01   1.000000e+02
3.322933e-02   2.128734e-01   1.000000e+02
3.353710e-02   2.500589e-01   1.000000e+02
3.384773e-02   2.897049e-01   1.000000e+02
3.416123e-02   3.306518e-01   1.000000e+02
3.447764e-02   3.713615e-01   1.000000e+02
3.479698e-02   4.099613e-01   1.000000e+02
3.511928e-02   4.443426e-01   1.000000e+02
3.544456e-02   4.723146e-01   1.000000e+02
3.577285e-02   4.918042e-01   1.000000e+02
3.610419e-02   5.010832e-01   1.000000e+02
3.643859e-02   4.989915e-01   1.000000e+02
3.677609e-02   4.851224e-01   1.000000e+02
3.711672e-02   4.599321e-01   1.000000e+02
3.746050e-02   4.247460e-01   1.000000e+02
3.780747e-02   3.816518e-01   1.000000e+02
3.815765e-02   3.332858e-01   1.000000e+02
3.851107e-02   2.825447e-01   1.000000e+02
3.886777e-02   2.322669e-01   1.000000e+02
3.922777e-02   1.849381e-01   1.000000e+02
3.959110e-02   1.424669e-01   1.000000e+02
3.995780e-02   1.060617e-01   1.000000e+02
4.032790e-02   7.626154e-02   1.000000e+02
4.070142e-02   5.309244e-02   1.000000e+02
4.107841e-02   3.591580e-02   1.000000e+02
4.145888e-02   2.369248e-02   1.000000e+02
4.184289e-02   1.529516e-02   1.000000e+02
4.223044e-02   9.697551e-03   1.000000e+02
4.262159e-02   6.060119e-03   1.000000e+02
4.301636e-02   3.745911e-03   1.000000e+02
4.341478e-02   2.298462e-03   1.000000e+02
4.381690e-02   1.404969e-03   1.000000e+02
4.422274e-02   8.586033e-04   1.000000e+02
4.463234e-02   5.264542e-04   1.000000e+02
4.504573e-02   3.250254e-04   1.000000e+02
4.546295e-02   2.027724e-04   1.000000e+02
4.588404e-02   1.282867e-04   1.000000e+02
4.630903e-02   8.260036e-05   1.000000e+02
4.673795e-02   5.431952e-05   1.000000e+02
4.717085e-02   3.661424e-05   1.000000e+02
4.760775e-02   2.538694e-05   1.000000e+02
4.804870e-02   1.817119e-05   1.000000e+02
4.849374e-02   1.347458e-05   1.000000e+02
4.894290e-02   1.038848e-05   1.000000e+02
4.939622e-02   8.356808e-06   1.000000e+02
4.985373e-02   7.039252e-06   1.000000e+02
5.031549e-02   6.228706e-06   1.000000e+02
5.078152e-02   5.784908e-06   1.000000e+02
5.125187e-02   5.620625e-06   1.000000e+02
5.172657e-02   5.693881e-06   1.000000e+02
5.220568e-02   5.993960e-06   1.000000e+02
5.268921e-02   6.535022e-06   1.000000e+02
5.317723e-02   7.354516e-06   1.000000e+02
5.366977e-02   8.514931e-06   1.000000e+02
5.416687e-02   1.010821e-05   1.000000e+02
5.466857e-02   1.226251e-05   1.000000e+02
5.517492e-02   1.515106e-05   1.000000e+02
5.568596e-02   1.900250e-05   1.000000e+02
5.620174e-02   2.411176e-05   1.000000e+02
5.672229e-02   3.084917e-05   1.000000e+02
5.724766e-02   3.966439e-05   1.000000e+02
5.777790e-02   5.107951e-05   1.000000e+02
5.831305e-02   6.566402e-05   1.000000e+02
5.885316e-02   8.398255e-05   1.000000e+02
5.939827e-02   1.065069e-04   1.000000e+02
5.994843e-02   1.334871e-04   1.000000e+02
6.050368e-02   1.648759e-04   1.000000e+02
6.106408e-02   2.007116e-04   1.000000e+02
6.162966e-02   2.410687e-04   1.000000e+02
6.220049e-02   2.859684e-04   1.000000e+02
6.277660e-02   3.353979e-04   1.000000e+02
6.335805e-02   3.893352e-04   1.000000e+02
6.394488e-02   4.477793e-04   1.000000e+02
6.453715e-02   5.107841e-04   1.000000e+02
6.513491e-02   5.784952e-04   1.000000e+02
6.573820e-02   6.511893e-04   1.000000e+02
6.634708e-02   7.293159e-04   1.000000e+02
6.696160e-02   8.135443e-04   1.000000e+02
6.758181e-02   9.048150e-04   1.000000e+02
6.820777e-02   1.004402e-03   1.000000e+02
6.883952e-02   1.113987e-03   1.000000e+02
6.947713e-02   1.235759e-03   1.000000e+02
7.012064e-02   1.372537e-03   1.000000e+02
7.077011e-02   1.527355e-03   1.000000e+02
7.142559e-02   1.702497e-03   1.000000e+02
7.208715e-02   1.900263e-03   1.000000e+02
7.275484e-02   2.123109e-03   1.000000e+02
7.342870e-02   2.373630e-03   1.000000e+02
7.410882e-02   2.654521e-03   1.000000e+02
7.479523e-02   2.968534e-03   1.000000e+02
7.548799e-02   3.318420e-03   1.000000e+02
7.618718e-02   3.706846e-03   1.000000e+02
7.689284e-02   4.136300e-03   1.000000e+02
7.760503e-02   4.608975e-03   1.000000e+02
7.832383e-02   5.126630e-03   1.000000e+02
