# B12 + p > Be9 + a   [B12_p__Be9_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.29172 beta=0 gamma=-79.9011  Q=6.8854
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.030222e-35   1.000000e+02
1.018610e-03   1.061517e-35   1.000000e+02
1.028045e-03   1.093941e-35   1.000000e+02
1.037567e-03   1.127558e-35   1.000000e+02
1.047177e-03   1.162431e-35   1.000000e+02
1.056876e-03   1.198630e-35   1.000000e+02
1.066665e-03   1.236230e-35   1.000000e+02
1.076545e-03   1.275309e-35   1.000000e+02
1.086516e-03   1.315951e-35   1.000000e+02
1.096579e-03   1.358245e-35   1.000000e+02
1.106736e-03   1.402288e-35   1.000000e+02
1.116987e-03   1.448181e-35   1.000000e+02
1.127333e-03   1.496033e-35   1.000000e+02
1.137774e-03   1.545961e-35   1.000000e+02
1.148312e-03   1.598088e-35   1.000000e+02
1.158948e-03   1.652549e-35   1.000000e+02
1.169683e-03   1.709484e-35   1.000000e+02
1.180517e-03   1.769047e-35   1.000000e+02
1.191451e-03   1.831400e-35   1.000000e+02
1.202486e-03   1.896719e-35   1.000000e+02
1.213624e-03   1.965190e-35   1.000000e+02
1.224865e-03   2.037015e-35   1.000000e+02
1.236210e-03   2.112409e-35   1.000000e+02
1.247660e-03   2.191604e-35   1.000000e+02
1.259216e-03   2.274850e-35   1.000000e+02
1.270879e-03   2.362414e-35   1.000000e+02
1.282650e-03   2.454584e-35   1.000000e+02
1.294530e-03   2.551672e-35   1.000000e+02
1.306520e-03   2.654011e-35   1.000000e+02
1.318621e-03   2.761963e-35   1.000000e+02
1.330835e-03   2.875917e-35   1.000000e+02
1.343161e-03   2.996293e-35   1.000000e+02
1.355602e-03   3.123546e-35   1.000000e+02
1.368158e-03   3.258166e-35   1.000000e+02
1.380830e-03   3.400686e-35   1.000000e+02
1.393619e-03   3.551680e-35   1.000000e+02
1.406527e-03   3.711772e-35   1.000000e+02
1.419555e-03   3.881639e-35   1.000000e+02
1.432703e-03   4.062015e-35   1.000000e+02
1.445973e-03   4.253696e-35   1.000000e+02
1.459366e-03   4.457550e-35   1.000000e+02
1.472883e-03   4.674518e-35   1.000000e+02
1.486525e-03   4.905627e-35   1.000000e+02
1.500293e-03   5.151995e-35   1.000000e+02
1.514189e-03   5.414841e-35   1.000000e+02
1.528214e-03   5.695494e-35   1.000000e+02
1.542369e-03   5.995409e-35   1.000000e+02
1.556654e-03   6.316172e-35   1.000000e+02
1.571072e-03   6.659521e-35   1.000000e+02
1.585624e-03   7.027359e-35   1.000000e+02
1.600310e-03   7.421769e-35   1.000000e+02
1.615133e-03   7.845039e-35   1.000000e+02
1.630092e-03   8.299679e-35   1.000000e+02
1.645191e-03   8.788446e-35   1.000000e+02
1.660429e-03   9.314374e-35   1.000000e+02
1.675808e-03   9.880802e-35   1.000000e+02
1.691330e-03   1.049141e-34   1.000000e+02
1.706995e-03   1.115025e-34   1.000000e+02
1.722805e-03   1.186180e-34   1.000000e+02
1.738762e-03   1.263102e-34   1.000000e+02
1.754867e-03   1.346336e-34   1.000000e+02
1.771121e-03   1.436490e-34   1.000000e+02
1.787526e-03   1.534234e-34   1.000000e+02
1.804082e-03   1.640313e-34   1.000000e+02
1.820792e-03   1.755553e-34   1.000000e+02
1.837656e-03   1.880873e-34   1.000000e+02
1.854677e-03   2.017296e-34   1.000000e+02
1.871855e-03   2.165960e-34   1.000000e+02
1.889193e-03   2.328134e-34   1.000000e+02
1.906691e-03   2.505235e-34   1.000000e+02
1.924351e-03   2.698846e-34   1.000000e+02
1.942175e-03   2.910736e-34   1.000000e+02
1.960163e-03   3.142889e-34   1.000000e+02
1.978319e-03   3.397525e-34   1.000000e+02
1.996642e-03   3.677138e-34   1.000000e+02
2.015136e-03   3.984529e-34   1.000000e+02
2.033800e-03   4.322849e-34   1.000000e+02
2.052638e-03   4.695644e-34   1.000000e+02
2.071650e-03   5.106913e-34   1.000000e+02
2.090838e-03   5.561170e-34   1.000000e+02
2.110203e-03   6.063514e-34   1.000000e+02
2.129749e-03   6.619714e-34   1.000000e+02
2.149475e-03   7.236305e-34   1.000000e+02
2.169384e-03   7.920698e-34   1.000000e+02
2.189477e-03   8.681307e-34   1.000000e+02
2.209756e-03   9.527699e-34   1.000000e+02
2.230223e-03   1.047076e-33   1.000000e+02
2.250880e-03   1.152291e-33   1.000000e+02
2.271728e-03   1.269830e-33   1.000000e+02
2.292769e-03   1.401312e-33   1.000000e+02
2.314005e-03   1.548588e-33   1.000000e+02
2.335438e-03   1.713781e-33   1.000000e+02
2.357069e-03   1.899323e-33   1.000000e+02
2.378901e-03   2.108010e-33   1.000000e+02
2.400935e-03   2.343058e-33   1.000000e+02
2.423173e-03   2.608171e-33   1.000000e+02
2.445617e-03   2.907622e-33   1.000000e+02
2.468268e-03   3.246346e-33   1.000000e+02
2.491130e-03   3.630050e-33   1.000000e+02
2.514203e-03   4.065349e-33   1.000000e+02
2.537490e-03   4.559910e-33   1.000000e+02
2.560993e-03   5.122646e-33   1.000000e+02
2.584714e-03   5.763921e-33   1.000000e+02
2.608654e-03   6.495814e-33   1.000000e+02
2.632815e-03   7.332415e-33   1.000000e+02
2.657201e-03   8.290192e-33   1.000000e+02
2.681813e-03   9.388418e-33   1.000000e+02
2.706652e-03   1.064968e-32   1.000000e+02
2.731722e-03   1.210050e-32   1.000000e+02
2.757023e-03   1.377205e-32   1.000000e+02
2.782559e-03   1.570106e-32   1.000000e+02
2.808332e-03   1.793081e-32   1.000000e+02
2.834343e-03   2.051249e-32   1.000000e+02
2.860596e-03   2.350660e-32   1.000000e+02
2.887091e-03   2.698489e-32   1.000000e+02
2.913832e-03   3.103252e-32   1.000000e+02
2.940820e-03   3.575075e-32   1.000000e+02
2.968059e-03   4.126018e-32   1.000000e+02
2.995549e-03   4.770467e-32   1.000000e+02
3.023295e-03   5.525684e-32   1.000000e+02
3.051297e-03   6.412848e-32   1.000000e+02
3.079559e-03   7.457850e-32   1.000000e+02
3.108082e-03   8.692252e-32   1.000000e+02
3.136870e-03   1.015465e-31   1.000000e+02
3.165924e-03   1.189240e-31   1.000000e+02
3.195248e-03   1.396381e-31   1.000000e+02
3.224842e-03   1.644094e-31   1.000000e+02
3.254712e-03   1.941312e-31   1.000000e+02
3.284857e-03   2.299155e-31   1.000000e+02
3.315282e-03   2.731514e-31   1.000000e+02
3.345989e-03   3.255808e-31   1.000000e+02
3.376980e-03   3.893969e-31   1.000000e+02
3.408259e-03   4.673718e-31   1.000000e+02
3.439826e-03   5.630240e-31   1.000000e+02
3.471687e-03   6.808379e-31   1.000000e+02
3.503842e-03   8.265537e-31   1.000000e+02
3.536296e-03   1.007551e-30   1.000000e+02
3.569049e-03   1.233359e-30   1.000000e+02
3.602107e-03   1.516340e-30   1.000000e+02
3.635470e-03   1.872605e-30   1.000000e+02
3.669142e-03   2.323254e-30   1.000000e+02
3.703127e-03   2.896049e-30   1.000000e+02
3.737426e-03   3.627705e-30   1.000000e+02
3.772042e-03   4.567019e-30   1.000000e+02
3.806980e-03   5.779186e-30   1.000000e+02
3.842241e-03   7.351761e-30   1.000000e+02
3.877828e-03   9.402972e-30   1.000000e+02
3.913746e-03   1.209333e-29   1.000000e+02
3.949995e-03   1.564198e-29   1.000000e+02
3.986581e-03   2.034983e-29   1.000000e+02
4.023506e-03   2.663187e-29   1.000000e+02
4.060772e-03   3.505439e-29   1.000000e+02
4.098384e-03   4.639020e-29   1.000000e+02
4.136344e-03   6.170135e-29   1.000000e+02
4.174655e-03   8.244970e-29   1.000000e+02
4.213322e-03   1.106499e-28   1.000000e+02
4.252346e-03   1.490809e-28   1.000000e+02
4.291732e-03   2.015781e-28   1.000000e+02
4.331483e-03   2.734367e-28   1.000000e+02
4.371602e-03   3.719664e-28   1.000000e+02
4.412093e-03   5.072540e-28   1.000000e+02
4.452959e-03   6.932082e-28   1.000000e+02
4.494203e-03   9.489860e-28   1.000000e+02
4.535829e-03   1.300934e-27   1.000000e+02
4.577841e-03   1.785219e-27   1.000000e+02
4.620241e-03   2.451378e-27   1.000000e+02
4.663035e-03   3.367075e-27   1.000000e+02
4.706225e-03   4.624456e-27   1.000000e+02
4.749815e-03   6.348560e-27   1.000000e+02
4.793808e-03   8.708395e-27   1.000000e+02
4.838210e-03   1.193138e-26   1.000000e+02
4.883022e-03   1.632205e-26   1.000000e+02
4.928250e-03   2.228595e-26   1.000000e+02
4.973896e-03   3.036001e-26   1.000000e+02
5.019965e-03   4.125082e-26   1.000000e+02
5.066461e-03   5.589909e-26   1.000000e+02
5.113388e-03   7.557221e-26   1.000000e+02
5.160749e-03   1.019667e-25   1.000000e+02
5.208549e-03   1.373555e-25   1.000000e+02
5.256791e-03   1.847904e-25   1.000000e+02
5.305481e-03   2.483769e-25   1.000000e+02
5.354621e-03   3.336530e-25   1.000000e+02
5.404216e-03   4.481095e-25   1.000000e+02
5.454271e-03   6.019104e-25   1.000000e+02
5.504790e-03   8.088936e-25   1.000000e+02
5.555776e-03   1.087968e-24   1.000000e+02
5.607235e-03   1.465075e-24   1.000000e+02
5.659170e-03   1.975946e-24   1.000000e+02
5.711586e-03   2.670028e-24   1.000000e+02
5.764488e-03   3.616055e-24   1.000000e+02
5.817880e-03   4.910053e-24   1.000000e+02
5.871766e-03   6.686866e-24   1.000000e+02
5.926152e-03   9.136873e-24   1.000000e+02
5.981041e-03   1.253039e-23   1.000000e+02
6.036439e-03   1.725315e-23   1.000000e+02
6.092349e-03   2.385363e-23   1.000000e+02
6.148778e-03   3.311328e-23   1.000000e+02
6.205729e-03   4.615191e-23   1.000000e+02
6.263207e-03   6.457952e-23   1.000000e+02
6.321218e-03   9.071850e-23   1.000000e+02
6.379767e-03   1.279295e-22   1.000000e+02
6.438857e-03   1.810914e-22   1.000000e+02
6.498495e-03   2.573090e-22   1.000000e+02
6.558686e-03   3.669614e-22   1.000000e+02
6.619433e-03   5.252574e-22   1.000000e+02
6.680744e-03   7.545504e-22   1.000000e+02
6.742622e-03   1.087795e-21   1.000000e+02
6.805074e-03   1.573715e-21   1.000000e+02
6.868104e-03   2.284568e-21   1.000000e+02
6.931717e-03   3.327812e-21   1.000000e+02
6.995920e-03   4.863718e-21   1.000000e+02
7.060718e-03   7.131899e-21   1.000000e+02
7.126115e-03   1.049092e-20   1.000000e+02
7.192119e-03   1.547855e-20   1.000000e+02
7.258734e-03   2.290292e-20   1.000000e+02
7.325965e-03   3.398066e-20   1.000000e+02
7.393820e-03   5.054626e-20   1.000000e+02
7.462303e-03   7.537005e-20   1.000000e+02
7.531420e-03   1.126412e-19   1.000000e+02
7.601178e-03   1.687022e-19   1.000000e+02
7.671581e-03   2.531659e-19   1.000000e+02
7.742637e-03   3.806157e-19   1.000000e+02
7.814351e-03   5.731940e-19   1.000000e+02
7.886729e-03   8.645419e-19   1.000000e+02
7.959777e-03   1.305798e-18   1.000000e+02
8.033502e-03   1.974765e-18   1.000000e+02
8.107910e-03   2.991323e-18   1.000000e+02
8.183007e-03   4.542790e-18   1.000000e+02
8.258799e-03   6.923245e-18   1.000000e+02
8.335294e-03   1.059840e-17   1.000000e+02
8.412497e-03   1.631288e-17   1.000000e+02
8.490415e-03   2.526951e-17   1.000000e+02
8.569055e-03   3.943254e-17   1.000000e+02
8.648423e-03   6.204697e-17   1.000000e+02
8.728527e-03   9.853948e-17   1.000000e+02
8.809372e-03   1.581030e-16   1.000000e+02
8.890966e-03   2.565227e-16   1.000000e+02
8.973316e-03   4.212924e-16   1.000000e+02
