# B12 + p > C12 + n   [B12_p__C12_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=3.0016 beta=0 gamma=-146.061  Q=12.5866
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.030318e-35   1.000000e+02
1.018610e-03   1.061719e-35   1.000000e+02
1.028045e-03   1.094261e-35   1.000000e+02
1.037567e-03   1.128007e-35   1.000000e+02
1.047177e-03   1.163023e-35   1.000000e+02
1.056876e-03   1.199378e-35   1.000000e+02
1.066665e-03   1.237149e-35   1.000000e+02
1.076545e-03   1.276414e-35   1.000000e+02
1.086516e-03   1.317259e-35   1.000000e+02
1.096579e-03   1.359775e-35   1.000000e+02
1.106736e-03   1.404058e-35   1.000000e+02
1.116987e-03   1.450213e-35   1.000000e+02
1.127333e-03   1.498349e-35   1.000000e+02
1.137774e-03   1.548584e-35   1.000000e+02
1.148312e-03   1.601045e-35   1.000000e+02
1.158948e-03   1.655867e-35   1.000000e+02
1.169683e-03   1.713194e-35   1.000000e+02
1.180517e-03   1.773180e-35   1.000000e+02
1.191451e-03   1.835991e-35   1.000000e+02
1.202486e-03   1.901804e-35   1.000000e+02
1.213624e-03   1.970810e-35   1.000000e+02
1.224865e-03   2.043214e-35   1.000000e+02
1.236210e-03   2.119233e-35   1.000000e+02
1.247660e-03   2.199104e-35   1.000000e+02
1.259216e-03   2.283080e-35   1.000000e+02
1.270879e-03   2.371433e-35   1.000000e+02
1.282650e-03   2.464457e-35   1.000000e+02
1.294530e-03   2.562466e-35   1.000000e+02
1.306520e-03   2.665803e-35   1.000000e+02
1.318621e-03   2.774833e-35   1.000000e+02
1.330835e-03   2.889954e-35   1.000000e+02
1.343161e-03   3.011592e-35   1.000000e+02
1.355602e-03   3.140211e-35   1.000000e+02
1.368158e-03   3.276310e-35   1.000000e+02
1.380830e-03   3.420432e-35   1.000000e+02
1.393619e-03   3.573162e-35   1.000000e+02
1.406527e-03   3.735135e-35   1.000000e+02
1.419555e-03   3.907043e-35   1.000000e+02
1.432703e-03   4.089632e-35   1.000000e+02
1.445973e-03   4.283716e-35   1.000000e+02
1.459366e-03   4.490178e-35   1.000000e+02
1.472883e-03   4.709982e-35   1.000000e+02
1.486525e-03   4.944173e-35   1.000000e+02
1.500293e-03   5.193894e-35   1.000000e+02
1.514189e-03   5.460388e-35   1.000000e+02
1.528214e-03   5.745016e-35   1.000000e+02
1.542369e-03   6.049261e-35   1.000000e+02
1.556654e-03   6.374747e-35   1.000000e+02
1.571072e-03   6.723249e-35   1.000000e+02
1.585624e-03   7.096713e-35   1.000000e+02
1.600310e-03   7.497271e-35   1.000000e+02
1.615133e-03   7.927263e-35   1.000000e+02
1.630092e-03   8.389257e-35   1.000000e+02
1.645191e-03   8.886078e-35   1.000000e+02
1.660429e-03   9.420831e-35   1.000000e+02
1.675808e-03   9.996937e-35   1.000000e+02
1.691330e-03   1.061817e-34   1.000000e+02
1.706995e-03   1.128867e-34   1.000000e+02
1.722805e-03   1.201305e-34   1.000000e+02
1.738762e-03   1.279638e-34   1.000000e+02
1.754867e-03   1.364426e-34   1.000000e+02
1.771121e-03   1.456292e-34   1.000000e+02
1.787526e-03   1.555925e-34   1.000000e+02
1.804082e-03   1.664089e-34   1.000000e+02
1.820792e-03   1.781633e-34   1.000000e+02
1.837656e-03   1.909502e-34   1.000000e+02
1.854677e-03   2.048746e-34   1.000000e+02
1.871855e-03   2.200536e-34   1.000000e+02
1.889193e-03   2.366177e-34   1.000000e+02
1.906691e-03   2.547127e-34   1.000000e+02
1.924351e-03   2.745014e-34   1.000000e+02
1.942175e-03   2.961663e-34   1.000000e+02
1.960163e-03   3.199113e-34   1.000000e+02
1.978319e-03   3.459655e-34   1.000000e+02
1.996642e-03   3.745857e-34   1.000000e+02
2.015136e-03   4.060608e-34   1.000000e+02
2.033800e-03   4.407157e-34   1.000000e+02
2.052638e-03   4.789164e-34   1.000000e+02
2.071650e-03   5.210757e-34   1.000000e+02
2.090838e-03   5.676594e-34   1.000000e+02
2.110203e-03   6.191945e-34   1.000000e+02
2.129749e-03   6.762769e-34   1.000000e+02
