# B8 + He3 > C10 + p   [B8_He3__C10_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=18.56 beta=0 gamma=-172.501  Q=14.865
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.997190e-36   1.000000e+02
1.018610e-03   9.994504e-36   1.000000e+02
1.028045e-03   9.991939e-36   1.000000e+02
1.037567e-03   9.989493e-36   1.000000e+02
1.047177e-03   9.987165e-36   1.000000e+02
1.056876e-03   9.984952e-36   1.000000e+02
1.066665e-03   9.982852e-36   1.000000e+02
1.076545e-03   9.980864e-36   1.000000e+02
1.086516e-03   9.978985e-36   1.000000e+02
1.096579e-03   9.977214e-36   1.000000e+02
1.106736e-03   9.975548e-36   1.000000e+02
1.116987e-03   9.973985e-36   1.000000e+02
1.127333e-03   9.972524e-36   1.000000e+02
1.137774e-03   9.971163e-36   1.000000e+02
1.148312e-03   9.969899e-36   1.000000e+02
1.158948e-03   9.968731e-36   1.000000e+02
1.169683e-03   9.967656e-36   1.000000e+02
1.180517e-03   9.966673e-36   1.000000e+02
1.191451e-03   9.965780e-36   1.000000e+02
1.202486e-03   9.964975e-36   1.000000e+02
1.213624e-03   9.964256e-36   1.000000e+02
1.224865e-03   9.963620e-36   1.000000e+02
1.236210e-03   9.963067e-36   1.000000e+02
1.247660e-03   9.962594e-36   1.000000e+02
1.259216e-03   9.962199e-36   1.000000e+02
1.270879e-03   9.961880e-36   1.000000e+02
1.282650e-03   9.961635e-36   1.000000e+02
1.294530e-03   9.961463e-36   1.000000e+02
1.306520e-03   9.961361e-36   1.000000e+02
1.318621e-03   9.961328e-36   1.000000e+02
1.330835e-03   9.961362e-36   1.000000e+02
1.343161e-03   9.961460e-36   1.000000e+02
1.355602e-03   9.961621e-36   1.000000e+02
1.368158e-03   9.961843e-36   1.000000e+02
1.380830e-03   9.962124e-36   1.000000e+02
1.393619e-03   9.962463e-36   1.000000e+02
1.406527e-03   9.962856e-36   1.000000e+02
1.419555e-03   9.963302e-36   1.000000e+02
1.432703e-03   9.963800e-36   1.000000e+02
