# B8 + t > Be7 + a   [B8_t__Be7_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.9999 beta=0 gamma=-228.334  Q=19.6764
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.014883e-35   1.000000e+02
1.018610e-03   1.029461e-35   1.000000e+02
1.028045e-03   1.043729e-35   1.000000e+02
1.037567e-03   1.057685e-35   1.000000e+02
1.047177e-03   1.071325e-35   1.000000e+02
1.056876e-03   1.084649e-35   1.000000e+02
1.066665e-03   1.097658e-35   1.000000e+02
1.076545e-03   1.110351e-35   1.000000e+02
1.086516e-03   1.122730e-35   1.000000e+02
1.096579e-03   1.134800e-35   1.000000e+02
1.106736e-03   1.146562e-35   1.000000e+02
1.116987e-03   1.158023e-35   1.000000e+02
1.127333e-03   1.169188e-35   1.000000e+02
1.137774e-03   1.180062e-35   1.000000e+02
1.148312e-03   1.190655e-35   1.000000e+02
1.158948e-03   1.200972e-35   1.000000e+02
1.169683e-03   1.211025e-35   1.000000e+02
1.180517e-03   1.220821e-35   1.000000e+02
1.191451e-03   1.230372e-35   1.000000e+02
1.202486e-03   1.239689e-35   1.000000e+02
1.213624e-03   1.248783e-35   1.000000e+02
1.224865e-03   1.257667e-35   1.000000e+02
1.236210e-03   1.266354e-35   1.000000e+02
1.247660e-03   1.274858e-35   1.000000e+02
1.259216e-03   1.283192e-35   1.000000e+02
1.270879e-03   1.291372e-35   1.000000e+02
1.282650e-03   1.299413e-35   1.000000e+02
1.294530e-03   1.307331e-35   1.000000e+02
1.306520e-03   1.315141e-35   1.000000e+02
1.318621e-03   1.322862e-35   1.000000e+02
1.330835e-03   1.330510e-35   1.000000e+02
1.343161e-03   1.338102e-35   1.000000e+02
1.355602e-03   1.345658e-35   1.000000e+02
1.368158e-03   1.353195e-35   1.000000e+02
1.380830e-03   1.360733e-35   1.000000e+02
1.393619e-03   1.368292e-35   1.000000e+02
1.406527e-03   1.375890e-35   1.000000e+02
1.419555e-03   1.383549e-35   1.000000e+02
1.432703e-03   1.391289e-35   1.000000e+02
1.445973e-03   1.399133e-35   1.000000e+02
1.459366e-03   1.407100e-35   1.000000e+02
1.472883e-03   1.415214e-35   1.000000e+02
1.486525e-03   1.423498e-35   1.000000e+02
1.500293e-03   1.431975e-35   1.000000e+02
1.514189e-03   1.440668e-35   1.000000e+02
1.528214e-03   1.449602e-35   1.000000e+02
1.542369e-03   1.458803e-35   1.000000e+02
1.556654e-03   1.468295e-35   1.000000e+02
1.571072e-03   1.478107e-35   1.000000e+02
1.585624e-03   1.488263e-35   1.000000e+02
1.600310e-03   1.498794e-35   1.000000e+02
1.615133e-03   1.509728e-35   1.000000e+02
1.630092e-03   1.521094e-35   1.000000e+02
1.645191e-03   1.532923e-35   1.000000e+02
1.660429e-03   1.545249e-35   1.000000e+02
1.675808e-03   1.558103e-35   1.000000e+02
1.691330e-03   1.571520e-35   1.000000e+02
1.706995e-03   1.585536e-35   1.000000e+02
1.722805e-03   1.600189e-35   1.000000e+02
1.738762e-03   1.615517e-35   1.000000e+02
1.754867e-03   1.631560e-35   1.000000e+02
1.771121e-03   1.648362e-35   1.000000e+02
1.787526e-03   1.665965e-35   1.000000e+02
1.804082e-03   1.684418e-35   1.000000e+02
1.820792e-03   1.703769e-35   1.000000e+02
1.837656e-03   1.724069e-35   1.000000e+02
1.854677e-03   1.745372e-35   1.000000e+02
1.871855e-03   1.767734e-35   1.000000e+02
1.889193e-03   1.791217e-35   1.000000e+02
1.906691e-03   1.815883e-35   1.000000e+02
1.924351e-03   1.841800e-35   1.000000e+02
1.942175e-03   1.869037e-35   1.000000e+02
1.960163e-03   1.897672e-35   1.000000e+02
1.978319e-03   1.927782e-35   1.000000e+02
1.996642e-03   1.959453e-35   1.000000e+02
2.015136e-03   1.992775e-35   1.000000e+02
2.033800e-03   2.027844e-35   1.000000e+02
2.052638e-03   2.064761e-35   1.000000e+02
2.071650e-03   2.103637e-35   1.000000e+02
2.090838e-03   2.144585e-35   1.000000e+02
2.110203e-03   2.187732e-35   1.000000e+02
2.129749e-03   2.233208e-35   1.000000e+02
2.149475e-03   2.281158e-35   1.000000e+02
2.169384e-03   2.331731e-35   1.000000e+02
2.189477e-03   2.385091e-35   1.000000e+02
2.209756e-03   2.441414e-35   1.000000e+02
2.230223e-03   2.500886e-35   1.000000e+02
2.250880e-03   2.563710e-35   1.000000e+02
2.271728e-03   2.630103e-35   1.000000e+02
2.292769e-03   2.700298e-35   1.000000e+02
2.314005e-03   2.774548e-35   1.000000e+02
2.335438e-03   2.853122e-35   1.000000e+02
2.357069e-03   2.936316e-35   1.000000e+02
2.378901e-03   3.024444e-35   1.000000e+02
2.400935e-03   3.117850e-35   1.000000e+02
2.423173e-03   3.216904e-35   1.000000e+02
2.445617e-03   3.322005e-35   1.000000e+02
2.468268e-03   3.433590e-35   1.000000e+02
2.491130e-03   3.552128e-35   1.000000e+02
2.514203e-03   3.678132e-35   1.000000e+02
2.537490e-03   3.812158e-35   1.000000e+02
2.560993e-03   3.954809e-35   1.000000e+02
2.584714e-03   4.106744e-35   1.000000e+02
2.608654e-03   4.268680e-35   1.000000e+02
2.632815e-03   4.441398e-35   1.000000e+02
2.657201e-03   4.625752e-35   1.000000e+02
2.681813e-03   4.822672e-35   1.000000e+02
2.706652e-03   5.033178e-35   1.000000e+02
2.731722e-03   5.258384e-35   1.000000e+02
2.757023e-03   5.499512e-35   1.000000e+02
2.782559e-03   5.757901e-35   1.000000e+02
2.808332e-03   6.035020e-35   1.000000e+02
2.834343e-03   6.332483e-35   1.000000e+02
2.860596e-03   6.652065e-35   1.000000e+02
2.887091e-03   6.995721e-35   1.000000e+02
2.913832e-03   7.365602e-35   1.000000e+02
2.940820e-03   7.764084e-35   1.000000e+02
2.968059e-03   8.193787e-35   1.000000e+02
2.995549e-03   8.657609e-35   1.000000e+02
3.023295e-03   9.158736e-35   1.000000e+02
3.051297e-03   9.700576e-35   1.000000e+02
3.079559e-03   1.028683e-34   1.000000e+02
3.108082e-03   1.092159e-34   1.000000e+02
3.136870e-03   1.160936e-34   1.000000e+02
3.165924e-03   1.235510e-34   1.000000e+02
3.195248e-03   1.316430e-34   1.000000e+02
3.224842e-03   1.404303e-34   1.000000e+02
3.254712e-03   1.499800e-34   1.000000e+02
3.284857e-03   1.603662e-34   1.000000e+02
3.315282e-03   1.716712e-34   1.000000e+02
3.345989e-03   1.839861e-34   1.000000e+02
3.376980e-03   1.974118e-34   1.000000e+02
3.408259e-03   2.120606e-34   1.000000e+02
3.439826e-03   2.280569e-34   1.000000e+02
3.471687e-03   2.455391e-34   1.000000e+02
3.503842e-03   2.646612e-34   1.000000e+02
3.536296e-03   2.855946e-34   1.000000e+02
3.569049e-03   3.085300e-34   1.000000e+02
3.602107e-03   3.336802e-34   1.000000e+02
3.635470e-03   3.612827e-34   1.000000e+02
3.669142e-03   3.916022e-34   1.000000e+02
3.703127e-03   4.249349e-34   1.000000e+02
3.737426e-03   4.616116e-34   1.000000e+02
3.772042e-03   5.020025e-34   1.000000e+02
3.806980e-03   5.465224e-34   1.000000e+02
3.842241e-03   5.956355e-34   1.000000e+02
3.877828e-03   6.498629e-34   1.000000e+02
3.913746e-03   7.097888e-34   1.000000e+02
3.949995e-03   7.760698e-34   1.000000e+02
3.986581e-03   8.494434e-34   1.000000e+02
4.023506e-03   9.307496e-34   1.000000e+02
4.060772e-03   1.021085e-33   1.000000e+02
4.098384e-03   1.121843e-33   1.000000e+02
4.136344e-03   1.234681e-33   1.000000e+02
4.174655e-03   1.361574e-33   1.000000e+02
4.213322e-03   1.504882e-33   1.000000e+02
4.252346e-03   1.667439e-33   1.000000e+02
4.291732e-03   1.852657e-33   1.000000e+02
4.331483e-03   2.064662e-33   1.000000e+02
4.371602e-03   2.308463e-33   1.000000e+02
4.412093e-03   2.590170e-33   1.000000e+02
4.452959e-03   2.917269e-33   1.000000e+02
4.494203e-03   3.298971e-33   1.000000e+02
4.535829e-03   3.746674e-33   1.000000e+02
4.577841e-03   4.274544e-33   1.000000e+02
4.620241e-03   4.900287e-33   1.000000e+02
4.663035e-03   5.646150e-33   1.000000e+02
4.706225e-03   6.540241e-33   1.000000e+02
4.749815e-03   7.618277e-33   1.000000e+02
4.793808e-03   8.925915e-33   1.000000e+02
4.838210e-03   1.052187e-32   1.000000e+02
4.883022e-03   1.248213e-32   1.000000e+02
4.928250e-03   1.490567e-32   1.000000e+02
4.973896e-03   1.792224e-32   1.000000e+02
5.019965e-03   2.170299e-32   1.000000e+02
5.066461e-03   2.646923e-32   1.000000e+02
5.113388e-03   3.250477e-32   1.000000e+02
5.160749e-03   4.018082e-32   1.000000e+02
5.208549e-03   4.998487e-32   1.000000e+02
5.256791e-03   6.255884e-32   1.000000e+02
5.305481e-03   7.875013e-32   1.000000e+02
5.354621e-03   9.968010e-32   1.000000e+02
5.404216e-03   1.268360e-31   1.000000e+02
5.454271e-03   1.621942e-31   1.000000e+02
5.504790e-03   2.083864e-31   1.000000e+02
5.555776e-03   2.689221e-31   1.000000e+02
5.607235e-03   3.484891e-31   1.000000e+02
5.659170e-03   4.533559e-31   1.000000e+02
5.711586e-03   5.919148e-31   1.000000e+02
5.764488e-03   7.754092e-31   1.000000e+02
5.817880e-03   1.018912e-30   1.000000e+02
5.871766e-03   1.342637e-30   1.000000e+02
5.926152e-03   1.773695e-30   1.000000e+02
5.981041e-03   2.348441e-30   1.000000e+02
6.036439e-03   3.115682e-30   1.000000e+02
6.092349e-03   4.142016e-30   1.000000e+02
6.148778e-03   5.518844e-30   1.000000e+02
6.205729e-03   7.371502e-30   1.000000e+02
6.263207e-03   9.872547e-30   1.000000e+02
6.321218e-03   1.326055e-29   1.000000e+02
6.379767e-03   1.786681e-29   1.000000e+02
6.438857e-03   2.415346e-29   1.000000e+02
6.498495e-03   3.276819e-29   1.000000e+02
6.558686e-03   4.462314e-29   1.000000e+02
6.619433e-03   6.100932e-29   1.000000e+02
6.680744e-03   8.376343e-29   1.000000e+02
6.742622e-03   1.155125e-28   1.000000e+02
6.805074e-03   1.600344e-28   1.000000e+02
6.868104e-03   2.227929e-28   1.000000e+02
6.931717e-03   3.117362e-28   1.000000e+02
6.995920e-03   4.384948e-28   1.000000e+02
7.060718e-03   6.201549e-28   1.000000e+02
7.126115e-03   8.817220e-28   1.000000e+02
7.192119e-03   1.259960e-27   1.000000e+02
7.258734e-03   1.809147e-27   1.000000e+02
7.325965e-03   2.609641e-27   1.000000e+02
7.393820e-03   3.780729e-27   1.000000e+02
7.462303e-03   5.499917e-27   1.000000e+02
7.531420e-03   8.031943e-27   1.000000e+02
7.601178e-03   1.177246e-26   1.000000e+02
7.671581e-03   1.731385e-26   1.000000e+02
7.742637e-03   2.554453e-26   1.000000e+02
7.814351e-03   3.779884e-26   1.000000e+02
7.886729e-03   5.608323e-26   1.000000e+02
7.959777e-03   8.341799e-26   1.000000e+02
8.033502e-03   1.243561e-25   1.000000e+02
8.107910e-03   1.858952e-25   1.000000e+02
8.183007e-03   2.790104e-25   1.000000e+02
8.258799e-03   4.210169e-25   1.000000e+02
8.335294e-03   6.395600e-25   1.000000e+02
8.412497e-03   9.793580e-25   1.000000e+02
8.490415e-03   1.513756e-24   1.000000e+02
8.569055e-03   2.364831e-24   1.000000e+02
8.648423e-03   3.738953e-24   1.000000e+02
8.728527e-03   5.990752e-24   1.000000e+02
8.809372e-03   9.740246e-24   1.000000e+02
8.890966e-03   1.609131e-23   1.000000e+02
8.973316e-03   2.704716e-23   1.000000e+02
9.056428e-03   4.630056e-23   1.000000e+02
9.140311e-03   8.048861e-23   1.000000e+02
9.224970e-03   1.413404e-22   1.000000e+02
9.310413e-03   2.493825e-22   1.000000e+02
9.396648e-03   4.397616e-22   1.000000e+02
9.483682e-03   7.709109e-22   1.000000e+02
9.571522e-03   1.336321e-21   1.000000e+02
9.660175e-03   2.278351e-21   1.000000e+02
9.749649e-03   3.800301e-21   1.000000e+02
9.839952e-03   6.168604e-21   1.000000e+02
9.931092e-03   9.691949e-21   1.000000e+02
1.002308e-02   1.466178e-20   1.000000e+02
1.011591e-02   2.131456e-20   1.000000e+02
1.020961e-02   2.991504e-20   1.000000e+02
1.030417e-02   4.075340e-20   1.000000e+02
1.039961e-02   5.417966e-20   1.000000e+02
1.049593e-02   7.067148e-20   1.000000e+02
1.059315e-02   9.093367e-20   1.000000e+02
1.069126e-02   1.160420e-19   1.000000e+02
1.079029e-02   1.476565e-19   1.000000e+02
1.089023e-02   1.883537e-19   1.000000e+02
1.099110e-02   2.421682e-19   1.000000e+02
1.109290e-02   3.152332e-19   1.000000e+02
1.119564e-02   4.153871e-19   1.000000e+02
1.129934e-02   5.531713e-19   1.000000e+02
1.140400e-02   7.432435e-19   1.000000e+02
1.150962e-02   1.005881e-18   1.000000e+02
1.161623e-02   1.368945e-18   1.000000e+02
1.172382e-02   1.870370e-18   1.000000e+02
1.183241e-02   2.561244e-18   1.000000e+02
1.194200e-02   3.509421e-18   1.000000e+02
1.205261e-02   4.803711e-18   1.000000e+02
1.216424e-02   6.564512e-18   1.000000e+02
1.227691e-02   8.959852e-18   1.000000e+02
1.239062e-02   1.222033e-17   1.000000e+02
1.250539e-02   1.666327e-17   1.000000e+02
1.262121e-02   2.272706e-17   1.000000e+02
1.273811e-02   3.102011e-17   1.000000e+02
1.285610e-02   4.239081e-17   1.000000e+02
1.297517e-02   5.802821e-17   1.000000e+02
1.309535e-02   7.960373e-17   1.000000e+02
1.321664e-02   1.094367e-16   1.000000e+02
1.333906e-02   1.507491e-16   1.000000e+02
1.346261e-02   2.080345e-16   1.000000e+02
1.358730e-02   2.875618e-16   1.000000e+02
1.371315e-02   3.980784e-16   1.000000e+02
1.384016e-02   5.517904e-16   1.000000e+02
1.396835e-02   7.657275e-16   1.000000e+02
1.409773e-02   1.063656e-15   1.000000e+02
1.422830e-02   1.478892e-15   1.000000e+02
1.436009e-02   2.058194e-15   1.000000e+02
1.449310e-02   2.867197e-15   1.000000e+02
1.462733e-02   3.998130e-15   1.000000e+02
1.476281e-02   5.580730e-15   1.000000e+02
1.489955e-02   7.797701e-15   1.000000e+02
1.503755e-02   1.090662e-14   1.000000e+02
1.517683e-02   1.527078e-14   1.000000e+02
1.531740e-02   2.140259e-14   1.000000e+02
1.545928e-02   3.002551e-14   1.000000e+02
1.560246e-02   4.216174e-14   1.000000e+02
1.574698e-02   5.925647e-14   1.000000e+02
1.589283e-02   8.335413e-14   1.000000e+02
1.604003e-02   1.173485e-13   1.000000e+02
1.618860e-02   1.653365e-13   1.000000e+02
1.633854e-02   2.331173e-13   1.000000e+02
1.648987e-02   3.289040e-13   1.000000e+02
1.664260e-02   4.643292e-13   1.000000e+02
1.679675e-02   6.558720e-13   1.000000e+02
1.695232e-02   9.268766e-13   1.000000e+02
1.710934e-02   1.310414e-12   1.000000e+02
1.726781e-02   1.853327e-12   1.000000e+02
1.742775e-02   2.621965e-12   1.000000e+02
1.758917e-02   3.710278e-12   1.000000e+02
1.775208e-02   5.251272e-12   1.000000e+02
1.791650e-02   7.433182e-12   1.000000e+02
1.808245e-02   1.052232e-11   1.000000e+02
1.824993e-02   1.489575e-11   1.000000e+02
1.841897e-02   2.108767e-11   1.000000e+02
1.858957e-02   2.985459e-11   1.000000e+02
1.876175e-02   4.226803e-11   1.000000e+02
1.893552e-02   5.984567e-11   1.000000e+02
1.911091e-02   8.473734e-11   1.000000e+02
1.928792e-02   1.199886e-10   1.000000e+02
1.946656e-02   1.699141e-10   1.000000e+02
1.964687e-02   2.406275e-10   1.000000e+02
1.982884e-02   3.407915e-10   1.000000e+02
2.001250e-02   4.826823e-10   1.000000e+02
2.019786e-02   6.836725e-10   1.000000e+02
2.038493e-02   9.682298e-10   1.000000e+02
2.057374e-02   1.370790e-09   1.000000e+02
2.076430e-02   1.939740e-09   1.000000e+02
2.095662e-02   2.742932e-09   1.000000e+02
