# Be10 + p > Li7 + a   [Be10_p__Li7_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.10772 beta=0 gamma=-29.7379  Q=2.5626
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.041775e-35   1.000000e+02
1.018610e-03   1.086268e-35   1.000000e+02
1.028045e-03   1.133687e-35   1.000000e+02
1.037567e-03   1.184262e-35   1.000000e+02
1.047177e-03   1.238240e-35   1.000000e+02
1.056876e-03   1.295893e-35   1.000000e+02
1.066665e-03   1.357517e-35   1.000000e+02
1.076545e-03   1.423436e-35   1.000000e+02
1.086516e-03   1.494003e-35   1.000000e+02
1.096579e-03   1.569606e-35   1.000000e+02
1.106736e-03   1.650669e-35   1.000000e+02
1.116987e-03   1.737658e-35   1.000000e+02
1.127333e-03   1.831082e-35   1.000000e+02
1.137774e-03   1.931502e-35   1.000000e+02
1.148312e-03   2.039535e-35   1.000000e+02
1.158948e-03   2.155859e-35   1.000000e+02
1.169683e-03   2.281220e-35   1.000000e+02
1.180517e-03   2.416442e-35   1.000000e+02
1.191451e-03   2.562433e-35   1.000000e+02
1.202486e-03   2.720195e-35   1.000000e+02
1.213624e-03   2.890837e-35   1.000000e+02
1.224865e-03   3.075586e-35   1.000000e+02
1.236210e-03   3.275800e-35   1.000000e+02
1.247660e-03   3.492986e-35   1.000000e+02
1.259216e-03   3.728813e-35   1.000000e+02
1.270879e-03   3.985138e-35   1.000000e+02
1.282650e-03   4.264025e-35   1.000000e+02
1.294530e-03   4.567771e-35   1.000000e+02
1.306520e-03   4.898935e-35   1.000000e+02
1.318621e-03   5.260371e-35   1.000000e+02
1.330835e-03   5.655266e-35   1.000000e+02
1.343161e-03   6.087181e-35   1.000000e+02
1.355602e-03   6.560102e-35   1.000000e+02
1.368158e-03   7.078490e-35   1.000000e+02
1.380830e-03   7.647350e-35   1.000000e+02
1.393619e-03   8.272299e-35   1.000000e+02
1.406527e-03   8.959648e-35   1.000000e+02
1.419555e-03   9.716498e-35   1.000000e+02
1.432703e-03   1.055084e-34   1.000000e+02
1.445973e-03   1.147170e-34   1.000000e+02
1.459366e-03   1.248925e-34   1.000000e+02
1.472883e-03   1.361499e-34   1.000000e+02
1.486525e-03   1.486193e-34   1.000000e+02
1.500293e-03   1.624482e-34   1.000000e+02
1.514189e-03   1.778036e-34   1.000000e+02
1.528214e-03   1.948755e-34   1.000000e+02
1.542369e-03   2.138795e-34   1.000000e+02
1.556654e-03   2.350612e-34   1.000000e+02
1.571072e-03   2.587005e-34   1.000000e+02
1.585624e-03   2.851168e-34   1.000000e+02
1.600310e-03   3.146748e-34   1.000000e+02
1.615133e-03   3.477920e-34   1.000000e+02
1.630092e-03   3.849461e-34   1.000000e+02
1.645191e-03   4.266855e-34   1.000000e+02
1.660429e-03   4.736394e-34   1.000000e+02
1.675808e-03   5.265316e-34   1.000000e+02
1.691330e-03   5.861953e-34   1.000000e+02
1.706995e-03   6.535909e-34   1.000000e+02
