# Be10 + p > a + a + t   [Be10_p__a_a_t]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.9344e-11 beta=-1.5 gamma=-1.1235  Q=0.096
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.002981e-35   1.000000e+02
1.018610e-03   1.005584e-35   1.000000e+02
1.028045e-03   1.007811e-35   1.000000e+02
1.037567e-03   1.009667e-35   1.000000e+02
1.047177e-03   1.011156e-35   1.000000e+02
1.056876e-03   1.012284e-35   1.000000e+02
1.066665e-03   1.013056e-35   1.000000e+02
1.076545e-03   1.013478e-35   1.000000e+02
1.086516e-03   1.013556e-35   1.000000e+02
1.096579e-03   1.013298e-35   1.000000e+02
1.106736e-03   1.012709e-35   1.000000e+02
1.116987e-03   1.011798e-35   1.000000e+02
1.127333e-03   1.010571e-35   1.000000e+02
1.137774e-03   1.009038e-35   1.000000e+02
1.148312e-03   1.007205e-35   1.000000e+02
1.158948e-03   1.005081e-35   1.000000e+02
1.169683e-03   1.002675e-35   1.000000e+02
1.180517e-03   9.999953e-36   1.000000e+02
1.191451e-03   9.970509e-36   1.000000e+02
1.202486e-03   9.938507e-36   1.000000e+02
1.213624e-03   9.904039e-36   1.000000e+02
1.224865e-03   9.867196e-36   1.000000e+02
1.236210e-03   9.828071e-36   1.000000e+02
1.247660e-03   9.786757e-36   1.000000e+02
1.259216e-03   9.743349e-36   1.000000e+02
1.270879e-03   9.697940e-36   1.000000e+02
1.282650e-03   9.650623e-36   1.000000e+02
1.294530e-03   9.601494e-36   1.000000e+02
1.306520e-03   9.550646e-36   1.000000e+02
1.318621e-03   9.498171e-36   1.000000e+02
1.330835e-03   9.444162e-36   1.000000e+02
1.343161e-03   9.388712e-36   1.000000e+02
1.355602e-03   9.331911e-36   1.000000e+02
1.368158e-03   9.273850e-36   1.000000e+02
1.380830e-03   9.214617e-36   1.000000e+02
1.393619e-03   9.154301e-36   1.000000e+02
1.406527e-03   9.092989e-36   1.000000e+02
1.419555e-03   9.030765e-36   1.000000e+02
1.432703e-03   8.967714e-36   1.000000e+02
1.445973e-03   8.903919e-36   1.000000e+02
1.459366e-03   8.839460e-36   1.000000e+02
1.472883e-03   8.774416e-36   1.000000e+02
1.486525e-03   8.708867e-36   1.000000e+02
1.500293e-03   8.642886e-36   1.000000e+02
1.514189e-03   8.576550e-36   1.000000e+02
1.528214e-03   8.509930e-36   1.000000e+02
1.542369e-03   8.443096e-36   1.000000e+02
1.556654e-03   8.376119e-36   1.000000e+02
1.571072e-03   8.309065e-36   1.000000e+02
1.585624e-03   8.241998e-36   1.000000e+02
1.600310e-03   8.174984e-36   1.000000e+02
1.615133e-03   8.108082e-36   1.000000e+02
1.630092e-03   8.041353e-36   1.000000e+02
1.645191e-03   7.974854e-36   1.000000e+02
1.660429e-03   7.908642e-36   1.000000e+02
1.675808e-03   7.842770e-36   1.000000e+02
1.691330e-03   7.777291e-36   1.000000e+02
1.706995e-03   7.712256e-36   1.000000e+02
1.722805e-03   7.647713e-36   1.000000e+02
1.738762e-03   7.583709e-36   1.000000e+02
1.754867e-03   7.520291e-36   1.000000e+02
1.771121e-03   7.457502e-36   1.000000e+02
1.787526e-03   7.395384e-36   1.000000e+02
1.804082e-03   7.333977e-36   1.000000e+02
1.820792e-03   7.273322e-36   1.000000e+02
1.837656e-03   7.213456e-36   1.000000e+02
1.854677e-03   7.154415e-36   1.000000e+02
1.871855e-03   7.096234e-36   1.000000e+02
1.889193e-03   7.038947e-36   1.000000e+02
1.906691e-03   6.982587e-36   1.000000e+02
1.924351e-03   6.927183e-36   1.000000e+02
1.942175e-03   6.872767e-36   1.000000e+02
1.960163e-03   6.819368e-36   1.000000e+02
1.978319e-03   6.767013e-36   1.000000e+02
1.996642e-03   6.715729e-36   1.000000e+02
2.015136e-03   6.665542e-36   1.000000e+02
2.033800e-03   6.616477e-36   1.000000e+02
2.052638e-03   6.568560e-36   1.000000e+02
2.071650e-03   6.521813e-36   1.000000e+02
2.090838e-03   6.476259e-36   1.000000e+02
2.110203e-03   6.431921e-36   1.000000e+02
2.129749e-03   6.388820e-36   1.000000e+02
2.149475e-03   6.346979e-36   1.000000e+02
2.169384e-03   6.306417e-36   1.000000e+02
2.189477e-03   6.267156e-36   1.000000e+02
2.209756e-03   6.229215e-36   1.000000e+02
2.230223e-03   6.192616e-36   1.000000e+02
2.250880e-03   6.157377e-36   1.000000e+02
2.271728e-03   6.123519e-36   1.000000e+02
