# Be10 + t > B13 + g   [Be10_t__B13_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.7436e+10 beta=1.5 gamma=-127.584  Q=10.9943
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.018326e-35   1.000000e+02
1.018610e-03   1.036908e-35   1.000000e+02
1.028045e-03   1.055762e-35   1.000000e+02
1.037567e-03   1.074900e-35   1.000000e+02
1.047177e-03   1.094337e-35   1.000000e+02
1.056876e-03   1.114089e-35   1.000000e+02
1.066665e-03   1.134174e-35   1.000000e+02
1.076545e-03   1.154607e-35   1.000000e+02
1.086516e-03   1.175409e-35   1.000000e+02
1.096579e-03   1.196598e-35   1.000000e+02
1.106736e-03   1.218195e-35   1.000000e+02
1.116987e-03   1.240222e-35   1.000000e+02
1.127333e-03   1.262702e-35   1.000000e+02
1.137774e-03   1.285658e-35   1.000000e+02
1.148312e-03   1.309116e-35   1.000000e+02
1.158948e-03   1.333103e-35   1.000000e+02
1.169683e-03   1.357646e-35   1.000000e+02
1.180517e-03   1.382776e-35   1.000000e+02
1.191451e-03   1.408522e-35   1.000000e+02
1.202486e-03   1.434918e-35   1.000000e+02
1.213624e-03   1.461997e-35   1.000000e+02
1.224865e-03   1.489797e-35   1.000000e+02
1.236210e-03   1.518354e-35   1.000000e+02
1.247660e-03   1.547710e-35   1.000000e+02
1.259216e-03   1.577905e-35   1.000000e+02
1.270879e-03   1.608985e-35   1.000000e+02
1.282650e-03   1.640995e-35   1.000000e+02
1.294530e-03   1.673985e-35   1.000000e+02
1.306520e-03   1.708007e-35   1.000000e+02
1.318621e-03   1.743116e-35   1.000000e+02
1.330835e-03   1.779369e-35   1.000000e+02
1.343161e-03   1.816826e-35   1.000000e+02
1.355602e-03   1.855553e-35   1.000000e+02
1.368158e-03   1.895617e-35   1.000000e+02
1.380830e-03   1.937089e-35   1.000000e+02
1.393619e-03   1.980045e-35   1.000000e+02
1.406527e-03   2.024566e-35   1.000000e+02
1.419555e-03   2.070736e-35   1.000000e+02
1.432703e-03   2.118644e-35   1.000000e+02
1.445973e-03   2.168387e-35   1.000000e+02
1.459366e-03   2.220064e-35   1.000000e+02
1.472883e-03   2.273783e-35   1.000000e+02
1.486525e-03   2.329656e-35   1.000000e+02
1.500293e-03   2.387804e-35   1.000000e+02
1.514189e-03   2.448355e-35   1.000000e+02
1.528214e-03   2.511445e-35   1.000000e+02
1.542369e-03   2.577217e-35   1.000000e+02
1.556654e-03   2.645825e-35   1.000000e+02
1.571072e-03   2.717433e-35   1.000000e+02
1.585624e-03   2.792215e-35   1.000000e+02
1.600310e-03   2.870356e-35   1.000000e+02
1.615133e-03   2.952053e-35   1.000000e+02
1.630092e-03   3.037519e-35   1.000000e+02
1.645191e-03   3.126977e-35   1.000000e+02
1.660429e-03   3.220670e-35   1.000000e+02
1.675808e-03   3.318853e-35   1.000000e+02
1.691330e-03   3.421802e-35   1.000000e+02
1.706995e-03   3.529812e-35   1.000000e+02
1.722805e-03   3.643197e-35   1.000000e+02
1.738762e-03   3.762295e-35   1.000000e+02
1.754867e-03   3.887469e-35   1.000000e+02
1.771121e-03   4.019106e-35   1.000000e+02
1.787526e-03   4.157624e-35   1.000000e+02
1.804082e-03   4.303471e-35   1.000000e+02
1.820792e-03   4.457129e-35   1.000000e+02
1.837656e-03   4.619114e-35   1.000000e+02
1.854677e-03   4.789985e-35   1.000000e+02
1.871855e-03   4.970343e-35   1.000000e+02
1.889193e-03   5.160833e-35   1.000000e+02
1.906691e-03   5.362155e-35   1.000000e+02
1.924351e-03   5.575061e-35   1.000000e+02
1.942175e-03   5.800365e-35   1.000000e+02
1.960163e-03   6.038946e-35   1.000000e+02
1.978319e-03   6.291754e-35   1.000000e+02
1.996642e-03   6.559818e-35   1.000000e+02
2.015136e-03   6.844253e-35   1.000000e+02
2.033800e-03   7.146266e-35   1.000000e+02
2.052638e-03   7.467168e-35   1.000000e+02
2.071650e-03   7.808378e-35   1.000000e+02
2.090838e-03   8.171443e-35   1.000000e+02
2.110203e-03   8.558039e-35   1.000000e+02
2.129749e-03   8.969993e-35   1.000000e+02
2.149475e-03   9.409293e-35   1.000000e+02
2.169384e-03   9.878103e-35   1.000000e+02
2.189477e-03   1.037879e-34   1.000000e+02
2.209756e-03   1.091392e-34   1.000000e+02
2.230223e-03   1.148631e-34   1.000000e+02
2.250880e-03   1.209903e-34   1.000000e+02
2.271728e-03   1.275546e-34   1.000000e+02
2.292769e-03   1.345927e-34   1.000000e+02
2.314005e-03   1.421449e-34   1.000000e+02
2.335438e-03   1.502555e-34   1.000000e+02
2.357069e-03   1.589730e-34   1.000000e+02
2.378901e-03   1.683507e-34   1.000000e+02
2.400935e-03   1.784472e-34   1.000000e+02
2.423173e-03   1.893270e-34   1.000000e+02
2.445617e-03   2.010612e-34   1.000000e+02
2.468268e-03   2.137279e-34   1.000000e+02
2.491130e-03   2.274134e-34   1.000000e+02
2.514203e-03   2.422132e-34   1.000000e+02
2.537490e-03   2.582326e-34   1.000000e+02
2.560993e-03   2.755880e-34   1.000000e+02
2.584714e-03   2.944086e-34   1.000000e+02
2.608654e-03   3.148373e-34   1.000000e+02
2.632815e-03   3.370327e-34   1.000000e+02
2.657201e-03   3.611709e-34   1.000000e+02
2.681813e-03   3.874477e-34   1.000000e+02
2.706652e-03   4.160808e-34   1.000000e+02
2.731722e-03   4.473127e-34   1.000000e+02
2.757023e-03   4.814137e-34   1.000000e+02
2.782559e-03   5.186854e-34   1.000000e+02
2.808332e-03   5.594646e-34   1.000000e+02
2.834343e-03   6.041280e-34   1.000000e+02
2.860596e-03   6.530970e-34   1.000000e+02
2.887091e-03   7.068440e-34   1.000000e+02
2.913832e-03   7.658985e-34   1.000000e+02
2.940820e-03   8.308553e-34   1.000000e+02
2.968059e-03   9.023826e-34   1.000000e+02
2.995549e-03   9.812324e-34   1.000000e+02
3.023295e-03   1.068257e-33   1.000000e+02
3.051297e-03   1.164457e-33   1.000000e+02
3.079559e-03   1.270988e-33   1.000000e+02
3.108082e-03   1.389173e-33   1.000000e+02
3.136870e-03   1.520529e-33   1.000000e+02
3.165924e-03   1.666800e-33   1.000000e+02
