# Be11 + d > Be12 + p   [Be11_d__Be12_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=7.4354 beta=0 gamma=-10.9793  Q=0.9438
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.030317e-35   1.000000e+02
1.018610e-03   1.062080e-35   1.000000e+02
1.028045e-03   1.095377e-35   1.000000e+02
1.037567e-03   1.130301e-35   1.000000e+02
1.047177e-03   1.166953e-35   1.000000e+02
1.056876e-03   1.205438e-35   1.000000e+02
1.066665e-03   1.245872e-35   1.000000e+02
1.076545e-03   1.288377e-35   1.000000e+02
1.086516e-03   1.333086e-35   1.000000e+02
1.096579e-03   1.380138e-35   1.000000e+02
1.106736e-03   1.429687e-35   1.000000e+02
1.116987e-03   1.481894e-35   1.000000e+02
1.127333e-03   1.536936e-35   1.000000e+02
1.137774e-03   1.595001e-35   1.000000e+02
1.148312e-03   1.656291e-35   1.000000e+02
1.158948e-03   1.721026e-35   1.000000e+02
1.169683e-03   1.789441e-35   1.000000e+02
1.180517e-03   1.861790e-35   1.000000e+02
1.191451e-03   1.938347e-35   1.000000e+02
1.202486e-03   2.019409e-35   1.000000e+02
1.213624e-03   2.105297e-35   1.000000e+02
1.224865e-03   2.196355e-35   1.000000e+02
1.236210e-03   2.292959e-35   1.000000e+02
1.247660e-03   2.395515e-35   1.000000e+02
1.259216e-03   2.504463e-35   1.000000e+02
1.270879e-03   2.620278e-35   1.000000e+02
1.282650e-03   2.743480e-35   1.000000e+02
1.294530e-03   2.874629e-35   1.000000e+02
1.306520e-03   3.014338e-35   1.000000e+02
1.318621e-03   3.163269e-35   1.000000e+02
1.330835e-03   3.322146e-35   1.000000e+02
1.343161e-03   3.491756e-35   1.000000e+02
1.355602e-03   3.672959e-35   1.000000e+02
1.368158e-03   3.866689e-35   1.000000e+02
1.380830e-03   4.073969e-35   1.000000e+02
1.393619e-03   4.295917e-35   1.000000e+02
1.406527e-03   4.533752e-35   1.000000e+02
1.419555e-03   4.788811e-35   1.000000e+02
1.432703e-03   5.062556e-35   1.000000e+02
1.445973e-03   5.356591e-35   1.000000e+02
