# Be11 + d > Li9 + a   [Be11_d__Li9_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.72239 beta=0 gamma=-68.8206  Q=5.9305
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.033052e-35   1.000000e+02
1.018610e-03   1.067867e-35   1.000000e+02
1.028045e-03   1.104559e-35   1.000000e+02
1.037567e-03   1.143253e-35   1.000000e+02
1.047177e-03   1.184079e-35   1.000000e+02
1.056876e-03   1.227181e-35   1.000000e+02
1.066665e-03   1.272711e-35   1.000000e+02
1.076545e-03   1.320835e-35   1.000000e+02
1.086516e-03   1.371732e-35   1.000000e+02
1.096579e-03   1.425594e-35   1.000000e+02
1.106736e-03   1.482628e-35   1.000000e+02
1.116987e-03   1.543060e-35   1.000000e+02
1.127333e-03   1.607132e-35   1.000000e+02
1.137774e-03   1.675107e-35   1.000000e+02
1.148312e-03   1.747269e-35   1.000000e+02
1.158948e-03   1.823928e-35   1.000000e+02
1.169683e-03   1.905418e-35   1.000000e+02
1.180517e-03   1.992103e-35   1.000000e+02
1.191451e-03   2.084376e-35   1.000000e+02
1.202486e-03   2.182666e-35   1.000000e+02
1.213624e-03   2.287439e-35   1.000000e+02
1.224865e-03   2.399204e-35   1.000000e+02
1.236210e-03   2.518512e-35   1.000000e+02
1.247660e-03   2.645967e-35   1.000000e+02
1.259216e-03   2.782226e-35   1.000000e+02
1.270879e-03   2.928006e-35   1.000000e+02
1.282650e-03   3.084093e-35   1.000000e+02
1.294530e-03   3.251343e-35   1.000000e+02
1.306520e-03   3.430696e-35   1.000000e+02
1.318621e-03   3.623178e-35   1.000000e+02
1.330835e-03   3.829919e-35   1.000000e+02
1.343161e-03   4.052152e-35   1.000000e+02
1.355602e-03   4.291236e-35   1.000000e+02
1.368158e-03   4.548663e-35   1.000000e+02
1.380830e-03   4.826072e-35   1.000000e+02
1.393619e-03   5.125269e-35   1.000000e+02
1.406527e-03   5.448244e-35   1.000000e+02
1.419555e-03   5.797189e-35   1.000000e+02
1.432703e-03   6.174525e-35   1.000000e+02
1.445973e-03   6.582926e-35   1.000000e+02
1.459366e-03   7.025348e-35   1.000000e+02
1.472883e-03   7.505061e-35   1.000000e+02
1.486525e-03   8.025687e-35   1.000000e+02
1.500293e-03   8.591244e-35   1.000000e+02
1.514189e-03   9.206186e-35   1.000000e+02
1.528214e-03   9.875462e-35   1.000000e+02
1.542369e-03   1.060457e-34   1.000000e+02
1.556654e-03   1.139964e-34   1.000000e+02
1.571072e-03   1.226749e-34   1.000000e+02
1.585624e-03   1.321571e-34   1.000000e+02
1.600310e-03   1.425279e-34   1.000000e+02
1.615133e-03   1.538821e-34   1.000000e+02
1.630092e-03   1.663256e-34   1.000000e+02
1.645191e-03   1.799769e-34   1.000000e+02
1.660429e-03   1.949691e-34   1.000000e+02
1.675808e-03   2.114510e-34   1.000000e+02
1.691330e-03   2.295901e-34   1.000000e+02
1.706995e-03   2.495743e-34   1.000000e+02
1.722805e-03   2.716152e-34   1.000000e+02
1.738762e-03   2.959511e-34   1.000000e+02
1.754867e-03   3.228505e-34   1.000000e+02
1.771121e-03   3.526167e-34   1.000000e+02
1.787526e-03   3.855922e-34   1.000000e+02
1.804082e-03   4.221645e-34   1.000000e+02
1.820792e-03   4.627724e-34   1.000000e+02
1.837656e-03   5.079131e-34   1.000000e+02
1.854677e-03   5.581511e-34   1.000000e+02
1.871855e-03   6.141278e-34   1.000000e+02
1.889193e-03   6.765725e-34   1.000000e+02
1.906691e-03   7.463160e-34   1.000000e+02
1.924351e-03   8.243051e-34   1.000000e+02
1.942175e-03   9.116209e-34   1.000000e+02
1.960163e-03   1.009498e-33   1.000000e+02
1.978319e-03   1.119351e-33   1.000000e+02
1.996642e-03   1.242797e-33   1.000000e+02
2.015136e-03   1.381694e-33   1.000000e+02
2.033800e-03   1.538172e-33   1.000000e+02
2.052638e-03   1.714682e-33   1.000000e+02
2.071650e-03   1.914045e-33   1.000000e+02
2.090838e-03   2.139511e-33   1.000000e+02
2.110203e-03   2.394832e-33   1.000000e+02
2.129749e-03   2.684342e-33   1.000000e+02
2.149475e-03   3.013053e-33   1.000000e+02
2.169384e-03   3.386773e-33   1.000000e+02
2.189477e-03   3.812238e-33   1.000000e+02
2.209756e-03   4.297268e-33   1.000000e+02
2.230223e-03   4.850960e-33   1.000000e+02
2.250880e-03   5.483903e-33   1.000000e+02
2.271728e-03   6.208445e-33   1.000000e+02
2.292769e-03   7.039000e-33   1.000000e+02
2.314005e-03   7.992420e-33   1.000000e+02
2.335438e-03   9.088432e-33   1.000000e+02
2.357069e-03   1.035016e-32   1.000000e+02
2.378901e-03   1.180475e-32   1.000000e+02
2.400935e-03   1.348410e-32   1.000000e+02
2.423173e-03   1.542578e-32   1.000000e+02
2.445617e-03   1.767405e-32   1.000000e+02
2.468268e-03   2.028117e-32   1.000000e+02
2.491130e-03   2.330892e-32   1.000000e+02
2.514203e-03   2.683042e-32   1.000000e+02
2.537490e-03   3.093237e-32   1.000000e+02
2.560993e-03   3.571769e-32   1.000000e+02
2.584714e-03   4.130876e-32   1.000000e+02
2.608654e-03   4.785129e-32   1.000000e+02
2.632815e-03   5.551904e-32   1.000000e+02
2.657201e-03   6.451953e-32   1.000000e+02
2.681813e-03   7.510096e-32   1.000000e+02
2.706652e-03   8.756064e-32   1.000000e+02
2.731722e-03   1.022553e-31   1.000000e+02
2.757023e-03   1.196134e-31   1.000000e+02
2.782559e-03   1.401508e-31   1.000000e+02
2.808332e-03   1.644889e-31   1.000000e+02
2.834343e-03   1.933783e-31   1.000000e+02
2.860596e-03   2.277260e-31   1.000000e+02
2.887091e-03   2.686306e-31   1.000000e+02
2.913832e-03   3.174245e-31   1.000000e+02
2.940820e-03   3.757262e-31   1.000000e+02
2.968059e-03   4.455054e-31   1.000000e+02
2.995549e-03   5.291623e-31   1.000000e+02
3.023295e-03   6.296390e-31   1.000000e+02
3.051297e-03   7.506328e-31   1.000000e+02
3.079559e-03   8.967772e-31   1.000000e+02
3.108082e-03   1.073868e-30   1.000000e+02
3.136870e-03   1.289182e-30   1.000000e+02
3.165924e-03   1.551898e-30   1.000000e+02
3.195248e-03   1.873638e-30   1.000000e+02
3.224842e-03   2.269182e-30   1.000000e+02
3.254712e-03   2.757419e-30   1.000000e+02
3.284857e-03   3.362588e-30   1.000000e+02
3.315282e-03   4.115952e-30   1.000000e+02
3.345989e-03   5.058021e-30   1.000000e+02
3.376980e-03   6.241555e-30   1.000000e+02
3.408259e-03   7.735615e-30   1.000000e+02
3.439826e-03   9.631075e-30   1.000000e+02
3.471687e-03   1.204816e-29   1.000000e+02
3.503842e-03   1.514679e-29   1.000000e+02
3.536296e-03   1.914092e-29   1.000000e+02
3.569049e-03   2.431840e-29   1.000000e+02
3.602107e-03   3.106888e-29   1.000000e+02
3.635470e-03   3.992293e-29   1.000000e+02
3.669142e-03   5.160759e-29   1.000000e+02
