# Be11 + p > Be9 + t   [Be11_p__Be9_t]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.13062 beta=0 gamma=-13.5527  Q=1.1656
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.039486e-35   1.000000e+02
1.018610e-03   1.081382e-35   1.000000e+02
1.028045e-03   1.125865e-35   1.000000e+02
1.037567e-03   1.173126e-35   1.000000e+02
1.047177e-03   1.223373e-35   1.000000e+02
1.056876e-03   1.276833e-35   1.000000e+02
1.066665e-03   1.333749e-35   1.000000e+02
1.076545e-03   1.394391e-35   1.000000e+02
1.086516e-03   1.459048e-35   1.000000e+02
1.096579e-03   1.528037e-35   1.000000e+02
1.106736e-03   1.601704e-35   1.000000e+02
1.116987e-03   1.680426e-35   1.000000e+02
1.127333e-03   1.764614e-35   1.000000e+02
1.137774e-03   1.854720e-35   1.000000e+02
1.148312e-03   1.951235e-35   1.000000e+02
1.158948e-03   2.054699e-35   1.000000e+02
1.169683e-03   2.165703e-35   1.000000e+02
1.180517e-03   2.284896e-35   1.000000e+02
1.191451e-03   2.412990e-35   1.000000e+02
1.202486e-03   2.550766e-35   1.000000e+02
1.213624e-03   2.699085e-35   1.000000e+02
1.224865e-03   2.858893e-35   1.000000e+02
1.236210e-03   3.031234e-35   1.000000e+02
1.247660e-03   3.217258e-35   1.000000e+02
1.259216e-03   3.418234e-35   1.000000e+02
1.270879e-03   3.635565e-35   1.000000e+02
1.282650e-03   3.870802e-35   1.000000e+02
1.294530e-03   4.125661e-35   1.000000e+02
1.306520e-03   4.402043e-35   1.000000e+02
1.318621e-03   4.702058e-35   1.000000e+02
1.330835e-03   5.028046e-35   1.000000e+02
1.343161e-03   5.382608e-35   1.000000e+02
1.355602e-03   5.768637e-35   1.000000e+02
1.368158e-03   6.189354e-35   1.000000e+02
1.380830e-03   6.648348e-35   1.000000e+02
1.393619e-03   7.149622e-35   1.000000e+02
1.406527e-03   7.697649e-35   1.000000e+02
1.419555e-03   8.297427e-35   1.000000e+02
1.432703e-03   8.954551e-35   1.000000e+02
1.445973e-03   9.675287e-35   1.000000e+02
1.459366e-03   1.046666e-34   1.000000e+02
1.472883e-03   1.133657e-34   1.000000e+02
1.486525e-03   1.229388e-34   1.000000e+02
1.500293e-03   1.334856e-34   1.000000e+02
1.514189e-03   1.451186e-34   1.000000e+02
1.528214e-03   1.579645e-34   1.000000e+02
1.542369e-03   1.721664e-34   1.000000e+02
1.556654e-03   1.878859e-34   1.000000e+02
1.571072e-03   2.053061e-34   1.000000e+02
1.585624e-03   2.246343e-34   1.000000e+02
1.600310e-03   2.461056e-34   1.000000e+02
1.615133e-03   2.699868e-34   1.000000e+02
1.630092e-03   2.965816e-34   1.000000e+02
1.645191e-03   3.262354e-34   1.000000e+02
1.660429e-03   3.593418e-34   1.000000e+02
1.675808e-03   3.963500e-34   1.000000e+02
1.691330e-03   4.377733e-34   1.000000e+02
1.706995e-03   4.841987e-34   1.000000e+02
1.722805e-03   5.362983e-34   1.000000e+02
1.738762e-03   5.948433e-34   1.000000e+02
1.754867e-03   6.607187e-34   1.000000e+02
1.771121e-03   7.349422e-34   1.000000e+02
1.787526e-03   8.186855e-34   1.000000e+02
1.804082e-03   9.132989e-34   1.000000e+02
1.820792e-03   1.020341e-33   1.000000e+02
1.837656e-03   1.141614e-33   1.000000e+02
1.854677e-03   1.279202e-33   1.000000e+02
1.871855e-03   1.435521e-33   1.000000e+02
1.889193e-03   1.613375e-33   1.000000e+02
1.906691e-03   1.816022e-33   1.000000e+02
1.924351e-03   2.047253e-33   1.000000e+02
1.942175e-03   2.311487e-33   1.000000e+02
1.960163e-03   2.613878e-33   1.000000e+02
1.978319e-03   2.960452e-33   1.000000e+02
1.996642e-03   3.358258e-33   1.000000e+02
2.015136e-03   3.815560e-33   1.000000e+02
2.033800e-03   4.342054e-33   1.000000e+02
2.052638e-03   4.949138e-33   1.000000e+02
2.071650e-03   5.650229e-33   1.000000e+02
2.090838e-03   6.461143e-33   1.000000e+02
2.110203e-03   7.400552e-33   1.000000e+02
2.129749e-03   8.490535e-33   1.000000e+02
2.149475e-03   9.757236e-33   1.000000e+02
2.169384e-03   1.123166e-32   1.000000e+02
2.189477e-03   1.295065e-32   1.000000e+02
2.209756e-03   1.495801e-32   1.000000e+02
2.230223e-03   1.730596e-32   1.000000e+02
2.250880e-03   2.005681e-32   1.000000e+02
2.271728e-03   2.328503e-32   1.000000e+02
2.292769e-03   2.707980e-32   1.000000e+02
2.314005e-03   3.154803e-32   1.000000e+02
2.335438e-03   3.681815e-32   1.000000e+02
2.357069e-03   4.304467e-32   1.000000e+02
2.378901e-03   5.041375e-32   1.000000e+02
2.400935e-03   5.915012e-32   1.000000e+02
2.423173e-03   6.952546e-32   1.000000e+02
2.445617e-03   8.186881e-32   1.000000e+02
2.468268e-03   9.657930e-32   1.000000e+02
2.491130e-03   1.141420e-31   1.000000e+02
2.514203e-03   1.351472e-31   1.000000e+02
2.537490e-03   1.603148e-31   1.000000e+02
2.560993e-03   1.905241e-31   1.000000e+02
2.584714e-03   2.268510e-31   1.000000e+02
2.608654e-03   2.706142e-31   1.000000e+02
2.632815e-03   3.234329e-31   1.000000e+02
2.657201e-03   3.872988e-31   1.000000e+02
2.681813e-03   4.646664e-31   1.000000e+02
