# Be12 + He3 > Be11 + a   [Be12_He3__Be11_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.74559 beta=0 gamma=-202.026  Q=17.4093
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.000945e-35   1.000000e+02
1.018610e-03   1.001753e-35   1.000000e+02
1.028045e-03   1.002426e-35   1.000000e+02
1.037567e-03   1.002966e-35   1.000000e+02
1.047177e-03   1.003375e-35   1.000000e+02
1.056876e-03   1.003656e-35   1.000000e+02
1.066665e-03   1.003811e-35   1.000000e+02
1.076545e-03   1.003842e-35   1.000000e+02
1.086516e-03   1.003752e-35   1.000000e+02
1.096579e-03   1.003542e-35   1.000000e+02
1.106736e-03   1.003216e-35   1.000000e+02
1.116987e-03   1.002776e-35   1.000000e+02
1.127333e-03   1.002224e-35   1.000000e+02
1.137774e-03   1.001564e-35   1.000000e+02
1.148312e-03   1.000797e-35   1.000000e+02
1.158948e-03   9.999264e-36   1.000000e+02
1.169683e-03   9.989548e-36   1.000000e+02
1.180517e-03   9.978848e-36   1.000000e+02
1.191451e-03   9.967191e-36   1.000000e+02
1.202486e-03   9.954605e-36   1.000000e+02
1.213624e-03   9.941116e-36   1.000000e+02
1.224865e-03   9.926753e-36   1.000000e+02
1.236210e-03   9.911542e-36   1.000000e+02
1.247660e-03   9.895511e-36   1.000000e+02
1.259216e-03   9.878688e-36   1.000000e+02
1.270879e-03   9.861100e-36   1.000000e+02
1.282650e-03   9.842776e-36   1.000000e+02
1.294530e-03   9.823742e-36   1.000000e+02
1.306520e-03   9.804026e-36   1.000000e+02
1.318621e-03   9.783657e-36   1.000000e+02
1.330835e-03   9.762661e-36   1.000000e+02
1.343161e-03   9.741066e-36   1.000000e+02
1.355602e-03   9.718899e-36   1.000000e+02
1.368158e-03   9.696188e-36   1.000000e+02
1.380830e-03   9.672960e-36   1.000000e+02
1.393619e-03   9.649241e-36   1.000000e+02
1.406527e-03   9.625059e-36   1.000000e+02
1.419555e-03   9.600440e-36   1.000000e+02
1.432703e-03   9.575411e-36   1.000000e+02
1.445973e-03   9.549998e-36   1.000000e+02
1.459366e-03   9.524227e-36   1.000000e+02
1.472883e-03   9.498124e-36   1.000000e+02
1.486525e-03   9.471715e-36   1.000000e+02
1.500293e-03   9.445025e-36   1.000000e+02
