# Be12 + a > C15 + n   [Be12_a__C15_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.4173 beta=0 gamma=-110.91  Q=9.5575
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.999854e-36   1.000000e+02
1.018610e-03   9.999490e-36   1.000000e+02
1.028045e-03   9.998912e-36   1.000000e+02
1.037567e-03   9.998125e-36   1.000000e+02
1.047177e-03   9.997132e-36   1.000000e+02
1.056876e-03   9.995938e-36   1.000000e+02
1.066665e-03   9.994546e-36   1.000000e+02
1.076545e-03   9.992960e-36   1.000000e+02
1.086516e-03   9.991185e-36   1.000000e+02
1.096579e-03   9.989224e-36   1.000000e+02
1.106736e-03   9.987082e-36   1.000000e+02
1.116987e-03   9.984762e-36   1.000000e+02
1.127333e-03   9.982269e-36   1.000000e+02
1.137774e-03   9.979607e-36   1.000000e+02
1.148312e-03   9.976779e-36   1.000000e+02
1.158948e-03   9.973790e-36   1.000000e+02
1.169683e-03   9.970644e-36   1.000000e+02
1.180517e-03   9.967345e-36   1.000000e+02
1.191451e-03   9.963896e-36   1.000000e+02
1.202486e-03   9.960303e-36   1.000000e+02
1.213624e-03   9.956569e-36   1.000000e+02
1.224865e-03   9.952699e-36   1.000000e+02
1.236210e-03   9.948695e-36   1.000000e+02
1.247660e-03   9.944563e-36   1.000000e+02
1.259216e-03   9.940307e-36   1.000000e+02
1.270879e-03   9.935930e-36   1.000000e+02
1.282650e-03   9.931437e-36   1.000000e+02
1.294530e-03   9.926831e-36   1.000000e+02
1.306520e-03   9.922117e-36   1.000000e+02
1.318621e-03   9.917299e-36   1.000000e+02
1.330835e-03   9.912381e-36   1.000000e+02
1.343161e-03   9.907367e-36   1.000000e+02
1.355602e-03   9.902260e-36   1.000000e+02
1.368158e-03   9.897066e-36   1.000000e+02
1.380830e-03   9.891788e-36   1.000000e+02
1.393619e-03   9.886429e-36   1.000000e+02
1.406527e-03   9.880995e-36   1.000000e+02
1.419555e-03   9.875489e-36   1.000000e+02
1.432703e-03   9.869916e-36   1.000000e+02
1.445973e-03   9.864278e-36   1.000000e+02
1.459366e-03   9.858580e-36   1.000000e+02
1.472883e-03   9.852827e-36   1.000000e+02
1.486525e-03   9.847022e-36   1.000000e+02
1.500293e-03   9.841168e-36   1.000000e+02
1.514189e-03   9.835271e-36   1.000000e+02
1.528214e-03   9.829334e-36   1.000000e+02
1.542369e-03   9.823360e-36   1.000000e+02
1.556654e-03   9.817355e-36   1.000000e+02
