# Be12 + d > B14 + g   [Be12_d__B14_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.3439e+10 beta=1.5 gamma=-168.831  Q=14.5487
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.023021e-35   1.000000e+02
1.018610e-03   1.046723e-35   1.000000e+02
1.028045e-03   1.071140e-35   1.000000e+02
1.037567e-03   1.096308e-35   1.000000e+02
1.047177e-03   1.122264e-35   1.000000e+02
1.056876e-03   1.149049e-35   1.000000e+02
1.066665e-03   1.176704e-35   1.000000e+02
1.076545e-03   1.205274e-35   1.000000e+02
1.086516e-03   1.234807e-35   1.000000e+02
1.096579e-03   1.265351e-35   1.000000e+02
1.106736e-03   1.296960e-35   1.000000e+02
1.116987e-03   1.329689e-35   1.000000e+02
1.127333e-03   1.363598e-35   1.000000e+02
1.137774e-03   1.398749e-35   1.000000e+02
1.148312e-03   1.435208e-35   1.000000e+02
1.158948e-03   1.473044e-35   1.000000e+02
1.169683e-03   1.512334e-35   1.000000e+02
1.180517e-03   1.553155e-35   1.000000e+02
1.191451e-03   1.595592e-35   1.000000e+02
1.202486e-03   1.639733e-35   1.000000e+02
1.213624e-03   1.685673e-35   1.000000e+02
1.224865e-03   1.733512e-35   1.000000e+02
1.236210e-03   1.783357e-35   1.000000e+02
1.247660e-03   1.835322e-35   1.000000e+02
1.259216e-03   1.889527e-35   1.000000e+02
1.270879e-03   1.946102e-35   1.000000e+02
1.282650e-03   2.005184e-35   1.000000e+02
1.294530e-03   2.066919e-35   1.000000e+02
1.306520e-03   2.131463e-35   1.000000e+02
1.318621e-03   2.198983e-35   1.000000e+02
1.330835e-03   2.269656e-35   1.000000e+02
1.343161e-03   2.343673e-35   1.000000e+02
1.355602e-03   2.421237e-35   1.000000e+02
1.368158e-03   2.502566e-35   1.000000e+02
1.380830e-03   2.587891e-35   1.000000e+02
1.393619e-03   2.677463e-35   1.000000e+02
1.406527e-03   2.771547e-35   1.000000e+02
1.419555e-03   2.870431e-35   1.000000e+02
1.432703e-03   2.974421e-35   1.000000e+02
1.445973e-03   3.083847e-35   1.000000e+02
1.459366e-03   3.199062e-35   1.000000e+02
1.472883e-03   3.320449e-35   1.000000e+02
1.486525e-03   3.448415e-35   1.000000e+02
1.500293e-03   3.583401e-35   1.000000e+02
1.514189e-03   3.725881e-35   1.000000e+02
1.528214e-03   3.876367e-35   1.000000e+02
1.542369e-03   4.035409e-35   1.000000e+02
1.556654e-03   4.203601e-35   1.000000e+02
1.571072e-03   4.381587e-35   1.000000e+02
1.585624e-03   4.570057e-35   1.000000e+02
1.600310e-03   4.769763e-35   1.000000e+02
1.615133e-03   4.981516e-35   1.000000e+02
1.630092e-03   5.206192e-35   1.000000e+02
1.645191e-03   5.444743e-35   1.000000e+02
1.660429e-03   5.698200e-35   1.000000e+02
1.675808e-03   5.967681e-35   1.000000e+02
1.691330e-03   6.254400e-35   1.000000e+02
1.706995e-03   6.559676e-35   1.000000e+02
1.722805e-03   6.884943e-35   1.000000e+02
1.738762e-03   7.231761e-35   1.000000e+02
1.754867e-03   7.601828e-35   1.000000e+02
1.771121e-03   7.996996e-35   1.000000e+02
1.787526e-03   8.419282e-35   1.000000e+02
1.804082e-03   8.870889e-35   1.000000e+02
1.820792e-03   9.354222e-35   1.000000e+02
1.837656e-03   9.871910e-35   1.000000e+02
1.854677e-03   1.042683e-34   1.000000e+02
1.871855e-03   1.102212e-34   1.000000e+02
1.889193e-03   1.166124e-34   1.000000e+02
1.906691e-03   1.234797e-34   1.000000e+02
1.924351e-03   1.308645e-34   1.000000e+02
1.942175e-03   1.388125e-34   1.000000e+02
1.960163e-03   1.473736e-34   1.000000e+02
1.978319e-03   1.566031e-34   1.000000e+02
1.996642e-03   1.665615e-34   1.000000e+02
2.015136e-03   1.773157e-34   1.000000e+02
2.033800e-03   1.889395e-34   1.000000e+02
2.052638e-03   2.015142e-34   1.000000e+02
2.071650e-03   2.151298e-34   1.000000e+02
2.090838e-03   2.298856e-34   1.000000e+02
2.110203e-03   2.458919e-34   1.000000e+02
2.129749e-03   2.632704e-34   1.000000e+02
2.149475e-03   2.821564e-34   1.000000e+02
2.169384e-03   3.027000e-34   1.000000e+02
2.189477e-03   3.250679e-34   1.000000e+02
2.209756e-03   3.494455e-34   1.000000e+02
2.230223e-03   3.760392e-34   1.000000e+02
2.250880e-03   4.050787e-34   1.000000e+02
2.271728e-03   4.368205e-34   1.000000e+02
2.292769e-03   4.715508e-34   1.000000e+02
2.314005e-03   5.095893e-34   1.000000e+02
2.335438e-03   5.512937e-34   1.000000e+02
2.357069e-03   5.970643e-34   1.000000e+02
2.378901e-03   6.473501e-34   1.000000e+02
2.400935e-03   7.026545e-34   1.000000e+02
2.423173e-03   7.635430e-34   1.000000e+02
2.445617e-03   8.306512e-34   1.000000e+02
2.468268e-03   9.046946e-34   1.000000e+02
2.491130e-03   9.864793e-34   1.000000e+02
2.514203e-03   1.076914e-33   1.000000e+02
2.537490e-03   1.177026e-33   1.000000e+02
2.560993e-03   1.287974e-33   1.000000e+02
2.584714e-03   1.411072e-33   1.000000e+02
2.608654e-03   1.547805e-33   1.000000e+02
2.632815e-03   1.699861e-33   1.000000e+02
2.657201e-03   1.869153e-33   1.000000e+02
2.681813e-03   2.057857e-33   1.000000e+02
2.706652e-03   2.268449e-33   1.000000e+02
2.731722e-03   2.503750e-33   1.000000e+02
2.757023e-03   2.766976e-33   1.000000e+02
2.782559e-03   3.061800e-33   1.000000e+02
