# Be12 + p > B12 + n   [Be12_p__B12_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.33344 beta=0 gamma=-126.788  Q=10.9258
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.043922e-35   1.000000e+02
1.018610e-03   1.090981e-35   1.000000e+02
1.028045e-03   1.141433e-35   1.000000e+02
1.037567e-03   1.195563e-35   1.000000e+02
1.047177e-03   1.253680e-35   1.000000e+02
1.056876e-03   1.316126e-35   1.000000e+02
1.066665e-03   1.383274e-35   1.000000e+02
1.076545e-03   1.455536e-35   1.000000e+02
1.086516e-03   1.533366e-35   1.000000e+02
1.096579e-03   1.617262e-35   1.000000e+02
1.106736e-03   1.707776e-35   1.000000e+02
1.116987e-03   1.805514e-35   1.000000e+02
1.127333e-03   1.911148e-35   1.000000e+02
1.137774e-03   2.025420e-35   1.000000e+02
1.148312e-03   2.149153e-35   1.000000e+02
1.158948e-03   2.283256e-35   1.000000e+02
1.169683e-03   2.428740e-35   1.000000e+02
1.180517e-03   2.586725e-35   1.000000e+02
1.191451e-03   2.758459e-35   1.000000e+02
1.202486e-03   2.945326e-35   1.000000e+02
1.213624e-03   3.148871e-35   1.000000e+02
1.224865e-03   3.370815e-35   1.000000e+02
1.236210e-03   3.613078e-35   1.000000e+02
1.247660e-03   3.877806e-35   1.000000e+02
1.259216e-03   4.167398e-35   1.000000e+02
1.270879e-03   4.484541e-35   1.000000e+02
1.282650e-03   4.832245e-35   1.000000e+02
1.294530e-03   5.213889e-35   1.000000e+02
1.306520e-03   5.633267e-35   1.000000e+02
1.318621e-03   6.094646e-35   1.000000e+02
1.330835e-03   6.602831e-35   1.000000e+02
1.343161e-03   7.163236e-35   1.000000e+02
1.355602e-03   7.781973e-35   1.000000e+02
1.368158e-03   8.465942e-35   1.000000e+02
1.380830e-03   9.222953e-35   1.000000e+02
1.393619e-03   1.006185e-34   1.000000e+02
1.406527e-03   1.099264e-34   1.000000e+02
1.419555e-03   1.202673e-34   1.000000e+02
1.432703e-03   1.317702e-34   1.000000e+02
1.445973e-03   1.445825e-34   1.000000e+02
1.459366e-03   1.588717e-34   1.000000e+02
1.472883e-03   1.748291e-34   1.000000e+02
1.486525e-03   1.926731e-34   1.000000e+02
1.500293e-03   2.126536e-34   1.000000e+02
1.514189e-03   2.350564e-34   1.000000e+02
1.528214e-03   2.602096e-34   1.000000e+02
1.542369e-03   2.884898e-34   1.000000e+02
1.556654e-03   3.203297e-34   1.000000e+02
1.571072e-03   3.562275e-34   1.000000e+02
1.585624e-03   3.967575e-34   1.000000e+02
1.600310e-03   4.425824e-34   1.000000e+02
1.615133e-03   4.944682e-34   1.000000e+02
1.630092e-03   5.533013e-34   1.000000e+02
1.645191e-03   6.201090e-34   1.000000e+02
1.660429e-03   6.960833e-34   1.000000e+02
1.675808e-03   7.826097e-34   1.000000e+02
1.691330e-03   8.813001e-34   1.000000e+02
1.706995e-03   9.940334e-34   1.000000e+02
1.722805e-03   1.123002e-33   1.000000e+02
1.738762e-03   1.270769e-33   1.000000e+02
1.754867e-03   1.440332e-33   1.000000e+02
1.771121e-03   1.635208e-33   1.000000e+02
1.787526e-03   1.859522e-33   1.000000e+02
1.804082e-03   2.118124e-33   1.000000e+02
1.820792e-03   2.416726e-33   1.000000e+02
1.837656e-03   2.762059e-33   1.000000e+02
1.854677e-03   3.162075e-33   1.000000e+02
1.871855e-03   3.626175e-33   1.000000e+02
1.889193e-03   4.165496e-33   1.000000e+02
1.906691e-03   4.793248e-33   1.000000e+02
1.924351e-03   5.525126e-33   1.000000e+02
1.942175e-03   6.379806e-33   1.000000e+02
1.960163e-03   7.379547e-33   1.000000e+02
1.978319e-03   8.550917e-33   1.000000e+02
1.996642e-03   9.925682e-33   1.000000e+02
2.015136e-03   1.154188e-32   1.000000e+02
2.033800e-03   1.344514e-32   1.000000e+02
2.052638e-03   1.569027e-32   1.000000e+02
2.071650e-03   1.834322e-32   1.000000e+02
2.090838e-03   2.148350e-32   1.000000e+02
2.110203e-03   2.520708e-32   1.000000e+02
2.129749e-03   2.963001e-32   1.000000e+02
2.149475e-03   3.489289e-32   1.000000e+02
2.169384e-03   4.116629e-32   1.000000e+02
2.189477e-03   4.865754e-32   1.000000e+02
2.209756e-03   5.761904e-32   1.000000e+02
2.230223e-03   6.835861e-32   1.000000e+02
2.250880e-03   8.125231e-32   1.000000e+02
2.271728e-03   9.676033e-32   1.000000e+02
2.292769e-03   1.154468e-31   1.000000e+02
2.314005e-03   1.380046e-31   1.000000e+02
2.335438e-03   1.652859e-31   1.000000e+02
2.357069e-03   1.983412e-31   1.000000e+02
2.378901e-03   2.384672e-31   1.000000e+02
2.400935e-03   2.872676e-31   1.000000e+02
2.423173e-03   3.467298e-31   1.000000e+02
2.445617e-03   4.193203e-31   1.000000e+02
2.468268e-03   5.081065e-31   1.000000e+02
2.491130e-03   6.169099e-31   1.000000e+02
2.514203e-03   7.504998e-31   1.000000e+02
2.537490e-03   9.148402e-31   1.000000e+02
2.560993e-03   1.117402e-30   1.000000e+02
2.584714e-03   1.367564e-30   1.000000e+02
2.608654e-03   1.677116e-30   1.000000e+02
2.632815e-03   2.060914e-30   1.000000e+02
2.657201e-03   2.537710e-30   1.000000e+02
2.681813e-03   3.131217e-30   1.000000e+02
2.706652e-03   3.871484e-30   1.000000e+02
2.731722e-03   4.796657e-30   1.000000e+02
2.757023e-03   5.955260e-30   1.000000e+02
2.782559e-03   7.409135e-30   1.000000e+02
2.808332e-03   9.237254e-30   1.000000e+02
2.834343e-03   1.154066e-29   1.000000e+02
2.860596e-03   1.444891e-29   1.000000e+02
2.887091e-03   1.812840e-29   1.000000e+02
2.913832e-03   2.279335e-29   1.000000e+02
2.940820e-03   2.872003e-29   1.000000e+02
2.968059e-03   3.626550e-29   1.000000e+02
2.995549e-03   4.589213e-29   1.000000e+02
3.023295e-03   5.820160e-29   1.000000e+02
3.051297e-03   7.399153e-29   1.000000e+02
3.079559e-03   9.432140e-29   1.000000e+02
3.108082e-03   1.206009e-28   1.000000e+02
3.136870e-03   1.547156e-28   1.000000e+02
3.165924e-03   1.992010e-28   1.000000e+02
3.195248e-03   2.574863e-28   1.000000e+02
3.224842e-03   3.342356e-28   1.000000e+02
3.254712e-03   4.358310e-28   1.000000e+02
3.284857e-03   5.710595e-28   1.000000e+02
3.315282e-03   7.520965e-28   1.000000e+02
3.345989e-03   9.959224e-28   1.000000e+02
3.376980e-03   1.326381e-27   1.000000e+02
3.408259e-03   1.777185e-27   1.000000e+02
3.439826e-03   2.396347e-27   1.000000e+02
3.471687e-03   3.252749e-27   1.000000e+02
3.503842e-03   4.445963e-27   1.000000e+02
3.536296e-03   6.121061e-27   1.000000e+02
3.569049e-03   8.491103e-27   1.000000e+02
3.602107e-03   1.187159e-26   1.000000e+02
3.635470e-03   1.673371e-26   1.000000e+02
3.669142e-03   2.378728e-26   1.000000e+02
3.703127e-03   3.411127e-26   1.000000e+02
3.737426e-03   4.936080e-26   1.000000e+02
3.772042e-03   7.209891e-26   1.000000e+02
3.806980e-03   1.063331e-25   1.000000e+02
3.842241e-03   1.583917e-25   1.000000e+02
3.877828e-03   2.383699e-25   1.000000e+02
3.913746e-03   3.625405e-25   1.000000e+02
3.949995e-03   5.574152e-25   1.000000e+02
3.986581e-03   8.666604e-25   1.000000e+02
4.023506e-03   1.362920e-24   1.000000e+02
4.060772e-03   2.166627e-24   1.000000e+02
4.098384e-03   3.477585e-24   1.000000e+02
4.136344e-03   5.629027e-24   1.000000e+02
4.174655e-03   9.177685e-24   1.000000e+02
4.213322e-03   1.505426e-23   1.000000e+02
4.252346e-03   2.481385e-23   1.000000e+02
4.291732e-03   4.105062e-23   1.000000e+02
4.331483e-03   6.807980e-23   1.000000e+02
4.371602e-03   1.130504e-22   1.000000e+02
4.412093e-03   1.877427e-22   1.000000e+02
4.452959e-03   3.114395e-22   1.000000e+02
4.494203e-03   5.154495e-22   1.000000e+02
4.535829e-03   8.501244e-22   1.000000e+02
4.577841e-03   1.395549e-21   1.000000e+02
4.620241e-03   2.277486e-21   1.000000e+02
4.663035e-03   3.690601e-21   1.000000e+02
4.706225e-03   5.931318e-21   1.000000e+02
4.749815e-03   9.442787e-21   1.000000e+02
4.793808e-03   1.487395e-20   1.000000e+02
4.838210e-03   2.315324e-20   1.000000e+02
4.883022e-03   3.557449e-20   1.000000e+02
4.928250e-03   5.388765e-20   1.000000e+02
4.973896e-03   8.037958e-20   1.000000e+02
5.019965e-03   1.179246e-19   1.000000e+02
5.066461e-03   1.701422e-19   1.000000e+02
5.113388e-03   2.416877e-19   1.000000e+02
5.160749e-03   3.384145e-19   1.000000e+02
5.208549e-03   4.676410e-19   1.000000e+02
5.256791e-03   6.385025e-19   1.000000e+02
5.305481e-03   8.624145e-19   1.000000e+02
5.354621e-03   1.153693e-18   1.000000e+02
5.404216e-03   1.530390e-18   1.000000e+02
5.454271e-03   2.015436e-18   1.000000e+02
5.504790e-03   2.638203e-18   1.000000e+02
5.555776e-03   3.436660e-18   1.000000e+02
5.607235e-03   4.460377e-18   1.000000e+02
5.659170e-03   5.774711e-18   1.000000e+02
5.711586e-03   7.466718e-18   1.000000e+02
5.764488e-03   9.653554e-18   1.000000e+02
5.817880e-03   1.249453e-17   1.000000e+02
5.871766e-03   1.620858e-17   1.000000e+02
5.926152e-03   2.109986e-17   1.000000e+02
5.981041e-03   2.759567e-17   1.000000e+02
6.036439e-03   3.630051e-17   1.000000e+02
6.092349e-03   4.803692e-17   1.000000e+02
6.148778e-03   6.392066e-17   1.000000e+02
6.205729e-03   8.549079e-17   1.000000e+02
6.263207e-03   1.148729e-16   1.000000e+02
6.321218e-03   1.550045e-16   1.000000e+02
6.379767e-03   2.099459e-16   1.000000e+02
6.438857e-03   2.853090e-16   1.000000e+02
6.498495e-03   3.888452e-16   1.000000e+02
6.558686e-03   5.312503e-16   1.000000e+02
6.619433e-03   7.272627e-16   1.000000e+02
6.680744e-03   9.971515e-16   1.000000e+02
6.742622e-03   1.368728e-15   1.000000e+02
6.805074e-03   1.880040e-15   1.000000e+02
6.868104e-03   2.582972e-15   1.000000e+02
6.931717e-03   3.547995e-15   1.000000e+02
6.995920e-03   4.870408e-15   1.000000e+02
7.060718e-03   6.678883e-15   1.000000e+02
7.126115e-03   9.149064e-15   1.000000e+02
7.192119e-03   1.252000e-14   1.000000e+02
