# Be7 + He3 > a + a + p + p   [Be7_He3__a_a_p_p]   ref=Caughlan& Fowler 1988 & Malaney& Fowler 1989
# forward[T9] = With[{T923=T9^(2/3),T913=T9^(1/3)},6.11*^+13/T923*Exp[-21.793/T913]]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   1.381162e-79   3.000000e+00
1.009262e-03   2.679126e-79   3.000000e+00
1.018610e-03   5.186213e-79   3.000000e+00
1.028045e-03   1.001888e-78   3.000000e+00
1.037567e-03   1.931534e-78   3.000000e+00
1.047177e-03   3.716230e-78   3.000000e+00
1.056876e-03   7.135469e-78   3.000000e+00
1.066665e-03   1.367304e-77   3.000000e+00
1.076545e-03   2.614764e-77   3.000000e+00
1.086516e-03   4.990314e-77   3.000000e+00
1.096579e-03   9.505035e-77   3.000000e+00
1.106736e-03   1.806811e-76   3.000000e+00
1.116987e-03   3.427738e-76   3.000000e+00
1.127333e-03   6.489945e-76   3.000000e+00
1.137774e-03   1.226353e-75   3.000000e+00
1.148312e-03   2.312777e-75   3.000000e+00
1.158948e-03   4.353098e-75   3.000000e+00
1.169683e-03   8.177340e-75   3.000000e+00
1.180517e-03   1.533124e-74   3.000000e+00
1.191451e-03   2.868777e-74   3.000000e+00
1.202486e-03   5.357635e-74   3.000000e+00
1.213624e-03   9.986398e-74   3.000000e+00
1.224865e-03   1.857833e-73   3.000000e+00
1.236210e-03   3.449601e-73   3.000000e+00
1.247660e-03   6.392905e-73   3.000000e+00
1.259216e-03   1.182490e-72   3.000000e+00
1.270879e-03   2.183075e-72   3.000000e+00
1.282650e-03   4.022672e-72   3.000000e+00
1.294530e-03   7.398403e-72   3.000000e+00
1.306520e-03   1.358129e-71   3.000000e+00
1.318621e-03   2.488437e-71   3.000000e+00
1.330835e-03   4.550897e-71   3.000000e+00
1.343161e-03   8.307201e-71   3.000000e+00
1.355602e-03   1.513569e-70   3.000000e+00
1.368158e-03   2.752594e-70   3.000000e+00
1.380830e-03   4.996625e-70   3.000000e+00
1.393619e-03   9.053338e-70   3.000000e+00
1.406527e-03   1.637346e-69   3.000000e+00
1.419555e-03   2.955795e-69   3.000000e+00
1.432703e-03   5.326143e-69   3.000000e+00
1.445973e-03   9.579844e-69   3.000000e+00
1.459366e-03   1.719941e-68   3.000000e+00
1.472883e-03   3.082340e-68   3.000000e+00
1.486525e-03   5.513940e-68   3.000000e+00
1.500293e-03   9.846009e-68   3.000000e+00
1.514189e-03   1.755002e-67   3.000000e+00
1.528214e-03   3.122601e-67   3.000000e+00
1.542369e-03   5.545995e-67   3.000000e+00
1.556654e-03   9.832607e-67   3.000000e+00
1.571072e-03   1.740150e-66   3.000000e+00
1.585624e-03   3.074225e-66   3.000000e+00
1.600310e-03   5.421484e-66   3.000000e+00
1.615133e-03   9.544132e-66   3.000000e+00
1.630092e-03   1.677231e-65   3.000000e+00
1.645191e-03   2.942319e-65   3.000000e+00
1.660429e-03   5.152635e-65   3.000000e+00
1.675808e-03   9.007706e-65   3.000000e+00
1.691330e-03   1.571978e-64   3.000000e+00
1.706995e-03   2.738599e-64   3.000000e+00
1.722805e-03   4.762802e-64   3.000000e+00
1.738762e-03   8.268961e-64   3.000000e+00
1.754867e-03   1.433164e-63   3.000000e+00
1.771121e-03   2.479705e-63   3.000000e+00
1.787526e-03   4.283169e-63   3.000000e+00
1.804082e-03   7.385737e-63   3.000000e+00
1.820792e-03   1.271417e-62   3.000000e+00
1.837656e-03   2.184995e-62   3.000000e+00
1.854677e-03   3.748721e-62   3.000000e+00
1.871855e-03   6.420784e-62   3.000000e+00
1.889193e-03   1.097913e-61   3.000000e+00
1.906691e-03   1.874237e-61   3.000000e+00
1.924351e-03   3.194186e-61   3.000000e+00
1.942175e-03   5.434721e-61   3.000000e+00
1.960163e-03   9.231621e-61   3.000000e+00
1.978319e-03   1.565541e-60   3.000000e+00
1.996642e-03   2.650567e-60   3.000000e+00
2.015136e-03   4.480260e-60   3.000000e+00
2.033800e-03   7.560665e-60   3.000000e+00
2.052638e-03   1.273829e-59   3.000000e+00
2.071650e-03   2.142689e-59   3.000000e+00
2.090838e-03   3.598371e-59   3.000000e+00
2.110203e-03   6.033282e-59   3.000000e+00
2.129749e-03   1.009960e-58   3.000000e+00
2.149475e-03   1.687953e-58   3.000000e+00
2.169384e-03   2.816591e-58   3.000000e+00
2.189477e-03   4.692417e-58   3.000000e+00
2.209756e-03   7.805148e-58   3.000000e+00
2.230223e-03   1.296222e-57   3.000000e+00
2.250880e-03   2.149282e-57   3.000000e+00
2.271728e-03   3.558159e-57   3.000000e+00
2.292769e-03   5.881354e-57   3.000000e+00
2.314005e-03   9.706250e-57   3.000000e+00
2.335438e-03   1.599373e-56   3.000000e+00
2.357069e-03   2.631324e-56   3.000000e+00
2.378901e-03   4.322422e-56   3.000000e+00
2.400935e-03   7.089416e-56   3.000000e+00
2.423173e-03   1.160984e-55   3.000000e+00
2.445617e-03   1.898351e-55   3.000000e+00
2.468268e-03   3.099297e-55   3.000000e+00
