# Be7 + t > Li7 + He3   [Be7_t__Li7_He3]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.0002 beta=0 gamma=-10.2176  Q=0.8805
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.028388e-35   1.000000e+02
1.018610e-03   1.058017e-35   1.000000e+02
1.028045e-03   1.088958e-35   1.000000e+02
1.037567e-03   1.121287e-35   1.000000e+02
1.047177e-03   1.155084e-35   1.000000e+02
1.056876e-03   1.190437e-35   1.000000e+02
1.066665e-03   1.227436e-35   1.000000e+02
1.076545e-03   1.266181e-35   1.000000e+02
1.086516e-03   1.306775e-35   1.000000e+02
1.096579e-03   1.349332e-35   1.000000e+02
1.106736e-03   1.393971e-35   1.000000e+02
1.116987e-03   1.440822e-35   1.000000e+02
1.127333e-03   1.490020e-35   1.000000e+02
1.137774e-03   1.541714e-35   1.000000e+02
1.148312e-03   1.596061e-35   1.000000e+02
1.158948e-03   1.653232e-35   1.000000e+02
1.169683e-03   1.713407e-35   1.000000e+02
1.180517e-03   1.776782e-35   1.000000e+02
1.191451e-03   1.843568e-35   1.000000e+02
1.202486e-03   1.913990e-35   1.000000e+02
1.213624e-03   1.988290e-35   1.000000e+02
1.224865e-03   2.066730e-35   1.000000e+02
1.236210e-03   2.149593e-35   1.000000e+02
1.247660e-03   2.237181e-35   1.000000e+02
1.259216e-03   2.329823e-35   1.000000e+02
1.270879e-03   2.427872e-35   1.000000e+02
1.282650e-03   2.531711e-35   1.000000e+02
1.294530e-03   2.641751e-35   1.000000e+02
1.306520e-03   2.758441e-35   1.000000e+02
1.318621e-03   2.882264e-35   1.000000e+02
1.330835e-03   3.013742e-35   1.000000e+02
1.343161e-03   3.153445e-35   1.000000e+02
1.355602e-03   3.301987e-35   1.000000e+02
1.368158e-03   3.460037e-35   1.000000e+02
1.380830e-03   3.628321e-35   1.000000e+02
1.393619e-03   3.807628e-35   1.000000e+02
1.406527e-03   3.998815e-35   1.000000e+02
1.419555e-03   4.202817e-35   1.000000e+02
1.432703e-03   4.420651e-35   1.000000e+02
1.445973e-03   4.653428e-35   1.000000e+02
1.459366e-03   4.902356e-35   1.000000e+02
1.472883e-03   5.168757e-35   1.000000e+02
1.486525e-03   5.454076e-35   1.000000e+02
1.500293e-03   5.759890e-35   1.000000e+02
1.514189e-03   6.087927e-35   1.000000e+02
1.528214e-03   6.440079e-35   1.000000e+02
1.542369e-03   6.818421e-35   1.000000e+02
1.556654e-03   7.225226e-35   1.000000e+02
1.571072e-03   7.662993e-35   1.000000e+02
1.585624e-03   8.134466e-35   1.000000e+02
1.600310e-03   8.642662e-35   1.000000e+02
1.615133e-03   9.190903e-35   1.000000e+02
1.630092e-03   9.782847e-35   1.000000e+02
1.645191e-03   1.042253e-34   1.000000e+02
1.660429e-03   1.111439e-34   1.000000e+02
1.675808e-03   1.186336e-34   1.000000e+02
1.691330e-03   1.267486e-34   1.000000e+02
1.706995e-03   1.355491e-34   1.000000e+02
1.722805e-03   1.451015e-34   1.000000e+02
1.738762e-03   1.554797e-34   1.000000e+02
1.754867e-03   1.667654e-34   1.000000e+02
1.771121e-03   1.790495e-34   1.000000e+02
1.787526e-03   1.924329e-34   1.000000e+02
1.804082e-03   2.070280e-34   1.000000e+02
1.820792e-03   2.229597e-34   1.000000e+02
1.837656e-03   2.403675e-34   1.000000e+02
1.854677e-03   2.594068e-34   1.000000e+02
1.871855e-03   2.802512e-34   1.000000e+02
1.889193e-03   3.030947e-34   1.000000e+02
1.906691e-03   3.281544e-34   1.000000e+02
1.924351e-03   3.556735e-34   1.000000e+02
1.942175e-03   3.859244e-34   1.000000e+02
1.960163e-03   4.192132e-34   1.000000e+02
1.978319e-03   4.558834e-34   1.000000e+02
1.996642e-03   4.963214e-34   1.000000e+02
2.015136e-03   5.409622e-34   1.000000e+02
2.033800e-03   5.902958e-34   1.000000e+02
2.052638e-03   6.448754e-34   1.000000e+02
2.071650e-03   7.053251e-34   1.000000e+02
2.090838e-03   7.723509e-34   1.000000e+02
