# Be9 + He3 > B10 + d   [Be9_He3__B10_d]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.59608 beta=0 gamma=-12.6767  Q=1.0924
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.001669e-35   1.000000e+02
1.018610e-03   1.003114e-35   1.000000e+02
1.028045e-03   1.004338e-35   1.000000e+02
1.037567e-03   1.005343e-35   1.000000e+02
1.047177e-03   1.006133e-35   1.000000e+02
1.056876e-03   1.006711e-35   1.000000e+02
1.066665e-03   1.007081e-35   1.000000e+02
1.076545e-03   1.007247e-35   1.000000e+02
1.086516e-03   1.007212e-35   1.000000e+02
1.096579e-03   1.006981e-35   1.000000e+02
1.106736e-03   1.006557e-35   1.000000e+02
1.116987e-03   1.005944e-35   1.000000e+02
1.127333e-03   1.005148e-35   1.000000e+02
1.137774e-03   1.004172e-35   1.000000e+02
1.148312e-03   1.003021e-35   1.000000e+02
1.158948e-03   1.001698e-35   1.000000e+02
1.169683e-03   1.000210e-35   1.000000e+02
1.180517e-03   9.985606e-36   1.000000e+02
1.191451e-03   9.967542e-36   1.000000e+02
1.202486e-03   9.947957e-36   1.000000e+02
1.213624e-03   9.926900e-36   1.000000e+02
1.224865e-03   9.904419e-36   1.000000e+02
1.236210e-03   9.880563e-36   1.000000e+02
1.247660e-03   9.855380e-36   1.000000e+02
1.259216e-03   9.828919e-36   1.000000e+02
1.270879e-03   9.801230e-36   1.000000e+02
1.282650e-03   9.772360e-36   1.000000e+02
1.294530e-03   9.742360e-36   1.000000e+02
1.306520e-03   9.711279e-36   1.000000e+02
1.318621e-03   9.679164e-36   1.000000e+02
1.330835e-03   9.646065e-36   1.000000e+02
1.343161e-03   9.612030e-36   1.000000e+02
1.355602e-03   9.577108e-36   1.000000e+02
1.368158e-03   9.541345e-36   1.000000e+02
1.380830e-03   9.504791e-36   1.000000e+02
1.393619e-03   9.467491e-36   1.000000e+02
1.406527e-03   9.429494e-36   1.000000e+02
1.419555e-03   9.390844e-36   1.000000e+02
1.432703e-03   9.351589e-36   1.000000e+02
1.445973e-03   9.311773e-36   1.000000e+02
1.459366e-03   9.271441e-36   1.000000e+02
1.472883e-03   9.230637e-36   1.000000e+02
1.486525e-03   9.189406e-36   1.000000e+02
1.500293e-03   9.147791e-36   1.000000e+02
1.514189e-03   9.105833e-36   1.000000e+02
1.528214e-03   9.063575e-36   1.000000e+02
1.542369e-03   9.021058e-36   1.000000e+02
1.556654e-03   8.978323e-36   1.000000e+02
1.571072e-03   8.935410e-36   1.000000e+02
1.585624e-03   8.892357e-36   1.000000e+02
1.600310e-03   8.849205e-36   1.000000e+02
1.615133e-03   8.805990e-36   1.000000e+02
1.630092e-03   8.762749e-36   1.000000e+02
1.645191e-03   8.719520e-36   1.000000e+02
1.660429e-03   8.676339e-36   1.000000e+02
1.675808e-03   8.633240e-36   1.000000e+02
1.691330e-03   8.590258e-36   1.000000e+02
1.706995e-03   8.547426e-36   1.000000e+02
1.722805e-03   8.504779e-36   1.000000e+02
1.738762e-03   8.462348e-36   1.000000e+02
1.754867e-03   8.420166e-36   1.000000e+02
1.771121e-03   8.378263e-36   1.000000e+02
1.787526e-03   8.336670e-36   1.000000e+02
1.804082e-03   8.295417e-36   1.000000e+02
1.820792e-03   8.254533e-36   1.000000e+02
1.837656e-03   8.214047e-36   1.000000e+02
1.854677e-03   8.173987e-36   1.000000e+02
1.871855e-03   8.134381e-36   1.000000e+02
1.889193e-03   8.095255e-36   1.000000e+02
1.906691e-03   8.056637e-36   1.000000e+02
1.924351e-03   8.018551e-36   1.000000e+02
1.942175e-03   7.981023e-36   1.000000e+02
1.960163e-03   7.944079e-36   1.000000e+02
1.978319e-03   7.907742e-36   1.000000e+02
1.996642e-03   7.872037e-36   1.000000e+02
2.015136e-03   7.836987e-36   1.000000e+02
2.033800e-03   7.802616e-36   1.000000e+02
2.052638e-03   7.768946e-36   1.000000e+02
2.071650e-03   7.736000e-36   1.000000e+02
2.090838e-03   7.703800e-36   1.000000e+02
2.110203e-03   7.672367e-36   1.000000e+02
2.129749e-03   7.641725e-36   1.000000e+02
2.149475e-03   7.611892e-36   1.000000e+02
2.169384e-03   7.582892e-36   1.000000e+02
2.189477e-03   7.554745e-36   1.000000e+02
2.209756e-03   7.527471e-36   1.000000e+02
2.230223e-03   7.501091e-36   1.000000e+02
2.250880e-03   7.475626e-36   1.000000e+02
2.271728e-03   7.451096e-36   1.000000e+02
2.292769e-03   7.427522e-36   1.000000e+02
2.314005e-03   7.404924e-36   1.000000e+02
2.335438e-03   7.383322e-36   1.000000e+02
2.357069e-03   7.362738e-36   1.000000e+02
2.378901e-03   7.343190e-36   1.000000e+02
2.400935e-03   7.324701e-36   1.000000e+02
2.423173e-03   7.307291e-36   1.000000e+02
2.445617e-03   7.290981e-36   1.000000e+02
2.468268e-03   7.275793e-36   1.000000e+02
2.491130e-03   7.261747e-36   1.000000e+02
2.514203e-03   7.248867e-36   1.000000e+02
2.537490e-03   7.237173e-36   1.000000e+02
2.560993e-03   7.226689e-36   1.000000e+02
2.584714e-03   7.217438e-36   1.000000e+02
2.608654e-03   7.209442e-36   1.000000e+02
2.632815e-03   7.202727e-36   1.000000e+02
2.657201e-03   7.197317e-36   1.000000e+02
2.681813e-03   7.193237e-36   1.000000e+02
2.706652e-03   7.190513e-36   1.000000e+02
2.731722e-03   7.189171e-36   1.000000e+02
2.757023e-03   7.189239e-36   1.000000e+02
2.782559e-03   7.190745e-36   1.000000e+02
2.808332e-03   7.193718e-36   1.000000e+02
2.834343e-03   7.198188e-36   1.000000e+02
2.860596e-03   7.204187e-36   1.000000e+02
2.887091e-03   7.211745e-36   1.000000e+02
2.913832e-03   7.220897e-36   1.000000e+02
2.940820e-03   7.231676e-36   1.000000e+02
2.968059e-03   7.244119e-36   1.000000e+02
2.995549e-03   7.258261e-36   1.000000e+02
3.023295e-03   7.274125e-36   1.000000e+02
3.051297e-03   7.291622e-36   1.000000e+02
3.079559e-03   7.310618e-36   1.000000e+02
3.108082e-03   7.330979e-36   1.000000e+02
3.136870e-03   7.352571e-36   1.000000e+02
3.165924e-03   7.375258e-36   1.000000e+02
3.195248e-03   7.398902e-36   1.000000e+02
3.224842e-03   7.423366e-36   1.000000e+02
3.254712e-03   7.448508e-36   1.000000e+02
3.284857e-03   7.474187e-36   1.000000e+02
3.315282e-03   7.500260e-36   1.000000e+02
3.345989e-03   7.526579e-36   1.000000e+02
3.376980e-03   7.552997e-36   1.000000e+02
3.408259e-03   7.579365e-36   1.000000e+02
3.439826e-03   7.605530e-36   1.000000e+02
3.471687e-03   7.631337e-36   1.000000e+02
3.503842e-03   7.656632e-36   1.000000e+02
3.536296e-03   7.681254e-36   1.000000e+02
3.569049e-03   7.705046e-36   1.000000e+02
3.602107e-03   7.727844e-36   1.000000e+02
3.635470e-03   7.749487e-36   1.000000e+02
3.669142e-03   7.769809e-36   1.000000e+02
3.703127e-03   7.788646e-36   1.000000e+02
3.737426e-03   7.805831e-36   1.000000e+02
3.772042e-03   7.821199e-36   1.000000e+02
3.806980e-03   7.834582e-36   1.000000e+02
3.842241e-03   7.845815e-36   1.000000e+02
3.877828e-03   7.854733e-36   1.000000e+02
3.913746e-03   7.861172e-36   1.000000e+02
3.949995e-03   7.864969e-36   1.000000e+02
3.986581e-03   7.865965e-36   1.000000e+02
4.023506e-03   7.864059e-36   1.000000e+02
4.060772e-03   7.859906e-36   1.000000e+02
4.098384e-03   7.854686e-36   1.000000e+02
4.136344e-03   7.849586e-36   1.000000e+02
4.174655e-03   7.845792e-36   1.000000e+02
4.213322e-03   7.844488e-36   1.000000e+02
4.252346e-03   7.846858e-36   1.000000e+02
4.291732e-03   7.854093e-36   1.000000e+02
4.331483e-03   7.867395e-36   1.000000e+02
4.371602e-03   7.887987e-36   1.000000e+02
4.412093e-03   7.917122e-36   1.000000e+02
4.452959e-03   7.956097e-36   1.000000e+02
4.494203e-03   8.006267e-36   1.000000e+02
4.535829e-03   8.069059e-36   1.000000e+02
4.577841e-03   8.145996e-36   1.000000e+02
4.620241e-03   8.238718e-36   1.000000e+02
4.663035e-03   8.349008e-36   1.000000e+02
4.706225e-03   8.478821e-36   1.000000e+02
4.749815e-03   8.630325e-36   1.000000e+02
4.793808e-03   8.805936e-36   1.000000e+02
4.838210e-03   9.008369e-36   1.000000e+02
4.883022e-03   9.240699e-36   1.000000e+02
4.928250e-03   9.506421e-36   1.000000e+02
4.973896e-03   9.809537e-36   1.000000e+02
5.019965e-03   1.015461e-35   1.000000e+02
5.066461e-03   1.054551e-35   1.000000e+02
5.113388e-03   1.098504e-35   1.000000e+02
5.160749e-03   1.147626e-35   1.000000e+02
5.208549e-03   1.202261e-35   1.000000e+02
5.256791e-03   1.262792e-35   1.000000e+02
5.305481e-03   1.329644e-35   1.000000e+02
5.354621e-03   1.403279e-35   1.000000e+02
5.404216e-03   1.484203e-35   1.000000e+02
5.454271e-03   1.572962e-35   1.000000e+02
5.504790e-03   1.670145e-35   1.000000e+02
5.555776e-03   1.776381e-35   1.000000e+02
5.607235e-03   1.892342e-35   1.000000e+02
5.659170e-03   2.018736e-35   1.000000e+02
5.711586e-03   2.156310e-35   1.000000e+02
5.764488e-03   2.305843e-35   1.000000e+02
5.817880e-03   2.468144e-35   1.000000e+02
5.871766e-03   2.644044e-35   1.000000e+02
5.926152e-03   2.834388e-35   1.000000e+02
5.981041e-03   3.040029e-35   1.000000e+02
6.036439e-03   3.261849e-35   1.000000e+02
6.092349e-03   3.501190e-35   1.000000e+02
6.148778e-03   3.759842e-35   1.000000e+02
6.205729e-03   4.039823e-35   1.000000e+02
6.263207e-03   4.343412e-35   1.000000e+02
6.321218e-03   4.673182e-35   1.000000e+02
6.379767e-03   5.032042e-35   1.000000e+02
6.438857e-03   5.423288e-35   1.000000e+02
6.498495e-03   5.850662e-35   1.000000e+02
6.558686e-03   6.318416e-35   1.000000e+02
6.619433e-03   6.831392e-35   1.000000e+02
6.680744e-03   7.395117e-35   1.000000e+02
6.742622e-03   8.015907e-35   1.000000e+02
6.805074e-03   8.700999e-35   1.000000e+02
6.868104e-03   9.458697e-35   1.000000e+02
6.931717e-03   1.029855e-34   1.000000e+02
6.995920e-03   1.123158e-34   1.000000e+02
7.060718e-03   1.227032e-34   1.000000e+02
7.126115e-03   1.342825e-34   1.000000e+02
7.192119e-03   1.472043e-34   1.000000e+02
7.258734e-03   1.616397e-34   1.000000e+02
7.325965e-03   1.777834e-34   1.000000e+02
7.393820e-03   1.958568e-34   1.000000e+02
7.462303e-03   2.161123e-34   1.000000e+02
7.531420e-03   2.388375e-34   1.000000e+02
7.601178e-03   2.643606e-34   1.000000e+02
7.671581e-03   2.930562e-34   1.000000e+02
7.742637e-03   3.253525e-34   1.000000e+02
7.814351e-03   3.617390e-34   1.000000e+02
7.886729e-03   4.027757e-34   1.000000e+02
7.959777e-03   4.491042e-34   1.000000e+02
8.033502e-03   5.014609e-34   1.000000e+02
8.107910e-03   5.607490e-34   1.000000e+02
8.183007e-03   6.280975e-34   1.000000e+02
8.258799e-03   7.048571e-34   1.000000e+02
8.335294e-03   7.926455e-34   1.000000e+02
8.412497e-03   8.934067e-34   1.000000e+02
8.490415e-03   1.009486e-33   1.000000e+02
8.569055e-03   1.143721e-33   1.000000e+02
8.648423e-03   1.299564e-33   1.000000e+02
8.728527e-03   1.481225e-33   1.000000e+02
8.809372e-03   1.693864e-33   1.000000e+02
8.890966e-03   1.943833e-33   1.000000e+02
8.973316e-03   2.238980e-33   1.000000e+02
9.056428e-03   2.588936e-33   1.000000e+02
9.140311e-03   3.004146e-33   1.000000e+02
9.224970e-03   3.495910e-33   1.000000e+02
9.310413e-03   4.077068e-33   1.000000e+02
9.396648e-03   4.762042e-33   1.000000e+02
9.483682e-03   5.566792e-33   1.000000e+02
9.571522e-03   6.508669e-33   1.000000e+02
9.660175e-03   7.606130e-33   1.000000e+02
9.749649e-03   8.878276e-33   1.000000e+02
9.839952e-03   1.034418e-32   1.000000e+02
9.931092e-03   1.202193e-32   1.000000e+02
1.002308e-02   1.392754e-32   1.000000e+02
1.011591e-02   1.607977e-32   1.000000e+02
1.020961e-02   1.851018e-32   1.000000e+02
1.030417e-02   2.125814e-32   1.000000e+02
1.039961e-02   2.437152e-32   1.000000e+02
1.049593e-02   2.790881e-32   1.000000e+02
1.059315e-02   3.194184e-32   1.000000e+02
1.069126e-02   3.655924e-32   1.000000e+02
1.079029e-02   4.187086e-32   1.000000e+02
1.089023e-02   4.801341e-32   1.000000e+02
1.099110e-02   5.515792e-32   1.000000e+02
1.109290e-02   6.351326e-32   1.000000e+02
1.119564e-02   7.330414e-32   1.000000e+02
1.129934e-02   8.478619e-32   1.000000e+02
1.140400e-02   9.826053e-32   1.000000e+02
1.150962e-02   1.140816e-31   1.000000e+02
1.161623e-02   1.326658e-31   1.000000e+02
1.172382e-02   1.545022e-31   1.000000e+02
1.183241e-02   1.801638e-31   1.000000e+02
1.194200e-02   2.103209e-31   1.000000e+02
1.205261e-02   2.457570e-31   1.000000e+02
1.216424e-02   2.874167e-31   1.000000e+02
1.227691e-02   3.364536e-31   1.000000e+02
1.239062e-02   3.942504e-31   1.000000e+02
1.250539e-02   4.624660e-31   1.000000e+02
1.262121e-02   5.430939e-31   1.000000e+02
1.273811e-02   6.385346e-31   1.000000e+02
1.285610e-02   7.516836e-31   1.000000e+02
1.297517e-02   8.860409e-31   1.000000e+02
1.309535e-02   1.045839e-30   1.000000e+02
1.321664e-02   1.236155e-30   1.000000e+02
1.333906e-02   1.463102e-30   1.000000e+02
1.346261e-02   1.734066e-30   1.000000e+02
1.358730e-02   2.057986e-30   1.000000e+02
1.371315e-02   2.445685e-30   1.000000e+02
1.384016e-02   2.910291e-30   1.000000e+02
1.396835e-02   3.467737e-30   1.000000e+02
1.409773e-02   4.137388e-30   1.000000e+02
1.422830e-02   4.942868e-30   1.000000e+02
1.436009e-02   5.913022e-30   1.000000e+02
1.449310e-02   7.083089e-30   1.000000e+02
1.462733e-02   8.496178e-30   1.000000e+02
1.476281e-02   1.020510e-29   1.000000e+02
1.489955e-02   1.227463e-29   1.000000e+02
1.503755e-02   1.478437e-29   1.000000e+02
1.517683e-02   1.783215e-29   1.000000e+02
1.531740e-02   2.153841e-29   1.000000e+02
1.545928e-02   2.605163e-29   1.000000e+02
1.560246e-02   3.155510e-29   1.000000e+02
1.574698e-02   3.827537e-29   1.000000e+02
1.589283e-02   4.649293e-29   1.000000e+02
1.604003e-02   5.655538e-29   1.000000e+02
1.618860e-02   6.889426e-29   1.000000e+02
1.633854e-02   8.404605e-29   1.000000e+02
1.648987e-02   1.026786e-28   1.000000e+02
1.664260e-02   1.256244e-28   1.000000e+02
1.679675e-02   1.539227e-28   1.000000e+02
1.695232e-02   1.888728e-28   1.000000e+02
1.710934e-02   2.321010e-28   1.000000e+02
1.726781e-02   2.856463e-28   1.000000e+02
1.742775e-02   3.520690e-28   1.000000e+02
1.758917e-02   4.345876e-28   1.000000e+02
1.775208e-02   5.372552e-28   1.000000e+02
1.791650e-02   6.651824e-28   1.000000e+02
1.808245e-02   8.248230e-28   1.000000e+02
1.824993e-02   1.024335e-27   1.000000e+02
1.841897e-02   1.274044e-27   1.000000e+02
1.858957e-02   1.587038e-27   1.000000e+02
1.876175e-02   1.979932e-27   1.000000e+02
1.893552e-02   2.473846e-27   1.000000e+02
1.911091e-02   3.095669e-27   1.000000e+02
1.928792e-02   3.879672e-27   1.000000e+02
1.946656e-02   4.869607e-27   1.000000e+02
1.964687e-02   6.121399e-27   1.000000e+02
1.982884e-02   7.706637e-27   1.000000e+02
