# Be9 + He3 > B11 + p   [Be9_He3__B11_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=3.8343 beta=0 gamma=-119.781  Q=10.3219
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.002535e-35   1.000000e+02
1.018610e-03   1.004742e-35   1.000000e+02
1.028045e-03   1.006625e-35   1.000000e+02
1.037567e-03   1.008187e-35   1.000000e+02
1.047177e-03   1.009434e-35   1.000000e+02
1.056876e-03   1.010369e-35   1.000000e+02
1.066665e-03   1.010997e-35   1.000000e+02
1.076545e-03   1.011324e-35   1.000000e+02
1.086516e-03   1.011355e-35   1.000000e+02
1.096579e-03   1.011097e-35   1.000000e+02
1.106736e-03   1.010554e-35   1.000000e+02
1.116987e-03   1.009734e-35   1.000000e+02
1.127333e-03   1.008642e-35   1.000000e+02
1.137774e-03   1.007286e-35   1.000000e+02
1.148312e-03   1.005672e-35   1.000000e+02
1.158948e-03   1.003807e-35   1.000000e+02
1.169683e-03   1.001698e-35   1.000000e+02
1.180517e-03   9.993537e-36   1.000000e+02
1.191451e-03   9.967800e-36   1.000000e+02
1.202486e-03   9.939850e-36   1.000000e+02
1.213624e-03   9.909762e-36   1.000000e+02
1.224865e-03   9.877611e-36   1.000000e+02
1.236210e-03   9.843477e-36   1.000000e+02
1.247660e-03   9.807435e-36   1.000000e+02
1.259216e-03   9.769564e-36   1.000000e+02
1.270879e-03   9.729943e-36   1.000000e+02
1.282650e-03   9.688648e-36   1.000000e+02
1.294530e-03   9.645759e-36   1.000000e+02
1.306520e-03   9.601353e-36   1.000000e+02
1.318621e-03   9.555508e-36   1.000000e+02
1.330835e-03   9.508300e-36   1.000000e+02
1.343161e-03   9.459807e-36   1.000000e+02
1.355602e-03   9.410104e-36   1.000000e+02
1.368158e-03   9.359268e-36   1.000000e+02
1.380830e-03   9.307372e-36   1.000000e+02
1.393619e-03   9.254491e-36   1.000000e+02
1.406527e-03   9.200697e-36   1.000000e+02
1.419555e-03   9.146062e-36   1.000000e+02
1.432703e-03   9.090657e-36   1.000000e+02
1.445973e-03   9.034553e-36   1.000000e+02
1.459366e-03   8.977817e-36   1.000000e+02
1.472883e-03   8.920517e-36   1.000000e+02
1.486525e-03   8.862720e-36   1.000000e+02
1.500293e-03   8.804489e-36   1.000000e+02
1.514189e-03   8.745890e-36   1.000000e+02
1.528214e-03   8.686985e-36   1.000000e+02
1.542369e-03   8.627833e-36   1.000000e+02
1.556654e-03   8.568496e-36   1.000000e+02
1.571072e-03   8.509031e-36   1.000000e+02
1.585624e-03   8.449495e-36   1.000000e+02
1.600310e-03   8.389943e-36   1.000000e+02
1.615133e-03   8.330430e-36   1.000000e+02
1.630092e-03   8.271008e-36   1.000000e+02
1.645191e-03   8.211728e-36   1.000000e+02
1.660429e-03   8.152640e-36   1.000000e+02
1.675808e-03   8.093793e-36   1.000000e+02
1.691330e-03   8.035234e-36   1.000000e+02
1.706995e-03   7.977008e-36   1.000000e+02
1.722805e-03   7.919159e-36   1.000000e+02
1.738762e-03   7.861731e-36   1.000000e+02
1.754867e-03   7.804766e-36   1.000000e+02
1.771121e-03   7.748304e-36   1.000000e+02
1.787526e-03   7.692383e-36   1.000000e+02
1.804082e-03   7.637043e-36   1.000000e+02
1.820792e-03   7.582319e-36   1.000000e+02
1.837656e-03   7.528248e-36   1.000000e+02
1.854677e-03   7.474863e-36   1.000000e+02
1.871855e-03   7.422199e-36   1.000000e+02
1.889193e-03   7.370288e-36   1.000000e+02
1.906691e-03   7.319161e-36   1.000000e+02
1.924351e-03   7.268849e-36   1.000000e+02
1.942175e-03   7.219380e-36   1.000000e+02
1.960163e-03   7.170784e-36   1.000000e+02
1.978319e-03   7.123089e-36   1.000000e+02
1.996642e-03   7.076321e-36   1.000000e+02
2.015136e-03   7.030507e-36   1.000000e+02
