# Be9 + He3 > C11 + n   [Be9_He3__C11_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=3.8284 beta=0 gamma=-87.6975  Q=7.5572
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.002435e-35   1.000000e+02
1.018610e-03   1.004554e-35   1.000000e+02
1.028045e-03   1.006361e-35   1.000000e+02
1.037567e-03   1.007859e-35   1.000000e+02
1.047177e-03   1.009052e-35   1.000000e+02
1.056876e-03   1.009946e-35   1.000000e+02
1.066665e-03   1.010544e-35   1.000000e+02
1.076545e-03   1.010852e-35   1.000000e+02
1.086516e-03   1.010876e-35   1.000000e+02
1.096579e-03   1.010620e-35   1.000000e+02
1.106736e-03   1.010091e-35   1.000000e+02
1.116987e-03   1.009295e-35   1.000000e+02
1.127333e-03   1.008237e-35   1.000000e+02
1.137774e-03   1.006925e-35   1.000000e+02
1.148312e-03   1.005365e-35   1.000000e+02
1.158948e-03   1.003562e-35   1.000000e+02
1.169683e-03   1.001526e-35   1.000000e+02
1.180517e-03   9.992611e-36   1.000000e+02
1.191451e-03   9.967760e-36   1.000000e+02
1.202486e-03   9.940773e-36   1.000000e+02
1.213624e-03   9.911725e-36   1.000000e+02
1.224865e-03   9.880687e-36   1.000000e+02
1.236210e-03   9.847734e-36   1.000000e+02
1.247660e-03   9.812940e-36   1.000000e+02
1.259216e-03   9.776379e-36   1.000000e+02
1.270879e-03   9.738125e-36   1.000000e+02
1.282650e-03   9.698253e-36   1.000000e+02
1.294530e-03   9.656838e-36   1.000000e+02
1.306520e-03   9.613953e-36   1.000000e+02
1.318621e-03   9.569674e-36   1.000000e+02
1.330835e-03   9.524074e-36   1.000000e+02
1.343161e-03   9.477225e-36   1.000000e+02
1.355602e-03   9.429201e-36   1.000000e+02
1.368158e-03   9.380074e-36   1.000000e+02
1.380830e-03   9.329915e-36   1.000000e+02
1.393619e-03   9.278795e-36   1.000000e+02
1.406527e-03   9.226784e-36   1.000000e+02
1.419555e-03   9.173950e-36   1.000000e+02
1.432703e-03   9.120361e-36   1.000000e+02
1.445973e-03   9.066084e-36   1.000000e+02
1.459366e-03   9.011186e-36   1.000000e+02
1.472883e-03   8.955731e-36   1.000000e+02
1.486525e-03   8.899782e-36   1.000000e+02
1.500293e-03   8.843402e-36   1.000000e+02
1.514189e-03   8.786652e-36   1.000000e+02
1.528214e-03   8.729592e-36   1.000000e+02
1.542369e-03   8.672281e-36   1.000000e+02
