# Be9 + d > B10 + n   [Be9_d__B10_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.0652 beta=0 gamma=-50.6108  Q=4.3613
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.034165e-35   1.000000e+02
1.018610e-03   1.070123e-35   1.000000e+02
1.028045e-03   1.107992e-35   1.000000e+02
1.037567e-03   1.147896e-35   1.000000e+02
1.047177e-03   1.189972e-35   1.000000e+02
1.056876e-03   1.234364e-35   1.000000e+02
1.066665e-03   1.281230e-35   1.000000e+02
1.076545e-03   1.330739e-35   1.000000e+02
1.086516e-03   1.383073e-35   1.000000e+02
1.096579e-03   1.438428e-35   1.000000e+02
1.106736e-03   1.497018e-35   1.000000e+02
1.116987e-03   1.559071e-35   1.000000e+02
1.127333e-03   1.624837e-35   1.000000e+02
1.137774e-03   1.694584e-35   1.000000e+02
1.148312e-03   1.768603e-35   1.000000e+02
1.158948e-03   1.847211e-35   1.000000e+02
1.169683e-03   1.930749e-35   1.000000e+02
1.180517e-03   2.019589e-35   1.000000e+02
1.191451e-03   2.114135e-35   1.000000e+02
1.202486e-03   2.214826e-35   1.000000e+02
1.213624e-03   2.322139e-35   1.000000e+02
1.224865e-03   2.436593e-35   1.000000e+02
1.236210e-03   2.558756e-35   1.000000e+02
1.247660e-03   2.689244e-35   1.000000e+02
1.259216e-03   2.828731e-35   1.000000e+02
1.270879e-03   2.977954e-35   1.000000e+02
1.282650e-03   3.137716e-35   1.000000e+02
1.294530e-03   3.308897e-35   1.000000e+02
1.306520e-03   3.492460e-35   1.000000e+02
1.318621e-03   3.689460e-35   1.000000e+02
1.330835e-03   3.901054e-35   1.000000e+02
1.343161e-03   4.128512e-35   1.000000e+02
1.355602e-03   4.373229e-35   1.000000e+02
1.368158e-03   4.636737e-35   1.000000e+02
1.380830e-03   4.920723e-35   1.000000e+02
1.393619e-03   5.227045e-35   1.000000e+02
1.406527e-03   5.557750e-35   1.000000e+02
1.419555e-03   5.915097e-35   1.000000e+02
1.432703e-03   6.301579e-35   1.000000e+02
1.445973e-03   6.719952e-35   1.000000e+02
1.459366e-03   7.173264e-35   1.000000e+02
1.472883e-03   7.664891e-35   1.000000e+02
1.486525e-03   8.198572e-35   1.000000e+02
1.500293e-03   8.778457e-35   1.000000e+02
1.514189e-03   9.409152e-35   1.000000e+02
1.528214e-03   1.009578e-34   1.000000e+02
1.542369e-03   1.084402e-34   1.000000e+02
1.556654e-03   1.166024e-34   1.000000e+02
1.571072e-03   1.255148e-34   1.000000e+02
1.585624e-03   1.352565e-34   1.000000e+02
1.600310e-03   1.459153e-34   1.000000e+02
1.615133e-03   1.575900e-34   1.000000e+02
1.630092e-03   1.703905e-34   1.000000e+02
1.645191e-03   1.844403e-34   1.000000e+02
1.660429e-03   1.998779e-34   1.000000e+02
1.675808e-03   2.168586e-34   1.000000e+02
1.691330e-03   2.355571e-34   1.000000e+02
1.706995e-03   2.561699e-34   1.000000e+02
1.722805e-03   2.789181e-34   1.000000e+02
1.738762e-03   3.040512e-34   1.000000e+02
1.754867e-03   3.318508e-34   1.000000e+02
1.771121e-03   3.626350e-34   1.000000e+02
1.787526e-03   3.967636e-34   1.000000e+02
1.804082e-03   4.346440e-34   1.000000e+02
1.820792e-03   4.767384e-34   1.000000e+02
1.837656e-03   5.235711e-34   1.000000e+02
1.854677e-03   5.757380e-34   1.000000e+02
1.871855e-03   6.339171e-34   1.000000e+02
1.889193e-03   6.988805e-34   1.000000e+02
1.906691e-03   7.715088e-34   1.000000e+02
1.924351e-03   8.528075e-34   1.000000e+02
1.942175e-03   9.439259e-34   1.000000e+02
1.960163e-03   1.046179e-33   1.000000e+02
1.978319e-03   1.161075e-33   1.000000e+02
1.996642e-03   1.290343e-33   1.000000e+02
2.015136e-03   1.435969e-33   1.000000e+02
2.033800e-03   1.600239e-33   1.000000e+02
2.052638e-03   1.785784e-33   1.000000e+02
2.071650e-03   1.995639e-33   1.000000e+02
2.090838e-03   2.233309e-33   1.000000e+02
2.110203e-03   2.502843e-33   1.000000e+02
2.129749e-03   2.808934e-33   1.000000e+02
2.149475e-03   3.157015e-33   1.000000e+02
2.169384e-03   3.553399e-33   1.000000e+02
2.189477e-03   4.005419e-33   1.000000e+02
2.209756e-03   4.521610e-33   1.000000e+02
2.230223e-03   5.111921e-33   1.000000e+02
2.250880e-03   5.787963e-33   1.000000e+02
2.271728e-03   6.563301e-33   1.000000e+02
2.292769e-03   7.453816e-33   1.000000e+02
2.314005e-03   8.478115e-33   1.000000e+02
2.335438e-03   9.658037e-33   1.000000e+02
2.357069e-03   1.101925e-32   1.000000e+02
2.378901e-03   1.259195e-32   1.000000e+02
2.400935e-03   1.441176e-32   1.000000e+02
2.423173e-03   1.652070e-32   1.000000e+02
2.445617e-03   1.896844e-32   1.000000e+02
2.468268e-03   2.181380e-32   1.000000e+02
2.491130e-03   2.512652e-32   1.000000e+02
2.514203e-03   2.898940e-32   1.000000e+02
2.537490e-03   3.350089e-32   1.000000e+02
2.560993e-03   3.877827e-32   1.000000e+02
2.584714e-03   4.496144e-32   1.000000e+02
2.608654e-03   5.221751e-32   1.000000e+02
2.632815e-03   6.074646e-32   1.000000e+02
2.657201e-03   7.078792e-32   1.000000e+02
2.681813e-03   8.262956e-32   1.000000e+02
2.706652e-03   9.661718e-32   1.000000e+02
2.731722e-03   1.131672e-31   1.000000e+02
2.757023e-03   1.327818e-31   1.000000e+02
2.782559e-03   1.560677e-31   1.000000e+02
2.808332e-03   1.837590e-31   1.000000e+02
2.834343e-03   2.167454e-31   1.000000e+02
2.860596e-03   2.561070e-31   1.000000e+02
2.887091e-03   3.031573e-31   1.000000e+02
2.913832e-03   3.594959e-31   1.000000e+02
2.940820e-03   4.270749e-31   1.000000e+02
2.968059e-03   5.082799e-31   1.000000e+02
2.995549e-03   6.060314e-31   1.000000e+02
3.023295e-03   7.239247e-31   1.000000e+02
3.051297e-03   8.664908e-31   1.000000e+02
3.079559e-03   1.039427e-30   1.000000e+02
3.108082e-03   1.249890e-30   1.000000e+02
3.136870e-03   1.506899e-30   1.000000e+02
3.165924e-03   1.821876e-30   1.000000e+02
3.195248e-03   2.209346e-30   1.000000e+02
3.224842e-03   2.687856e-30   1.000000e+02
3.254712e-03   3.281206e-30   1.000000e+02
3.284857e-03   4.020069e-30   1.000000e+02
3.315282e-03   4.944176e-30   1.000000e+02
3.345989e-03   6.105231e-30   1.000000e+02
3.376980e-03   7.570868e-30   1.000000e+02
3.408259e-03   9.430011e-30   1.000000e+02
3.439826e-03   1.180020e-29   1.000000e+02
3.471687e-03   1.483762e-29   1.000000e+02
3.503842e-03   1.875102e-29   1.000000e+02
