# Be9 + d > a + a + t   [Be9_d__a_a_t]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.7997e-10 beta=-1.5 gamma=-54.3518  Q=4.6837
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.033884e-35   1.000000e+02
1.018610e-03   1.069526e-35   1.000000e+02
1.028045e-03   1.107042e-35   1.000000e+02
1.037567e-03   1.146554e-35   1.000000e+02
1.047177e-03   1.188193e-35   1.000000e+02
1.056876e-03   1.232100e-35   1.000000e+02
1.066665e-03   1.278429e-35   1.000000e+02
1.076545e-03   1.327342e-35   1.000000e+02
1.086516e-03   1.379018e-35   1.000000e+02
1.096579e-03   1.433647e-35   1.000000e+02
1.106736e-03   1.491436e-35   1.000000e+02
1.116987e-03   1.552605e-35   1.000000e+02
1.127333e-03   1.617398e-35   1.000000e+02
1.137774e-03   1.686072e-35   1.000000e+02
1.148312e-03   1.758911e-35   1.000000e+02
1.158948e-03   1.836219e-35   1.000000e+02
1.169683e-03   1.918328e-35   1.000000e+02
1.180517e-03   2.005595e-35   1.000000e+02
1.191451e-03   2.098411e-35   1.000000e+02
1.202486e-03   2.197198e-35   1.000000e+02
1.213624e-03   2.302416e-35   1.000000e+02
1.224865e-03   2.414567e-35   1.000000e+02
1.236210e-03   2.534194e-35   1.000000e+02
1.247660e-03   2.661892e-35   1.000000e+02
1.259216e-03   2.798308e-35   1.000000e+02
1.270879e-03   2.944149e-35   1.000000e+02
1.282650e-03   3.100186e-35   1.000000e+02
1.294530e-03   3.267264e-35   1.000000e+02
1.306520e-03   3.446304e-35   1.000000e+02
1.318621e-03   3.638318e-35   1.000000e+02
1.330835e-03   3.844413e-35   1.000000e+02
1.343161e-03   4.065802e-35   1.000000e+02
1.355602e-03   4.303818e-35   1.000000e+02
1.368158e-03   4.559925e-35   1.000000e+02
1.380830e-03   4.835732e-35   1.000000e+02
1.393619e-03   5.133009e-35   1.000000e+02
1.406527e-03   5.453708e-35   1.000000e+02
1.419555e-03   5.799978e-35   1.000000e+02
1.432703e-03   6.174191e-35   1.000000e+02
1.445973e-03   6.578964e-35   1.000000e+02
1.459366e-03   7.017194e-35   1.000000e+02
1.472883e-03   7.492082e-35   1.000000e+02
1.486525e-03   8.007174e-35   1.000000e+02
1.500293e-03   8.566399e-35   1.000000e+02
1.514189e-03   9.174118e-35   1.000000e+02
1.528214e-03   9.835170e-35   1.000000e+02
1.542369e-03   1.055494e-34   1.000000e+02
1.556654e-03   1.133940e-34   1.000000e+02
1.571072e-03   1.219523e-34   1.000000e+02
1.585624e-03   1.312986e-34   1.000000e+02
1.600310e-03   1.415157e-34   1.000000e+02
1.615133e-03   1.526963e-34   1.000000e+02
1.630092e-03   1.649440e-34   1.000000e+02
1.645191e-03   1.783745e-34   1.000000e+02
1.660429e-03   1.931178e-34   1.000000e+02
1.675808e-03   2.093195e-34   1.000000e+02
1.691330e-03   2.271429e-34   1.000000e+02
1.706995e-03   2.467720e-34   1.000000e+02
1.722805e-03   2.684134e-34   1.000000e+02
1.738762e-03   2.922999e-34   1.000000e+02
1.754867e-03   3.186941e-34   1.000000e+02
1.771121e-03   3.478924e-34   1.000000e+02
1.787526e-03   3.802296e-34   1.000000e+02
1.804082e-03   4.160846e-34   1.000000e+02
1.820792e-03   4.558864e-34   1.000000e+02
1.837656e-03   5.001217e-34   1.000000e+02
1.854677e-03   5.493426e-34   1.000000e+02
1.871855e-03   6.041769e-34   1.000000e+02
1.889193e-03   6.653387e-34   1.000000e+02
1.906691e-03   7.336414e-34   1.000000e+02
1.924351e-03   8.100130e-34   1.000000e+02
1.942175e-03   8.955129e-34   1.000000e+02
1.960163e-03   9.913523e-34   1.000000e+02
1.978319e-03   1.098918e-33   1.000000e+02
1.996642e-03   1.219798e-33   1.000000e+02
2.015136e-03   1.355815e-33   1.000000e+02
2.033800e-03   1.509066e-33   1.000000e+02
2.052638e-03   1.681958e-33   1.000000e+02
2.071650e-03   1.877268e-33   1.000000e+02
2.090838e-03   2.098196e-33   1.000000e+02
2.110203e-03   2.348437e-33   1.000000e+02
2.129749e-03   2.632266e-33   1.000000e+02
2.149475e-03   2.954631e-33   1.000000e+02
2.169384e-03   3.321267e-33   1.000000e+02
2.189477e-03   3.738832e-33   1.000000e+02
2.209756e-03   4.215069e-33   1.000000e+02
2.230223e-03   4.758985e-33   1.000000e+02
2.250880e-03   5.381082e-33   1.000000e+02
2.271728e-03   6.093616e-33   1.000000e+02
2.292769e-03   6.910913e-33   1.000000e+02
2.314005e-03   7.849740e-33   1.000000e+02
2.335438e-03   8.929749e-33   1.000000e+02
2.357069e-03   1.017400e-32   1.000000e+02
2.378901e-03   1.160962e-32   1.000000e+02
2.400935e-03   1.326850e-32   1.000000e+02
2.423173e-03   1.518827e-32   1.000000e+02
2.445617e-03   1.741334e-32   1.000000e+02
2.468268e-03   1.999621e-32   1.000000e+02
2.491130e-03   2.299904e-32   1.000000e+02
2.514203e-03   2.649554e-32   1.000000e+02
2.537490e-03   3.057324e-32   1.000000e+02
2.560993e-03   3.533626e-32   1.000000e+02
2.584714e-03   4.090859e-32   1.000000e+02
2.608654e-03   4.743818e-32   1.000000e+02
2.632815e-03   5.510179e-32   1.000000e+02
2.657201e-03   6.411094e-32   1.000000e+02
2.681813e-03   7.471917e-32   1.000000e+02
2.706652e-03   8.723082e-32   1.000000e+02
2.731722e-03   1.020118e-31   1.000000e+02
2.757023e-03   1.195029e-31   1.000000e+02
2.782559e-03   1.402355e-31   1.000000e+02
2.808332e-03   1.648520e-31   1.000000e+02
2.834343e-03   1.941295e-31   1.000000e+02
2.860596e-03   2.290101e-31   1.000000e+02
2.887091e-03   2.706375e-31   1.000000e+02
2.913832e-03   3.204029e-31   1.000000e+02
2.940820e-03   3.800008e-31   1.000000e+02
2.968059e-03   4.514990e-31   1.000000e+02
2.995549e-03   5.374250e-31   1.000000e+02
3.023295e-03   6.408856e-31   1.000000e+02
3.051297e-03   7.657904e-31   1.000000e+02
3.079559e-03   9.170486e-31   1.000000e+02
3.108082e-03   1.100815e-30   1.000000e+02
3.136870e-03   1.324836e-30   1.000000e+02
3.165924e-03   1.598903e-30   1.000000e+02
3.195248e-03   1.935444e-30   1.000000e+02
3.224842e-03   2.350306e-30   1.000000e+02
3.254712e-03   2.863778e-30   1.000000e+02
3.284857e-03   3.501969e-30   1.000000e+02
3.315282e-03   4.298622e-30   1.000000e+02
3.345989e-03   5.297572e-30   1.000000e+02
3.376980e-03   6.556037e-30   1.000000e+02
3.408259e-03   8.149092e-30   1.000000e+02
3.439826e-03   1.017576e-29   1.000000e+02
3.471687e-03   1.276734e-29   1.000000e+02
3.503842e-03   1.609892e-29   1.000000e+02
3.536296e-03   2.040524e-29   1.000000e+02
3.569049e-03   2.600292e-29   1.000000e+02
3.602107e-03   3.332146e-29   1.000000e+02
3.635470e-03   4.294712e-29   1.000000e+02
3.669142e-03   5.568504e-29   1.000000e+02
3.703127e-03   7.264803e-29   1.000000e+02
3.737426e-03   9.538417e-29   1.000000e+02
3.772042e-03   1.260615e-28   1.000000e+02
3.806980e-03   1.677368e-28   1.000000e+02
3.842241e-03   2.247506e-28   1.000000e+02
3.877828e-03   3.033095e-28   1.000000e+02
3.913746e-03   4.123541e-28   1.000000e+02
3.949995e-03   5.648592e-28   1.000000e+02
3.986581e-03   7.797977e-28   1.000000e+02
4.023506e-03   1.085088e-27   1.000000e+02
4.060772e-03   1.521384e-27   1.000000e+02
4.098384e-03   2.147818e-27   1.000000e+02
4.136344e-03   3.050935e-27   1.000000e+02
4.174655e-03   4.357490e-27   1.000000e+02
4.213322e-03   6.253156e-27   1.000000e+02
4.252346e-03   9.009758e-27   1.000000e+02
4.291732e-03   1.302475e-26   1.000000e+02
4.331483e-03   1.887814e-26   1.000000e+02
4.371602e-03   2.741413e-26   1.000000e+02
4.412093e-03   3.985717e-26   1.000000e+02
4.452959e-03   5.797577e-26   1.000000e+02
4.494203e-03   8.431139e-26   1.000000e+02
4.535829e-03   1.224946e-25   1.000000e+02
4.577841e-03   1.776766e-25   1.000000e+02
4.620241e-03   2.571090e-25   1.000000e+02
4.663035e-03   3.709110e-25   1.000000e+02
4.706225e-03   5.330636e-25   1.000000e+02
4.749815e-03   7.626699e-25   1.000000e+02
4.793808e-03   1.085510e-24   1.000000e+02
4.838210e-03   1.535898e-24   1.000000e+02
4.883022e-03   2.158804e-24   1.000000e+02
4.928250e-03   3.012162e-24   1.000000e+02
4.973896e-03   4.169162e-24   1.000000e+02
5.019965e-03   5.720375e-24   1.000000e+02
5.066461e-03   7.779882e-24   1.000000e+02
5.113388e-03   1.049498e-23   1.000000e+02
5.160749e-03   1.405259e-23   1.000000e+02
5.208549e-03   1.868974e-23   1.000000e+02
5.256791e-03   2.470748e-23   1.000000e+02
5.305481e-03   3.248912e-23   1.000000e+02
5.354621e-03   4.252437e-23   1.000000e+02
5.404216e-03   5.544140e-23   1.000000e+02
5.454271e-03   7.204984e-23   1.000000e+02
5.504790e-03   9.339860e-23   1.000000e+02
