# Be9 + p > B10 + g   [Be9_p__B10_g]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=9.7437e+09 beta=1.5 gamma=-76.4258  Q=6.5859
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   2.782332e-36   9.961274e-01
1.018610e-03   8.129587e-37   9.924203e-01
1.028045e-03   2.492996e-37   9.888752e-01
1.037567e-03   8.018835e-38   9.854884e-01
1.047177e-03   2.703835e-38   9.822565e-01
1.056876e-03   9.551499e-39   9.791762e-01
1.066665e-03   3.532873e-39   9.762442e-01
1.076545e-03   1.367391e-39   9.734575e-01
1.086516e-03   5.534879e-40   9.708128e-01
1.096579e-03   2.341626e-40   9.683072e-01
1.106736e-03   1.034818e-40   9.659379e-01
1.116987e-03   4.774082e-41   9.637019e-01
1.127333e-03   2.297939e-41   9.615966e-01
1.137774e-03   1.153327e-41   9.596193e-01
1.148312e-03   6.032193e-42   9.577672e-01
1.158948e-03   3.285861e-42   9.560379e-01
1.169683e-03   1.863019e-42   9.544289e-01
1.180517e-03   1.098810e-42   9.529377e-01
1.191451e-03   6.737644e-43   9.515620e-01
1.202486e-03   4.292560e-43   9.502994e-01
1.213624e-03   2.839819e-43   9.491476e-01
1.224865e-03   1.949726e-43   9.481045e-01
1.236210e-03   1.388380e-43   9.471678e-01
1.247660e-03   1.024796e-43   9.463354e-01
1.259216e-03   7.836180e-44   9.456051e-01
1.270879e-03   6.203711e-44   9.449751e-01
1.282650e-03   5.081852e-44   9.444431e-01
1.294530e-03   4.304857e-44   9.440072e-01
1.306520e-03   3.768813e-44   9.436655e-01
1.318621e-03   3.408022e-44   9.434160e-01
1.330835e-03   3.181231e-44   9.432569e-01
1.343161e-03   3.063556e-44   9.431863e-01
1.355602e-03   3.041845e-44   9.432023e-01
1.368158e-03   3.112233e-44   9.433031e-01
1.380830e-03   3.279244e-44   9.434870e-01
1.393619e-03   3.556188e-44   9.437521e-01
1.406527e-03   3.966871e-44   9.440967e-01
1.419555e-03   4.548904e-44   9.445191e-01
1.432703e-03   5.359245e-44   9.450175e-01
1.445973e-03   6.483082e-44   9.455903e-01
1.459366e-03   8.047916e-44   9.462357e-01
1.472883e-03   1.024595e-43   9.469520e-01
1.486525e-03   1.336998e-43   9.477377e-01
1.500293e-03   1.787155e-43   9.485910e-01
1.514189e-03   2.445621e-43   9.495103e-01
1.528214e-03   3.424164e-43   9.504939e-01
1.542369e-03   4.902318e-43   9.515402e-01
1.556654e-03   7.172535e-43   9.526475e-01
1.571072e-03   1.071793e-42   9.538143e-01
1.585624e-03   1.634781e-42   9.550390e-01
1.600310e-03   2.543673e-42   9.563197e-01
1.615133e-03   4.035143e-42   9.576551e-01
1.630092e-03   6.522219e-42   9.590433e-01
1.645191e-03   1.073529e-41   9.604829e-01
1.660429e-03   1.798277e-41   9.619720e-01
1.675808e-03   3.063847e-41   9.635093e-01
1.691330e-03   5.306254e-41   9.650929e-01
1.706995e-03   9.336033e-41   9.667212e-01
1.722805e-03   1.667758e-40   9.683926e-01
1.738762e-03   3.023033e-40   9.701054e-01
1.754867e-03   5.556929e-40   9.718580e-01
1.771121e-03   1.035266e-39   9.736487e-01
1.787526e-03   1.953605e-39   9.754758e-01
1.804082e-03   3.731922e-39   9.773375e-01
1.820792e-03   7.212436e-39   9.792323e-01
1.837656e-03   1.409380e-38   9.811583e-01
1.854677e-03   2.783003e-38   9.831139e-01
1.871855e-03   5.549858e-38   9.850973e-01
1.889193e-03   1.117057e-37   9.871067e-01
1.906691e-03   2.267969e-37   9.891405e-01
1.924351e-03   4.642051e-37   9.911967e-01
1.942175e-03   9.572754e-37   9.932737e-01
1.960163e-03   1.987746e-36   9.953695e-01
1.978319e-03   4.153600e-36   9.974825e-01
1.996642e-03   8.729137e-36   9.996107e-01
2.015136e-03   1.843927e-35   1.001752e+00
2.033800e-03   3.912772e-35   1.003905e+00
2.052638e-03   8.335603e-35   1.006068e+00
2.071650e-03   1.781738e-34   1.008238e+00
2.090838e-03   3.818986e-34   1.010415e+00
2.110203e-03   8.203374e-34   1.012595e+00
2.129749e-03   1.764900e-33   1.014777e+00
2.149475e-03   3.800788e-33   1.016959e+00
2.169384e-03   8.188346e-33   1.019138e+00
2.189477e-03   1.763724e-32   1.021314e+00
2.209756e-03   3.795943e-32   1.023484e+00
2.230223e-03   8.158429e-32   1.025645e+00
2.250880e-03   1.749983e-31   1.027797e+00
2.271728e-03   3.744077e-31   1.029936e+00
2.292769e-03   7.985130e-31   1.032061e+00
2.314005e-03   1.696635e-30   1.034169e+00
2.335438e-03   3.589279e-30   1.036259e+00
2.357069e-03   7.555810e-30   1.038328e+00
2.378901e-03   1.581805e-29   1.040374e+00
2.400935e-03   3.291286e-29   1.042395e+00
2.423173e-03   6.802400e-29   1.044390e+00
2.445617e-03   1.395679e-28   1.046354e+00
2.468268e-03   2.841047e-28   1.048287e+00
2.491130e-03   5.734345e-28   1.050187e+00
2.514203e-03   1.146950e-27   1.052050e+00
2.537490e-03   2.271977e-27   1.053875e+00
2.560993e-03   4.454556e-27   1.055659e+00
2.584714e-03   8.639508e-27   1.057401e+00
2.608654e-03   1.656535e-26   1.059098e+00
2.632815e-03   3.138213e-26   1.060747e+00
2.657201e-03   5.870525e-26   1.062347e+00
2.681813e-03   1.083746e-25   1.063895e+00
2.706652e-03   1.973224e-25   1.065388e+00
2.731722e-03   3.541335e-25   1.066826e+00
2.757023e-03   6.260977e-25   1.068204e+00
2.782559e-03   1.089795e-24   1.069521e+00
2.808332e-03   1.866455e-24   1.070775e+00
2.834343e-03   3.143428e-24   1.071964e+00
2.860596e-03   5.202903e-24   1.073084e+00
2.887091e-03   8.458375e-24   1.074135e+00
2.913832e-03   1.349802e-23   1.075112e+00
2.940820e-03   2.113188e-23   1.076015e+00
2.968059e-03   3.243649e-23   1.076841e+00
2.995549e-03   4.878656e-23   1.077587e+00
3.023295e-03   7.186904e-23   1.078253e+00
3.051297e-03   1.037446e-22   1.078839e+00
3.079559e-03   1.468723e-22   1.079350e+00
3.108082e-03   2.040957e-22   1.079788e+00
3.136870e-03   2.786227e-22   1.080158e+00
3.165924e-03   3.739872e-22   1.080462e+00
3.195248e-03   4.939960e-22   1.080705e+00
3.224842e-03   6.426665e-22   1.080889e+00
3.254712e-03   8.241614e-22   1.081018e+00
3.284857e-03   1.042731e-21   1.081096e+00
3.315282e-03   1.302671e-21   1.081126e+00
3.345989e-03   1.608305e-21   1.081112e+00
