# Be9 + p > Li6 + a   [Be9_p__Li6_a]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=0.61789 beta=0 gamma=-24.658  Q=2.1249
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   1.691387e-35   1.004098e+00
1.018610e-03   2.846509e-35   1.008192e+00
1.028045e-03   4.766791e-35   1.012281e+00
1.037567e-03   7.943303e-35   1.016363e+00
1.047177e-03   1.317210e-34   1.020438e+00
1.056876e-03   2.173727e-34   1.024505e+00
1.066665e-03   3.570004e-34   1.028561e+00
1.076545e-03   5.835303e-34   1.032607e+00
1.086516e-03   9.493068e-34   1.036640e+00
1.096579e-03   1.537148e-33   1.040660e+00
1.106736e-03   2.477468e-33   1.044666e+00
1.116987e-03   3.974669e-33   1.048655e+00
1.127333e-03   6.347637e-33   1.052627e+00
1.137774e-03   1.009157e-32   1.056581e+00
1.148312e-03   1.597196e-32   1.060514e+00
1.158948e-03   2.516680e-32   1.064427e+00
1.169683e-03   3.948076e-32   1.068317e+00
1.180517e-03   6.166635e-32   1.072183e+00
1.191451e-03   9.590328e-32   1.076025e+00
1.202486e-03   1.485110e-31   1.079839e+00
1.213624e-03   2.290030e-31   1.083626e+00
1.224865e-03   3.516401e-31   1.087383e+00
1.236210e-03   5.377098e-31   1.091110e+00
1.247660e-03   8.188550e-31   1.094805e+00
1.259216e-03   1.241918e-30   1.098466e+00
1.270879e-03   1.875960e-30   1.102092e+00
1.282650e-03   2.822382e-30   1.105681e+00
1.294530e-03   4.229483e-30   1.109233e+00
1.306520e-03   6.313284e-30   1.112745e+00
1.318621e-03   9.387231e-30   1.116217e+00
1.330835e-03   1.390436e-29   1.119646e+00
1.343161e-03   2.051699e-29   1.123031e+00
1.355602e-03   3.016076e-29   1.126370e+00
1.368158e-03   4.417277e-29   1.129663e+00
1.380830e-03   6.445671e-29   1.132908e+00
1.393619e-03   9.371305e-29   1.136103e+00
1.406527e-03   1.357588e-28   1.139246e+00
1.419555e-03   1.959698e-28   1.142336e+00
1.432703e-03   2.818908e-28   1.145372e+00
1.445973e-03   4.040740e-28   1.148351e+00
1.459366e-03   5.772267e-28   1.151274e+00
1.472883e-03   8.217787e-28   1.154136e+00
1.486525e-03   1.166014e-27   1.156939e+00
1.500293e-03   1.648961e-27   1.159679e+00
1.514189e-03   2.324299e-27   1.162355e+00
1.528214e-03   3.265625e-27   1.164966e+00
1.542369e-03   4.573520e-27   1.167510e+00
1.556654e-03   6.385021e-27   1.169985e+00
1.571072e-03   8.886255e-27   1.172391e+00
1.585624e-03   1.232927e-26   1.174725e+00
1.600310e-03   1.705437e-26   1.176986e+00
1.615133e-03   2.351966e-26   1.179172e+00
1.630092e-03   3.234007e-26   1.181283e+00
1.645191e-03   4.433865e-26   1.183315e+00
1.660429e-03   6.061406e-26   1.185269e+00
1.675808e-03   8.262870e-26   1.187142e+00
1.691330e-03   1.123240e-25   1.188932e+00
1.706995e-03   1.522704e-25   1.190639e+00
1.722805e-03   2.058626e-25   1.192262e+00
1.738762e-03   2.775721e-25   1.193797e+00
1.754867e-03   3.732740e-25   1.195244e+00
1.771121e-03   5.006691e-25   1.196602e+00
1.787526e-03   6.698266e-25   1.197870e+00
1.804082e-03   8.938815e-25   1.199045e+00
1.820792e-03   1.189928e-24   1.200126e+00
1.837656e-03   1.580165e-24   1.201112e+00
1.854677e-03   2.093352e-24   1.202002e+00
1.871855e-03   2.766671e-24   1.202794e+00
1.889193e-03   3.648092e-24   1.203488e+00
1.906691e-03   4.799373e-24   1.204081e+00
1.924351e-03   6.299861e-24   1.204572e+00
1.942175e-03   8.251305e-24   1.204961e+00
1.960163e-03   1.078393e-23   1.205246e+00
1.978319e-03   1.406408e-23   1.205425e+00
1.996642e-03   1.830387e-23   1.205498e+00
2.015136e-03   2.377330e-23   1.205497e+00
2.033800e-03   3.081543e-23   1.205487e+00
2.052638e-03   3.986545e-23   1.205470e+00
2.071650e-03   5.147450e-23   1.205445e+00
2.090838e-03   6.633949e-23   1.205414e+00
2.110203e-03   8.534026e-23   1.205376e+00
2.129749e-03   1.095860e-22   1.205331e+00
2.149475e-03   1.404730e-22   1.205281e+00
2.169384e-03   1.797566e-22   1.205225e+00
2.189477e-03   2.296404e-22   1.205163e+00
2.209756e-03   2.928874e-22   1.205097e+00
2.230223e-03   3.729575e-22   1.205025e+00
2.250880e-03   4.741784e-22   1.204948e+00
2.271728e-03   6.019567e-22   1.204867e+00
2.292769e-03   7.630402e-22   1.204782e+00
2.314005e-03   9.658406e-22   1.204693e+00
2.335438e-03   1.220835e-21   1.204601e+00
2.357069e-03   1.541059e-21   1.204505e+00
2.378901e-03   1.942717e-21   1.204406e+00
2.400935e-03   2.445939e-21   1.204304e+00
2.423173e-03   3.075704e-21   1.204200e+00
2.445617e-03   3.862994e-21   1.204093e+00
2.468268e-03   4.846199e-21   1.203985e+00
2.491130e-03   6.072867e-21   1.203874e+00
2.514203e-03   7.601843e-21   1.203762e+00
2.537490e-03   9.505917e-21   1.203649e+00
2.560993e-03   1.187508e-20   1.203535e+00
2.584714e-03   1.482054e-20   1.203421e+00
2.608654e-03   1.847966e-20   1.203306e+00
2.632815e-03   2.302202e-20   1.203191e+00
2.657201e-03   2.865695e-20   1.203075e+00
2.681813e-03   3.564273e-20   1.202961e+00
2.706652e-03   4.429798e-20   1.202847e+00
2.731722e-03   5.501564e-20   1.202734e+00
2.757023e-03   6.828026e-20   1.202622e+00
2.782559e-03   8.468925e-20   1.202512e+00
2.808332e-03   1.049791e-19   1.202403e+00
2.834343e-03   1.300578e-19   1.202297e+00
2.860596e-03   1.610447e-19   1.202192e+00
2.887091e-03   1.993197e-19   1.202090e+00
2.913832e-03   2.465842e-19   1.201991e+00
2.940820e-03   3.049360e-19   1.201896e+00
2.968059e-03   3.769626e-19   1.201803e+00
2.995549e-03   4.658554e-19   1.201714e+00
3.023295e-03   5.755493e-19   1.201627e+00
3.051297e-03   7.108728e-19   1.201540e+00
3.079559e-03   8.777536e-19   1.201453e+00
3.108082e-03   1.083473e-18   1.201365e+00
3.136870e-03   1.336970e-18   1.201277e+00
3.165924e-03   1.649212e-18   1.201189e+00
3.195248e-03   2.033650e-18   1.201101e+00
3.224842e-03   2.506767e-18   1.201012e+00
3.254712e-03   3.088753e-18   1.200923e+00
3.284857e-03   3.804322e-18   1.200835e+00
3.315282e-03   4.683704e-18   1.200746e+00
3.345989e-03   5.763855e-18   1.200657e+00
3.376980e-03   7.089922e-18   1.200568e+00
3.408259e-03   8.717021e-18   1.200480e+00
3.439826e-03   1.071239e-17   1.200391e+00
3.471687e-03   1.315798e-17   1.200303e+00
3.503842e-03   1.615364e-17   1.200215e+00
3.536296e-03   1.982088e-17   1.200127e+00
3.569049e-03   2.430752e-17   1.200039e+00
3.602107e-03   2.979315e-17   1.199952e+00
3.635470e-03   3.649588e-17   1.199866e+00
3.669142e-03   4.468030e-17   1.199779e+00
3.703127e-03   5.466718e-17   1.199693e+00
3.737426e-03   6.684499e-17   1.199608e+00
3.772042e-03   8.168382e-17   1.199523e+00
3.806980e-03   9.975196e-17   1.199439e+00
3.842241e-03   1.217359e-16   1.199356e+00
3.877828e-03   1.484638e-16   1.199273e+00
3.913746e-03   1.809343e-16   1.199191e+00
3.949995e-03   2.203500e-16   1.199110e+00
3.986581e-03   2.681576e-16   1.199029e+00
4.023506e-03   3.260964e-16   1.198950e+00
4.060772e-03   3.962602e-16   1.198872e+00
4.098384e-03   4.811689e-16   1.198796e+00
4.136344e-03   5.838501e-16   1.198721e+00
4.174655e-03   7.079390e-16   1.198647e+00
4.213322e-03   8.577982e-16   1.198575e+00
4.252346e-03   1.038660e-15   1.198503e+00
4.291732e-03   1.256795e-15   1.198432e+00
4.331483e-03   1.519717e-15   1.198362e+00
4.371602e-03   1.836419e-15   1.198292e+00
4.412093e-03   2.217666e-15   1.198222e+00
4.452959e-03   2.676331e-15   1.198152e+00
4.494203e-03   3.227801e-15   1.198082e+00
4.535829e-03   3.890460e-15   1.198012e+00
4.577841e-03   4.686263e-15   1.197941e+00
4.620241e-03   5.641413e-15   1.197869e+00
4.663035e-03   6.787169e-15   1.197796e+00
4.706225e-03   8.160807e-15   1.197723e+00
4.749815e-03   9.806753e-15   1.197648e+00
4.793808e-03   1.177794e-14   1.197571e+00
4.838210e-03   1.413738e-14   1.197493e+00
4.883022e-03   1.696011e-14   1.197414e+00
4.928250e-03   2.033539e-14   1.197332e+00
4.973896e-03   2.436937e-14   1.197249e+00
5.019965e-03   2.918826e-14   1.197162e+00
5.066461e-03   3.494184e-14   1.197071e+00
5.113388e-03   4.180767e-14   1.196974e+00
5.160749e-03   4.999627e-14   1.196872e+00
5.208549e-03   5.975706e-14   1.196767e+00
5.256791e-03   7.138546e-14   1.196659e+00
5.305481e-03   8.523104e-14   1.196549e+00
5.354621e-03   1.017073e-13   1.196437e+00
5.404216e-03   1.213030e-13   1.196324e+00
5.454271e-03   1.445954e-13   1.196211e+00
5.504790e-03   1.722661e-13   1.196098e+00
