# Be9 + t > B11 + n   [Be9_t__B11_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=3.8295 beta=0 gamma=-110.918  Q=9.5582
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.031995e-35   1.000000e+02
1.018610e-03   1.065639e-35   1.000000e+02
1.028045e-03   1.101036e-35   1.000000e+02
1.037567e-03   1.138299e-35   1.000000e+02
1.047177e-03   1.177547e-35   1.000000e+02
1.056876e-03   1.218909e-35   1.000000e+02
1.066665e-03   1.262525e-35   1.000000e+02
1.076545e-03   1.308543e-35   1.000000e+02
1.086516e-03   1.357125e-35   1.000000e+02
1.096579e-03   1.408443e-35   1.000000e+02
1.106736e-03   1.462684e-35   1.000000e+02
1.116987e-03   1.520051e-35   1.000000e+02
1.127333e-03   1.580758e-35   1.000000e+02
1.137774e-03   1.645043e-35   1.000000e+02
1.148312e-03   1.713157e-35   1.000000e+02
1.158948e-03   1.785376e-35   1.000000e+02
1.169683e-03   1.861995e-35   1.000000e+02
1.180517e-03   1.943337e-35   1.000000e+02
1.191451e-03   2.029750e-35   1.000000e+02
1.202486e-03   2.121611e-35   1.000000e+02
1.213624e-03   2.219331e-35   1.000000e+02
1.224865e-03   2.323354e-35   1.000000e+02
1.236210e-03   2.434164e-35   1.000000e+02
1.247660e-03   2.552288e-35   1.000000e+02
1.259216e-03   2.678298e-35   1.000000e+02
1.270879e-03   2.812818e-35   1.000000e+02
1.282650e-03   2.956529e-35   1.000000e+02
1.294530e-03   3.110171e-35   1.000000e+02
1.306520e-03   3.274556e-35   1.000000e+02
1.318621e-03   3.450567e-35   1.000000e+02
1.330835e-03   3.639172e-35   1.000000e+02
1.343161e-03   3.841430e-35   1.000000e+02
1.355602e-03   4.058500e-35   1.000000e+02
1.368158e-03   4.291653e-35   1.000000e+02
1.380830e-03   4.542283e-35   1.000000e+02
1.393619e-03   4.811920e-35   1.000000e+02
1.406527e-03   5.102246e-35   1.000000e+02
1.419555e-03   5.415110e-35   1.000000e+02
1.432703e-03   5.752546e-35   1.000000e+02
1.445973e-03   6.116796e-35   1.000000e+02
1.459366e-03   6.510332e-35   1.000000e+02
1.472883e-03   6.935880e-35   1.000000e+02
1.486525e-03   7.396451e-35   1.000000e+02
1.500293e-03   7.895375e-35   1.000000e+02
1.514189e-03   8.436334e-35   1.000000e+02
1.528214e-03   9.023407e-35   1.000000e+02
1.542369e-03   9.661113e-35   1.000000e+02
1.556654e-03   1.035447e-34   1.000000e+02
1.571072e-03   1.110904e-34   1.000000e+02
1.585624e-03   1.193101e-34   1.000000e+02
1.600310e-03   1.282728e-34   1.000000e+02
1.615133e-03   1.380550e-34   1.000000e+02
1.630092e-03   1.487422e-34   1.000000e+02
1.645191e-03   1.604298e-34   1.000000e+02
1.660429e-03   1.732242e-34   1.000000e+02
1.675808e-03   1.872445e-34   1.000000e+02
1.691330e-03   2.026237e-34   1.000000e+02
1.706995e-03   2.195112e-34   1.000000e+02
1.722805e-03   2.380742e-34   1.000000e+02
1.738762e-03   2.585005e-34   1.000000e+02
1.754867e-03   2.810009e-34   1.000000e+02
1.771121e-03   3.058127e-34   1.000000e+02
1.787526e-03   3.332031e-34   1.000000e+02
1.804082e-03   3.634731e-34   1.000000e+02
1.820792e-03   3.969624e-34   1.000000e+02
1.837656e-03   4.340547e-34   1.000000e+02
1.854677e-03   4.751838e-34   1.000000e+02
1.871855e-03   5.208408e-34   1.000000e+02
1.889193e-03   5.715821e-34   1.000000e+02
1.906691e-03   6.280391e-34   1.000000e+02
1.924351e-03   6.909288e-34   1.000000e+02
1.942175e-03   7.610663e-34   1.000000e+02
1.960163e-03   8.393797e-34   1.000000e+02
1.978319e-03   9.269264e-34   1.000000e+02
1.996642e-03   1.024913e-33   1.000000e+02
2.015136e-03   1.134718e-33   1.000000e+02
2.033800e-03   1.257917e-33   1.000000e+02
