# C11 + d > N13 + g   [C11_d__N13_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.3185e+11 beta=1.5 gamma=-213.993  Q=18.4405
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.005827e-35   1.000000e+02
1.018610e-03   1.010949e-35   1.000000e+02
1.028045e-03   1.015366e-35   1.000000e+02
1.037567e-03   1.019083e-35   1.000000e+02
1.047177e-03   1.022105e-35   1.000000e+02
1.056876e-03   1.024437e-35   1.000000e+02
1.066665e-03   1.026089e-35   1.000000e+02
1.076545e-03   1.027070e-35   1.000000e+02
1.086516e-03   1.027391e-35   1.000000e+02
1.096579e-03   1.027063e-35   1.000000e+02
1.106736e-03   1.026102e-35   1.000000e+02
1.116987e-03   1.024521e-35   1.000000e+02
1.127333e-03   1.022336e-35   1.000000e+02
1.137774e-03   1.019564e-35   1.000000e+02
1.148312e-03   1.016223e-35   1.000000e+02
1.158948e-03   1.012330e-35   1.000000e+02
1.169683e-03   1.007906e-35   1.000000e+02
1.180517e-03   1.002969e-35   1.000000e+02
1.191451e-03   9.975398e-36   1.000000e+02
1.202486e-03   9.916397e-36   1.000000e+02
1.213624e-03   9.852895e-36   1.000000e+02
1.224865e-03   9.785106e-36   1.000000e+02
1.236210e-03   9.713247e-36   1.000000e+02
1.247660e-03   9.637536e-36   1.000000e+02
1.259216e-03   9.558191e-36   1.000000e+02
1.270879e-03   9.475432e-36   1.000000e+02
1.282650e-03   9.389477e-36   1.000000e+02
1.294530e-03   9.300543e-36   1.000000e+02
1.306520e-03   9.208847e-36   1.000000e+02
1.318621e-03   9.114601e-36   1.000000e+02
1.330835e-03   9.018017e-36   1.000000e+02
1.343161e-03   8.919301e-36   1.000000e+02
1.355602e-03   8.818658e-36   1.000000e+02
1.368158e-03   8.716287e-36   1.000000e+02
1.380830e-03   8.612383e-36   1.000000e+02
1.393619e-03   8.507138e-36   1.000000e+02
1.406527e-03   8.400736e-36   1.000000e+02
1.419555e-03   8.293358e-36   1.000000e+02
1.432703e-03   8.185179e-36   1.000000e+02
1.445973e-03   8.076369e-36   1.000000e+02
1.459366e-03   7.967089e-36   1.000000e+02
1.472883e-03   7.857499e-36   1.000000e+02
1.486525e-03   7.747749e-36   1.000000e+02
1.500293e-03   7.637985e-36   1.000000e+02
1.514189e-03   7.528345e-36   1.000000e+02
1.528214e-03   7.418963e-36   1.000000e+02
1.542369e-03   7.309965e-36   1.000000e+02
1.556654e-03   7.201473e-36   1.000000e+02
1.571072e-03   7.093600e-36   1.000000e+02
1.585624e-03   6.986456e-36   1.000000e+02
1.600310e-03   6.880142e-36   1.000000e+02
1.615133e-03   6.774756e-36   1.000000e+02
1.630092e-03   6.670390e-36   1.000000e+02
1.645191e-03   6.567127e-36   1.000000e+02
1.660429e-03   6.465049e-36   1.000000e+02
1.675808e-03   6.364229e-36   1.000000e+02
1.691330e-03   6.264738e-36   1.000000e+02
1.706995e-03   6.166641e-36   1.000000e+02
1.722805e-03   6.069996e-36   1.000000e+02
1.738762e-03   5.974858e-36   1.000000e+02
1.754867e-03   5.881280e-36   1.000000e+02
1.771121e-03   5.789306e-36   1.000000e+02
1.787526e-03   5.698979e-36   1.000000e+02
1.804082e-03   5.610338e-36   1.000000e+02
1.820792e-03   5.523417e-36   1.000000e+02
1.837656e-03   5.438247e-36   1.000000e+02
1.854677e-03   5.354857e-36   1.000000e+02
1.871855e-03   5.273270e-36   1.000000e+02
1.889193e-03   5.193509e-36   1.000000e+02
1.906691e-03   5.115592e-36   1.000000e+02
1.924351e-03   5.039537e-36   1.000000e+02
1.942175e-03   4.965356e-36   1.000000e+02
1.960163e-03   4.893063e-36   1.000000e+02
1.978319e-03   4.822667e-36   1.000000e+02
1.996642e-03   4.754176e-36   1.000000e+02
2.015136e-03   4.687597e-36   1.000000e+02
2.033800e-03   4.622934e-36   1.000000e+02
2.052638e-03   4.560191e-36   1.000000e+02
2.071650e-03   4.499371e-36   1.000000e+02
2.090838e-03   4.440475e-36   1.000000e+02
2.110203e-03   4.383503e-36   1.000000e+02
2.129749e-03   4.328456e-36   1.000000e+02
2.149475e-03   4.275334e-36   1.000000e+02
2.169384e-03   4.224135e-36   1.000000e+02
2.189477e-03   4.174858e-36   1.000000e+02
2.209756e-03   4.127502e-36   1.000000e+02
2.230223e-03   4.082066e-36   1.000000e+02
2.250880e-03   4.038549e-36   1.000000e+02
2.271728e-03   3.996950e-36   1.000000e+02
2.292769e-03   3.957270e-36   1.000000e+02
2.314005e-03   3.919509e-36   1.000000e+02
2.335438e-03   3.883667e-36   1.000000e+02
2.357069e-03   3.849749e-36   1.000000e+02
2.378901e-03   3.817756e-36   1.000000e+02
2.400935e-03   3.787693e-36   1.000000e+02
2.423173e-03   3.759566e-36   1.000000e+02
2.445617e-03   3.733383e-36   1.000000e+02
2.468268e-03   3.709152e-36   1.000000e+02
2.491130e-03   3.686883e-36   1.000000e+02
2.514203e-03   3.666591e-36   1.000000e+02
2.537490e-03   3.648288e-36   1.000000e+02
2.560993e-03   3.631993e-36   1.000000e+02
2.584714e-03   3.617724e-36   1.000000e+02
2.608654e-03   3.605504e-36   1.000000e+02
2.632815e-03   3.595358e-36   1.000000e+02
2.657201e-03   3.587312e-36   1.000000e+02
2.681813e-03   3.581400e-36   1.000000e+02
2.706652e-03   3.577654e-36   1.000000e+02
2.731722e-03   3.576114e-36   1.000000e+02
2.757023e-03   3.576821e-36   1.000000e+02
2.782559e-03   3.579822e-36   1.000000e+02
2.808332e-03   3.585168e-36   1.000000e+02
2.834343e-03   3.592914e-36   1.000000e+02
2.860596e-03   3.603122e-36   1.000000e+02
2.887091e-03   3.615857e-36   1.000000e+02
2.913832e-03   3.631193e-36   1.000000e+02
2.940820e-03   3.649207e-36   1.000000e+02
2.968059e-03   3.669985e-36   1.000000e+02
2.995549e-03   3.693620e-36   1.000000e+02
3.023295e-03   3.720183e-36   1.000000e+02
3.051297e-03   3.749564e-36   1.000000e+02
3.079559e-03   3.781575e-36   1.000000e+02
3.108082e-03   3.816028e-36   1.000000e+02
3.136870e-03   3.852729e-36   1.000000e+02
3.165924e-03   3.891478e-36   1.000000e+02
3.195248e-03   3.932070e-36   1.000000e+02
3.224842e-03   3.974292e-36   1.000000e+02
3.254712e-03   4.017921e-36   1.000000e+02
3.284857e-03   4.062723e-36   1.000000e+02
3.315282e-03   4.108455e-36   1.000000e+02
3.345989e-03   4.154863e-36   1.000000e+02
3.376980e-03   4.201679e-36   1.000000e+02
3.408259e-03   4.248624e-36   1.000000e+02
3.439826e-03   4.295407e-36   1.000000e+02
3.471687e-03   4.341722e-36   1.000000e+02
3.503842e-03   4.387254e-36   1.000000e+02
3.536296e-03   4.431674e-36   1.000000e+02
3.569049e-03   4.474642e-36   1.000000e+02
3.602107e-03   4.515809e-36   1.000000e+02
3.635470e-03   4.554815e-36   1.000000e+02
3.669142e-03   4.591295e-36   1.000000e+02
3.703127e-03   4.624877e-36   1.000000e+02
3.737426e-03   4.655184e-36   1.000000e+02
3.772042e-03   4.681840e-36   1.000000e+02
3.806980e-03   4.704467e-36   1.000000e+02
3.842241e-03   4.722694e-36   1.000000e+02
3.877828e-03   4.736154e-36   1.000000e+02
3.913746e-03   4.744494e-36   1.000000e+02
3.949995e-03   4.747370e-36   1.000000e+02
3.986581e-03   4.744460e-36   1.000000e+02
4.023506e-03   4.735574e-36   1.000000e+02
4.060772e-03   4.722026e-36   1.000000e+02
4.098384e-03   4.706169e-36   1.000000e+02
4.136344e-03   4.690349e-36   1.000000e+02
4.174655e-03   4.676885e-36   1.000000e+02
4.213322e-03   4.668070e-36   1.000000e+02
4.252346e-03   4.666190e-36   1.000000e+02
4.291732e-03   4.673553e-36   1.000000e+02
4.331483e-03   4.692528e-36   1.000000e+02
4.371602e-03   4.725597e-36   1.000000e+02
4.412093e-03   4.775426e-36   1.000000e+02
4.452959e-03   4.844938e-36   1.000000e+02
4.494203e-03   4.937424e-36   1.000000e+02
4.535829e-03   5.056662e-36   1.000000e+02
4.577841e-03   5.207078e-36   1.000000e+02
4.620241e-03   5.393939e-36   1.000000e+02
4.663035e-03   5.623609e-36   1.000000e+02
4.706225e-03   5.903869e-36   1.000000e+02
4.749815e-03   6.244331e-36   1.000000e+02
4.793808e-03   6.656993e-36   1.000000e+02
4.838210e-03   7.156958e-36   1.000000e+02
4.883022e-03   7.763408e-36   1.000000e+02
4.928250e-03   8.500904e-36   1.000000e+02
4.973896e-03   9.401170e-36   1.000000e+02
5.019965e-03   1.050539e-35   1.000000e+02
5.066461e-03   1.186247e-35   1.000000e+02
5.113388e-03   1.352891e-35   1.000000e+02
