# C11 + p > N12 + g   [C11_p__N12_g]   ref=Tang et al. 2003
# forward[T9] = With[{T923=T9^(2/3),T932=T9^(3/2),T913=T9^(1/3),T943=T9^(4/3),T953=T9^(5/3)},(1.670*^2*Exp[-4.166/T9]/T932+2.148*^5*Exp[-13.281/T913]/T923* (1.+4.639*T913-2.641*T923-1.543*T9+2.030*T943+4.657*T953))]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   6.465439e-51   3.000000e+00
1.009262e-03   9.667026e-51   3.000000e+00
1.018610e-03   1.443595e-50   3.000000e+00
1.028045e-03   2.153064e-50   3.000000e+00
1.037567e-03   3.207227e-50   3.000000e+00
1.047177e-03   4.771609e-50   3.000000e+00
1.056876e-03   7.090294e-50   3.000000e+00
1.066665e-03   1.052276e-49   3.000000e+00
1.076545e-03   1.559776e-49   3.000000e+00
1.086516e-03   2.309215e-49   3.000000e+00
1.096579e-03   3.414578e-49   3.000000e+00
1.106736e-03   5.042922e-49   3.000000e+00
1.116987e-03   7.438774e-49   3.000000e+00
1.127333e-03   1.095964e-48   3.000000e+00
1.137774e-03   1.612755e-48   3.000000e+00
1.148312e-03   2.370387e-48   3.000000e+00
1.158948e-03   3.479771e-48   3.000000e+00
1.169683e-03   5.102277e-48   3.000000e+00
1.180517e-03   7.472418e-48   3.000000e+00
1.191451e-03   1.093059e-47   3.000000e+00
1.202486e-03   1.597029e-47   3.000000e+00
1.213624e-03   2.330613e-47   3.000000e+00
1.224865e-03   3.397174e-47   3.000000e+00
1.236210e-03   4.946030e-47   3.000000e+00
1.247660e-03   7.192650e-47   3.000000e+00
1.259216e-03   1.044758e-46   3.000000e+00
1.270879e-03   1.515789e-46   3.000000e+00
1.282650e-03   2.196643e-46   3.000000e+00
1.294530e-03   3.179651e-46   3.000000e+00
1.306520e-03   4.597274e-46   3.000000e+00
1.318621e-03   6.639320e-46   3.000000e+00
1.330835e-03   9.577468e-46   3.000000e+00
1.343161e-03   1.380013e-45   3.000000e+00
1.355602e-03   1.986199e-45   3.000000e+00
1.368158e-03   2.855425e-45   3.000000e+00
1.380830e-03   4.100423e-45   3.000000e+00
1.393619e-03   5.881634e-45   3.000000e+00
1.406527e-03   8.427142e-45   3.000000e+00
1.419555e-03   1.206083e-44   3.000000e+00
1.432703e-03   1.724209e-44   3.000000e+00
1.445973e-03   2.462182e-44   3.000000e+00
1.459366e-03   3.512119e-44   3.000000e+00
1.472883e-03   5.004248e-44   3.000000e+00
1.486525e-03   7.122464e-44   3.000000e+00
1.500293e-03   1.012617e-43   3.000000e+00
1.514189e-03   1.438085e-43   3.000000e+00
1.528214e-03   2.040095e-43   3.000000e+00
1.542369e-03   2.890973e-43   3.000000e+00
1.556654e-03   4.092293e-43   3.000000e+00
1.571072e-03   5.786556e-43   3.000000e+00
1.585624e-03   8.173453e-43   3.000000e+00
1.600310e-03   1.153253e-42   3.000000e+00
1.615133e-03   1.625468e-42   3.000000e+00
1.630092e-03   2.288594e-42   3.000000e+00
1.645191e-03   3.218820e-42   3.000000e+00
1.660429e-03   4.522348e-42   3.000000e+00
1.675808e-03   6.347049e-42   3.000000e+00
1.691330e-03   8.898601e-42   3.000000e+00
1.706995e-03   1.246278e-41   3.000000e+00
1.722805e-03   1.743626e-41   3.000000e+00
1.738762e-03   2.436900e-41   3.000000e+00
1.754867e-03   3.402278e-41   3.000000e+00
1.771121e-03   4.745160e-41   3.000000e+00
1.787526e-03   6.611232e-41   3.000000e+00
1.804082e-03   9.201650e-41   3.000000e+00
1.820792e-03   1.279388e-40   3.000000e+00
1.837656e-03   1.777024e-40   3.000000e+00
1.854677e-03   2.465699e-40   3.000000e+00
1.871855e-03   3.417782e-40   3.000000e+00
1.889193e-03   4.732680e-40   3.000000e+00
1.906691e-03   6.546814e-40   3.000000e+00
