# C11 + t > N14 + g   [C11_t__N14_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=9.6119e+10 beta=1.5 gamma=-263.848  Q=22.7367
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.004213e-35   1.000000e+02
1.018610e-03   1.007904e-35   1.000000e+02
1.028045e-03   1.011077e-35   1.000000e+02
1.037567e-03   1.013737e-35   1.000000e+02
1.047177e-03   1.015887e-35   1.000000e+02
1.056876e-03   1.017536e-35   1.000000e+02
1.066665e-03   1.018688e-35   1.000000e+02
1.076545e-03   1.019353e-35   1.000000e+02
1.086516e-03   1.019538e-35   1.000000e+02
1.096579e-03   1.019254e-35   1.000000e+02
1.106736e-03   1.018508e-35   1.000000e+02
1.116987e-03   1.017313e-35   1.000000e+02
1.127333e-03   1.015678e-35   1.000000e+02
1.137774e-03   1.013616e-35   1.000000e+02
1.148312e-03   1.011138e-35   1.000000e+02
1.158948e-03   1.008256e-35   1.000000e+02
1.169683e-03   1.004984e-35   1.000000e+02
1.180517e-03   1.001335e-35   1.000000e+02
1.191451e-03   9.973207e-36   1.000000e+02
1.202486e-03   9.929563e-36   1.000000e+02
1.213624e-03   9.882552e-36   1.000000e+02
1.224865e-03   9.832314e-36   1.000000e+02
1.236210e-03   9.778992e-36   1.000000e+02
1.247660e-03   9.722728e-36   1.000000e+02
1.259216e-03   9.663664e-36   1.000000e+02
1.270879e-03   9.601946e-36   1.000000e+02
1.282650e-03   9.537715e-36   1.000000e+02
1.294530e-03   9.471115e-36   1.000000e+02
1.306520e-03   9.402289e-36   1.000000e+02
1.318621e-03   9.331378e-36   1.000000e+02
1.330835e-03   9.258522e-36   1.000000e+02
1.343161e-03   9.183860e-36   1.000000e+02
1.355602e-03   9.107528e-36   1.000000e+02
1.368158e-03   9.029662e-36   1.000000e+02
1.380830e-03   8.950395e-36   1.000000e+02
1.393619e-03   8.869857e-36   1.000000e+02
1.406527e-03   8.788176e-36   1.000000e+02
1.419555e-03   8.705477e-36   1.000000e+02
1.432703e-03   8.621883e-36   1.000000e+02
1.445973e-03   8.537514e-36   1.000000e+02
1.459366e-03   8.452485e-36   1.000000e+02
1.472883e-03   8.366911e-36   1.000000e+02
1.486525e-03   8.280901e-36   1.000000e+02
1.500293e-03   8.194562e-36   1.000000e+02
1.514189e-03   8.107998e-36   1.000000e+02
1.528214e-03   8.021310e-36   1.000000e+02
1.542369e-03   7.934593e-36   1.000000e+02
1.556654e-03   7.847942e-36   1.000000e+02
1.571072e-03   7.761445e-36   1.000000e+02
1.585624e-03   7.675191e-36   1.000000e+02
1.600310e-03   7.589262e-36   1.000000e+02
1.615133e-03   7.503737e-36   1.000000e+02
1.630092e-03   7.418693e-36   1.000000e+02
1.645191e-03   7.334204e-36   1.000000e+02
1.660429e-03   7.250339e-36   1.000000e+02
1.675808e-03   7.167165e-36   1.000000e+02
1.691330e-03   7.084745e-36   1.000000e+02
1.706995e-03   7.003140e-36   1.000000e+02
1.722805e-03   6.922408e-36   1.000000e+02
1.738762e-03   6.842602e-36   1.000000e+02
1.754867e-03   6.763776e-36   1.000000e+02
1.771121e-03   6.685976e-36   1.000000e+02
1.787526e-03   6.609251e-36   1.000000e+02
1.804082e-03   6.533644e-36   1.000000e+02
1.820792e-03   6.459195e-36   1.000000e+02
1.837656e-03   6.385945e-36   1.000000e+02
1.854677e-03   6.313929e-36   1.000000e+02
1.871855e-03   6.243182e-36   1.000000e+02
1.889193e-03   6.173736e-36   1.000000e+02
1.906691e-03   6.105622e-36   1.000000e+02
1.924351e-03   6.038869e-36   1.000000e+02
1.942175e-03   5.973502e-36   1.000000e+02
1.960163e-03   5.909548e-36   1.000000e+02
1.978319e-03   5.847029e-36   1.000000e+02
1.996642e-03   5.785969e-36   1.000000e+02
2.015136e-03   5.726387e-36   1.000000e+02
2.033800e-03   5.668304e-36   1.000000e+02
2.052638e-03   5.611738e-36   1.000000e+02
2.071650e-03   5.556706e-36   1.000000e+02
2.090838e-03   5.503224e-36   1.000000e+02
2.110203e-03   5.451310e-36   1.000000e+02
2.129749e-03   5.400977e-36   1.000000e+02
2.149475e-03   5.352240e-36   1.000000e+02
2.169384e-03   5.305113e-36   1.000000e+02
2.189477e-03   5.259610e-36   1.000000e+02
2.209756e-03   5.215744e-36   1.000000e+02
2.230223e-03   5.173528e-36   1.000000e+02
2.250880e-03   5.132975e-36   1.000000e+02
2.271728e-03   5.094099e-36   1.000000e+02
2.292769e-03   5.056912e-36   1.000000e+02
2.314005e-03   5.021428e-36   1.000000e+02
2.335438e-03   4.987661e-36   1.000000e+02
2.357069e-03   4.955625e-36   1.000000e+02
2.378901e-03   4.925335e-36   1.000000e+02
2.400935e-03   4.896807e-36   1.000000e+02
2.423173e-03   4.870057e-36   1.000000e+02
