# C12 + He3 > N14 + p   [C12_He3__N14_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.369 beta=0 gamma=-55.4559  Q=4.7788
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.997729e-36   1.000000e+02
1.018610e-03   9.995558e-36   1.000000e+02
1.028045e-03   9.993485e-36   1.000000e+02
1.037567e-03   9.991509e-36   1.000000e+02
1.047177e-03   9.989627e-36   1.000000e+02
1.056876e-03   9.987838e-36   1.000000e+02
1.066665e-03   9.986141e-36   1.000000e+02
1.076545e-03   9.984534e-36   1.000000e+02
1.086516e-03   9.983015e-36   1.000000e+02
1.096579e-03   9.981583e-36   1.000000e+02
1.106736e-03   9.980237e-36   1.000000e+02
1.116987e-03   9.978973e-36   1.000000e+02
1.127333e-03   9.977792e-36   1.000000e+02
1.137774e-03   9.976691e-36   1.000000e+02
1.148312e-03   9.975670e-36   1.000000e+02
1.158948e-03   9.974725e-36   1.000000e+02
1.169683e-03   9.973856e-36   1.000000e+02
1.180517e-03   9.973061e-36   1.000000e+02
1.191451e-03   9.972339e-36   1.000000e+02
1.202486e-03   9.971688e-36   1.000000e+02
1.213624e-03   9.971106e-36   1.000000e+02
1.224865e-03   9.970593e-36   1.000000e+02
1.236210e-03   9.970145e-36   1.000000e+02
1.247660e-03   9.969762e-36   1.000000e+02
1.259216e-03   9.969443e-36   1.000000e+02
1.270879e-03   9.969185e-36   1.000000e+02
1.282650e-03   9.968987e-36   1.000000e+02
1.294530e-03   9.968848e-36   1.000000e+02
1.306520e-03   9.968766e-36   1.000000e+02
1.318621e-03   9.968739e-36   1.000000e+02
1.330835e-03   9.968766e-36   1.000000e+02
1.343161e-03   9.968846e-36   1.000000e+02
1.355602e-03   9.968976e-36   1.000000e+02
1.368158e-03   9.969156e-36   1.000000e+02
1.380830e-03   9.969383e-36   1.000000e+02
1.393619e-03   9.969656e-36   1.000000e+02
1.406527e-03   9.969974e-36   1.000000e+02
1.419555e-03   9.970336e-36   1.000000e+02
1.432703e-03   9.970738e-36   1.000000e+02
1.445973e-03   9.971181e-36   1.000000e+02
1.459366e-03   9.971662e-36   1.000000e+02
1.472883e-03   9.972180e-36   1.000000e+02
1.486525e-03   9.972733e-36   1.000000e+02
1.500293e-03   9.973320e-36   1.000000e+02
1.514189e-03   9.973939e-36   1.000000e+02
1.528214e-03   9.974589e-36   1.000000e+02
1.542369e-03   9.975268e-36   1.000000e+02
1.556654e-03   9.975975e-36   1.000000e+02
1.571072e-03   9.976708e-36   1.000000e+02
1.585624e-03   9.977465e-36   1.000000e+02
