# C12 + d > C13 + p   [C12_d__C13_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.8784 beta=0 gamma=-31.5844  Q=2.7217
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.009740e-35   1.000000e+02
1.018610e-03   1.018552e-35   1.000000e+02
1.028045e-03   1.026430e-35   1.000000e+02
1.037567e-03   1.033369e-35   1.000000e+02
1.047177e-03   1.039369e-35   1.000000e+02
1.056876e-03   1.044431e-35   1.000000e+02
1.066665e-03   1.048561e-35   1.000000e+02
1.076545e-03   1.051766e-35   1.000000e+02
1.086516e-03   1.054057e-35   1.000000e+02
1.096579e-03   1.055447e-35   1.000000e+02
1.106736e-03   1.055952e-35   1.000000e+02
1.116987e-03   1.055589e-35   1.000000e+02
1.127333e-03   1.054379e-35   1.000000e+02
1.137774e-03   1.052344e-35   1.000000e+02
1.148312e-03   1.049508e-35   1.000000e+02
1.158948e-03   1.045896e-35   1.000000e+02
1.169683e-03   1.041535e-35   1.000000e+02
1.180517e-03   1.036453e-35   1.000000e+02
1.191451e-03   1.030680e-35   1.000000e+02
1.202486e-03   1.024246e-35   1.000000e+02
1.213624e-03   1.017183e-35   1.000000e+02
1.224865e-03   1.009523e-35   1.000000e+02
1.236210e-03   1.001297e-35   1.000000e+02
1.247660e-03   9.925396e-36   1.000000e+02
1.259216e-03   9.832826e-36   1.000000e+02
1.270879e-03   9.735597e-36   1.000000e+02
1.282650e-03   9.634038e-36   1.000000e+02
1.294530e-03   9.528478e-36   1.000000e+02
1.306520e-03   9.419244e-36   1.000000e+02
1.318621e-03   9.306659e-36   1.000000e+02
1.330835e-03   9.191040e-36   1.000000e+02
1.343161e-03   9.072699e-36   1.000000e+02
1.355602e-03   8.951941e-36   1.000000e+02
1.368158e-03   8.829065e-36   1.000000e+02
1.380830e-03   8.704361e-36   1.000000e+02
1.393619e-03   8.578110e-36   1.000000e+02
1.406527e-03   8.450585e-36   1.000000e+02
1.419555e-03   8.322049e-36   1.000000e+02
1.432703e-03   8.192755e-36   1.000000e+02
1.445973e-03   8.062947e-36   1.000000e+02
1.459366e-03   7.932858e-36   1.000000e+02
1.472883e-03   7.802708e-36   1.000000e+02
1.486525e-03   7.672712e-36   1.000000e+02
1.500293e-03   7.543068e-36   1.000000e+02
1.514189e-03   7.413969e-36   1.000000e+02
1.528214e-03   7.285594e-36   1.000000e+02
1.542369e-03   7.158112e-36   1.000000e+02
1.556654e-03   7.031682e-36   1.000000e+02
1.571072e-03   6.906453e-36   1.000000e+02
1.585624e-03   6.782564e-36   1.000000e+02
1.600310e-03   6.660145e-36   1.000000e+02
1.615133e-03   6.539315e-36   1.000000e+02
1.630092e-03   6.420184e-36   1.000000e+02
1.645191e-03   6.302854e-36   1.000000e+02
1.660429e-03   6.187418e-36   1.000000e+02
1.675808e-03   6.073962e-36   1.000000e+02
1.691330e-03   5.962561e-36   1.000000e+02
1.706995e-03   5.853286e-36   1.000000e+02
1.722805e-03   5.746200e-36   1.000000e+02
1.738762e-03   5.641357e-36   1.000000e+02
1.754867e-03   5.538806e-36   1.000000e+02
1.771121e-03   5.438592e-36   1.000000e+02
1.787526e-03   5.340751e-36   1.000000e+02
1.804082e-03   5.245316e-36   1.000000e+02
1.820792e-03   5.152315e-36   1.000000e+02
1.837656e-03   5.061769e-36   1.000000e+02
1.854677e-03   4.973697e-36   1.000000e+02
1.871855e-03   4.888115e-36   1.000000e+02
1.889193e-03   4.805033e-36   1.000000e+02
1.906691e-03   4.724459e-36   1.000000e+02
1.924351e-03   4.646399e-36   1.000000e+02
1.942175e-03   4.570856e-36   1.000000e+02
1.960163e-03   4.497830e-36   1.000000e+02
1.978319e-03   4.427319e-36   1.000000e+02
