# C12 + t > B11 + a   [C12_t__B11_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.37217 beta=0 gamma=-44.7585  Q=3.857
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.006779e-35   1.000000e+02
1.018610e-03   1.012745e-35   1.000000e+02
1.028045e-03   1.017895e-35   1.000000e+02
1.037567e-03   1.022233e-35   1.000000e+02
1.047177e-03   1.025763e-35   1.000000e+02
1.056876e-03   1.028492e-35   1.000000e+02
1.066665e-03   1.030428e-35   1.000000e+02
1.076545e-03   1.031582e-35   1.000000e+02
1.086516e-03   1.031965e-35   1.000000e+02
1.096579e-03   1.031594e-35   1.000000e+02
1.106736e-03   1.030483e-35   1.000000e+02
1.116987e-03   1.028649e-35   1.000000e+02
1.127333e-03   1.026112e-35   1.000000e+02
1.137774e-03   1.022892e-35   1.000000e+02
1.148312e-03   1.019010e-35   1.000000e+02
1.158948e-03   1.014489e-35   1.000000e+02
1.169683e-03   1.009351e-35   1.000000e+02
1.180517e-03   1.003622e-35   1.000000e+02
1.191451e-03   9.973265e-36   1.000000e+02
1.202486e-03   9.904894e-36   1.000000e+02
1.213624e-03   9.831372e-36   1.000000e+02
1.224865e-03   9.752964e-36   1.000000e+02
1.236210e-03   9.669936e-36   1.000000e+02
1.247660e-03   9.582557e-36   1.000000e+02
1.259216e-03   9.491098e-36   1.000000e+02
1.270879e-03   9.395827e-36   1.000000e+02
1.282650e-03   9.297015e-36   1.000000e+02
1.294530e-03   9.194926e-36   1.000000e+02
1.306520e-03   9.089826e-36   1.000000e+02
1.318621e-03   8.981975e-36   1.000000e+02
1.330835e-03   8.871630e-36   1.000000e+02
1.343161e-03   8.759043e-36   1.000000e+02
1.355602e-03   8.644460e-36   1.000000e+02
1.368158e-03   8.528122e-36   1.000000e+02
1.380830e-03   8.410264e-36   1.000000e+02
1.393619e-03   8.291115e-36   1.000000e+02
1.406527e-03   8.170894e-36   1.000000e+02
1.419555e-03   8.049817e-36   1.000000e+02
1.432703e-03   7.928088e-36   1.000000e+02
1.445973e-03   7.805908e-36   1.000000e+02
1.459366e-03   7.683465e-36   1.000000e+02
1.472883e-03   7.560943e-36   1.000000e+02
1.486525e-03   7.438515e-36   1.000000e+02
1.500293e-03   7.316348e-36   1.000000e+02
1.514189e-03   7.194601e-36   1.000000e+02
1.528214e-03   7.073421e-36   1.000000e+02
1.542369e-03   6.952952e-36   1.000000e+02
1.556654e-03   6.833326e-36   1.000000e+02
1.571072e-03   6.714670e-36   1.000000e+02
1.585624e-03   6.597100e-36   1.000000e+02
1.600310e-03   6.480728e-36   1.000000e+02
1.615133e-03   6.365655e-36   1.000000e+02
1.630092e-03   6.251977e-36   1.000000e+02
1.645191e-03   6.139782e-36   1.000000e+02
1.660429e-03   6.029151e-36   1.000000e+02
1.675808e-03   5.920160e-36   1.000000e+02
1.691330e-03   5.812876e-36   1.000000e+02
1.706995e-03   5.707361e-36   1.000000e+02
1.722805e-03   5.603672e-36   1.000000e+02
1.738762e-03   5.501860e-36   1.000000e+02
1.754867e-03   5.401968e-36   1.000000e+02
1.771121e-03   5.304039e-36   1.000000e+02
1.787526e-03   5.208105e-36   1.000000e+02
1.804082e-03   5.114199e-36   1.000000e+02
1.820792e-03   5.022346e-36   1.000000e+02
1.837656e-03   4.932569e-36   1.000000e+02
1.854677e-03   4.844886e-36   1.000000e+02
1.871855e-03   4.759312e-36   1.000000e+02
1.889193e-03   4.675857e-36   1.000000e+02
1.906691e-03   4.594532e-36   1.000000e+02
1.924351e-03   4.515340e-36   1.000000e+02
1.942175e-03   4.438286e-36   1.000000e+02
1.960163e-03   4.363370e-36   1.000000e+02
1.978319e-03   4.290591e-36   1.000000e+02
1.996642e-03   4.219945e-36   1.000000e+02
2.015136e-03   4.151428e-36   1.000000e+02
2.033800e-03   4.085032e-36   1.000000e+02
2.052638e-03   4.020751e-36   1.000000e+02
2.071650e-03   3.958575e-36   1.000000e+02
2.090838e-03   3.898494e-36   1.000000e+02
2.110203e-03   3.840500e-36   1.000000e+02
2.129749e-03   3.784579e-36   1.000000e+02
2.149475e-03   3.730722e-36   1.000000e+02
2.169384e-03   3.678917e-36   1.000000e+02
2.189477e-03   3.629152e-36   1.000000e+02
2.209756e-03   3.581417e-36   1.000000e+02
2.230223e-03   3.535699e-36   1.000000e+02
2.250880e-03   3.491990e-36   1.000000e+02
2.271728e-03   3.450278e-36   1.000000e+02
2.292769e-03   3.410556e-36   1.000000e+02
2.314005e-03   3.372814e-36   1.000000e+02
2.335438e-03   3.337046e-36   1.000000e+02
2.357069e-03   3.303246e-36   1.000000e+02
2.378901e-03   3.271409e-36   1.000000e+02
2.400935e-03   3.241532e-36   1.000000e+02
2.423173e-03   3.213615e-36   1.000000e+02
2.445617e-03   3.187658e-36   1.000000e+02
2.468268e-03   3.163663e-36   1.000000e+02
2.491130e-03   3.141634e-36   1.000000e+02
2.514203e-03   3.121580e-36   1.000000e+02
2.537490e-03   3.103509e-36   1.000000e+02
2.560993e-03   3.087433e-36   1.000000e+02
2.584714e-03   3.073368e-36   1.000000e+02
2.608654e-03   3.061330e-36   1.000000e+02
2.632815e-03   3.051343e-36   1.000000e+02
2.657201e-03   3.043429e-36   1.000000e+02
2.681813e-03   3.037619e-36   1.000000e+02
2.706652e-03   3.033943e-36   1.000000e+02
2.731722e-03   3.032439e-36   1.000000e+02
2.757023e-03   3.033148e-36   1.000000e+02
2.782559e-03   3.036115e-36   1.000000e+02
