# C13 + d > B11 + a   [C13_d__B11_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.68729 beta=0 gamma=-59.9711  Q=5.1679
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.008547e-35   1.000000e+02
1.018610e-03   1.016089e-35   1.000000e+02
1.028045e-03   1.022621e-35   1.000000e+02
1.037567e-03   1.028141e-35   1.000000e+02
1.047177e-03   1.032652e-35   1.000000e+02
1.056876e-03   1.036158e-35   1.000000e+02
1.066665e-03   1.038669e-35   1.000000e+02
1.076545e-03   1.040197e-35   1.000000e+02
1.086516e-03   1.040755e-35   1.000000e+02
1.096579e-03   1.040361e-35   1.000000e+02
1.106736e-03   1.039036e-35   1.000000e+02
1.116987e-03   1.036802e-35   1.000000e+02
1.127333e-03   1.033684e-35   1.000000e+02
1.137774e-03   1.029708e-35   1.000000e+02
1.148312e-03   1.024903e-35   1.000000e+02
1.158948e-03   1.019300e-35   1.000000e+02
1.169683e-03   1.012930e-35   1.000000e+02
1.180517e-03   1.005827e-35   1.000000e+02
1.191451e-03   9.980247e-36   1.000000e+02
1.202486e-03   9.895584e-36   1.000000e+02
1.213624e-03   9.804640e-36   1.000000e+02
1.224865e-03   9.707778e-36   1.000000e+02
1.236210e-03   9.605368e-36   1.000000e+02
1.247660e-03   9.497778e-36   1.000000e+02
1.259216e-03   9.385380e-36   1.000000e+02
1.270879e-03   9.268542e-36   1.000000e+02
1.282650e-03   9.147632e-36   1.000000e+02
1.294530e-03   9.023012e-36   1.000000e+02
1.306520e-03   8.895041e-36   1.000000e+02
1.318621e-03   8.764069e-36   1.000000e+02
1.330835e-03   8.630443e-36   1.000000e+02
1.343161e-03   8.494498e-36   1.000000e+02
1.355602e-03   8.356562e-36   1.000000e+02
1.368158e-03   8.216953e-36   1.000000e+02
1.380830e-03   8.075977e-36   1.000000e+02
1.393619e-03   7.933931e-36   1.000000e+02
1.406527e-03   7.791101e-36   1.000000e+02
1.419555e-03   7.647758e-36   1.000000e+02
1.432703e-03   7.504165e-36   1.000000e+02
1.445973e-03   7.360569e-36   1.000000e+02
1.459366e-03   7.217207e-36   1.000000e+02
1.472883e-03   7.074303e-36   1.000000e+02
1.486525e-03   6.932067e-36   1.000000e+02
1.500293e-03   6.790698e-36   1.000000e+02
1.514189e-03   6.650381e-36   1.000000e+02
1.528214e-03   6.511291e-36   1.000000e+02
1.542369e-03   6.373588e-36   1.000000e+02
1.556654e-03   6.237423e-36   1.000000e+02
1.571072e-03   6.102934e-36   1.000000e+02
1.585624e-03   5.970246e-36   1.000000e+02
1.600310e-03   5.839477e-36   1.000000e+02
1.615133e-03   5.710730e-36   1.000000e+02
1.630092e-03   5.584102e-36   1.000000e+02
1.645191e-03   5.459676e-36   1.000000e+02
1.660429e-03   5.337530e-36   1.000000e+02
1.675808e-03   5.217728e-36   1.000000e+02
1.691330e-03   5.100331e-36   1.000000e+02
1.706995e-03   4.985386e-36   1.000000e+02
1.722805e-03   4.872938e-36   1.000000e+02
1.738762e-03   4.763020e-36   1.000000e+02
1.754867e-03   4.655662e-36   1.000000e+02
1.771121e-03   4.550884e-36   1.000000e+02
1.787526e-03   4.448704e-36   1.000000e+02
1.804082e-03   4.349130e-36   1.000000e+02
1.820792e-03   4.252168e-36   1.000000e+02
1.837656e-03   4.157819e-36   1.000000e+02
1.854677e-03   4.066079e-36   1.000000e+02
1.871855e-03   3.976940e-36   1.000000e+02
1.889193e-03   3.890390e-36   1.000000e+02
1.906691e-03   3.806414e-36   1.000000e+02
1.924351e-03   3.724996e-36   1.000000e+02
1.942175e-03   3.646113e-36   1.000000e+02
1.960163e-03   3.569745e-36   1.000000e+02
1.978319e-03   3.495867e-36   1.000000e+02
1.996642e-03   3.424452e-36   1.000000e+02
2.015136e-03   3.355472e-36   1.000000e+02
2.033800e-03   3.288899e-36   1.000000e+02
2.052638e-03   3.224704e-36   1.000000e+02
2.071650e-03   3.162856e-36   1.000000e+02
2.090838e-03   3.103324e-36   1.000000e+02
2.110203e-03   3.046078e-36   1.000000e+02
2.129749e-03   2.991086e-36   1.000000e+02
2.149475e-03   2.938318e-36   1.000000e+02
2.169384e-03   2.887743e-36   1.000000e+02
2.189477e-03   2.839332e-36   1.000000e+02
2.209756e-03   2.793056e-36   1.000000e+02
2.230223e-03   2.748886e-36   1.000000e+02
2.250880e-03   2.706796e-36   1.000000e+02
2.271728e-03   2.666760e-36   1.000000e+02
2.292769e-03   2.628753e-36   1.000000e+02
2.314005e-03   2.592753e-36   1.000000e+02
2.335438e-03   2.558739e-36   1.000000e+02
2.357069e-03   2.526690e-36   1.000000e+02
2.378901e-03   2.496591e-36   1.000000e+02
2.400935e-03   2.468425e-36   1.000000e+02
2.423173e-03   2.442179e-36   1.000000e+02
2.445617e-03   2.417844e-36   1.000000e+02
2.468268e-03   2.395410e-36   1.000000e+02
2.491130e-03   2.374874e-36   1.000000e+02
2.514203e-03   2.356232e-36   1.000000e+02
2.537490e-03   2.339486e-36   1.000000e+02
2.560993e-03   2.324638e-36   1.000000e+02
2.584714e-03   2.311698e-36   1.000000e+02
2.608654e-03   2.300676e-36   1.000000e+02
2.632815e-03   2.291586e-36   1.000000e+02
2.657201e-03   2.284449e-36   1.000000e+02
2.681813e-03   2.279288e-36   1.000000e+02
2.706652e-03   2.276131e-36   1.000000e+02
2.731722e-03   2.275011e-36   1.000000e+02
2.757023e-03   2.275967e-36   1.000000e+02
2.782559e-03   2.279044e-36   1.000000e+02
2.808332e-03   2.284291e-36   1.000000e+02
2.834343e-03   2.291765e-36   1.000000e+02
2.860596e-03   2.301531e-36   1.000000e+02
2.887091e-03   2.313659e-36   1.000000e+02
2.913832e-03   2.328229e-36   1.000000e+02
2.940820e-03   2.345329e-36   1.000000e+02
2.968059e-03   2.365056e-36   1.000000e+02
2.995549e-03   2.387519e-36   1.000000e+02
3.023295e-03   2.412809e-36   1.000000e+02
3.051297e-03   2.440847e-36   1.000000e+02
3.079559e-03   2.471487e-36   1.000000e+02
3.108082e-03   2.504576e-36   1.000000e+02
3.136870e-03   2.539958e-36   1.000000e+02
3.165924e-03   2.577469e-36   1.000000e+02
3.195248e-03   2.616936e-36   1.000000e+02
3.224842e-03   2.658176e-36   1.000000e+02
3.254712e-03   2.700994e-36   1.000000e+02
3.284857e-03   2.745181e-36   1.000000e+02
3.315282e-03   2.790512e-36   1.000000e+02
3.345989e-03   2.836747e-36   1.000000e+02
3.376980e-03   2.883630e-36   1.000000e+02
3.408259e-03   2.930883e-36   1.000000e+02
3.439826e-03   2.978215e-36   1.000000e+02
3.471687e-03   3.025313e-36   1.000000e+02
3.503842e-03   3.071846e-36   1.000000e+02
3.536296e-03   3.117465e-36   1.000000e+02
3.569049e-03   3.161805e-36   1.000000e+02
3.602107e-03   3.204484e-36   1.000000e+02
3.635470e-03   3.245105e-36   1.000000e+02
3.669142e-03   3.283261e-36   1.000000e+02
3.703127e-03   3.318533e-36   1.000000e+02
3.737426e-03   3.350496e-36   1.000000e+02
3.772042e-03   3.378724e-36   1.000000e+02
3.806980e-03   3.402790e-36   1.000000e+02
3.842241e-03   3.422271e-36   1.000000e+02
3.877828e-03   3.436758e-36   1.000000e+02
3.913746e-03   3.445853e-36   1.000000e+02
3.949995e-03   3.449183e-36   1.000000e+02
3.986581e-03   3.446398e-36   1.000000e+02
4.023506e-03   3.437303e-36   1.000000e+02
4.060772e-03   3.423297e-36   1.000000e+02
4.098384e-03   3.406869e-36   1.000000e+02
4.136344e-03   3.390493e-36   1.000000e+02
4.174655e-03   3.376601e-36   1.000000e+02
4.213322e-03   3.367585e-36   1.000000e+02
4.252346e-03   3.365829e-36   1.000000e+02
4.291732e-03   3.373749e-36   1.000000e+02
4.331483e-03   3.393856e-36   1.000000e+02
4.371602e-03   3.428835e-36   1.000000e+02
4.412093e-03   3.481648e-36   1.000000e+02
4.452959e-03   3.555666e-36   1.000000e+02
4.494203e-03   3.654833e-36   1.000000e+02
4.535829e-03   3.783878e-36   1.000000e+02
4.577841e-03   3.948593e-36   1.000000e+02
