# C13 + p > N14 + g   [C13_p__N14_g]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=1.1913e+10 beta=1.5 gamma=-87.6206  Q=7.5506
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   9.380088e-36   1.000000e+00
1.018610e-03   8.823222e-36   1.000000e+00
1.028045e-03   8.322271e-36   1.000000e+00
1.037567e-03   7.871036e-36   1.000000e+00
1.047177e-03   7.464114e-36   1.000000e+00
1.056876e-03   7.096790e-36   1.000000e+00
1.066665e-03   6.764939e-36   1.000000e+00
1.076545e-03   6.464949e-36   1.000000e+00
1.086516e-03   6.193649e-36   1.000000e+00
1.096579e-03   5.948250e-36   1.000000e+00
1.106736e-03   5.726300e-36   1.000000e+00
1.116987e-03   5.525634e-36   1.000000e+00
1.127333e-03   5.344342e-36   1.000000e+00
1.137774e-03   5.180736e-36   1.000000e+00
1.148312e-03   5.033323e-36   1.000000e+00
1.158948e-03   4.900780e-36   1.000000e+00
1.169683e-03   4.781935e-36   1.000000e+00
1.180517e-03   4.675748e-36   1.000000e+00
1.191451e-03   4.581298e-36   1.000000e+00
1.202486e-03   4.497767e-36   1.000000e+00
1.213624e-03   4.424430e-36   1.000000e+00
1.224865e-03   4.360644e-36   1.000000e+00
1.236210e-03   4.305839e-36   1.000000e+00
1.247660e-03   4.259511e-36   1.000000e+00
1.259216e-03   4.221217e-36   1.000000e+00
1.270879e-03   4.190562e-36   1.000000e+00
1.282650e-03   4.167204e-36   1.000000e+00
1.294530e-03   4.150840e-36   1.000000e+00
1.306520e-03   4.141207e-36   1.000000e+00
1.318621e-03   4.138078e-36   1.000000e+00
1.330835e-03   4.141256e-36   1.000000e+00
1.343161e-03   4.150574e-36   1.000000e+00
1.355602e-03   4.165891e-36   1.000000e+00
1.368158e-03   4.187089e-36   1.000000e+00
1.380830e-03   4.214073e-36   1.000000e+00
1.393619e-03   4.246769e-36   1.000000e+00
1.406527e-03   4.285117e-36   1.000000e+00
1.419555e-03   4.329076e-36   1.000000e+00
1.432703e-03   4.378620e-36   1.000000e+00
1.445973e-03   4.433736e-36   1.000000e+00
1.459366e-03   4.494421e-36   1.000000e+00
1.472883e-03   4.560686e-36   1.000000e+00
1.486525e-03   4.632549e-36   1.000000e+00
1.500293e-03   4.710036e-36   1.000000e+00
1.514189e-03   4.793180e-36   1.000000e+00
1.528214e-03   4.882020e-36   1.000000e+00
1.542369e-03   4.976600e-36   1.000000e+00
1.556654e-03   5.076965e-36   1.000000e+00
1.571072e-03   5.183163e-36   1.000000e+00
1.585624e-03   5.295242e-36   1.000000e+00
1.600310e-03   5.413248e-36   1.000000e+00
1.615133e-03   5.537226e-36   1.000000e+00
1.630092e-03   5.667215e-36   1.000000e+00
1.645191e-03   5.803250e-36   1.000000e+00
1.660429e-03   5.945357e-36   1.000000e+00
1.675808e-03   6.093555e-36   1.000000e+00
1.691330e-03   6.247850e-36   1.000000e+00
1.706995e-03   6.408235e-36   1.000000e+00
1.722805e-03   6.574690e-36   1.000000e+00
1.738762e-03   6.747178e-36   1.000000e+00
1.754867e-03   6.925641e-36   1.000000e+00
1.771121e-03   7.110002e-36   1.000000e+00
1.787526e-03   7.300160e-36   1.000000e+00
1.804082e-03   7.495988e-36   1.000000e+00
1.820792e-03   7.697333e-36   1.000000e+00
1.837656e-03   7.904011e-36   1.000000e+00
1.854677e-03   8.115804e-36   1.000000e+00
1.871855e-03   8.332463e-36   1.000000e+00
1.889193e-03   8.553699e-36   1.000000e+00
1.906691e-03   8.779187e-36   1.000000e+00
1.924351e-03   9.008559e-36   1.000000e+00
1.942175e-03   9.241406e-36   1.000000e+00
1.960163e-03   9.477275e-36   1.000000e+00
1.978319e-03   9.715664e-36   1.000000e+00
1.996642e-03   9.956029e-36   1.000000e+00
2.015136e-03   1.019777e-35   1.000000e+00
2.033800e-03   1.044026e-35   1.000000e+00
2.052638e-03   1.068279e-35   1.000000e+00
2.071650e-03   1.092462e-35   1.000000e+00
2.090838e-03   1.116497e-35   1.000000e+00
2.110203e-03   1.140301e-35   1.000000e+00
2.129749e-03   1.163785e-35   1.000000e+00
2.149475e-03   1.186857e-35   1.000000e+00
2.169384e-03   1.209421e-35   1.000000e+00
2.189477e-03   1.231377e-35   1.000000e+00
2.209756e-03   1.252621e-35   1.000000e+00
2.230223e-03   1.273048e-35   1.000000e+00
2.250880e-03   1.292550e-35   1.000000e+00
2.271728e-03   1.311016e-35   1.000000e+00
2.292769e-03   1.328336e-35   1.000000e+00
2.314005e-03   1.344398e-35   1.000000e+00
