# C13 + t > C15 + p   [C13_t__C15_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=4.1741 beta=0 gamma=-10.592  Q=0.9127
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.005656e-35   1.000000e+02
1.018610e-03   1.010624e-35   1.000000e+02
1.028045e-03   1.014907e-35   1.000000e+02
1.037567e-03   1.018507e-35   1.000000e+02
1.047177e-03   1.021430e-35   1.000000e+02
1.056876e-03   1.023682e-35   1.000000e+02
1.066665e-03   1.025272e-35   1.000000e+02
1.076545e-03   1.026209e-35   1.000000e+02
1.086516e-03   1.026503e-35   1.000000e+02
1.096579e-03   1.026168e-35   1.000000e+02
1.106736e-03   1.025215e-35   1.000000e+02
1.116987e-03   1.023660e-35   1.000000e+02
1.127333e-03   1.021518e-35   1.000000e+02
1.137774e-03   1.018804e-35   1.000000e+02
1.148312e-03   1.015536e-35   1.000000e+02
1.158948e-03   1.011731e-35   1.000000e+02
1.169683e-03   1.007409e-35   1.000000e+02
1.180517e-03   1.002588e-35   1.000000e+02
1.191451e-03   9.972870e-36   1.000000e+02
1.202486e-03   9.915270e-36   1.000000e+02
1.213624e-03   9.853282e-36   1.000000e+02
1.224865e-03   9.787110e-36   1.000000e+02
1.236210e-03   9.716965e-36   1.000000e+02
1.247660e-03   9.643056e-36   1.000000e+02
1.259216e-03   9.565594e-36   1.000000e+02
1.270879e-03   9.484791e-36   1.000000e+02
1.282650e-03   9.400857e-36   1.000000e+02
1.294530e-03   9.314002e-36   1.000000e+02
1.306520e-03   9.224434e-36   1.000000e+02
1.318621e-03   9.132358e-36   1.000000e+02
1.330835e-03   9.037979e-36   1.000000e+02
1.343161e-03   8.941496e-36   1.000000e+02
1.355602e-03   8.843107e-36   1.000000e+02
1.368158e-03   8.743005e-36   1.000000e+02
1.380830e-03   8.641378e-36   1.000000e+02
1.393619e-03   8.538411e-36   1.000000e+02
1.406527e-03   8.434285e-36   1.000000e+02
1.419555e-03   8.329173e-36   1.000000e+02
1.432703e-03   8.223245e-36   1.000000e+02
1.445973e-03   8.116667e-36   1.000000e+02
1.459366e-03   8.009595e-36   1.000000e+02
1.472883e-03   7.902185e-36   1.000000e+02
1.486525e-03   7.794582e-36   1.000000e+02
1.500293e-03   7.686929e-36   1.000000e+02
1.514189e-03   7.579361e-36   1.000000e+02
1.528214e-03   7.472008e-36   1.000000e+02
1.542369e-03   7.364995e-36   1.000000e+02
1.556654e-03   7.258439e-36   1.000000e+02
1.571072e-03   7.152454e-36   1.000000e+02
1.585624e-03   7.047144e-36   1.000000e+02
1.600310e-03   6.942613e-36   1.000000e+02
1.615133e-03   6.838954e-36   1.000000e+02
1.630092e-03   6.736258e-36   1.000000e+02
1.645191e-03   6.634610e-36   1.000000e+02
1.660429e-03   6.534088e-36   1.000000e+02
1.675808e-03   6.434768e-36   1.000000e+02
1.691330e-03   6.336717e-36   1.000000e+02
1.706995e-03   6.240002e-36   1.000000e+02
1.722805e-03   6.144681e-36   1.000000e+02
1.738762e-03   6.050811e-36   1.000000e+02
1.754867e-03   5.958441e-36   1.000000e+02
1.771121e-03   5.867620e-36   1.000000e+02
1.787526e-03   5.778390e-36   1.000000e+02
1.804082e-03   5.690790e-36   1.000000e+02
1.820792e-03   5.604856e-36   1.000000e+02
1.837656e-03   5.520620e-36   1.000000e+02
1.854677e-03   5.438112e-36   1.000000e+02
1.871855e-03   5.357357e-36   1.000000e+02
1.889193e-03   5.278378e-36   1.000000e+02
1.906691e-03   5.201196e-36   1.000000e+02
1.924351e-03   5.125828e-36   1.000000e+02
1.942175e-03   5.052291e-36   1.000000e+02
1.960163e-03   4.980597e-36   1.000000e+02
1.978319e-03   4.910759e-36   1.000000e+02
1.996642e-03   4.842786e-36   1.000000e+02
2.015136e-03   4.776686e-36   1.000000e+02
2.033800e-03   4.712465e-36   1.000000e+02
2.052638e-03   4.650129e-36   1.000000e+02
2.071650e-03   4.589682e-36   1.000000e+02
2.090838e-03   4.531127e-36   1.000000e+02
2.110203e-03   4.474467e-36   1.000000e+02
2.129749e-03   4.419703e-36   1.000000e+02
2.149475e-03   4.366835e-36   1.000000e+02
2.169384e-03   4.315866e-36   1.000000e+02
2.189477e-03   4.266794e-36   1.000000e+02
2.209756e-03   4.219621e-36   1.000000e+02
2.230223e-03   4.174348e-36   1.000000e+02
2.250880e-03   4.130973e-36   1.000000e+02
2.271728e-03   4.089499e-36   1.000000e+02
2.292769e-03   4.049926e-36   1.000000e+02
2.314005e-03   4.012257e-36   1.000000e+02
2.335438e-03   3.976494e-36   1.000000e+02
2.357069e-03   3.942641e-36   1.000000e+02
2.378901e-03   3.910701e-36   1.000000e+02
2.400935e-03   3.880682e-36   1.000000e+02
2.423173e-03   3.852589e-36   1.000000e+02
2.445617e-03   3.826430e-36   1.000000e+02
2.468268e-03   3.802217e-36   1.000000e+02
2.491130e-03   3.779959e-36   1.000000e+02
2.514203e-03   3.759672e-36   1.000000e+02
2.537490e-03   3.741370e-36   1.000000e+02
2.560993e-03   3.725071e-36   1.000000e+02
2.584714e-03   3.710794e-36   1.000000e+02
2.608654e-03   3.698564e-36   1.000000e+02
2.632815e-03   3.688404e-36   1.000000e+02
2.657201e-03   3.680343e-36   1.000000e+02
2.681813e-03   3.674413e-36   1.000000e+02
2.706652e-03   3.670648e-36   1.000000e+02
2.731722e-03   3.669087e-36   1.000000e+02
2.757023e-03   3.669772e-36   1.000000e+02
2.782559e-03   3.672749e-36   1.000000e+02
2.808332e-03   3.678068e-36   1.000000e+02
2.834343e-03   3.685786e-36   1.000000e+02
2.860596e-03   3.695962e-36   1.000000e+02
2.887091e-03   3.708663e-36   1.000000e+02
2.913832e-03   3.723959e-36   1.000000e+02
2.940820e-03   3.741928e-36   1.000000e+02
2.968059e-03   3.762655e-36   1.000000e+02
2.995549e-03   3.786231e-36   1.000000e+02
3.023295e-03   3.812725e-36   1.000000e+02
3.051297e-03   3.842026e-36   1.000000e+02
3.079559e-03   3.873946e-36   1.000000e+02
3.108082e-03   3.908295e-36   1.000000e+02
3.136870e-03   3.944878e-36   1.000000e+02
3.165924e-03   3.983496e-36   1.000000e+02
3.195248e-03   4.023943e-36   1.000000e+02
3.224842e-03   4.066005e-36   1.000000e+02
3.254712e-03   4.109459e-36   1.000000e+02
3.284857e-03   4.154073e-36   1.000000e+02
3.315282e-03   4.199604e-36   1.000000e+02
3.345989e-03   4.245798e-36   1.000000e+02
3.376980e-03   4.292389e-36   1.000000e+02
3.408259e-03   4.339101e-36   1.000000e+02
3.439826e-03   4.385643e-36   1.000000e+02
3.471687e-03   4.431714e-36   1.000000e+02
3.503842e-03   4.477000e-36   1.000000e+02
3.536296e-03   4.521177e-36   1.000000e+02
3.569049e-03   4.563908e-36   1.000000e+02
3.602107e-03   4.604849e-36   1.000000e+02
3.635470e-03   4.643645e-36   1.000000e+02
3.669142e-03   4.679934e-36   1.000000e+02
3.703127e-03   4.713349e-36   1.000000e+02
3.737426e-03   4.743520e-36   1.000000e+02
3.772042e-03   4.770073e-36   1.000000e+02
3.806980e-03   4.792639e-36   1.000000e+02
3.842241e-03   4.810848e-36   1.000000e+02
3.877828e-03   4.824340e-36   1.000000e+02
3.913746e-03   4.832764e-36   1.000000e+02
3.949995e-03   4.835782e-36   1.000000e+02
3.986581e-03   4.833072e-36   1.000000e+02
4.023506e-03   4.824446e-36   1.000000e+02
4.060772e-03   4.811207e-36   1.000000e+02
4.098384e-03   4.795684e-36   1.000000e+02
4.136344e-03   4.780205e-36   1.000000e+02
4.174655e-03   4.767068e-36   1.000000e+02
4.213322e-03   4.758551e-36   1.000000e+02
4.252346e-03   4.756922e-36   1.000000e+02
4.291732e-03   4.764472e-36   1.000000e+02
4.331483e-03   4.783552e-36   1.000000e+02
4.371602e-03   4.816622e-36   1.000000e+02
4.412093e-03   4.866320e-36   1.000000e+02
4.452959e-03   4.935535e-36   1.000000e+02
