# C13 + t > N15 + n   [C13_t__N15_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=4.1733 beta=0 gamma=-114.909  Q=9.9021
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.007036e-35   1.000000e+02
1.018610e-03   1.013229e-35   1.000000e+02
1.028045e-03   1.018578e-35   1.000000e+02
1.037567e-03   1.023084e-35   1.000000e+02
1.047177e-03   1.026752e-35   1.000000e+02
1.056876e-03   1.029589e-35   1.000000e+02
1.066665e-03   1.031602e-35   1.000000e+02
1.076545e-03   1.032803e-35   1.000000e+02
1.086516e-03   1.033205e-35   1.000000e+02
1.096579e-03   1.032822e-35   1.000000e+02
1.106736e-03   1.031671e-35   1.000000e+02
1.116987e-03   1.029770e-35   1.000000e+02
1.127333e-03   1.027139e-35   1.000000e+02
1.137774e-03   1.023798e-35   1.000000e+02
1.148312e-03   1.019771e-35   1.000000e+02
1.158948e-03   1.015081e-35   1.000000e+02
1.169683e-03   1.009752e-35   1.000000e+02
1.180517e-03   1.003811e-35   1.000000e+02
1.191451e-03   9.972823e-36   1.000000e+02
1.202486e-03   9.901942e-36   1.000000e+02
1.213624e-03   9.825739e-36   1.000000e+02
1.224865e-03   9.744491e-36   1.000000e+02
1.236210e-03   9.658481e-36   1.000000e+02
1.247660e-03   9.567992e-36   1.000000e+02
1.259216e-03   9.473309e-36   1.000000e+02
1.270879e-03   9.374714e-36   1.000000e+02
1.282650e-03   9.272491e-36   1.000000e+02
1.294530e-03   9.166920e-36   1.000000e+02
1.306520e-03   9.058280e-36   1.000000e+02
1.318621e-03   8.946843e-36   1.000000e+02
1.330835e-03   8.832880e-36   1.000000e+02
1.343161e-03   8.716654e-36   1.000000e+02
1.355602e-03   8.598424e-36   1.000000e+02
1.368158e-03   8.478442e-36   1.000000e+02
1.380830e-03   8.356953e-36   1.000000e+02
1.393619e-03   8.234197e-36   1.000000e+02
1.406527e-03   8.110403e-36   1.000000e+02
1.419555e-03   7.985794e-36   1.000000e+02
1.432703e-03   7.860586e-36   1.000000e+02
1.445973e-03   7.734983e-36   1.000000e+02
1.459366e-03   7.609183e-36   1.000000e+02
1.472883e-03   7.483376e-36   1.000000e+02
1.486525e-03   7.357742e-36   1.000000e+02
1.500293e-03   7.232451e-36   1.000000e+02
1.514189e-03   7.107667e-36   1.000000e+02
1.528214e-03   6.983543e-36   1.000000e+02
1.542369e-03   6.860225e-36   1.000000e+02
1.556654e-03   6.737848e-36   1.000000e+02
1.571072e-03   6.616541e-36   1.000000e+02
1.585624e-03   6.496424e-36   1.000000e+02
1.600310e-03   6.377608e-36   1.000000e+02
1.615133e-03   6.260196e-36   1.000000e+02
1.630092e-03   6.144285e-36   1.000000e+02
1.645191e-03   6.029963e-36   1.000000e+02
1.660429e-03   5.917311e-36   1.000000e+02
1.675808e-03   5.806403e-36   1.000000e+02
1.691330e-03   5.697306e-36   1.000000e+02
1.706995e-03   5.590082e-36   1.000000e+02
1.722805e-03   5.484784e-36   1.000000e+02
1.738762e-03   5.381463e-36   1.000000e+02
1.754867e-03   5.280160e-36   1.000000e+02
1.771121e-03   5.180914e-36   1.000000e+02
1.787526e-03   5.083757e-36   1.000000e+02
1.804082e-03   4.988718e-36   1.000000e+02
1.820792e-03   4.895819e-36   1.000000e+02
1.837656e-03   4.805081e-36   1.000000e+02
1.854677e-03   4.716518e-36   1.000000e+02
1.871855e-03   4.630143e-36   1.000000e+02
1.889193e-03   4.545963e-36   1.000000e+02
1.906691e-03   4.463984e-36   1.000000e+02
1.924351e-03   4.384209e-36   1.000000e+02
1.942175e-03   4.306637e-36   1.000000e+02
1.960163e-03   4.231265e-36   1.000000e+02
1.978319e-03   4.158088e-36   1.000000e+02
1.996642e-03   4.087102e-36   1.000000e+02
2.015136e-03   4.018296e-36   1.000000e+02
2.033800e-03   3.951661e-36   1.000000e+02
2.052638e-03   3.887186e-36   1.000000e+02
2.071650e-03   3.824860e-36   1.000000e+02
2.090838e-03   3.764669e-36   1.000000e+02
2.110203e-03   3.706600e-36   1.000000e+02
2.129749e-03   3.650640e-36   1.000000e+02
2.149475e-03   3.596773e-36   1.000000e+02
2.169384e-03   3.544986e-36   1.000000e+02
2.189477e-03   3.495264e-36   1.000000e+02
2.209756e-03   3.447594e-36   1.000000e+02
2.230223e-03   3.401962e-36   1.000000e+02
2.250880e-03   3.358354e-36   1.000000e+02
2.271728e-03   3.316759e-36   1.000000e+02
2.292769e-03   3.277164e-36   1.000000e+02
2.314005e-03   3.239560e-36   1.000000e+02
2.335438e-03   3.203938e-36   1.000000e+02
2.357069e-03   3.170288e-36   1.000000e+02
2.378901e-03   3.138606e-36   1.000000e+02
2.400935e-03   3.108884e-36   1.000000e+02
2.423173e-03   3.081122e-36   1.000000e+02
2.445617e-03   3.055316e-36   1.000000e+02
2.468268e-03   3.031469e-36   1.000000e+02
2.491130e-03   3.009583e-36   1.000000e+02
2.514203e-03   2.989663e-36   1.000000e+02
2.537490e-03   2.971718e-36   1.000000e+02
2.560993e-03   2.955758e-36   1.000000e+02
2.584714e-03   2.941798e-36   1.000000e+02
2.608654e-03   2.929853e-36   1.000000e+02
2.632815e-03   2.919944e-36   1.000000e+02
2.657201e-03   2.912095e-36   1.000000e+02
2.681813e-03   2.906334e-36   1.000000e+02
2.706652e-03   2.902692e-36   1.000000e+02
2.731722e-03   2.901205e-36   1.000000e+02
2.757023e-03   2.901914e-36   1.000000e+02
2.782559e-03   2.904864e-36   1.000000e+02
2.808332e-03   2.910107e-36   1.000000e+02
2.834343e-03   2.917700e-36   1.000000e+02
2.860596e-03   2.927704e-36   1.000000e+02
2.887091e-03   2.940189e-36   1.000000e+02
2.913832e-03   2.955232e-36   1.000000e+02
2.940820e-03   2.972916e-36   1.000000e+02
2.968059e-03   2.993333e-36   1.000000e+02
2.995549e-03   3.016584e-36   1.000000e+02
3.023295e-03   3.042749e-36   1.000000e+02
3.051297e-03   3.071732e-36   1.000000e+02
3.079559e-03   3.103361e-36   1.000000e+02
3.108082e-03   3.137462e-36   1.000000e+02
3.136870e-03   3.173855e-36   1.000000e+02
3.165924e-03   3.212355e-36   1.000000e+02
3.195248e-03   3.252768e-36   1.000000e+02
3.224842e-03   3.294891e-36   1.000000e+02
