# C14 + a > O18 + g   [C14_a__O18_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=5.4229e+10 beta=1.5 gamma=-72.2532  Q=6.2263
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.967429e-36   1.000000e+02
1.018610e-03   9.936379e-36   1.000000e+02
1.028045e-03   9.906815e-36   1.000000e+02
1.037567e-03   9.878701e-36   1.000000e+02
1.047177e-03   9.852005e-36   1.000000e+02
1.056876e-03   9.826692e-36   1.000000e+02
1.066665e-03   9.802731e-36   1.000000e+02
1.076545e-03   9.780090e-36   1.000000e+02
1.086516e-03   9.758739e-36   1.000000e+02
1.096579e-03   9.738648e-36   1.000000e+02
1.106736e-03   9.719787e-36   1.000000e+02
1.116987e-03   9.702128e-36   1.000000e+02
1.127333e-03   9.685642e-36   1.000000e+02
1.137774e-03   9.670303e-36   1.000000e+02
1.148312e-03   9.656082e-36   1.000000e+02
1.158948e-03   9.642955e-36   1.000000e+02
1.169683e-03   9.630895e-36   1.000000e+02
1.180517e-03   9.619876e-36   1.000000e+02
1.191451e-03   9.609873e-36   1.000000e+02
1.202486e-03   9.600863e-36   1.000000e+02
1.213624e-03   9.592820e-36   1.000000e+02
1.224865e-03   9.585721e-36   1.000000e+02
1.236210e-03   9.579542e-36   1.000000e+02
1.247660e-03   9.574261e-36   1.000000e+02
1.259216e-03   9.569854e-36   1.000000e+02
1.270879e-03   9.566299e-36   1.000000e+02
1.282650e-03   9.563574e-36   1.000000e+02
1.294530e-03   9.561656e-36   1.000000e+02
1.306520e-03   9.560523e-36   1.000000e+02
1.318621e-03   9.560155e-36   1.000000e+02
1.330835e-03   9.560529e-36   1.000000e+02
1.343161e-03   9.561624e-36   1.000000e+02
1.355602e-03   9.563420e-36   1.000000e+02
1.368158e-03   9.565895e-36   1.000000e+02
1.380830e-03   9.569028e-36   1.000000e+02
1.393619e-03   9.572799e-36   1.000000e+02
1.406527e-03   9.577187e-36   1.000000e+02
1.419555e-03   9.582171e-36   1.000000e+02
1.432703e-03   9.587732e-36   1.000000e+02
1.445973e-03   9.593847e-36   1.000000e+02
1.459366e-03   9.600498e-36   1.000000e+02
1.472883e-03   9.607664e-36   1.000000e+02
1.486525e-03   9.615325e-36   1.000000e+02
1.500293e-03   9.623459e-36   1.000000e+02
1.514189e-03   9.632048e-36   1.000000e+02
