# C14 + p > N15 + g   [C14_p__N15_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=9.0059e+09 beta=1.5 gamma=-118.452  Q=10.2074
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.002588e-35   1.000000e+02
1.018610e-03   1.005070e-35   1.000000e+02
1.028045e-03   1.007446e-35   1.000000e+02
1.037567e-03   1.009717e-35   1.000000e+02
1.047177e-03   1.011884e-35   1.000000e+02
1.056876e-03   1.013949e-35   1.000000e+02
1.066665e-03   1.015912e-35   1.000000e+02
1.076545e-03   1.017775e-35   1.000000e+02
1.086516e-03   1.019539e-35   1.000000e+02
1.096579e-03   1.021205e-35   1.000000e+02
1.106736e-03   1.022775e-35   1.000000e+02
1.116987e-03   1.024249e-35   1.000000e+02
1.127333e-03   1.025630e-35   1.000000e+02
1.137774e-03   1.026919e-35   1.000000e+02
1.148312e-03   1.028117e-35   1.000000e+02
1.158948e-03   1.029226e-35   1.000000e+02
1.169683e-03   1.030247e-35   1.000000e+02
1.180517e-03   1.031182e-35   1.000000e+02
1.191451e-03   1.032032e-35   1.000000e+02
1.202486e-03   1.032800e-35   1.000000e+02
1.213624e-03   1.033486e-35   1.000000e+02
1.224865e-03   1.034092e-35   1.000000e+02
1.236210e-03   1.034621e-35   1.000000e+02
1.247660e-03   1.035073e-35   1.000000e+02
1.259216e-03   1.035450e-35   1.000000e+02
1.270879e-03   1.035755e-35   1.000000e+02
1.282650e-03   1.035989e-35   1.000000e+02
1.294530e-03   1.036154e-35   1.000000e+02
1.306520e-03   1.036251e-35   1.000000e+02
1.318621e-03   1.036283e-35   1.000000e+02
1.330835e-03   1.036251e-35   1.000000e+02
1.343161e-03   1.036157e-35   1.000000e+02
1.355602e-03   1.036002e-35   1.000000e+02
1.368158e-03   1.035790e-35   1.000000e+02
1.380830e-03   1.035521e-35   1.000000e+02
1.393619e-03   1.035198e-35   1.000000e+02
1.406527e-03   1.034822e-35   1.000000e+02
1.419555e-03   1.034396e-35   1.000000e+02
1.432703e-03   1.033920e-35   1.000000e+02
1.445973e-03   1.033398e-35   1.000000e+02
1.459366e-03   1.032831e-35   1.000000e+02
1.472883e-03   1.032220e-35   1.000000e+02
1.486525e-03   1.031569e-35   1.000000e+02
1.500293e-03   1.030878e-35   1.000000e+02
1.514189e-03   1.030149e-35   1.000000e+02
1.528214e-03   1.029386e-35   1.000000e+02
1.542369e-03   1.028588e-35   1.000000e+02
1.556654e-03   1.027759e-35   1.000000e+02
1.571072e-03   1.026900e-35   1.000000e+02
1.585624e-03   1.026013e-35   1.000000e+02
1.600310e-03   1.025100e-35   1.000000e+02
1.615133e-03   1.024163e-35   1.000000e+02
1.630092e-03   1.023203e-35   1.000000e+02
1.645191e-03   1.022223e-35   1.000000e+02
1.660429e-03   1.021225e-35   1.000000e+02
1.675808e-03   1.020210e-35   1.000000e+02
1.691330e-03   1.019180e-35   1.000000e+02
1.706995e-03   1.018137e-35   1.000000e+02
1.722805e-03   1.017083e-35   1.000000e+02
1.738762e-03   1.016020e-35   1.000000e+02
1.754867e-03   1.014949e-35   1.000000e+02
1.771121e-03   1.013872e-35   1.000000e+02
1.787526e-03   1.012792e-35   1.000000e+02
1.804082e-03   1.011710e-35   1.000000e+02
1.820792e-03   1.010627e-35   1.000000e+02
1.837656e-03   1.009546e-35   1.000000e+02
1.854677e-03   1.008468e-35   1.000000e+02
1.871855e-03   1.007396e-35   1.000000e+02
1.889193e-03   1.006330e-35   1.000000e+02
1.906691e-03   1.005273e-35   1.000000e+02
1.924351e-03   1.004226e-35   1.000000e+02
1.942175e-03   1.003192e-35   1.000000e+02
1.960163e-03   1.002171e-35   1.000000e+02
1.978319e-03   1.001166e-35   1.000000e+02
1.996642e-03   1.000178e-35   1.000000e+02
2.015136e-03   9.992093e-36   1.000000e+02
2.033800e-03   9.982613e-36   1.000000e+02
2.052638e-03   9.973357e-36   1.000000e+02
2.071650e-03   9.964344e-36   1.000000e+02
2.090838e-03   9.955588e-36   1.000000e+02
2.110203e-03   9.947109e-36   1.000000e+02
2.129749e-03   9.938922e-36   1.000000e+02
2.149475e-03   9.931044e-36   1.000000e+02
2.169384e-03   9.923492e-36   1.000000e+02
2.189477e-03   9.916283e-36   1.000000e+02
2.209756e-03   9.909434e-36   1.000000e+02
