# C15 + a > O18 + n   [C15_a__O18_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.0202 beta=0 gamma=-58.1177  Q=5.0082
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.998067e-36   1.000000e+02
1.018610e-03   9.996219e-36   1.000000e+02
1.028045e-03   9.994454e-36   1.000000e+02
1.037567e-03   9.992772e-36   1.000000e+02
1.047177e-03   9.991170e-36   1.000000e+02
1.056876e-03   9.989647e-36   1.000000e+02
1.066665e-03   9.988202e-36   1.000000e+02
1.076545e-03   9.986834e-36   1.000000e+02
1.086516e-03   9.985540e-36   1.000000e+02
1.096579e-03   9.984321e-36   1.000000e+02
1.106736e-03   9.983174e-36   1.000000e+02
1.116987e-03   9.982099e-36   1.000000e+02
1.127333e-03   9.981093e-36   1.000000e+02
1.137774e-03   9.980156e-36   1.000000e+02
1.148312e-03   9.979286e-36   1.000000e+02
1.158948e-03   9.978481e-36   1.000000e+02
1.169683e-03   9.977741e-36   1.000000e+02
1.180517e-03   9.977065e-36   1.000000e+02
1.191451e-03   9.976450e-36   1.000000e+02
1.202486e-03   9.975895e-36   1.000000e+02
1.213624e-03   9.975400e-36   1.000000e+02
1.224865e-03   9.974962e-36   1.000000e+02
1.236210e-03   9.974581e-36   1.000000e+02
1.247660e-03   9.974255e-36   1.000000e+02
1.259216e-03   9.973983e-36   1.000000e+02
1.270879e-03   9.973764e-36   1.000000e+02
1.282650e-03   9.973595e-36   1.000000e+02
1.294530e-03   9.973477e-36   1.000000e+02
1.306520e-03   9.973407e-36   1.000000e+02
1.318621e-03   9.973384e-36   1.000000e+02
1.330835e-03   9.973407e-36   1.000000e+02
1.343161e-03   9.973475e-36   1.000000e+02
1.355602e-03   9.973586e-36   1.000000e+02
1.368158e-03   9.973739e-36   1.000000e+02
1.380830e-03   9.973932e-36   1.000000e+02
1.393619e-03   9.974165e-36   1.000000e+02
1.406527e-03   9.974436e-36   1.000000e+02
1.419555e-03   9.974743e-36   1.000000e+02
1.432703e-03   9.975086e-36   1.000000e+02
1.445973e-03   9.975463e-36   1.000000e+02
1.459366e-03   9.975873e-36   1.000000e+02
1.472883e-03   9.976314e-36   1.000000e+02
1.486525e-03   9.976785e-36   1.000000e+02
1.500293e-03   9.977285e-36   1.000000e+02
