# C15 + p > C14 + d   [C15_p__C14_d]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.52378 beta=0 gamma=-11.6794  Q=1.0065
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.015124e-35   1.000000e+02
1.018610e-03   1.029635e-35   1.000000e+02
1.028045e-03   1.043520e-35   1.000000e+02
1.037567e-03   1.056767e-35   1.000000e+02
1.047177e-03   1.069368e-35   1.000000e+02
1.056876e-03   1.081316e-35   1.000000e+02
1.066665e-03   1.092605e-35   1.000000e+02
1.076545e-03   1.103234e-35   1.000000e+02
1.086516e-03   1.113201e-35   1.000000e+02
1.096579e-03   1.122508e-35   1.000000e+02
1.106736e-03   1.131158e-35   1.000000e+02
1.116987e-03   1.139155e-35   1.000000e+02
1.127333e-03   1.146507e-35   1.000000e+02
1.137774e-03   1.153221e-35   1.000000e+02
1.148312e-03   1.159307e-35   1.000000e+02
1.158948e-03   1.164778e-35   1.000000e+02
1.169683e-03   1.169645e-35   1.000000e+02
1.180517e-03   1.173922e-35   1.000000e+02
1.191451e-03   1.177625e-35   1.000000e+02
1.202486e-03   1.180771e-35   1.000000e+02
1.213624e-03   1.183377e-35   1.000000e+02
1.224865e-03   1.185462e-35   1.000000e+02
1.236210e-03   1.187044e-35   1.000000e+02
1.247660e-03   1.188144e-35   1.000000e+02
1.259216e-03   1.188783e-35   1.000000e+02
1.270879e-03   1.188982e-35   1.000000e+02
1.282650e-03   1.188763e-35   1.000000e+02
1.294530e-03   1.188149e-35   1.000000e+02
1.306520e-03   1.187162e-35   1.000000e+02
1.318621e-03   1.185825e-35   1.000000e+02
1.330835e-03   1.184161e-35   1.000000e+02
1.343161e-03   1.182195e-35   1.000000e+02
1.355602e-03   1.179948e-35   1.000000e+02
1.368158e-03   1.177446e-35   1.000000e+02
1.380830e-03   1.174711e-35   1.000000e+02
1.393619e-03   1.171767e-35   1.000000e+02
1.406527e-03   1.168637e-35   1.000000e+02
1.419555e-03   1.165344e-35   1.000000e+02
1.432703e-03   1.161913e-35   1.000000e+02
1.445973e-03   1.158364e-35   1.000000e+02
