# C9 + a > N12 + p   [C9_a__N12_p]   ref=Wiescher et al. 1989
# forward[T9] = With[{T923=T9^(2/3),T932=T9^(3/2),T913=T9^(1/3),T943=T9^(4/3),T953=T9^(5/3)},(1.668*^+15/T923*Exp[-31.272/T913-(T9/.307)^2]* (1.+1.33*^-2*T913-6.42*T923-.599*T9+14.4*T943+3.42*T953)+56.8/T932*Exp[-5.292/T9]+1.7*^+5/T932*Exp[-14.08/T9]+6.52*^7/T932*Exp[-23.09/T9])]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   2.408942e-119   3.000000e+00
1.009262e-03   6.247670e-119   3.000000e+00
1.018610e-03   1.615586e-118   3.000000e+00
1.028045e-03   4.165489e-118   3.000000e+00
1.037567e-03   1.070853e-117   3.000000e+00
1.047177e-03   2.744895e-117   3.000000e+00
1.056876e-03   7.015479e-117   3.000000e+00
1.066665e-03   1.787839e-116   3.000000e+00
1.076545e-03   4.543004e-116   3.000000e+00
1.086516e-03   1.151079e-115   3.000000e+00
1.096579e-03   2.908158e-115   3.000000e+00
1.106736e-03   7.326323e-115   3.000000e+00
1.116987e-03   1.840403e-114   3.000000e+00
1.127333e-03   4.610013e-114   3.000000e+00
1.137774e-03   1.151484e-113   3.000000e+00
1.148312e-03   2.868030e-113   3.000000e+00
1.158948e-03   7.123335e-113   3.000000e+00
1.169683e-03   1.764252e-112   3.000000e+00
1.180517e-03   4.357320e-112   3.000000e+00
1.191451e-03   1.073157e-111   3.000000e+00
1.202486e-03   2.635699e-111   3.000000e+00
1.213624e-03   6.455368e-111   3.000000e+00
1.224865e-03   1.576676e-110   3.000000e+00
1.236210e-03   3.840287e-110   3.000000e+00
1.247660e-03   9.327999e-110   3.000000e+00
1.259216e-03   2.259543e-109   3.000000e+00
1.270879e-03   5.458377e-109   3.000000e+00
1.282650e-03   1.314985e-108   3.000000e+00
1.294530e-03   3.159341e-108   3.000000e+00
1.306520e-03   7.569965e-108   3.000000e+00
1.318621e-03   1.808908e-107   3.000000e+00
1.330835e-03   4.310903e-107   3.000000e+00
1.343161e-03   1.024595e-106   3.000000e+00
1.355602e-03   2.428693e-106   3.000000e+00
1.368158e-03   5.741595e-106   3.000000e+00
1.380830e-03   1.353741e-105   3.000000e+00
1.393619e-03   3.183358e-105   3.000000e+00
1.406527e-03   7.465959e-105   3.000000e+00
1.419555e-03   1.746383e-104   3.000000e+00
1.432703e-03   4.074278e-104   3.000000e+00
1.445973e-03   9.480312e-104   3.000000e+00
1.459366e-03   2.200183e-103   3.000000e+00
1.472883e-03   5.092872e-103   3.000000e+00
1.486525e-03   1.175812e-102   3.000000e+00
1.500293e-03   2.707619e-102   3.000000e+00
1.514189e-03   6.218926e-102   3.000000e+00
1.528214e-03   1.424704e-101   3.000000e+00
1.542369e-03   3.255509e-101   3.000000e+00
1.556654e-03   7.419959e-101   3.000000e+00
1.571072e-03   1.686847e-100   3.000000e+00
1.585624e-03   3.825121e-100   3.000000e+00
1.600310e-03   8.651932e-100   3.000000e+00
1.615133e-03   1.952014e-99   3.000000e+00
