# C9 + n > B8 + d   [C9_n__B8_d]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.22567 beta=0 gamma=-10.7295  Q=0.9246
# T9                 rate                error
1.000000e-03   1.379500e+07   1.000000e+02
1.009262e-03   1.379100e+07   1.000000e+02
1.018610e-03   1.378702e+07   1.000000e+02
1.028045e-03   1.378307e+07   1.000000e+02
1.037567e-03   1.377913e+07   1.000000e+02
1.047177e-03   1.377523e+07   1.000000e+02
1.056876e-03   1.377135e+07   1.000000e+02
1.066665e-03   1.376749e+07   1.000000e+02
1.076545e-03   1.376365e+07   1.000000e+02
1.086516e-03   1.375984e+07   1.000000e+02
1.096579e-03   1.375606e+07   1.000000e+02
1.106736e-03   1.375230e+07   1.000000e+02
1.116987e-03   1.374856e+07   1.000000e+02
1.127333e-03   1.374485e+07   1.000000e+02
1.137774e-03   1.374117e+07   1.000000e+02
1.148312e-03   1.373750e+07   1.000000e+02
1.158948e-03   1.373387e+07   1.000000e+02
1.169683e-03   1.373026e+07   1.000000e+02
1.180517e-03   1.372667e+07   1.000000e+02
1.191451e-03   1.372312e+07   1.000000e+02
1.202486e-03   1.371958e+07   1.000000e+02
1.213624e-03   1.371608e+07   1.000000e+02
1.224865e-03   1.371259e+07   1.000000e+02
1.236210e-03   1.370914e+07   1.000000e+02
1.247660e-03   1.370571e+07   1.000000e+02
1.259216e-03   1.370231e+07   1.000000e+02
1.270879e-03   1.369893e+07   1.000000e+02
1.282650e-03   1.369558e+07   1.000000e+02
1.294530e-03   1.369226e+07   1.000000e+02
1.306520e-03   1.368896e+07   1.000000e+02
1.318621e-03   1.368569e+07   1.000000e+02
1.330835e-03   1.368245e+07   1.000000e+02
1.343161e-03   1.367923e+07   1.000000e+02
1.355602e-03   1.367605e+07   1.000000e+02
1.368158e-03   1.367289e+07   1.000000e+02
1.380830e-03   1.366975e+07   1.000000e+02
1.393619e-03   1.366665e+07   1.000000e+02
1.406527e-03   1.366357e+07   1.000000e+02
1.419555e-03   1.366052e+07   1.000000e+02
1.432703e-03   1.365750e+07   1.000000e+02
1.445973e-03   1.365450e+07   1.000000e+02
1.459366e-03   1.365154e+07   1.000000e+02
1.472883e-03   1.364860e+07   1.000000e+02
1.486525e-03   1.364569e+07   1.000000e+02
1.500293e-03   1.364281e+07   1.000000e+02
1.514189e-03   1.363996e+07   1.000000e+02
1.528214e-03   1.363714e+07   1.000000e+02
1.542369e-03   1.363434e+07   1.000000e+02
1.556654e-03   1.363158e+07   1.000000e+02
1.571072e-03   1.362884e+07   1.000000e+02
1.585624e-03   1.362614e+07   1.000000e+02
1.600310e-03   1.362346e+07   1.000000e+02
1.615133e-03   1.362081e+07   1.000000e+02
1.630092e-03   1.361820e+07   1.000000e+02
1.645191e-03   1.361561e+07   1.000000e+02
1.660429e-03   1.361305e+07   1.000000e+02
1.675808e-03   1.361052e+07   1.000000e+02
1.691330e-03   1.360802e+07   1.000000e+02
1.706995e-03   1.360556e+07   1.000000e+02
1.722805e-03   1.360312e+07   1.000000e+02
1.738762e-03   1.360071e+07   1.000000e+02
1.754867e-03   1.359834e+07   1.000000e+02
1.771121e-03   1.359599e+07   1.000000e+02
1.787526e-03   1.359368e+07   1.000000e+02
1.804082e-03   1.359139e+07   1.000000e+02
1.820792e-03   1.358914e+07   1.000000e+02
1.837656e-03   1.358692e+07   1.000000e+02
1.854677e-03   1.358473e+07   1.000000e+02
1.871855e-03   1.358257e+07   1.000000e+02
1.889193e-03   1.358044e+07   1.000000e+02
1.906691e-03   1.357835e+07   1.000000e+02
1.924351e-03   1.357628e+07   1.000000e+02
1.942175e-03   1.357425e+07   1.000000e+02
1.960163e-03   1.357225e+07   1.000000e+02
1.978319e-03   1.357028e+07   1.000000e+02
1.996642e-03   1.356835e+07   1.000000e+02
2.015136e-03   1.356645e+07   1.000000e+02
2.033800e-03   1.356458e+07   1.000000e+02
2.052638e-03   1.356274e+07   1.000000e+02
2.071650e-03   1.356093e+07   1.000000e+02
2.090838e-03   1.355916e+07   1.000000e+02
2.110203e-03   1.355742e+07   1.000000e+02
2.129749e-03   1.355572e+07   1.000000e+02
2.149475e-03   1.355405e+07   1.000000e+02
