# C9 + n > C10 + g   [C9_n__C10_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.8465e+10 beta=1.5 gamma=-246.98  Q=21.2831
# T9                 rate                error
1.000000e-03   3.709700e+04   1.000000e+02
1.009262e-03   3.708608e+04   1.000000e+02
1.018610e-03   3.707521e+04   1.000000e+02
1.028045e-03   3.706441e+04   1.000000e+02
1.037567e-03   3.705368e+04   1.000000e+02
1.047177e-03   3.704301e+04   1.000000e+02
1.056876e-03   3.703240e+04   1.000000e+02
1.066665e-03   3.702185e+04   1.000000e+02
1.076545e-03   3.701137e+04   1.000000e+02
1.086516e-03   3.700096e+04   1.000000e+02
1.096579e-03   3.699061e+04   1.000000e+02
1.106736e-03   3.698032e+04   1.000000e+02
1.116987e-03   3.697010e+04   1.000000e+02
1.127333e-03   3.695995e+04   1.000000e+02
1.137774e-03   3.694986e+04   1.000000e+02
1.148312e-03   3.693984e+04   1.000000e+02
1.158948e-03   3.692989e+04   1.000000e+02
1.169683e-03   3.692000e+04   1.000000e+02
1.180517e-03   3.691018e+04   1.000000e+02
1.191451e-03   3.690043e+04   1.000000e+02
1.202486e-03   3.689074e+04   1.000000e+02
1.213624e-03   3.688113e+04   1.000000e+02
1.224865e-03   3.687158e+04   1.000000e+02
1.236210e-03   3.686210e+04   1.000000e+02
1.247660e-03   3.685269e+04   1.000000e+02
1.259216e-03   3.684335e+04   1.000000e+02
1.270879e-03   3.683408e+04   1.000000e+02
1.282650e-03   3.682487e+04   1.000000e+02
1.294530e-03   3.681574e+04   1.000000e+02
1.306520e-03   3.680668e+04   1.000000e+02
1.318621e-03   3.679769e+04   1.000000e+02
1.330835e-03   3.678877e+04   1.000000e+02
1.343161e-03   3.677992e+04   1.000000e+02
1.355602e-03   3.677115e+04   1.000000e+02
1.368158e-03   3.676244e+04   1.000000e+02
1.380830e-03   3.675381e+04   1.000000e+02
1.393619e-03   3.674525e+04   1.000000e+02
1.406527e-03   3.673676e+04   1.000000e+02
1.419555e-03   3.672835e+04   1.000000e+02
1.432703e-03   3.672000e+04   1.000000e+02
1.445973e-03   3.671174e+04   1.000000e+02
1.459366e-03   3.670354e+04   1.000000e+02
1.472883e-03   3.669542e+04   1.000000e+02
1.486525e-03   3.668738e+04   1.000000e+02
1.500293e-03   3.667941e+04   1.000000e+02
1.514189e-03   3.667151e+04   1.000000e+02
1.528214e-03   3.666369e+04   1.000000e+02
1.542369e-03   3.665595e+04   1.000000e+02
1.556654e-03   3.664828e+04   1.000000e+02
1.571072e-03   3.664069e+04   1.000000e+02
1.585624e-03   3.663317e+04   1.000000e+02
1.600310e-03   3.662573e+04   1.000000e+02
1.615133e-03   3.661837e+04   1.000000e+02
1.630092e-03   3.661109e+04   1.000000e+02
1.645191e-03   3.660388e+04   1.000000e+02
1.660429e-03   3.659675e+04   1.000000e+02
1.675808e-03   3.658970e+04   1.000000e+02
1.691330e-03   3.658273e+04   1.000000e+02
1.706995e-03   3.657583e+04   1.000000e+02
1.722805e-03   3.656902e+04   1.000000e+02
1.738762e-03   3.656229e+04   1.000000e+02
1.754867e-03   3.655563e+04   1.000000e+02
1.771121e-03   3.654906e+04   1.000000e+02
1.787526e-03   3.654256e+04   1.000000e+02
1.804082e-03   3.653615e+04   1.000000e+02
1.820792e-03   3.652981e+04   1.000000e+02
1.837656e-03   3.652356e+04   1.000000e+02
1.854677e-03   3.651739e+04   1.000000e+02
1.871855e-03   3.651130e+04   1.000000e+02
1.889193e-03   3.650530e+04   1.000000e+02
1.906691e-03   3.649937e+04   1.000000e+02
1.924351e-03   3.649353e+04   1.000000e+02
1.942175e-03   3.648777e+04   1.000000e+02
1.960163e-03   3.648209e+04   1.000000e+02
1.978319e-03   3.647650e+04   1.000000e+02
1.996642e-03   3.647099e+04   1.000000e+02
2.015136e-03   3.646557e+04   1.000000e+02
2.033800e-03   3.646023e+04   1.000000e+02
2.052638e-03   3.645498e+04   1.000000e+02
2.071650e-03   3.644981e+04   1.000000e+02
2.090838e-03   3.644472e+04   1.000000e+02
2.110203e-03   3.643972e+04   1.000000e+02
2.129749e-03   3.643481e+04   1.000000e+02
2.149475e-03   3.642998e+04   1.000000e+02
2.169384e-03   3.642524e+04   1.000000e+02
2.189477e-03   3.642059e+04   1.000000e+02
2.209756e-03   3.641602e+04   1.000000e+02
2.230223e-03   3.641155e+04   1.000000e+02
2.250880e-03   3.640715e+04   1.000000e+02
2.271728e-03   3.640285e+04   1.000000e+02
2.292769e-03   3.639864e+04   1.000000e+02
2.314005e-03   3.639451e+04   1.000000e+02
2.335438e-03   3.639047e+04   1.000000e+02
2.357069e-03   3.638653e+04   1.000000e+02
2.378901e-03   3.638267e+04   1.000000e+02
2.400935e-03   3.637890e+04   1.000000e+02
2.423173e-03   3.637522e+04   1.000000e+02
2.445617e-03   3.637163e+04   1.000000e+02
2.468268e-03   3.636814e+04   1.000000e+02
2.491130e-03   3.636473e+04   1.000000e+02
2.514203e-03   3.636142e+04   1.000000e+02
2.537490e-03   3.635820e+04   1.000000e+02
2.560993e-03   3.635507e+04   1.000000e+02
2.584714e-03   3.635203e+04   1.000000e+02
2.608654e-03   3.634908e+04   1.000000e+02
2.632815e-03   3.634623e+04   1.000000e+02
2.657201e-03   3.634347e+04   1.000000e+02
2.681813e-03   3.634080e+04   1.000000e+02
2.706652e-03   3.633823e+04   1.000000e+02
2.731722e-03   3.633576e+04   1.000000e+02
2.757023e-03   3.633337e+04   1.000000e+02
2.782559e-03   3.633109e+04   1.000000e+02
2.808332e-03   3.632889e+04   1.000000e+02
2.834343e-03   3.632680e+04   1.000000e+02
2.860596e-03   3.632479e+04   1.000000e+02
2.887091e-03   3.632289e+04   1.000000e+02
2.913832e-03   3.632108e+04   1.000000e+02
2.940820e-03   3.631937e+04   1.000000e+02
2.968059e-03   3.631775e+04   1.000000e+02
2.995549e-03   3.631624e+04   1.000000e+02
3.023295e-03   3.631482e+04   1.000000e+02
3.051297e-03   3.631356e+04   1.000000e+02
3.079559e-03   3.631250e+04   1.000000e+02
3.108082e-03   3.631172e+04   1.000000e+02
3.136870e-03   3.631126e+04   1.000000e+02
3.165924e-03   3.631120e+04   1.000000e+02
3.195248e-03   3.631159e+04   1.000000e+02
3.224842e-03   3.631249e+04   1.000000e+02
3.254712e-03   3.631396e+04   1.000000e+02
3.284857e-03   3.631607e+04   1.000000e+02
3.315282e-03   3.631888e+04   1.000000e+02
3.345989e-03   3.632244e+04   1.000000e+02
3.376980e-03   3.632682e+04   1.000000e+02
3.408259e-03   3.633207e+04   1.000000e+02
3.439826e-03   3.633827e+04   1.000000e+02
3.471687e-03   3.634547e+04   1.000000e+02
3.503842e-03   3.635373e+04   1.000000e+02
3.536296e-03   3.636311e+04   1.000000e+02
3.569049e-03   3.637367e+04   1.000000e+02
3.602107e-03   3.638549e+04   1.000000e+02
3.635470e-03   3.639861e+04   1.000000e+02
3.669142e-03   3.641310e+04   1.000000e+02
3.703127e-03   3.642903e+04   1.000000e+02
3.737426e-03   3.644646e+04   1.000000e+02
3.772042e-03   3.646544e+04   1.000000e+02
3.806980e-03   3.648605e+04   1.000000e+02
3.842241e-03   3.650834e+04   1.000000e+02
3.877828e-03   3.653239e+04   1.000000e+02
3.913746e-03   3.655825e+04   1.000000e+02
3.949995e-03   3.658599e+04   1.000000e+02
3.986581e-03   3.661568e+04   1.000000e+02
4.023506e-03   3.664737e+04   1.000000e+02
4.060772e-03   3.668094e+04   1.000000e+02
4.098384e-03   3.671616e+04   1.000000e+02
4.136344e-03   3.675280e+04   1.000000e+02
4.174655e-03   3.679061e+04   1.000000e+02
4.213322e-03   3.682936e+04   1.000000e+02
4.252346e-03   3.686881e+04   1.000000e+02
4.291732e-03   3.690872e+04   1.000000e+02
4.331483e-03   3.694885e+04   1.000000e+02
4.371602e-03   3.698895e+04   1.000000e+02
4.412093e-03   3.702878e+04   1.000000e+02
