# F18 + p > Ne19 + g   [F18_p__Ne19_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=2.7618e+10 beta=1.5 gamma=-74.3991  Q=6.4112
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   1.001653e-35   1.000124e+00
1.018610e-03   1.003236e-35   1.000242e+00
1.028045e-03   1.004751e-35   1.000356e+00
1.037567e-03   1.006197e-35   1.000464e+00
1.047177e-03   1.007577e-35   1.000567e+00
1.056876e-03   1.008890e-35   1.000664e+00
1.066665e-03   1.010137e-35   1.000757e+00
1.076545e-03   1.011321e-35   1.000845e+00
1.086516e-03   1.012440e-35   1.000928e+00
1.096579e-03   1.013497e-35   1.001007e+00
1.106736e-03   1.014492e-35   1.001080e+00
1.116987e-03   1.015426e-35   1.001149e+00
1.127333e-03   1.016301e-35   1.001214e+00
1.137774e-03   1.017117e-35   1.001274e+00
1.148312e-03   1.017875e-35   1.001330e+00
1.158948e-03   1.018576e-35   1.001382e+00
1.169683e-03   1.019222e-35   1.001430e+00
1.180517e-03   1.019812e-35   1.001473e+00
1.191451e-03   1.020350e-35   1.001513e+00
1.202486e-03   1.020834e-35   1.001549e+00
1.213624e-03   1.021267e-35   1.001580e+00
1.224865e-03   1.021650e-35   1.001609e+00
1.236210e-03   1.021984e-35   1.001633e+00
1.247660e-03   1.022269e-35   1.001654e+00
1.259216e-03   1.022507e-35   1.001672e+00
1.270879e-03   1.022700e-35   1.001686e+00
1.282650e-03   1.022847e-35   1.001697e+00
1.294530e-03   1.022951e-35   1.001704e+00
1.306520e-03   1.023012e-35   1.001709e+00
1.318621e-03   1.023032e-35   1.001710e+00
1.330835e-03   1.023012e-35   1.001709e+00
1.343161e-03   1.022953e-35   1.001704e+00
1.355602e-03   1.022856e-35   1.001697e+00
1.368158e-03   1.022722e-35   1.001687e+00
1.380830e-03   1.022552e-35   1.001675e+00
1.393619e-03   1.022348e-35   1.001660e+00
1.406527e-03   1.022111e-35   1.001642e+00
1.419555e-03   1.021842e-35   1.001623e+00
1.432703e-03   1.021542e-35   1.001601e+00
1.445973e-03   1.021212e-35   1.001576e+00
1.459366e-03   1.020854e-35   1.001550e+00
1.472883e-03   1.020468e-35   1.001522e+00
1.486525e-03   1.020057e-35   1.001491e+00
1.500293e-03   1.019620e-35   1.001459e+00
1.514189e-03   1.019160e-35   1.001425e+00
1.528214e-03   1.018677e-35   1.001390e+00
1.542369e-03   1.018173e-35   1.001352e+00
1.556654e-03   1.017648e-35   1.001314e+00
1.571072e-03   1.017104e-35   1.001273e+00
1.585624e-03   1.016543e-35   1.001232e+00
1.600310e-03   1.015965e-35   1.001189e+00
1.615133e-03   1.015371e-35   1.001145e+00
1.630092e-03   1.014764e-35   1.001100e+00
1.645191e-03   1.014143e-35   1.001054e+00
1.660429e-03   1.013510e-35   1.001007e+00
1.675808e-03   1.012866e-35   1.000960e+00
1.691330e-03   1.012212e-35   1.000911e+00
1.706995e-03   1.011551e-35   1.000862e+00
1.722805e-03   1.010881e-35   1.000812e+00
1.738762e-03   1.010206e-35   1.000762e+00
1.754867e-03   1.009526e-35   1.000712e+00
