# F19 + a > Ne22 + p   [F19_a__Ne22_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.3553 beta=0 gamma=-19.4175  Q=1.6733
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.999666e-36   1.000000e+02
1.018610e-03   9.999346e-36   1.000000e+02
1.028045e-03   9.999040e-36   1.000000e+02
1.037567e-03   9.998749e-36   1.000000e+02
1.047177e-03   9.998471e-36   1.000000e+02
1.056876e-03   9.998208e-36   1.000000e+02
1.066665e-03   9.997957e-36   1.000000e+02
1.076545e-03   9.997720e-36   1.000000e+02
1.086516e-03   9.997496e-36   1.000000e+02
1.096579e-03   9.997285e-36   1.000000e+02
1.106736e-03   9.997086e-36   1.000000e+02
1.116987e-03   9.996900e-36   1.000000e+02
1.127333e-03   9.996726e-36   1.000000e+02
1.137774e-03   9.996563e-36   1.000000e+02
1.148312e-03   9.996412e-36   1.000000e+02
1.158948e-03   9.996273e-36   1.000000e+02
1.169683e-03   9.996145e-36   1.000000e+02
1.180517e-03   9.996027e-36   1.000000e+02
1.191451e-03   9.995921e-36   1.000000e+02
1.202486e-03   9.995825e-36   1.000000e+02
1.213624e-03   9.995739e-36   1.000000e+02
1.224865e-03   9.995663e-36   1.000000e+02
1.236210e-03   9.995597e-36   1.000000e+02
1.247660e-03   9.995540e-36   1.000000e+02
1.259216e-03   9.995493e-36   1.000000e+02
1.270879e-03   9.995455e-36   1.000000e+02
1.282650e-03   9.995426e-36   1.000000e+02
1.294530e-03   9.995405e-36   1.000000e+02
1.306520e-03   9.995393e-36   1.000000e+02
1.318621e-03   9.995389e-36   1.000000e+02
1.330835e-03   9.995393e-36   1.000000e+02
1.343161e-03   9.995405e-36   1.000000e+02
1.355602e-03   9.995424e-36   1.000000e+02
1.368158e-03   9.995451e-36   1.000000e+02
1.380830e-03   9.995484e-36   1.000000e+02
1.393619e-03   9.995525e-36   1.000000e+02
1.406527e-03   9.995572e-36   1.000000e+02
1.419555e-03   9.995625e-36   1.000000e+02
1.432703e-03   9.995684e-36   1.000000e+02
1.445973e-03   9.995750e-36   1.000000e+02
1.459366e-03   9.995821e-36   1.000000e+02
1.472883e-03   9.995897e-36   1.000000e+02
1.486525e-03   9.995979e-36   1.000000e+02
1.500293e-03   9.996066e-36   1.000000e+02
1.514189e-03   9.996157e-36   1.000000e+02
1.528214e-03   9.996253e-36   1.000000e+02
1.542369e-03   9.996353e-36   1.000000e+02
1.556654e-03   9.996458e-36   1.000000e+02
1.571072e-03   9.996566e-36   1.000000e+02
1.585624e-03   9.996677e-36   1.000000e+02
1.600310e-03   9.996793e-36   1.000000e+02
1.615133e-03   9.996911e-36   1.000000e+02
1.630092e-03   9.997032e-36   1.000000e+02
1.645191e-03   9.997156e-36   1.000000e+02
1.660429e-03   9.997283e-36   1.000000e+02
1.675808e-03   9.997411e-36   1.000000e+02
1.691330e-03   9.997542e-36   1.000000e+02
1.706995e-03   9.997674e-36   1.000000e+02
1.722805e-03   9.997808e-36   1.000000e+02
1.738762e-03   9.997944e-36   1.000000e+02
1.754867e-03   9.998080e-36   1.000000e+02
1.771121e-03   9.998217e-36   1.000000e+02
1.787526e-03   9.998355e-36   1.000000e+02
1.804082e-03   9.998494e-36   1.000000e+02
1.820792e-03   9.998632e-36   1.000000e+02
1.837656e-03   9.998771e-36   1.000000e+02
1.854677e-03   9.998909e-36   1.000000e+02
1.871855e-03   9.999047e-36   1.000000e+02
1.889193e-03   9.999184e-36   1.000000e+02
1.906691e-03   9.999319e-36   1.000000e+02
1.924351e-03   9.999454e-36   1.000000e+02
1.942175e-03   9.999588e-36   1.000000e+02
1.960163e-03   9.999719e-36   1.000000e+02
1.978319e-03   9.999849e-36   1.000000e+02
1.996642e-03   9.999977e-36   1.000000e+02
2.015136e-03   1.000010e-35   1.000000e+02
2.033800e-03   1.000023e-35   1.000000e+02
2.052638e-03   1.000035e-35   1.000000e+02
2.071650e-03   1.000046e-35   1.000000e+02
2.090838e-03   1.000058e-35   1.000000e+02
