# He3 + a > Be7 + g   [He3_a__Be7_g]   ref=Iliadis et al. 2016
# detailed balance: alpha=1.11289e+10 beta=1.5 gamma=-18.4179  Q=1.58713
# T9                 rate                error
1.000000e-03   1.178000e-47   1.024000e+00
1.009262e-03   1.734646e-47   1.024000e+00
1.018610e-03   2.551310e-47   1.024000e+00
1.028045e-03   3.748036e-47   1.024000e+00
1.037567e-03   5.499630e-47   1.024000e+00
1.047177e-03   8.060349e-47   1.024000e+00
1.056876e-03   1.179957e-46   1.024000e+00
1.066665e-03   1.725327e-46   1.024000e+00
1.076545e-03   2.519830e-46   1.024000e+00
1.086516e-03   3.675925e-46   1.024000e+00
1.096579e-03   5.356228e-46   1.024000e+00
1.106736e-03   7.795601e-46   1.024000e+00
1.116987e-03   1.133286e-45   1.024000e+00
1.127333e-03   1.645623e-45   1.024000e+00
1.137774e-03   2.386839e-45   1.024000e+00
1.148312e-03   3.457953e-45   1.024000e+00
1.158948e-03   5.004026e-45   1.024000e+00
1.169683e-03   7.233124e-45   1.024000e+00
1.180517e-03   1.044334e-44   1.024000e+00
1.191451e-03   1.506125e-44   1.024000e+00
1.202486e-03   2.169663e-44   1.024000e+00
1.213624e-03   3.122011e-44   1.024000e+00
1.224865e-03   4.487337e-44   1.024000e+00
1.236210e-03   6.442529e-44   1.024000e+00
1.247660e-03   9.239292e-44   1.024000e+00
1.259216e-03   1.323540e-43   1.024000e+00
1.270879e-03   1.893880e-43   1.024000e+00
1.282650e-03   2.706988e-43   1.024000e+00
1.294530e-03   3.864915e-43   1.024000e+00
1.306520e-03   5.512068e-43   1.024000e+00
1.318621e-03   7.852563e-43   1.024000e+00
1.330835e-03   1.117460e-42   1.024000e+00
1.343161e-03   1.588463e-42   1.024000e+00
1.355602e-03   2.255528e-42   1.024000e+00
1.368158e-03   3.199240e-42   1.024000e+00
1.380830e-03   4.532878e-42   1.024000e+00
1.393619e-03   6.415508e-42   1.024000e+00
1.406527e-03   9.070248e-42   1.024000e+00
1.419555e-03   1.280972e-41   1.024000e+00
1.432703e-03   1.807149e-41   1.024000e+00
1.445973e-03   2.546731e-41   1.024000e+00
1.459366e-03   3.585158e-41   1.024000e+00
1.472883e-03   5.041631e-41   1.024000e+00
1.486525e-03   7.082270e-41   1.024000e+00
1.500293e-03   9.938342e-41   1.024000e+00
1.514189e-03   1.393146e-40   1.024000e+00
1.528214e-03   1.950841e-40   1.024000e+00
1.542369e-03   2.728921e-40   1.024000e+00
1.556654e-03   3.813335e-40   1.024000e+00
1.571072e-03   5.323109e-40   1.024000e+00
1.585624e-03   7.422895e-40   1.024000e+00
1.600310e-03   1.034023e-39   1.024000e+00
1.615133e-03   1.438921e-39   1.024000e+00
1.630092e-03   2.000301e-39   1.024000e+00
1.645191e-03   2.777835e-39   1.024000e+00
1.660429e-03   3.853641e-39   1.024000e+00
1.675808e-03   5.340616e-39   1.024000e+00
1.691330e-03   7.393803e-39   1.024000e+00
1.706995e-03   1.022591e-38   1.024000e+00
1.722805e-03   1.412848e-38   1.024000e+00
1.738762e-03   1.950064e-38   1.024000e+00
1.754867e-03   2.688833e-38   1.024000e+00
1.771121e-03   3.703749e-38   1.024000e+00
1.787526e-03   5.096634e-38   1.024000e+00
1.804082e-03   7.006330e-38   1.024000e+00
1.820792e-03   9.621977e-38   1.024000e+00
1.837656e-03   1.320097e-37   1.024000e+00
1.854677e-03   1.809325e-37   1.024000e+00
1.871855e-03   2.477409e-37   1.024000e+00
1.889193e-03   3.388834e-37   1.024000e+00
1.906691e-03   4.631013e-37   1.024000e+00
1.924351e-03   6.322310e-37   1.024000e+00
1.942175e-03   8.622854e-37   1.024000e+00
1.960163e-03   1.174906e-36   1.024000e+00
1.978319e-03   1.599311e-36   1.024000e+00
1.996642e-03   2.174914e-36   1.024000e+00
2.015136e-03   2.954826e-36   1.024000e+00
