# He3 + d > a + p   [He3_d__a_p]   ref=de Souza et al. 2019
# detailed balance: alpha=5.5438 beta=0 gamma=-212.987  Q=18.35
# T9                 rate                error
1.000000e-03   3.496000e-19   1.017000e+00
1.009262e-03   4.330491e-19   1.017000e+00
1.018610e-03   5.360629e-19   1.017000e+00
1.028045e-03   6.631441e-19   1.017000e+00
1.037567e-03   8.198122e-19   1.017000e+00
1.047177e-03   1.012828e-18   1.017000e+00
1.056876e-03   1.250469e-18   1.017000e+00
1.066665e-03   1.542861e-18   1.017000e+00
1.076545e-03   1.902381e-18   1.017000e+00
1.086516e-03   2.344154e-18   1.017000e+00
1.096579e-03   2.886645e-18   1.017000e+00
1.106736e-03   3.552383e-18   1.017000e+00
1.116987e-03   4.368841e-18   1.017000e+00
1.127333e-03   5.369495e-18   1.017000e+00
1.137774e-03   6.595110e-18   1.017000e+00
1.148312e-03   8.095296e-18   1.017000e+00
1.158948e-03   9.930390e-18   1.017000e+00
1.169683e-03   1.217372e-17   1.017000e+00
1.180517e-03   1.491437e-17   1.017000e+00
1.191451e-03   1.826043e-17   1.017000e+00
1.202486e-03   2.234308e-17   1.017000e+00
1.213624e-03   2.732131e-17   1.017000e+00
1.224865e-03   3.338774e-17   1.017000e+00
1.236210e-03   4.077560e-17   1.017000e+00
1.247660e-03   4.976709e-17   1.017000e+00
1.259216e-03   6.070345e-17   1.017000e+00
1.270879e-03   7.399706e-17   1.017000e+00
1.282650e-03   9.014595e-17   1.017000e+00
1.294530e-03   1.097512e-16   1.017000e+00
1.306520e-03   1.335379e-16   1.017000e+00
1.318621e-03   1.623800e-16   1.017000e+00
1.330835e-03   1.973304e-16   1.017000e+00
1.343161e-03   2.396568e-16   1.017000e+00
1.355602e-03   2.908844e-16   1.017000e+00
1.368158e-03   3.528473e-16   1.017000e+00
1.380830e-03   4.277495e-16   1.017000e+00
1.393619e-03   5.182380e-16   1.017000e+00
1.406527e-03   6.274900e-16   1.017000e+00
1.419555e-03   7.593165e-16   1.017000e+00
1.432703e-03   9.182862e-16   1.017000e+00
1.445973e-03   1.109873e-15   1.017000e+00
1.459366e-03   1.340630e-15   1.017000e+00
1.472883e-03   1.618401e-15   1.017000e+00
