# He3 + t > He4 + d   [He3_t__a_d]   ref=Caughlan& Fowler 1988
# forward[T9] = With[{T9A=T9/(1.+0.128*T9),T932=T9^(3/2)},With[{T9A13=T9A^(1./3.),T9A56=T9A^(5./6.)},5.46*^9*T9A56/T932*Exp[-7.733/T9A13] ]]   uncertainty factor f = 10
# T9                 rate                error
1.000000e-03   1.418147e-22   1.000000e+01
1.009262e-03   1.786874e-22   1.000000e+01
1.018610e-03   2.249835e-22   1.000000e+01
1.028045e-03   2.830687e-22   1.000000e+01
1.037567e-03   3.558925e-22   1.000000e+01
1.047177e-03   4.471286e-22   1.000000e+01
1.056876e-03   5.613498e-22   1.000000e+01
1.066665e-03   7.042443e-22   1.000000e+01
1.076545e-03   8.828818e-22   1.000000e+01
1.086516e-03   1.106044e-21   1.000000e+01
1.096579e-03   1.384629e-21   1.000000e+01
1.106736e-03   1.732155e-21   1.000000e+01
1.116987e-03   2.165377e-21   1.000000e+01
1.127333e-03   2.705045e-21   1.000000e+01
1.137774e-03   3.376842e-21   1.000000e+01
1.148312e-03   4.212530e-21   1.000000e+01
1.158948e-03   5.251366e-21   1.000000e+01
1.169683e-03   6.541835e-21   1.000000e+01
1.180517e-03   8.143775e-21   1.000000e+01
1.191451e-03   1.013099e-20   1.000000e+01
1.202486e-03   1.259443e-20   1.000000e+01
1.213624e-03   1.564613e-20   1.000000e+01
1.224865e-03   1.942397e-20   1.000000e+01
1.236210e-03   2.409752e-20   1.000000e+01
1.247660e-03   2.987523e-20   1.000000e+01
1.259216e-03   3.701309e-20   1.000000e+01
1.270879e-03   4.582535e-20   1.000000e+01
1.282650e-03   5.669741e-20   1.000000e+01
1.294530e-03   7.010173e-20   1.000000e+01
1.306520e-03   8.661699e-20   1.000000e+01
1.318621e-03   1.069516e-19   1.000000e+01
1.330835e-03   1.319721e-19   1.000000e+01
1.343161e-03   1.627378e-19   1.000000e+01
1.355602e-03   2.005429e-19   1.000000e+01
1.368158e-03   2.469674e-19   1.000000e+01
1.380830e-03   3.039387e-19   1.000000e+01
1.393619e-03   3.738071e-19   1.000000e+01
1.406527e-03   4.594360e-19   1.000000e+01
1.419555e-03   5.643120e-19   1.000000e+01
1.432703e-03   6.926779e-19   1.000000e+01
1.445973e-03   8.496927e-19   1.000000e+01
1.459366e-03   1.041626e-18   1.000000e+01
1.472883e-03   1.276093e-18   1.000000e+01
1.486525e-03   1.562333e-18   1.000000e+01
1.500293e-03   1.911556e-18   1.000000e+01
1.514189e-03   2.337348e-18   1.000000e+01
1.528214e-03   2.856166e-18   1.000000e+01
1.542369e-03   3.487932e-18   1.000000e+01
1.556654e-03   4.256748e-18   1.000000e+01
1.571072e-03   5.191755e-18   1.000000e+01
1.585624e-03   6.328160e-18   1.000000e+01
1.600310e-03   7.708478e-18   1.000000e+01
1.615133e-03   9.384013e-18   1.000000e+01
1.630092e-03   1.141663e-17   1.000000e+01
1.645191e-03   1.388091e-17   1.000000e+01
1.660429e-03   1.686666e-17   1.000000e+01
1.675808e-03   2.048200e-17   1.000000e+01
1.691330e-03   2.485699e-17   1.000000e+01
1.706995e-03   3.014799e-17   1.000000e+01
1.722805e-03   3.654287e-17   1.000000e+01
1.738762e-03   4.426723e-17   1.000000e+01
1.754867e-03   5.359178e-17   1.000000e+01
1.771121e-03   6.484118e-17   1.000000e+01
1.787526e-03   7.840458e-17   1.000000e+01
1.804082e-03   9.474810e-17   1.000000e+01
1.820792e-03   1.144297e-16   1.000000e+01
1.837656e-03   1.381171e-16   1.000000e+01
1.854677e-03   1.666085e-16   1.000000e+01
1.871855e-03   2.008577e-16   1.000000e+01
1.889193e-03   2.420038e-16   1.000000e+01
1.906691e-03   2.914066e-16   1.000000e+01
1.924351e-03   3.506879e-16   1.000000e+01
1.942175e-03   4.217809e-16   1.000000e+01
1.960163e-03   5.069893e-16   1.000000e+01
1.978319e-03   6.090559e-16   1.000000e+01
1.996642e-03   7.312447e-16   1.000000e+01
2.015136e-03   8.774379e-16   1.000000e+01
2.033800e-03   1.052250e-15   1.000000e+01
2.052638e-03   1.261162e-15   1.000000e+01
2.071650e-03   1.510682e-15   1.000000e+01
2.090838e-03   1.808533e-15   1.000000e+01
2.110203e-03   2.163872e-15   1.000000e+01
2.129749e-03   2.587554e-15   1.000000e+01
2.149475e-03   3.092436e-15   1.000000e+01
2.169384e-03   3.693738e-15   1.000000e+01
2.189477e-03   4.409469e-15   1.000000e+01
2.209756e-03   5.260925e-15   1.000000e+01
2.230223e-03   6.273276e-15   1.000000e+01
2.250880e-03   7.476249e-15   1.000000e+01
2.271728e-03   8.904940e-15   1.000000e+01
2.292769e-03   1.060076e-14   1.000000e+01
2.314005e-03   1.261253e-14   1.000000e+01
2.335438e-03   1.499780e-14   1.000000e+01
2.357069e-03   1.782434e-14   1.000000e+01
2.378901e-03   2.117197e-14   1.000000e+01
2.400935e-03   2.513456e-14   1.000000e+01
2.423173e-03   2.982252e-14   1.000000e+01
2.445617e-03   3.536560e-14   1.000000e+01
2.468268e-03   4.191624e-14   1.000000e+01
2.491130e-03   4.965337e-14   1.000000e+01
2.514203e-03   5.878696e-14   1.000000e+01
2.537490e-03   6.956327e-14   1.000000e+01
2.560993e-03   8.227091e-14   1.000000e+01
2.584714e-03   9.724799e-14   1.000000e+01
2.608654e-03   1.148904e-13   1.000000e+01
2.632815e-03   1.356614e-13   1.000000e+01
2.657201e-03   1.601029e-13   1.000000e+01
2.681813e-03   1.888482e-13   1.000000e+01
2.706652e-03   2.226374e-13   1.000000e+01
2.731722e-03   2.623346e-13   1.000000e+01
2.757023e-03   3.089485e-13   1.000000e+01
2.782559e-03   3.636557e-13   1.000000e+01
2.808332e-03   4.278277e-13   1.000000e+01
2.834343e-03   5.030633e-13   1.000000e+01
2.860596e-03   5.912239e-13   1.000000e+01
2.887091e-03   6.944770e-13   1.000000e+01
2.913832e-03   8.153439e-13   1.000000e+01
2.940820e-03   9.567569e-13   1.000000e+01
2.968059e-03   1.122124e-12   1.000000e+01
2.995549e-03   1.315404e-12   1.000000e+01
3.023295e-03   1.541195e-12   1.000000e+01
3.051297e-03   1.804830e-12   1.000000e+01
3.079559e-03   2.112498e-12   1.000000e+01
3.108082e-03   2.471372e-12   1.000000e+01
3.136870e-03   2.889765e-12   1.000000e+01
3.165924e-03   3.377304e-12   1.000000e+01
3.195248e-03   3.945132e-12   1.000000e+01
3.224842e-03   4.606144e-12   1.000000e+01
3.254712e-03   5.375250e-12   1.000000e+01
3.284857e-03   6.269684e-12   1.000000e+01
3.315282e-03   7.309356e-12   1.000000e+01
3.345989e-03   8.517257e-12   1.000000e+01
3.376980e-03   9.919920e-12   1.000000e+01
3.408259e-03   1.154795e-11   1.000000e+01
3.439826e-03   1.343665e-11   1.000000e+01
3.471687e-03   1.562668e-11   1.000000e+01
3.503842e-03   1.816489e-11   1.000000e+01
3.536296e-03   2.110522e-11   1.000000e+01
3.569049e-03   2.450974e-11   1.000000e+01
3.602107e-03   2.844984e-11   1.000000e+01
3.635470e-03   3.300760e-11   1.000000e+01
3.669142e-03   3.827732e-11   1.000000e+01
3.703127e-03   4.436734e-11   1.000000e+01
3.737426e-03   5.140201e-11   1.000000e+01
3.772042e-03   5.952402e-11   1.000000e+01
3.806980e-03   6.889703e-11   1.000000e+01
3.842241e-03   7.970865e-11   1.000000e+01
3.877828e-03   9.217385e-11   1.000000e+01
3.913746e-03   1.065389e-10   1.000000e+01
3.949995e-03   1.230855e-10   1.000000e+01
3.986581e-03   1.421363e-10   1.000000e+01
4.023506e-03   1.640600e-10   1.000000e+01
4.060772e-03   1.892784e-10   1.000000e+01
4.098384e-03   2.182732e-10   1.000000e+01
4.136344e-03   2.515946e-10   1.000000e+01
4.174655e-03   2.898708e-10   1.000000e+01
4.213322e-03   3.338186e-10   1.000000e+01
4.252346e-03   3.842555e-10   1.000000e+01
4.291732e-03   4.421134e-10   1.000000e+01
4.331483e-03   5.084543e-10   1.000000e+01
4.371602e-03   5.844878e-10   1.000000e+01
4.412093e-03   6.715909e-10   1.000000e+01
4.452959e-03   7.713307e-10   1.000000e+01
4.494203e-03   8.854896e-10   1.000000e+01
4.535829e-03   1.016094e-09   1.000000e+01
4.577841e-03   1.165447e-09   1.000000e+01
4.620241e-03   1.336165e-09   1.000000e+01
4.663035e-03   1.531218e-09   1.000000e+01
4.706225e-03   1.753977e-09   1.000000e+01
4.749815e-03   2.008267e-09   1.000000e+01
4.793808e-03   2.298423e-09   1.000000e+01
4.838210e-03   2.629361e-09   1.000000e+01
4.883022e-03   3.006650e-09   1.000000e+01
4.928250e-03   3.436595e-09   1.000000e+01
4.973896e-03   3.926334e-09   1.000000e+01
5.019965e-03   4.483943e-09   1.000000e+01
5.066461e-03   5.118557e-09   1.000000e+01
5.113388e-03   5.840502e-09   1.000000e+01
5.160749e-03   6.661446e-09   1.000000e+01
5.208549e-03   7.594569e-09   1.000000e+01
5.256791e-03   8.654751e-09   1.000000e+01
5.305481e-03   9.858786e-09   1.000000e+01
5.354621e-03   1.122562e-08   1.000000e+01
5.404216e-03   1.277661e-08   1.000000e+01
5.454271e-03   1.453583e-08   1.000000e+01
5.504790e-03   1.653042e-08   1.000000e+01
5.555776e-03   1.879092e-08   1.000000e+01
5.607235e-03   2.135172e-08   1.000000e+01
5.659170e-03   2.425153e-08   1.000000e+01
5.711586e-03   2.753386e-08   1.000000e+01
5.764488e-03   3.124766e-08   1.000000e+01
5.817880e-03   3.544791e-08   1.000000e+01
5.871766e-03   4.019642e-08   1.000000e+01
5.926152e-03   4.556255e-08   1.000000e+01
5.981041e-03   5.162419e-08   1.000000e+01
6.036439e-03   5.846871e-08   1.000000e+01
6.092349e-03   6.619412e-08   1.000000e+01
6.148778e-03   7.491027e-08   1.000000e+01
6.205729e-03   8.474031e-08   1.000000e+01
6.263207e-03   9.582214e-08   1.000000e+01
6.321218e-03   1.083102e-07   1.000000e+01
6.379767e-03   1.223774e-07   1.000000e+01
6.438857e-03   1.382171e-07   1.000000e+01
6.498495e-03   1.560457e-07   1.000000e+01
6.558686e-03   1.761049e-07   1.000000e+01
6.619433e-03   1.986650e-07   1.000000e+01
6.680744e-03   2.240280e-07   1.000000e+01
6.742622e-03   2.525309e-07   1.000000e+01
6.805074e-03   2.845501e-07   1.000000e+01
6.868104e-03   3.205053e-07   1.000000e+01
6.931717e-03   3.608649e-07   1.000000e+01
6.995920e-03   4.061510e-07   1.000000e+01
7.060718e-03   4.569455e-07   1.000000e+01
7.126115e-03   5.138964e-07   1.000000e+01
7.192119e-03   5.777259e-07   1.000000e+01
7.258734e-03   6.492373e-07   1.000000e+01
7.325965e-03   7.293249e-07   1.000000e+01
7.393820e-03   8.189834e-07   1.000000e+01
7.462303e-03   9.193187e-07   1.000000e+01
7.531420e-03   1.031560e-06   1.000000e+01
7.601178e-03   1.157074e-06   1.000000e+01
7.671581e-03   1.297376e-06   1.000000e+01
7.742637e-03   1.454151e-06   1.000000e+01
7.814351e-03   1.629269e-06   1.000000e+01
7.886729e-03   1.824803e-06   1.000000e+01
7.959777e-03   2.043052e-06   1.000000e+01
8.033502e-03   2.286567e-06   1.000000e+01
8.107910e-03   2.558172e-06   1.000000e+01
8.183007e-03   2.860997e-06   1.000000e+01
8.258799e-03   3.198508e-06   1.000000e+01
8.335294e-03   3.574541e-06   1.000000e+01
8.412497e-03   3.993341e-06   1.000000e+01
8.490415e-03   4.459605e-06   1.000000e+01
8.569055e-03   4.978524e-06   1.000000e+01
8.648423e-03   5.555838e-06   1.000000e+01
8.728527e-03   6.197888e-06   1.000000e+01
8.809372e-03   6.911679e-06   1.000000e+01
8.890966e-03   7.704946e-06   1.000000e+01
8.973316e-03   8.586225e-06   1.000000e+01
9.056428e-03   9.564934e-06   1.000000e+01
9.140311e-03   1.065146e-05   1.000000e+01
9.224970e-03   1.185727e-05   1.000000e+01
9.310413e-03   1.319497e-05   1.000000e+01
9.396648e-03   1.467848e-05   1.000000e+01
9.483682e-03   1.632313e-05   1.000000e+01
9.571522e-03   1.814577e-05   1.000000e+01
9.660175e-03   2.016498e-05   1.000000e+01
9.749649e-03   2.240118e-05   1.000000e+01
9.839952e-03   2.487685e-05   1.000000e+01
9.931092e-03   2.761668e-05   1.000000e+01
1.002308e-02   3.064783e-05   1.000000e+01
1.011591e-02   3.400013e-05   1.000000e+01
1.020961e-02   3.770635e-05   1.000000e+01
1.030417e-02   4.180246e-05   1.000000e+01
1.039961e-02   4.632796e-05   1.000000e+01
1.049593e-02   5.132618e-05   1.000000e+01
1.059315e-02   5.684464e-05   1.000000e+01
1.069126e-02   6.293545e-05   1.000000e+01
1.079029e-02   6.965574e-05   1.000000e+01
1.089023e-02   7.706809e-05   1.000000e+01
1.099110e-02   8.524108e-05   1.000000e+01
1.109290e-02   9.424976e-05   1.000000e+01
1.119564e-02   1.041763e-04   1.000000e+01
1.129934e-02   1.151107e-04   1.000000e+01
1.140400e-02   1.271513e-04   1.000000e+01
1.150962e-02   1.404057e-04   1.000000e+01
1.161623e-02   1.549914e-04   1.000000e+01
1.172382e-02   1.710371e-04   1.000000e+01
1.183241e-02   1.886831e-04   1.000000e+01
1.194200e-02   2.080828e-04   1.000000e+01
1.205261e-02   2.294036e-04   1.000000e+01
1.216424e-02   2.528282e-04   1.000000e+01
1.227691e-02   2.785561e-04   1.000000e+01
1.239062e-02   3.068047e-04   1.000000e+01
1.250539e-02   3.378111e-04   1.000000e+01
1.262121e-02   3.718338e-04   1.000000e+01
1.273811e-02   4.091544e-04   1.000000e+01
1.285610e-02   4.500797e-04   1.000000e+01
1.297517e-02   4.949438e-04   1.000000e+01
1.309535e-02   5.441104e-04   1.000000e+01
1.321664e-02   5.979752e-04   1.000000e+01
1.333906e-02   6.569690e-04   1.000000e+01
1.346261e-02   7.215601e-04   1.000000e+01
1.358730e-02   7.922576e-04   1.000000e+01
1.371315e-02   8.696150e-04   1.000000e+01
1.384016e-02   9.542337e-04   1.000000e+01
1.396835e-02   1.046767e-03   1.000000e+01
1.409773e-02   1.147924e-03   1.000000e+01
1.422830e-02   1.258475e-03   1.000000e+01
1.436009e-02   1.379256e-03   1.000000e+01
1.449310e-02   1.511174e-03   1.000000e+01
1.462733e-02   1.655211e-03   1.000000e+01
1.476281e-02   1.812434e-03   1.000000e+01
1.489955e-02   1.983999e-03   1.000000e+01
1.503755e-02   2.171157e-03   1.000000e+01
1.517683e-02   2.375266e-03   1.000000e+01
1.531740e-02   2.597794e-03   1.000000e+01
1.545928e-02   2.840332e-03   1.000000e+01
1.560246e-02   3.104601e-03   1.000000e+01
1.574698e-02   3.392463e-03   1.000000e+01
1.589283e-02   3.705932e-03   1.000000e+01
1.604003e-02   4.047187e-03   1.000000e+01
1.618860e-02   4.418582e-03   1.000000e+01
1.633854e-02   4.822662e-03   1.000000e+01
1.648987e-02   5.262174e-03   1.000000e+01
1.664260e-02   5.740089e-03   1.000000e+01
1.679675e-02   6.259612e-03   1.000000e+01
1.695232e-02   6.824203e-03   1.000000e+01
1.710934e-02   7.437595e-03   1.000000e+01
1.726781e-02   8.103817e-03   1.000000e+01
1.742775e-02   8.827212e-03   1.000000e+01
1.758917e-02   9.612464e-03   1.000000e+01
1.775208e-02   1.046462e-02   1.000000e+01
1.791650e-02   1.138912e-02   1.000000e+01
1.808245e-02   1.239183e-02   1.000000e+01
1.824993e-02   1.347905e-02   1.000000e+01
1.841897e-02   1.465757e-02   1.000000e+01
1.858957e-02   1.593472e-02   1.000000e+01
1.876175e-02   1.731835e-02   1.000000e+01
1.893552e-02   1.881693e-02   1.000000e+01
1.911091e-02   2.043957e-02   1.000000e+01
1.928792e-02   2.219604e-02   1.000000e+01
1.946656e-02   2.409687e-02   1.000000e+01
1.964687e-02   2.615335e-02   1.000000e+01
1.982884e-02   2.837762e-02   1.000000e+01
2.001250e-02   3.078271e-02   1.000000e+01
2.019786e-02   3.338263e-02   1.000000e+01
2.038493e-02   3.619240e-02   1.000000e+01
2.057374e-02   3.922812e-02   1.000000e+01
2.076430e-02   4.250709e-02   1.000000e+01
2.095662e-02   4.604786e-02   1.000000e+01
2.115073e-02   4.987029e-02   1.000000e+01
2.134663e-02   5.399571e-02   1.000000e+01
2.154435e-02   5.844693e-02   1.000000e+01
2.174389e-02   6.324842e-02   1.000000e+01
2.194529e-02   6.842637e-02   1.000000e+01
2.214855e-02   7.400882e-02   1.000000e+01
2.235370e-02   8.002581e-02   1.000000e+01
2.256074e-02   8.650945e-02   1.000000e+01
2.276970e-02   9.349411e-02   1.000000e+01
2.298060e-02   1.010165e-01   1.000000e+01
2.319345e-02   1.091161e-01   1.000000e+01
2.340827e-02   1.178347e-01   1.000000e+01
2.362508e-02   1.272173e-01   1.000000e+01
2.384390e-02   1.373119e-01   1.000000e+01
2.406475e-02   1.481696e-01   1.000000e+01
2.428764e-02   1.598454e-01   1.000000e+01
2.451260e-02   1.723974e-01   1.000000e+01
2.473964e-02   1.858882e-01   1.000000e+01
2.496878e-02   2.003841e-01   1.000000e+01
2.520005e-02   2.159563e-01   1.000000e+01
2.543346e-02   2.326803e-01   1.000000e+01
2.566903e-02   2.506368e-01   1.000000e+01
2.590678e-02   2.699120e-01   1.000000e+01
2.614673e-02   2.905973e-01   1.000000e+01
2.638891e-02   3.127905e-01   1.000000e+01
2.663333e-02   3.365957e-01   1.000000e+01
2.688001e-02   3.621234e-01   1.000000e+01
2.712898e-02   3.894918e-01   1.000000e+01
2.738025e-02   4.188261e-01   1.000000e+01
2.763385e-02   4.502601e-01   1.000000e+01
2.788980e-02   4.839356e-01   1.000000e+01
2.814812e-02   5.200038e-01   1.000000e+01
2.840884e-02   5.586253e-01   1.000000e+01
2.867196e-02   5.999708e-01   1.000000e+01
2.893753e-02   6.442218e-01   1.000000e+01
2.920556e-02   6.915709e-01   1.000000e+01
2.947606e-02   7.422231e-01   1.000000e+01
2.974908e-02   7.963956e-01   1.000000e+01
3.002462e-02   8.543194e-01   1.000000e+01
3.030271e-02   9.162395e-01   1.000000e+01
3.058338e-02   9.824158e-01   1.000000e+01
3.086665e-02   1.053124e+00   1.000000e+01
3.115254e-02   1.128657e+00   1.000000e+01
3.144108e-02   1.209325e+00   1.000000e+01
3.173230e-02   1.295457e+00   1.000000e+01
3.202621e-02   1.387401e+00   1.000000e+01
3.232284e-02   1.485527e+00   1.000000e+01
3.262222e-02   1.590226e+00   1.000000e+01
3.292437e-02   1.701912e+00   1.000000e+01
3.322933e-02   1.821025e+00   1.000000e+01
3.353710e-02   1.948028e+00   1.000000e+01
3.384773e-02   2.083414e+00   1.000000e+01
3.416123e-02   2.227702e+00   1.000000e+01
3.447764e-02   2.381443e+00   1.000000e+01
3.479698e-02   2.545219e+00   1.000000e+01
3.511928e-02   2.719645e+00   1.000000e+01
3.544456e-02   2.905371e+00   1.000000e+01
3.577285e-02   3.103086e+00   1.000000e+01
3.610419e-02   3.313516e+00   1.000000e+01
3.643859e-02   3.537428e+00   1.000000e+01
3.677609e-02   3.775633e+00   1.000000e+01
3.711672e-02   4.028987e+00   1.000000e+01
3.746050e-02   4.298392e+00   1.000000e+01
3.780747e-02   4.584803e+00   1.000000e+01
3.815765e-02   4.889226e+00   1.000000e+01
3.851107e-02   5.212722e+00   1.000000e+01
3.886777e-02   5.556410e+00   1.000000e+01
3.922777e-02   5.921471e+00   1.000000e+01
3.959110e-02   6.309150e+00   1.000000e+01
3.995780e-02   6.720757e+00   1.000000e+01
4.032790e-02   7.157676e+00   1.000000e+01
4.070142e-02   7.621362e+00   1.000000e+01
4.107841e-02   8.113348e+00   1.000000e+01
4.145888e-02   8.635250e+00   1.000000e+01
4.184289e-02   9.188768e+00   1.000000e+01
4.223044e-02   9.775692e+00   1.000000e+01
4.262159e-02   1.039790e+01   1.000000e+01
4.301636e-02   1.105739e+01   1.000000e+01
4.341478e-02   1.175622e+01   1.000000e+01
4.381690e-02   1.249661e+01   1.000000e+01
4.422274e-02   1.328084e+01   1.000000e+01
4.463234e-02   1.411135e+01   1.000000e+01
4.504573e-02   1.499067e+01   1.000000e+01
4.546295e-02   1.592149e+01   1.000000e+01
4.588404e-02   1.690661e+01   1.000000e+01
4.630903e-02   1.794899e+01   1.000000e+01
4.673795e-02   1.905173e+01   1.000000e+01
4.717085e-02   2.021807e+01   1.000000e+01
4.760775e-02   2.145144e+01   1.000000e+01
4.804870e-02   2.275541e+01   1.000000e+01
4.849374e-02   2.413375e+01   1.000000e+01
4.894290e-02   2.559040e+01   1.000000e+01
4.939622e-02   2.712949e+01   1.000000e+01
4.985373e-02   2.875537e+01   1.000000e+01
5.031549e-02   3.047257e+01   1.000000e+01
5.078152e-02   3.228587e+01   1.000000e+01
5.125187e-02   3.420024e+01   1.000000e+01
5.172657e-02   3.622093e+01   1.000000e+01
5.220568e-02   3.835341e+01   1.000000e+01
5.268921e-02   4.060341e+01   1.000000e+01
5.317723e-02   4.297694e+01   1.000000e+01
5.366977e-02   4.548028e+01   1.000000e+01
5.416687e-02   4.812002e+01   1.000000e+01
5.466857e-02   5.090302e+01   1.000000e+01
5.517492e-02   5.383650e+01   1.000000e+01
5.568596e-02   5.692798e+01   1.000000e+01
5.620174e-02   6.018534e+01   1.000000e+01
5.672229e-02   6.361679e+01   1.000000e+01
5.724766e-02   6.723096e+01   1.000000e+01
5.777790e-02   7.103682e+01   1.000000e+01
5.831305e-02   7.504378e+01   1.000000e+01
5.885316e-02   7.926163e+01   1.000000e+01
5.939827e-02   8.370064e+01   1.000000e+01
5.994843e-02   8.837149e+01   1.000000e+01
6.050368e-02   9.328537e+01   1.000000e+01
6.106408e-02   9.845392e+01   1.000000e+01
6.162966e-02   1.038893e+02   1.000000e+01
6.220049e-02   1.096042e+02   1.000000e+01
6.277660e-02   1.156120e+02   1.000000e+01
6.335805e-02   1.219262e+02   1.000000e+01
6.394488e-02   1.285615e+02   1.000000e+01
6.453715e-02   1.355328e+02   1.000000e+01
6.513491e-02   1.428557e+02   1.000000e+01
6.573820e-02   1.505466e+02   1.000000e+01
6.634708e-02   1.586224e+02   1.000000e+01
6.696160e-02   1.671008e+02   1.000000e+01
6.758181e-02   1.760003e+02   1.000000e+01
6.820777e-02   1.853400e+02   1.000000e+01
6.883952e-02   1.951400e+02   1.000000e+01
6.947713e-02   2.054210e+02   1.000000e+01
7.012064e-02   2.162046e+02   1.000000e+01
7.077011e-02   2.275134e+02   1.000000e+01
7.142559e-02   2.393709e+02   1.000000e+01
7.208715e-02   2.518012e+02   1.000000e+01
7.275484e-02   2.648299e+02   1.000000e+01
7.342870e-02   2.784832e+02   1.000000e+01
7.410882e-02   2.927885e+02   1.000000e+01
7.479523e-02   3.077743e+02   1.000000e+01
7.548799e-02   3.234701e+02   1.000000e+01
7.618718e-02   3.399066e+02   1.000000e+01
7.689284e-02   3.571158e+02   1.000000e+01
7.760503e-02   3.751307e+02   1.000000e+01
7.832383e-02   3.939858e+02   1.000000e+01
7.904928e-02   4.137167e+02   1.000000e+01
7.978145e-02   4.343606e+02   1.000000e+01
8.052040e-02   4.559559e+02   1.000000e+01
8.126619e-02   4.785424e+02   1.000000e+01
8.201889e-02   5.021616e+02   1.000000e+01
8.277857e-02   5.268565e+02   1.000000e+01
8.354528e-02   5.526714e+02   1.000000e+01
8.431909e-02   5.796526e+02   1.000000e+01
8.510007e-02   6.078479e+02   1.000000e+01
8.588829e-02   6.373068e+02   1.000000e+01
8.668380e-02   6.680807e+02   1.000000e+01
8.748668e-02   7.002229e+02   1.000000e+01
8.829700e-02   7.337884e+02   1.000000e+01
8.911482e-02   7.688343e+02   1.000000e+01
8.994022e-02   8.054197e+02   1.000000e+01
9.077327e-02   8.436058e+02   1.000000e+01
9.161402e-02   8.834559e+02   1.000000e+01
9.246257e-02   9.250355e+02   1.000000e+01
9.331898e-02   9.684124e+02   1.000000e+01
9.418332e-02   1.013657e+03   1.000000e+01
9.505566e-02   1.060841e+03   1.000000e+01
9.593608e-02   1.110040e+03   1.000000e+01
9.682466e-02   1.161332e+03   1.000000e+01
9.772147e-02   1.214797e+03   1.000000e+01
9.862658e-02   1.270516e+03   1.000000e+01
9.954008e-02   1.328578e+03   1.000000e+01
1.004620e-01   1.389068e+03   1.000000e+01
1.013925e-01   1.452080e+03   1.000000e+01
1.023317e-01   1.517706e+03   1.000000e+01
1.032795e-01   1.586046e+03   1.000000e+01
1.042361e-01   1.657199e+03   1.000000e+01
1.052015e-01   1.731269e+03   1.000000e+01
1.061759e-01   1.808363e+03   1.000000e+01
1.071593e-01   1.888592e+03   1.000000e+01
1.081519e-01   1.972070e+03   1.000000e+01
1.091536e-01   2.058914e+03   1.000000e+01
1.101646e-01   2.149246e+03   1.000000e+01
1.111850e-01   2.243192e+03   1.000000e+01
1.122148e-01   2.340879e+03   1.000000e+01
1.132541e-01   2.442441e+03   1.000000e+01
1.143031e-01   2.548015e+03   1.000000e+01
1.153618e-01   2.657743e+03   1.000000e+01
1.164303e-01   2.771769e+03   1.000000e+01
1.175087e-01   2.890244e+03   1.000000e+01
1.185971e-01   3.013321e+03   1.000000e+01
1.196956e-01   3.141160e+03   1.000000e+01
1.208042e-01   3.273925e+03   1.000000e+01
1.219231e-01   3.411783e+03   1.000000e+01
1.230524e-01   3.554908e+03   1.000000e+01
1.241921e-01   3.703478e+03   1.000000e+01
1.253424e-01   3.857677e+03   1.000000e+01
1.265034e-01   4.017693e+03   1.000000e+01
1.276751e-01   4.183721e+03   1.000000e+01
1.288576e-01   4.355959e+03   1.000000e+01
1.300511e-01   4.534614e+03   1.000000e+01
1.312557e-01   4.719895e+03   1.000000e+01
1.324714e-01   4.912020e+03   1.000000e+01
1.336984e-01   5.111211e+03   1.000000e+01
1.349367e-01   5.317698e+03   1.000000e+01
1.361865e-01   5.531714e+03   1.000000e+01
1.374479e-01   5.753502e+03   1.000000e+01
1.387210e-01   5.983308e+03   1.000000e+01
1.400058e-01   6.221389e+03   1.000000e+01
1.413026e-01   6.468004e+03   1.000000e+01
1.426114e-01   6.723422e+03   1.000000e+01
1.439323e-01   6.987917e+03   1.000000e+01
1.452654e-01   7.261773e+03   1.000000e+01
1.466109e-01   7.545278e+03   1.000000e+01
1.479688e-01   7.838729e+03   1.000000e+01
1.493393e-01   8.142431e+03   1.000000e+01
1.507225e-01   8.456696e+03   1.000000e+01
1.521186e-01   8.781844e+03   1.000000e+01
1.535275e-01   9.118202e+03   1.000000e+01
1.549495e-01   9.466107e+03   1.000000e+01
