# Li6 + a > B10 + g   [Li6_a__B10_g]   ref=Caughlan& Fowler 1988
# forward[T9] = With[{T923=T9^(2/3),T932=T9^(3/2),T913=T9^(1/3),T943=T9^(4/3),T953=T9^(5/3)}, (4.06*^06/T923*Exp[-18.79/T913-(T9/1.326)^2]*(1.+0.022*T913+1.54*T923+0.239*T9+2.2*T943+0.869*T953) +1.91*^3/T932*Exp[-3.484/T9]+1.01*^4/T9*Exp[-7.269/T9])]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   1.028891e-73   3.000000e+00
1.009262e-03   1.820307e-73   3.000000e+00
1.018610e-03   3.214785e-73   3.000000e+00
1.028045e-03   5.667527e-73   3.000000e+00
1.037567e-03   9.974056e-73   3.000000e+00
1.047177e-03   1.752222e-72   3.000000e+00
1.056876e-03   3.072894e-72   3.000000e+00
1.066665e-03   5.379598e-72   3.000000e+00
1.076545e-03   9.401520e-72   3.000000e+00
1.086516e-03   1.640192e-71   3.000000e+00
1.096579e-03   2.856549e-71   3.000000e+00
1.106736e-03   4.966400e-71   3.000000e+00
1.116987e-03   8.619796e-71   3.000000e+00
1.127333e-03   1.493515e-70   3.000000e+00
1.137774e-03   2.583344e-70   3.000000e+00
1.148312e-03   4.460841e-70   3.000000e+00
1.158948e-03   7.689811e-70   3.000000e+00
1.169683e-03   1.323370e-69   3.000000e+00
1.180517e-03   2.273607e-69   3.000000e+00
1.191451e-03   3.899607e-69   3.000000e+00
1.202486e-03   6.677278e-69   3.000000e+00
1.213624e-03   1.141442e-68   3.000000e+00
1.224865e-03   1.947986e-68   3.000000e+00
1.236210e-03   3.318927e-68   3.000000e+00
1.247660e-03   5.645364e-68   3.000000e+00
1.259216e-03   9.586732e-68   3.000000e+00
1.270879e-03   1.625309e-67   3.000000e+00
1.282650e-03   2.750995e-67   3.000000e+00
1.294530e-03   4.648736e-67   3.000000e+00
1.306520e-03   7.842835e-67   3.000000e+00
1.318621e-03   1.321012e-66   3.000000e+00
1.330835e-03   2.221456e-66   3.000000e+00
1.343161e-03   3.729653e-66   3.000000e+00
1.355602e-03   6.251740e-66   3.000000e+00
1.368158e-03   1.046255e-65   3.000000e+00
1.380830e-03   1.748155e-65   3.000000e+00
1.393619e-03   2.916291e-65   3.000000e+00
1.406527e-03   4.857267e-65   3.000000e+00
1.419555e-03   8.077289e-65   3.000000e+00
1.432703e-03   1.341077e-64   3.000000e+00
1.445973e-03   2.223099e-64   3.000000e+00
1.459366e-03   3.679447e-64   3.000000e+00
1.472883e-03   6.080330e-64   3.000000e+00
1.486525e-03   1.003217e-63   3.000000e+00
1.500293e-03   1.652675e-63   3.000000e+00
