# Li7 + He3 > Be9 + p   [Li7_He3__Be9_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=3.556 beta=0 gamma=-130.003  Q=11.2028
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.007523e-35   1.000000e+02
1.018610e-03   1.014149e-35   1.000000e+02
1.028045e-03   1.019876e-35   1.000000e+02
1.037567e-03   1.024705e-35   1.000000e+02
1.047177e-03   1.028640e-35   1.000000e+02
1.056876e-03   1.031687e-35   1.000000e+02
1.066665e-03   1.033855e-35   1.000000e+02
1.076545e-03   1.035155e-35   1.000000e+02
1.086516e-03   1.035600e-35   1.000000e+02
1.096579e-03   1.035206e-35   1.000000e+02
1.106736e-03   1.033991e-35   1.000000e+02
1.116987e-03   1.031974e-35   1.000000e+02
1.127333e-03   1.029176e-35   1.000000e+02
1.137774e-03   1.025621e-35   1.000000e+02
1.148312e-03   1.021333e-35   1.000000e+02
1.158948e-03   1.016338e-35   1.000000e+02
1.169683e-03   1.010663e-35   1.000000e+02
1.180517e-03   1.004335e-35   1.000000e+02
1.191451e-03   9.973834e-36   1.000000e+02
1.202486e-03   9.898378e-36   1.000000e+02
1.213624e-03   9.817282e-36   1.000000e+02
1.224865e-03   9.730853e-36   1.000000e+02
1.236210e-03   9.639398e-36   1.000000e+02
1.247660e-03   9.543229e-36   1.000000e+02
1.259216e-03   9.442657e-36   1.000000e+02
1.270879e-03   9.337994e-36   1.000000e+02
1.282650e-03   9.229548e-36   1.000000e+02
1.294530e-03   9.117626e-36   1.000000e+02
1.306520e-03   9.002532e-36   1.000000e+02
1.318621e-03   8.884565e-36   1.000000e+02
1.330835e-03   8.764017e-36   1.000000e+02
1.343161e-03   8.641177e-36   1.000000e+02
1.355602e-03   8.516325e-36   1.000000e+02
1.368158e-03   8.389735e-36   1.000000e+02
1.380830e-03   8.261671e-36   1.000000e+02
1.393619e-03   8.132392e-36   1.000000e+02
1.406527e-03   8.002145e-36   1.000000e+02
1.419555e-03   7.871170e-36   1.000000e+02
1.432703e-03   7.739698e-36   1.000000e+02
1.445973e-03   7.607947e-36   1.000000e+02
1.459366e-03   7.476129e-36   1.000000e+02
1.472883e-03   7.344445e-36   1.000000e+02
1.486525e-03   7.213085e-36   1.000000e+02
1.500293e-03   7.082230e-36   1.000000e+02
1.514189e-03   6.952051e-36   1.000000e+02
1.528214e-03   6.822708e-36   1.000000e+02
1.542369e-03   6.694353e-36   1.000000e+02
1.556654e-03   6.567128e-36   1.000000e+02
1.571072e-03   6.441164e-36   1.000000e+02
1.585624e-03   6.316584e-36   1.000000e+02
1.600310e-03   6.193502e-36   1.000000e+02
