# Li7 + He3 > a + a + d   [Li7_He3__a_a_d]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.87e-10 beta=-1.5 gamma=-137.558  Q=11.8538
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.007346e-35   1.000000e+02
1.018610e-03   1.013814e-35   1.000000e+02
1.028045e-03   1.019405e-35   1.000000e+02
1.037567e-03   1.024118e-35   1.000000e+02
1.047177e-03   1.027957e-35   1.000000e+02
1.056876e-03   1.030930e-35   1.000000e+02
1.066665e-03   1.033044e-35   1.000000e+02
1.076545e-03   1.034311e-35   1.000000e+02
1.086516e-03   1.034744e-35   1.000000e+02
1.096579e-03   1.034358e-35   1.000000e+02
1.106736e-03   1.033170e-35   1.000000e+02
1.116987e-03   1.031200e-35   1.000000e+02
1.127333e-03   1.028468e-35   1.000000e+02
1.137774e-03   1.024996e-35   1.000000e+02
1.148312e-03   1.020809e-35   1.000000e+02
1.158948e-03   1.015931e-35   1.000000e+02
1.169683e-03   1.010388e-35   1.000000e+02
1.180517e-03   1.004207e-35   1.000000e+02
1.191451e-03   9.974156e-36   1.000000e+02
1.202486e-03   9.900431e-36   1.000000e+02
1.213624e-03   9.821183e-36   1.000000e+02
1.224865e-03   9.736706e-36   1.000000e+02
1.236210e-03   9.647301e-36   1.000000e+02
1.247660e-03   9.553266e-36   1.000000e+02
1.259216e-03   9.454904e-36   1.000000e+02
1.270879e-03   9.352515e-36   1.000000e+02
1.282650e-03   9.246398e-36   1.000000e+02
1.294530e-03   9.136851e-36   1.000000e+02
1.306520e-03   9.024167e-36   1.000000e+02
1.318621e-03   8.908635e-36   1.000000e+02
1.330835e-03   8.790540e-36   1.000000e+02
1.343161e-03   8.670161e-36   1.000000e+02
1.355602e-03   8.547771e-36   1.000000e+02
1.368158e-03   8.423634e-36   1.000000e+02
1.380830e-03   8.298008e-36   1.000000e+02
1.393619e-03   8.171145e-36   1.000000e+02
1.406527e-03   8.043285e-36   1.000000e+02
1.419555e-03   7.914663e-36   1.000000e+02
1.432703e-03   7.785501e-36   1.000000e+02
1.445973e-03   7.656016e-36   1.000000e+02
1.459366e-03   7.526413e-36   1.000000e+02
1.472883e-03   7.396889e-36   1.000000e+02
1.486525e-03   7.267630e-36   1.000000e+02
1.500293e-03   7.138814e-36   1.000000e+02
