# Li7 + p > a + a + g   [Li7_p__a_a_g]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=4.6898 beta=0 gamma=-201.295  Q=17.3462
# T9                 rate                error
1.000000e-03   2.170000e-28   1.092500e+00
1.009262e-03   2.796145e-28   1.092547e+00
1.018610e-03   3.600158e-28   1.092593e+00
1.028045e-03   4.631762e-28   1.092640e+00
1.037567e-03   5.954353e-28   1.092686e+00
1.047177e-03   7.648695e-28   1.092732e+00
1.056876e-03   9.817602e-28   1.092777e+00
1.066665e-03   1.259185e-27   1.092822e+00
1.076545e-03   1.613767e-27   1.092867e+00
1.086516e-03   2.066615e-27   1.092912e+00
1.096579e-03   2.644522e-27   1.092956e+00
1.106736e-03   3.381458e-27   1.093000e+00
1.116987e-03   4.320472e-27   1.093043e+00
1.127333e-03   5.516064e-27   1.093086e+00
1.137774e-03   7.037192e-27   1.093129e+00
1.148312e-03   8.971027e-27   1.093172e+00
1.158948e-03   1.142769e-26   1.093214e+00
1.169683e-03   1.454619e-26   1.093256e+00
1.180517e-03   1.850184e-26   1.093297e+00
1.191451e-03   2.351564e-26   1.093338e+00
1.202486e-03   2.986590e-26   1.093379e+00
1.213624e-03   3.790285e-26   1.093419e+00
1.224865e-03   4.806697e-26   1.093459e+00
1.236210e-03   6.091172e-26   1.093498e+00
1.247660e-03   7.713210e-26   1.093537e+00
1.259216e-03   9.760013e-26   1.093576e+00
1.270879e-03   1.234092e-25   1.093614e+00
1.282650e-03   1.559290e-25   1.093652e+00
1.294530e-03   1.968748e-25   1.093689e+00
1.306520e-03   2.483919e-25   1.093726e+00
1.318621e-03   3.131625e-25   1.093762e+00
1.330835e-03   3.945373e-25   1.093798e+00
1.343161e-03   4.966987e-25   1.093833e+00
1.355602e-03   6.248642e-25   1.093868e+00
1.368158e-03   7.855369e-25   1.093902e+00
1.380830e-03   9.868173e-25   1.093936e+00
1.393619e-03   1.238788e-24   1.093970e+00
1.406527e-03   1.553989e-24   1.094002e+00
1.419555e-03   1.948008e-24   1.094035e+00
1.432703e-03   2.440203e-24   1.094067e+00
1.445973e-03   3.054601e-24   1.094098e+00
1.459366e-03   3.821001e-24   1.094129e+00
1.472883e-03   4.776336e-24   1.094159e+00
1.486525e-03   5.966345e-24   1.094188e+00
1.500293e-03   7.447636e-24   1.094217e+00
1.514189e-03   9.290220e-24   1.094246e+00
1.528214e-03   1.158062e-23   1.094274e+00
1.542369e-03   1.442570e-23   1.094301e+00
1.556654e-03   1.795733e-23   1.094328e+00
1.571072e-03   2.233815e-23   1.094354e+00
1.585624e-03   2.776863e-23   1.094379e+00
1.600310e-03   3.449563e-23   1.094404e+00
1.615133e-03   4.282298e-23   1.094429e+00
1.630092e-03   5.312436e-23   1.094452e+00
1.645191e-03   6.585905e-23   1.094475e+00
1.660429e-03   8.159113e-23   1.094498e+00
1.675808e-03   1.010129e-22   1.094519e+00
1.691330e-03   1.249736e-22   1.094540e+00
1.706995e-03   1.545140e-22   1.094561e+00
1.722805e-03   1.909089e-22   1.094580e+00
1.738762e-03   2.357189e-22   1.094600e+00
1.754867e-03   2.908529e-22   1.094618e+00
1.771121e-03   3.586443e-22   1.094636e+00
1.787526e-03   4.419434e-22   1.094652e+00
1.804082e-03   5.442300e-22   1.094669e+00
1.820792e-03   6.697493e-22   1.094684e+00
1.837656e-03   8.236768e-22   1.094699e+00
1.854677e-03   1.012318e-21   1.094713e+00
1.871855e-03   1.243351e-21   1.094726e+00
1.889193e-03   1.526116e-21   1.094739e+00
1.906691e-03   1.871972e-21   1.094751e+00
1.924351e-03   2.294722e-21   1.094762e+00
1.942175e-03   2.811128e-21   1.094772e+00
1.960163e-03   3.441531e-21   1.094782e+00
1.978319e-03   4.210602e-21   1.094791e+00
1.996642e-03   5.148240e-21   1.094799e+00
2.015136e-03   6.290663e-21   1.094806e+00
2.033800e-03   7.681710e-21   1.094813e+00
2.052638e-03   9.374413e-21   1.094821e+00
2.071650e-03   1.143288e-20   1.094828e+00
2.090838e-03   1.393457e-20   1.094835e+00
2.110203e-03   1.697301e-20   1.094842e+00
2.129749e-03   2.066103e-20   1.094849e+00
2.149475e-03   2.513470e-20   1.094856e+00
2.169384e-03   3.055803e-20   1.094863e+00
2.189477e-03   3.712848e-20   1.094870e+00
2.209756e-03   4.508379e-20   1.094876e+00
2.230223e-03   5.470987e-20   1.094883e+00
2.250880e-03   6.635046e-20   1.094889e+00
2.271728e-03   8.041848e-20   1.094895e+00
2.292769e-03   9.740974e-20   1.094901e+00
2.314005e-03   1.179191e-19   1.094907e+00
2.335438e-03   1.426601e-19   1.094913e+00
2.357069e-03   1.724875e-19   1.094919e+00
2.378901e-03   2.084254e-19   1.094924e+00
2.400935e-03   2.516995e-19   1.094930e+00
2.423173e-03   3.037761e-19   1.094935e+00
2.445617e-03   3.664082e-19   1.094940e+00
2.468268e-03   4.416903e-19   1.094945e+00
2.491130e-03   5.321237e-19   1.094950e+00
2.514203e-03   6.406933e-19   1.094954e+00
2.537490e-03   7.709591e-19   1.094959e+00
2.560993e-03   9.271649e-19   1.094963e+00
2.584714e-03   1.114366e-18   1.094967e+00
2.608654e-03   1.338582e-18   1.094971e+00
2.632815e-03   1.606974e-18   1.094974e+00
2.657201e-03   1.928061e-18   1.094978e+00
2.681813e-03   2.311964e-18   1.094981e+00
2.706652e-03   2.770708e-18   1.094984e+00
2.731722e-03   3.318568e-18   1.094986e+00
2.757023e-03   3.972480e-18   1.094989e+00
2.782559e-03   4.752528e-18   1.094991e+00
2.808332e-03   5.682511e-18   1.094993e+00
2.834343e-03   6.790621e-18   1.094995e+00
2.860596e-03   8.110227e-18   1.094996e+00
2.887091e-03   9.680810e-18   1.094998e+00
2.913832e-03   1.154905e-17   1.094999e+00
2.940820e-03   1.377013e-17   1.094999e+00
2.968059e-03   1.640919e-17   1.095000e+00
2.995549e-03   1.954317e-17   1.095000e+00
3.023295e-03   2.326280e-17   1.095000e+00
3.051297e-03   2.767509e-17   1.094998e+00
3.079559e-03   3.290616e-17   1.094996e+00
3.108082e-03   3.910453e-17   1.094993e+00
3.136870e-03   4.644506e-17   1.094989e+00
3.165924e-03   5.513349e-17   1.094984e+00
