# Li7 + t > Be9 + n   [Li7_t__Be9_n]   ref=Coc et al. 2012
# detailed balance: alpha=3.5516 beta=0 gamma=-121.14  Q=10.439
# T9                 rate                error
1.000000e-03   1.640000e-36   2.233300e+00
1.009262e-03   2.126261e-36   2.233410e+00
1.018610e-03   2.762386e-36   2.233517e+00
1.028045e-03   3.596084e-36   2.233622e+00
1.037567e-03   4.690681e-36   2.233723e+00
1.047177e-03   6.130355e-36   2.233822e+00
1.056876e-03   8.027157e-36   2.233918e+00
1.066665e-03   1.053046e-35   2.234011e+00
1.076545e-03   1.383965e-35   2.234102e+00
1.086516e-03   1.822124e-35   2.234190e+00
1.096579e-03   2.403194e-35   2.234275e+00
1.106736e-03   3.174978e-35   2.234358e+00
1.116987e-03   4.201617e-35   2.234438e+00
1.127333e-03   5.569277e-35   2.234515e+00
1.137774e-03   7.393855e-35   2.234591e+00
1.148312e-03   9.831403e-35   2.234663e+00
1.158948e-03   1.309229e-34   2.234734e+00
1.169683e-03   1.746039e-34   2.234802e+00
1.180517e-03   2.331919e-34   2.234868e+00
1.191451e-03   3.118725e-34   2.234931e+00
1.202486e-03   4.176646e-34   2.234992e+00
1.213624e-03   5.600776e-34   2.235052e+00
1.224865e-03   7.520064e-34   2.235109e+00
1.236210e-03   1.010952e-33   2.235163e+00
1.247660e-03   1.360687e-33   2.235216e+00
1.259216e-03   1.833527e-33   2.235267e+00
1.270879e-03   2.473437e-33   2.235316e+00
1.282650e-03   3.340270e-33   2.235363e+00
1.294530e-03   4.515570e-33   2.235408e+00
1.306520e-03   6.110498e-33   2.235451e+00
1.318621e-03   8.276688e-33   2.235492e+00
1.330835e-03   1.122110e-32   2.235531e+00
1.343161e-03   1.522636e-32   2.235569e+00
1.355602e-03   2.067861e-32   2.235605e+00
1.368158e-03   2.810568e-32   2.235640e+00
1.380830e-03   3.822939e-32   2.235672e+00
1.393619e-03   5.203721e-32   2.235703e+00
1.406527e-03   7.088051e-32   2.235733e+00
1.419555e-03   9.660928e-32   2.235761e+00
1.432703e-03   1.317567e-31   2.235788e+00
1.445973e-03   1.797926e-31   2.235813e+00
1.459366e-03   2.454701e-31   2.235837e+00
1.472883e-03   3.353020e-31   2.235859e+00
1.486525e-03   4.582128e-31   2.235880e+00
1.500293e-03   6.264333e-31   2.235900e+00
1.514189e-03   8.567259e-31   2.235919e+00
1.528214e-03   1.172064e-30   2.235936e+00
1.542369e-03   1.603931e-30   2.235952e+00
1.556654e-03   2.195475e-30   2.235968e+00
1.571072e-03   3.005814e-30   2.235982e+00
1.585624e-03   4.115945e-30   2.235995e+00
1.600310e-03   5.636817e-30   2.236007e+00
1.615133e-03   7.720367e-30   2.236018e+00
1.630092e-03   1.057461e-29   2.236028e+00
1.645191e-03   1.448427e-29   2.236037e+00
1.660429e-03   1.983887e-29   2.236046e+00
1.675808e-03   2.717120e-29   2.236053e+00
1.691330e-03   3.720957e-29   2.236060e+00
1.706995e-03   5.094922e-29   2.236067e+00
1.722805e-03   6.974940e-29   2.236072e+00
1.738762e-03   9.546544e-29   2.236077e+00
1.754867e-03   1.306284e-28   2.236081e+00
1.771121e-03   1.786890e-28   2.236085e+00
1.787526e-03   2.443484e-28   2.236088e+00
1.804082e-03   3.340071e-28   2.236091e+00
1.820792e-03   4.563721e-28   2.236093e+00
1.837656e-03   6.232795e-28   2.236095e+00
1.854677e-03   8.508042e-28   2.236096e+00
1.871855e-03   1.160760e-27   2.236098e+00
1.889193e-03   1.582721e-27   2.236098e+00
1.906691e-03   2.156740e-27   2.236099e+00
1.924351e-03   2.937015e-27   2.236100e+00
1.942175e-03   3.996796e-27   2.236100e+00
1.960163e-03   5.434986e-27   2.236100e+00
1.978319e-03   7.384962e-27   2.236100e+00
1.996642e-03   1.002638e-26   2.236100e+00
2.015136e-03   1.360096e-26   2.236095e+00
2.033800e-03   1.843347e-26   2.236075e+00
2.052638e-03   2.495970e-26   2.236040e+00
2.071650e-03   3.376367e-26   2.235991e+00
2.090838e-03   4.562688e-26   2.235930e+00
2.110203e-03   6.159358e-26   2.235856e+00
2.129749e-03   8.305710e-26   2.235770e+00
2.149475e-03   1.118736e-25   2.235673e+00
2.169384e-03   1.505118e-25   2.235567e+00
2.189477e-03   2.022502e-25   2.235450e+00
2.209756e-03   2.714348e-25   2.235325e+00
2.230223e-03   3.638171e-25   2.235192e+00
2.250880e-03   4.869952e-25   2.235052e+00
2.271728e-03   6.509881e-25   2.234905e+00
2.292769e-03   8.689828e-25   2.234752e+00
2.314005e-03   1.158302e-24   2.234594e+00
2.335438e-03   1.541659e-24   2.234432e+00
2.357069e-03   2.048769e-24   2.234266e+00
2.378901e-03   2.718435e-24   2.234096e+00
2.400935e-03   3.601217e-24   2.233925e+00
2.423173e-03   4.762847e-24   2.233752e+00
2.445617e-03   6.288602e-24   2.233578e+00
2.468268e-03   8.288852e-24   2.233405e+00
2.491130e-03   1.090613e-23   2.233231e+00
2.514203e-03   1.432403e-23   2.233059e+00
2.537490e-03   1.877854e-23   2.232889e+00
2.560993e-03   2.457212e-23   2.232722e+00
2.584714e-03   3.209157e-23   2.232559e+00
2.608654e-03   4.183017e-23   2.232399e+00
2.632815e-03   5.441535e-23   2.232245e+00
2.657201e-03   7.064303e-23   2.232096e+00
2.681813e-03   9.152003e-23   2.231953e+00
2.706652e-03   1.183164e-22   2.231818e+00
2.731722e-03   1.526295e-22   2.231690e+00
2.757023e-03   1.964624e-22   2.231571e+00
2.782559e-03   2.523198e-22   2.231461e+00
2.808332e-03   3.233229e-22   2.231361e+00
2.834343e-03   4.133500e-22   2.231272e+00
2.860596e-03   5.272041e-22   2.231194e+00
2.887091e-03   6.708134e-22   2.231128e+00
2.913832e-03   8.514707e-22   2.231075e+00
2.940820e-03   1.078116e-21   2.231036e+00
2.968059e-03   1.361672e-21   2.231010e+00
2.995549e-03   1.715429e-21   2.231000e+00
3.023295e-03   2.155541e-21   2.231011e+00
3.051297e-03   2.701797e-21   2.231051e+00
3.079559e-03   3.378384e-21   2.231119e+00
3.108082e-03   4.214749e-21   2.231212e+00
3.136870e-03   5.246717e-21   2.231330e+00
3.165924e-03   6.517836e-21   2.231468e+00
3.195248e-03   8.081014e-21   2.231627e+00
3.224842e-03   1.000050e-20   2.231803e+00
3.254712e-03   1.235427e-20   2.231995e+00
3.284857e-03   1.523701e-20   2.232200e+00
3.315282e-03   1.876357e-20   2.232417e+00
3.345989e-03   2.307339e-20   2.232644e+00
3.376980e-03   2.833571e-20   2.232878e+00
3.408259e-03   3.475605e-20   2.233118e+00
3.439826e-03   4.258405e-20   2.233362e+00
3.471687e-03   5.212312e-20   2.233607e+00
3.503842e-03   6.374228e-20   2.233851e+00
3.536296e-03   7.789060e-20   2.234093e+00
3.569049e-03   9.511514e-20   2.234331e+00
3.602107e-03   1.160828e-19   2.234562e+00
3.635470e-03   1.416077e-19   2.234785e+00
3.669142e-03   1.726843e-19   2.234997e+00
3.703127e-03   2.105293e-19   2.235196e+00
3.737426e-03   2.566334e-19   2.235381e+00
